Score	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.044088041274830236	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	436	6	108	6	στέργω ; 0.6137732267379761	θαλλοφαγέω ; 0.5733357667922974	ἐκδίδωμι ; 0.5877658724784851	τελωνέομαι ; 0.5713961720466614
0.05107194917441016	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	13	17	22	13	Μηδικός ; 0.5339139699935913	ἀφραδία ; 0.5183199644088745	διαφθείρω ; 0.5553266406059265	εὐάρεστος ; 0.5586069822311401
0.035906635896256756	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	84	16	3	82	ἐπιστρέφω ; 0.553349494934082	πείθαρχος ; 0.615225076675415	παρεισπορεύομαι ; 0.5589129328727722	παρακρούω ; 0.5766271352767944
-0.1078555188496032	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	1	6	42	760	γλεῦκος ; 0.9233986735343933	Ῥαψάκης ; 0.5256797075271606	καταρχή ; 0.5685226321220398	μείζων ; 0.5318045020103455
-0.03664589398120527	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	6	413	346	1	ἐκτείνω ; 0.5678157210350037	ἐπιπείθομαι ; 0.5649121403694153	εἰσάγω ; 0.6246852278709412	ἐπονομάζω ; 0.5095491409301758
-0.08829936799229543	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	566	118	69	19	γιγνώσκω ; 0.6019660234451294	γεμίζω ; 0.6333762407302856	μαθητεύω ; 0.5171728134155273	ὑπεκπέμπω ; 0.5731327533721924
0.06501684068079583	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	4	1	21	21	ἅς ; 0.5598627924919128	χρεοκοπέομαι ; 0.5752660036087036	έχώ ; 0.5662229657173157	φαλάκρωμα ; 0.5827423930168152
0.1025049962283997	πολιτεία	δῆμος	ζηλωτής	πλούσιος	10	224	13	84	Στρατοκλῆς ; 0.5386466979980469	Λευίς ; 0.5563623905181885	Ιαβιν ; 0.574191689491272	ὀνοκένταυρος ; 0.5310320258140564
0.15326404805878968	ὕαλος	ὑάλινος	τρῆμα	ἐπί	3	3	1	8191	ἐνδώμησις ; 0.6134878396987915	λιβανωτός ; 0.5671047568321228	ἄωρος1 ; 0.539743959903717	εἰς ; 0.7152392268180847
0.10015033362942583	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	2	5	4	4	κοινόω ; 0.6329880356788635	ἄνεμος ; 0.572327196598053	κατηφών ; 0.5152229070663452	ἀλλ᾽ ; 0.5415550470352173
