Score	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.045637481525889756	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	436	6	108	6	χάζω ; 0.26524817943573	βαστάζω ; 0.3325065076351166	παραλογίζομαι ; 0.27564817667007446	Σαυη ; 0.2713700830936432
0.009704352289276574	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	13	17	22	13	ὄναγρος ; 0.34333616495132446	ἐπίψογος ; 0.280353307723999	ἐκπολιτεύω ; 0.35027915239334106	ἐξαγορεύω ; 0.28953123092651367
0.00968669775345729	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	84	16	3	82	καταβαίνω ; 0.2984088063240051	τριφάσιος ; 0.327806681394577	Πτολεμαΐς ; 0.30067014694213867	ἄλυτος ; 0.27174702286720276
0.052298445560002876	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	1	6	42	760	γλεῦκος ; 0.6647301912307739	ἱματιοφύλαξ ; 0.28591251373291016	ἀντιστάτης ; 0.32894158363342285	ξενοδοχέω ; 0.3500206470489502
0.06488800282048662	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	6	413	346	1	Σελεύκος ; 0.33073747158050537	ὠχρός ; 0.29035359621047974	πορεύομαι ; 0.365383505821228	παραθεωρέω ; 0.34630197286605835
-0.08002233002274217	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	566	118	69	19	γιγνώσκω ; 0.3722025752067566	μετέωρος ; 0.28764867782592773	δοξάζω ; 0.27939683198928833	παμποίκιλος ; 0.2957026958465576
-0.009663438955589992	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	4	1	21	21	τανύπους ; 0.30294376611709595	ὀλίγως ; 0.3810926079750061	σωφρόνως ; 0.2869076728820801	θειώδης ; 0.32549941539764404
0.022861173169223842	πολιτεία	δῆμος	ζηλωτής	πλούσιος	10	224	13	84	Φῆστος ; 0.33491331338882446	φυλή ; 0.31762564182281494	κοσμητός ; 0.2771679162979126	Πηρείη ; 0.2945656180381775
0.014967744770449043	ὕαλος	ὑάλινος	τρῆμα	ἐπί	3	3	1	8191	ἴασπις ; 0.43509918451309204	ῥηγμίν ; 0.3531923294067383	τρύπημα ; 0.5105936527252197	ἐν ; 0.373213529586792
0.07771593679595196	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	2	5	4	4	Μεγαίρα ; 0.3899127244949341	πρόσκομμα ; 0.3309667110443115	ἀποθέται ; 0.35726678371429443	περιρρήγνυμι ; 0.33199840784072876
