Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.028568124228776415	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	ἅρπαξ	1	436	6	108	6	εἰνάτερες ; 0.5415363907814026	Ἑρμιών ; 0.5505340695381165	ἐργάζομαι ; 0.5703014135360718	διπλόω ; 0.5229456424713135
-0.018098580517058538	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	θόρυβος	0	13	17	22	13	ἄγριος ; 0.6298739910125732	Ασφαρ ; 0.6171708106994629	ἐπιμιμνήσκω ; 0.5415253639221191	καίτοι ; 0.5470024943351746
-0.08301723300325542	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	κατάγω	0	84	16	3	82	μεταστρέφω ; 0.6031228303909302	Προθόων ; 0.5665722489356995	ἀφρός ; 0.5682674646377563	ἄκατος ; 0.5511295795440674
0.09234526907558016	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	πνεῦμα	1	1	6	42	760	γλεῦκος ; 0.6937408447265625	Ποδάργη ; 0.5988873243331909	εὔειρος ; 0.5467365980148315	μένος ; 0.5869308710098267
-0.07316528286229168	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	ἀπέρχομαι	0	6	413	346	1	ἐμπήγνυμι ; 0.5123032331466675	Κεδρων ; 0.5554606914520264	ἐξέρχομαι ; 0.5623254179954529	διασφαγή ; 0.5287693738937378
-0.14161985143480138	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	ἐπιβλέπω	0	566	118	69	19	γιγνώσκω ; 0.6775383949279785	οὐδαμός ; 0.5723283290863037	προσκύπτω ; 0.5522175431251526	προπηλακίζω ; 0.580151379108429
-0.05540992715702886	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	ἀποκάλυψις	0	4	1	21	21	ἐκτριβή ; 0.5408871173858643	φιλόω ; 0.5455393195152283	ἀπολογέομαι ; 0.5418117046356201	Δαρωμ ; 0.5593649744987488
0.014506111054518434	πολιτεία	δῆμος	ζηλωτής	πλούσιος	ζηλωτής	0	10	224	13	84	Σαμαθ ; 0.5194190740585327	κριθοφαγία ; 0.6302012205123901	μονογενής ; 0.5053785443305969	ἀγανάκτησις ; 0.5120734572410583
0.1542475231322638	ὕαλος	ὑάλινος	τρῆμα	ἐπί	τρῆμα	0	3	3	1	8191	Περσέπολις ; 0.6075851917266846	λοχίζω ; 0.516611635684967	ῥαφίς ; 0.5828148126602173	εἰς ; 0.6864709258079529
0.022907539462838578	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	λιθόστρωτος	0	2	5	4	4	κοινόω ; 0.5857166051864624	μεταπείθω ; 0.5450320839881897	Ρααβ ; 0.5745832920074463	Ἰόππη ; 0.5408374071121216
-0.002086180660421766	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	ἔγγυος	1	5	10	81	4	σπείρω ; 0.5134336948394775	ἐγκατοικοδομέω ; 0.5816218256950378	καταφρονητής ; 0.5689277052879333	ὁλοσχερής ; 0.6083963513374329
0.0908748037460686	ἑορτή	πάσχα	νεομηνία	λαός	λαός	1	149	29	7	2200	Ξενοφῶν ; 0.5976809859275818	ὁ ; 0.6082596778869629	Μωδεϊν ; 0.5696505904197693	ἔθνος ; 0.6703130006790161
0.029960343713043125	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	ἐνταφιάζω	1	4789	85	1376	4	κατά ; 0.6765545010566711	ἀφαίρεμα ; 0.6625553965568542	δέκα ; 0.6050740480422974	στίγμα ; 0.5659309029579163
-0.01599168956569408	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	ἀδύνατος	0	37	217	1	1710	ἀνίερος ; 0.5440930724143982	Θωα ; 0.6196375489234924	Βαλεγδαε ; 0.5573089122772217	ἄχρι ; 0.6599876880645752
0.1427856056533141	πολεμέω	ἀγών	μάχη	στηρίζω	στηρίζω	1	234	22	37	68	παρατάσσω ; 0.6232774257659912	γψνή ; 0.5502781867980957	ἀπάντημα ; 0.55633544921875	προίστημι ; 0.5617241263389587
