Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.014138768622500075	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	ἀποτάσσομαι	0	436	6	108	6	βέλτιον ; 0.36967694759368896	ἄκλαυστος ; 0.42268091440200806	ὁρκίζω ; 0.4058637022972107	δυσφημέω ; 0.39207690954208374
0.0724790625450435	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	θόρυβος	0	13	17	22	13	ὀνυχιστήρ ; 0.40569835901260376	Απφους ; 0.3862984776496887	ἀναζωπυρέω ; 0.3998746871948242	καθεῖς ; 0.45340776443481445
0.008573414598286144	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	ἐκπλέω	0	84	16	3	82	ἀγείρω ; 0.41534098982810974	Χελουβ ; 0.4223773777484894	θαλασσουργός ; 0.38740983605384827	ἀκούω ; 0.4089529514312744
0.014428553458206816	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	πνεῦμα	1	1	6	42	760	γλεῦκος ; 0.8994455337524414	Τυρρηνικός ; 0.3845680058002472	Θάσιος ; 0.39687204360961914	τελεόμηνος ; 0.4029653072357178
0.054179939138679245	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	φάσις	1	6	413	346	1	σπαταλάω ; 0.40072929859161377	δυσέριστος ; 0.379111111164093	ἀπογράφω ; 0.4039306938648224	ἐκβοηθέω ; 0.4065961241722107
-0.08020689515729706	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	τιμάω	0	566	118	69	19	γιγνώσκω ; 0.49128711223602295	γραίδιον ; 0.41318047046661377	ἴκελος ; 0.3905181884765625	γίνομαι ; 0.4145900309085846
0.019907116207827147	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	τεκμήριον	0	4	1	21	21	περιπέτεια ; 0.3938673138618469	στιχίζω ; 0.377082496881485	τρόπος ; 0.36741819977760315	συνάντομαι ; 0.3998584747314453
0.11646320414964279	πολιτεία	δῆμος	ζηλωτής	πλούσιος	πλούσιος	1	10	224	13	84	προσομολογέω ; 0.39715123176574707	ῥῆμα ; 0.4967673420906067	ἀποσπάω ; 0.425991415977478	χορεία ; 0.403503954410553
0.03511764967059916	ὕαλος	ὑάλινος	τρῆμα	ἐπί	τρῆμα	0	3	3	1	8191	ἐνδώμησις ; 0.43328291177749634	Εὐρυβία ; 0.4819038212299347	βελόνη ; 0.5046619176864624	ἐν ; 0.46292927861213684
0.017785848065659027	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	λιθόστρωτος	0	2	5	4	4	κοινόω ; 0.47174012660980225	ἐπι ; 0.4013230800628662	συνέκδημος ; 0.4067026376724243	Βαμεθ ; 0.38677212595939636
-0.06103269377372994	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	ἄκαρπος	0	5	10	81	4	λεηλατέω ; 0.40329042077064514	δόρυ ; 0.40972161293029785	συνθάλπω ; 0.42636388540267944	τολμηρός ; 0.3946361243724823
