Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.015202890672669722	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	ἀποτάσσομαι	0	436	6	108	6	ἀποτιννύω ; 0.5875334143638611	Κίος ; 0.5611839294433594	λαμβάνω ; 0.5897814035415649	Νάστης ; 0.5372785925865173
0.12676968672374495	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	ἐπιταγή	1	13	17	22	13	οὖρον ; 0.558456301689148	Ασφαρ ; 0.5306919813156128	ἐπιστρατεύω ; 0.58418869972229	θυμαρής ; 0.5473953485488892
-0.04489874500074281	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	ἐκπλέω	0	84	16	3	82	ἀναίμων ; 0.5524892807006836	ιδN ; 0.5896480679512024	Ἀμπλιᾶτος ; 0.5649266242980957	Μασσαγέται ; 0.5544780492782593
0.009384209020844414	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	πνεῦμα	1	1	6	42	760	γλεῦκος ; 0.6203238368034363	κιθαρῳδία ; 0.5659240484237671	συγκλάζω ; 0.5465974807739258	ἀραῖος ; 0.5842640399932861
-0.011308283859798485	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	ἀπέρχομαι	0	6	413	346	1	καθέζω ; 0.5237515568733215	ἀγχίμολος ; 0.5414841771125793	ὑποστρέφω ; 0.6032273769378662	ματαιόομαι ; 0.5139107704162598
-0.1420110118180833	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	ἐπιβλέπω	0	566	118	69	19	γινώσκω ; 0.6681811213493347	ματάζω ; 0.5624645352363586	φιλόστοργος ; 0.5314099192619324	δωρίς ; 0.531548798084259
-0.04155690303996973	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	ἀποκάλυψις	0	4	1	21	21	ἐν ; 0.6511695981025696	θεῖος ; 0.6011115312576294	ἀτενίζω ; 0.5428491234779358	θειώδης ; 0.5341206789016724
0.07888674784319905	πολιτεία	δῆμος	ζηλωτής	πλούσιος	πλούσιος	1	10	224	13	84	διαζευγμός ; 0.6367390155792236	φυλή ; 0.581390917301178	οἰκτίρμων ; 0.7006210684776306	ταπεινός ; 0.5514987111091614
0.10076907168757054	ὕαλος	ὑάλινος	τρῆμα	ἐπί	ἐπί	1	3	3	1	8191	εὔπτερος ; 0.5654832124710083	ἱππάζω ; 0.5419363975524902	ῥαφίς ; 0.6863970160484314	ἐν ; 0.6712265014648438
0.038671420319069894	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	λιθόστρωτος	0	2	5	4	4	κοινόω ; 0.650722861289978	ἀγριάνω ; 0.539579451084137	ἔχθρος ; 0.5614467263221741	ἥρως ; 0.516676664352417
0.07028119422895712	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	ἄκαρπος	0	5	10	81	4	ἑδώλιον ; 0.5493401885032654	κτήτωρ ; 0.5799088478088379	πλῆκτρον ; 0.532231867313385	σάλος ; 0.6106688380241394
0.24246353278831326	ἑορτή	πάσχα	νεομηνία	λαός	λαός	1	149	29	7	2200	ἑξηκοστός ; 0.6178134083747864	Ἐτεόνικος ; 0.5514203310012817	ὁλοκαρπόομαι ; 0.5399056077003479	ἔθνος ; 0.6298479437828064
-0.06689619461378987	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	ἀπό	0	4789	85	1376	4	ἐκ ; 0.6540676355361938	ἐπιδέκατος ; 0.7268319725990295	δώδεκα ; 0.5881732702255249	ἧλος ; 0.5367316007614136
0.01032231861796179	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	ἀνένδεκτος	0	37	217	1	1710	φλυαρώδης ; 0.5729966163635254	Ιαδιηλ ; 0.5386716723442078	μεθυστικός ; 0.6121540665626526	ἄχρι ; 0.5964897274971008
0.13240007515545804	πολεμέω	ἀγών	μάχη	στηρίζω	στηρίζω	1	234	22	37	68	παρατάσσω ; 0.6703559160232544	ἄκραντος ; 0.5827162265777588	ῥυπαρός ; 0.5882806777954102	διακαταἔχω ; 0.5625095963478088
-0.002565575668078246	ὀψώνιον	ἀντί	εἰκῇ	ἀθετέω	ὀψώνιον	0	7	412	7	80	ζωγραφία ; 0.548335611820221	δοίω ; 0.5321990251541138	ἐξισωτέος ; 0.5464681386947632	ἐφίημι ; 0.5510035157203674
-0.04097666014542223	μαστιγόω	δίκη	βασανίζω	ἀναξίως	μαστιγόω	0	42	42	41	2	λύτρον ; 0.5791076421737671	μιαιφονία ; 0.5620002150535583	μέμφομαι ; 0.5616002678871155	διαχειρίζομαι ; 0.5561575889587402
0.11890413194753618	αὐλητής	σάλπιγξ	αὐλός	δέ	δέ	1	2	109	13	7670	Ἰφίνοος ; 0.5320537090301514	σαλπίζω ; 0.6237514019012451	ἐν,κατά-κλῄζω ; 0.5149117708206177	γάρ ; 0.7047268748283386
-0.20468270346757889	υἱός	νυμφών	συμπόσιον	σάρξ	υἱός	0	5574	7	12	362	τελεσφόρος ; 0.5306341648101807	μεταμάζιος ; 0.5787641406059265	ἐπινεύω ; 0.5527235269546509	διχθάδιος ; 0.5079596638679504
0.16529252766501068	καυχάομαι	καύχησις	καύχημα	ὕαλος	ὕαλος	1	76	21	35	3	ἐπισκηνόω ; 0.5507882237434387	δίδωμι ; 0.5770208239555359	πρόσχημα ; 0.5600100755691528	εὔπτερος ; 0.5654832124710083
-0.015865965661352677	ἀντιλαμβάνομαι	ὑπολαμβάνω	ἐπιλαμβάνομαι	ψίξ	ὑπολαμβάνω	0	3	56	19	2	ἐννεακαίδεκα ; 0.5155123472213745	τεθνήκω ; 0.5340728759765625	δωρίς ; 0.531548798084259	Ταύγετον ; 0.5264560580253601
0.20845602329311924	ἀτιμάζω	ὑβρίζω	ὕβρις	προχειροτονέω	προχειροτονέω	1	40	11	65	1	γείτων ; 0.6047337651252747	ἀνόητος ; 0.5787996053695679	ἀδικία ; 0.5097380876541138	φέβομαι ; 0.5544810891151428
-0.0185951700044773	καθίστημι	ἐκβάλλω	ἀναλαμβάνω	ὑπεραίρομαι	ἀναλαμβάνω	0	236	181	110	3	Πασιφίλα ; 0.5804057717323303	χαλκεύω ; 0.5128823518753052	κοινόπλους ; 0.6011451482772827	βλασφημέω ; 0.5295775532722473
0.08206870546985157	ἐπουράνιος	στρατιά	πονηρία	ἀδήλως	ἀδήλως	1	24	36	78	1	Μοσοαθ ; 0.5375857353210449	σαμβύκη ; 0.5392098426818848	κακός ; 0.4998355805873871	πυκτεύω ; 0.5997703671455383
0.027343204167764923	ἀφοράω	εὑρίσκω	διερωτάω	προσφωνέω	εὑρίσκω	0	6	785	1	11	ὑπερκέρασις ; 0.6306153535842896	ἀπαντάω ; 0.5911776423454285	τερεμίνθος ; 0.6339616179466248	Νέμεα ; 0.5462467670440674
-0.06312450720533513	ἦχος	σαλπίζω	αὐλός	πνεῦμα	σαλπίζω	0	23	81	13	760	Γαλγαλα ; 0.5390727519989014	σάλπιγξ ; 0.6237512826919556	ἐν,κατά-κλῄζω ; 0.5149117708206177	ἀραῖος ; 0.5842640399932861
0.24899673898323227	περισσεύω	προηγέομαι	ἥσσων	κάμπτω	κάμπτω	1	48	14	16	23	ἀγάπη ; 0.5458255410194397	ὑπηρετέω ; 0.6026376485824585	ἄσωτος ; 0.5648629665374756	ὑπόλυσις ; 0.6272826194763184
0.19349963454889968	ἐκβάλλω	βλασφημία	ὑβρίζω	ἐπιστολή	ἐπιστολή	1	181	25	11	85	χαλκεύω ; 0.5128823518753052	ὀλολυγή ; 0.5342347621917725	ἀνόητος ; 0.5787996053695679	προστένω ; 0.5765867233276367
0.02366081464221853	μετακαλέομαι	κλῆσις	συγκαλέω	βραδύς	κλῆσις	0	4	14	21	3	Βιθυνοί ; 0.5611611604690552	κνάπτω ; 0.5435411930084229	πρεσβύτερος ; 0.6480381488800049	αὐτοχόωνος ; 0.57465660572052
