Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.05237130397592099	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	ἀποτάσσομαι	0	436	6	108	6	κατασχίζω ; 0.382068395614624	ἐπίτονος ; 0.3986099362373352	Ῥεῖθρον ; 0.38514479994773865	ἐνστηρίζω ; 0.46157580614089966
-0.007307264694002558	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	ὠρύομαι	0	13	17	22	13	ὑπεξαναδύομαι ; 0.4423884153366089	Προκόννησος ; 0.4001595079898834	ἐκπολιτεύω ; 0.4719260334968567	ἀπαγορεύω ; 0.4391924738883972
-0.020596817662584366	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	ὑπακούω	1	84	16	3	82	οἴχομαι ; 0.42983290553092957	αὔγασμα ; 0.3904047906398773	κατάπλοος ; 0.4483529031276703	πεισμονή ; 0.36878013610839844
0.09406775496531566	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	πνεῦμα	1	1	6	42	760	γλεῦκος ; 0.6830683946609497	Δωρικός ; 0.38847899436950684	σποδέω ; 0.37943947315216064	ὀλιγοψύχος ; 0.41389936208724976
-0.026698340091509454	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	ἀπέρχομαι	0	6	413	346	1	ἰάλεμος ; 0.4379749894142151	Βεελφεγωρ ; 0.47656118869781494	εἰσέρχομαι ; 0.4284099340438843	ἐνσκίμπτω ; 0.3969001770019531
-0.12497023737378637	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	ἐπιβλέπω	0	566	118	69	19	γινώσκω ; 0.5583534240722656	ἀπονοσφίζω ; 0.3932803273200989	ἐκτοξεύω ; 0.4181753396987915	Θεαγενείδης ; 0.39010605216026306
0.08455184753291728	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	θώραξ	1	4	1	21	21	πεποίθησις ; 0.40480270981788635	ταμιεύομαι ; 0.4271816611289978	ματαιόομαι ; 0.40339791774749756	θειώδης ; 0.4608212113380432
0.007397048384706673	πολιτεία	δῆμος	ζηλωτής	πλούσιος	πλούσιος	1	10	224	13	84	ποικιλείμων ; 0.4405387341976166	φυλή ; 0.5197889804840088	συναυδάω ; 0.45965611934661865	ἐκπίτνω ; 0.4267234206199646
0.0874368000673637	ὕαλος	ὑάλινος	τρῆμα	ἐπί	τρῆμα	0	3	3	1	8191	φιλόκοσμος ; 0.44435325264930725	νητός ; 0.4061877131462097	τρύπημα ; 0.5651684999465942	ἐν ; 0.5002461671829224
0.10818651776741176	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	λιθόστρωτος	0	2	5	4	4	Ασωρων ; 0.4409237504005432	Σαμαρία ; 0.40008485317230225	μετακιάθω ; 0.39294129610061646	φρουρά ; 0.4183591306209564
0.053363700250985635	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	μάταιος	0	5	10	81	4	εὑρετής ; 0.4271353483200073	θωρακεῖον ; 0.4216148555278778	μάτην ; 0.37502825260162354	ὄροφος ; 0.4185563027858734
0.1120312088450213	ἑορτή	πάσχα	νεομηνία	λαός	λαός	1	149	29	7	2200	Ξενοφῶν ; 0.41712328791618347	Ἱεροσόλυμα ; 0.44703423976898193	Κάστωρ ; 0.39958590269088745	ἔθνος ; 0.40032047033309937
0.02774091915978999	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	ἐνταφιάζω	1	4789	85	1376	4	ἐκ ; 0.5733282566070557	ἀφαίρεμα ; 0.5309406518936157	ἀντιπαρασκευή ; 0.41456127166748047	ἐνταφιασμός ; 0.45489501953125
0.03134855314121715	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	ἀνένδεκτος	0	37	217	1	1710	ὄργανον ; 0.42827996611595154	Αβια ; 0.39002400636672974	ἀγήνωρ ; 0.42283082008361816	ἄχρι ; 0.4024597108364105
0.05885156546319448	πολεμέω	ἀγών	μάχη	στηρίζω	στηρίζω	1	234	22	37	68	παρατάσσω ; 0.4168776869773865	πλουσίως ; 0.41175389289855957	Δουλίχιον ; 0.3941612243652344	διακαταἔχω ; 0.42523622512817383
-0.01284808857784886	ὀψώνιον	ἀντί	εἰκῇ	ἀθετέω	ὀψώνιον	0	7	412	7	80	εὔκαιρος ; 0.4699801206588745	Αγγια ; 0.4279364347457886	ἔμπλην ; 0.3853703737258911	αὐτόπτης ; 0.42402368783950806
-0.011448027394291016	μαστιγόω	δίκη	βασανίζω	ἀναξίως	μαστιγόω	0	42	42	41	2	μετοικέω ; 0.4006108045578003	πτερνισμός ; 0.42608001828193665	Εὕα ; 0.4239961504936218	κατευθικτέω ; 0.4386492371559143
0.17001759496435365	αὐλητής	σάλπιγξ	αὐλός	δέ	δέ	1	2	109	13	7670	κατάκειμαι ; 0.4026310443878174	σαλπίζω ; 0.4455256760120392	φοῖνιξ ; 0.4049457311630249	γάρ ; 0.6248897314071655
-0.12681985326773365	υἱός	νυμφών	συμπόσιον	σάρξ	υἱός	0	5574	7	12	362	Ελισαβεθ ; 0.4631403088569641	πρόσειμι ; 0.3645855784416199	ἱππάζομαι ; 0.38869428634643555	ἰσάγγελος ; 0.37324997782707214
0.13599921886502114	καυχάομαι	καύχησις	καύχημα	ὕαλος	ὕαλος	1	76	21	35	3	ἀπόδειξις ; 0.42146822810173035	ἀφυλακτέω2 ; 0.38833850622177124	ἐπαινετός ; 0.37295278906822205	φιλόκοσμος ; 0.44435325264930725
-0.02506994081357866	ἀντιλαμβάνομαι	ὑπολαμβάνω	ἐπιλαμβάνομαι	ψίξ	ὑπολαμβάνω	0	3	56	19	2	Κλεοβουλίνη ; 0.39426547288894653	μηθέτερος ; 0.3927608132362366	Θεαγενείδης ; 0.39010605216026306	κραιπαλάω ; 0.41358494758605957
0.12224387232101647	ἀτιμάζω	ὑβρίζω	ὕβρις	προχειροτονέω	προχειροτονέω	1	40	11	65	1	ἀμισθί ; 0.4425908327102661	Σουταλαϊ ; 0.3966083526611328	ὀδυνάω ; 0.3949446678161621	ἀνάπλοος ; 0.3910665214061737
0.04236482936491953	καθίστημι	ἐκβάλλω	ἀναλαμβάνω	ὑπεραίρομαι	ὑπεραίρομαι	1	236	181	110	3	Χωνενιας ; 0.3859109878540039	ἐξέρχομαι ; 0.41603052616119385	κατά-ὑπερέχω ; 0.4193425476551056	Κυδίας ; 0.41176503896713257
0.04462277247984214	ἐπουράνιος	στρατιά	πονηρία	ἀδήλως	στρατιά	0	24	36	78	1	συνείδησις ; 0.42522960901260376	Σεβοχα ; 0.40368953347206116	κατωμαδόν ; 0.37246468663215637	πυκτεύω ; 0.5099846124649048
