Score	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.03580012652016823	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	436	6	108	6	ὀλισθαίνω ; 0.2821735143661499	μηρυκάομαι ; 0.3009639382362366	καθομολογέω ; 0.26749950647354126	καρπόβρωτός ; 0.28401610255241394
0.021790711270830765	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	13	17	22	13	λάκκος ; 0.28084349632263184	σύμφωνον ; 0.31026798486709595	λέγω1 ; 0.2898538112640381	γοητεία ; 0.27723240852355957
0.004344569629470468	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	84	16	3	82	ἀσεπτέω ; 0.2781379222869873	διδασκάλιον ; 0.29784125089645386	ἀνακαίω ; 0.3402785658836365	ἄξενος ; 0.30752232670783997
-0.04824945530008637	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	1	6	42	760	γλεῦκος ; 0.7448886632919312	αμαδαρωθ ; 0.30334383249282837	σαρκικός ; 0.2806814908981323	ὀλιγοψύχος ; 0.2838316559791565
-0.003183977109011582	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	6	413	346	1	αὐθέντης ; 0.34614327549934387	κατεναίρομαι ; 0.31131693720817566	Κίρρα ; 0.28486424684524536	προσψαύω ; 0.30721181631088257
-0.0036335170486300195	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	566	118	69	19	ἐνοικειόομαι ; 0.2949082851409912	τριώροφος ; 0.29340559244155884	Αωδας ; 0.2868807315826416	ἐκπεταννύω ; 0.32370108366012573
-0.020599031440745208	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	4	1	21	21	σύριγμα ; 0.2987408936023712	ταμιεύομαι ; 0.3046966791152954	παμμελής ; 0.2834324836730957	σύνοδος ; 0.3239002823829651
0.020348771645365693	πολιτεία	δῆμος	ζηλωτής	πλούσιος	10	224	13	84	Γολαθμαιν ; 0.30164358019828796	Γενναίος ; 0.3122928738594055	γενεσιουργός ; 0.34218209981918335	στράτευσις ; 0.28307271003723145
-0.07204527467295418	ὕαλος	ὑάλινος	τρῆμα	ἐπί	3	3	1	8198	ἐσώτατος ; 0.3759865164756775	ἄκρατος ; 0.3882686495780945	ῥαφίς ; 0.4798182249069214	ἀκρόκομος ; 0.3037390112876892
0.16639542313488706	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	2	5	4	4	προστάς ; 0.33594757318496704	σκώπτω ; 0.3175666928291321	περίπτερος ; 0.2965342402458191	Ἰόππη ; 0.33231353759765625
-0.0016179215109982659	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	5	10	81	4	Τωβ ; 0.31640172004699707	Ομφάλη ; 0.30181246995925903	κλαγγαίνω ; 0.32317912578582764	Μελχισέδεκ ; 0.30732035636901855
0.029015048714798763	ἑορτή	πάσχα	νεομηνία	λαός	149	29	7	2200	ἀπονίναμαι ; 0.27130126953125	ᾁδοβάτης ; 0.2913241982460022	Βακωκ ; 0.3302099108695984	εἰσαγείρω ; 0.2789727449417114
0.025394204112786894	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	4791	85	1376	4	ἐκ ; 0.32376009225845337	ἀφαίρεμα ; 0.3436189293861389	ἴχνιον ; 0.2694483697414398	ἐλεφαντάρχης ; 0.3244227170944214
0.007434213863667161	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	37	217	1	1710	Ὁράτιος ; 0.3251190781593323	ἑταιρίζω ; 0.2788959741592407	καταλιθάζω ; 0.3529464602470398	Πιτύας ; 0.30162888765335083
0.03946701728072066	πολεμέω	ἀγών	μάχη	στηρίζω	234	22	37	68	παρατάσσω ; 0.4239768981933594	ἔκθεσις ; 0.31982487440109253	εἰσβαίνω ; 0.2948918044567108	Δουλιχιόν ; 0.3022903800010681
0.01100462490566767	ὀψώνιον	ἀντί	εἰκῇ	ἀθετέω	7	412	7	80	ἐκπειράζω ; 0.2770252525806427	κατεργάζομαι ; 0.29577964544296265	δολιχόδειρος ; 0.2973670959472656	ἀνδρακάς ; 0.2855829894542694
0.08412747658142117	μαστιγόω	δίκη	βασανίζω	ἀναξίως	42	42	41	2	κατά-ἐνίζω ; 0.2933177351951599	πλουσίως ; 0.2651163935661316	Χασελευ ; 0.24898895621299744	κατευθικτέω ; 0.38232743740081787
0.029881308708546273	αὐλητής	σάλπιγξ	αὐλός	δέ	2	109	13	7672	παχύνομαι ; 0.2903382182121277	Λευείτης ; 0.2849394381046295	βία ; 0.2986238896846771	γάρ ; 0.35686826705932617
-0.11611439984050725	υἱός	νυμφών	συμπόσιον	σάρξ	5575	7	12	362	Μωσά ; 0.40748628973960876	παμφανόων ; 0.3501325249671936	ᾠδός ; 0.3361572325229645	πάρειμι1 ; 0.2655757665634155
0.1606745659671454	καυχάομαι	καύχησις	καύχημα	ὕαλος	77	21	35	3	στέλλομαι ; 0.2984335422515869	ἐνεργέω ; 0.30227285623550415	προσφορέω ; 0.2754802703857422	ἐσώτατος ; 0.3759865164756775
0.022367098470847363	ἀντιλαμβάνομαι	ὑπολαμβάνω	ἐπιλαμβάνομαι	ψίξ	3	56	19	2	περίστασις ; 0.2999752163887024	δυσθεράπευτος ; 0.2785082757472992	ἐκπεταννύω ; 0.32370108366012573	Ανασσα ; 0.3372929096221924
0.04817028587622513	ἀτιμάζω	ὑβρίζω	ὕβρις	προχειροτονέω	40	11	65	1	ἐπάρκεια ; 0.2829433083534241	Μοσολαμωθ ; 0.32147860527038574	εἰσπλέω ; 0.2907978892326355	Αἰσχυλίδης ; 0.36544349789619446
0.034577765072463656	καθίστημι	ἐκβάλλω	ἀναλαμβάνω	ὑπεραίρομαι	236	181	110	3	ἐπιδιαιρέω ; 0.31218141317367554	ἐνδογενής ; 0.30544835329055786	ἑρπύλλινος ; 0.30255645513534546	ἄνοιξις ; 0.2944154739379883
0.07958098326090657	ἐπουράνιος	στρατιά	πονηρία	ἀδήλως	24	36	78	1	ἐρώ ; 0.30042922496795654	Αμορις ; 0.27308690547943115	ψογίζω ; 0.2649427354335785	πυκτεύω ; 0.46402448415756226
-0.03487266091174607	ἀφοράω	εὑρίσκω	διερωτάω	προσφωνέω	6	786	1	11	Λιμήν ; 0.3320067524909973	κάτειμι ; 0.25842463970184326	νωθροκάρδιος ; 0.3400871753692627	ζώνη ; 0.30959761142730713
0.0036697502826090467	ἦχος	σαλπίζω	αὐλός	πνεῦμα	23	81	13	760	ἀκουστός ; 0.30898821353912354	μήν ; 0.3365415036678314	βία ; 0.2986238896846771	ὀλιγοψύχος ; 0.2838316559791565
-0.011889100546403242	περισσεύω	προηγέομαι	ἥσσων	κάμπτω	48	14	16	23	Γαλεμεθ ; 0.2764042615890503	ἀξιοθέατος ; 0.30561965703964233	ἐμμένω ; 0.31288832426071167	ὅλοξ ; 0.2662767171859741
-0.00798454895784495	ἐκβάλλω	βλασφημία	ὑβρίζω	ἐπιστολή	181	25	11	86	ἐνδογενής ; 0.30544835329055786	Εφρων ; 0.2620125710964203	Μοσολαμωθ ; 0.32147860527038574	ἱππόδρομος ; 0.29036879539489746
-0.010810915064451088	μετακαλέομαι	κλῆσις	συγκαλέω	βραδύς	4	14	21	3	συνδάκνω ; 0.30683088302612305	κυβερνήτης ; 0.381466269493103	κρόκος ; 0.27269071340560913	Μύνδος ; 0.3231714367866516
-0.0621713259778352	ἀγρυπνέω	βλέπω	σκοπέω	πονηρός	15	266	7	460	Ἰσιδώρα ; 0.27923983335494995	ἀτενίζω ; 0.30354753136634827	συνοδυνάομαι ; 0.2930232286453247	νωτοφόρος ; 0.30976107716560364
0.04308405028416201	ἐπουράνιος	ὕψιστος	οὐρανός	πανήγυρις	24	151	955	5	ἐρώ ; 0.30042922496795654	Αβενεζερ ; 0.30007341504096985	παράθεμα ; 0.26765915751457214	ἀπαύγασμα ; 0.2675650417804718
0.08132213056966398	οὗ	ὅς	ἐν	συναθροίζω	137	6352	17049	35	παραδοκέω ; 0.2991415560245514	καί ; 0.3178671598434448	εἰς ; 0.3423231840133667	ὀρυμαγδός ; 0.3232995569705963
-0.041216837489430974	μέλος	στόμαχος	πτέρνα	γαμέω	61	1	9	33	ἐκτενία ; 0.31635814905166626	ὑδροποτέω ; 0.5142366886138916	ἐκμολεῖν ; 0.25341129302978516	εἷς ; 0.3097744584083557
0.051517269599879484	μάρτυς	καταμαρτυρέω	ἐπιμαρτυρέω	χρή	93	11	8	2	διαρρήδην ; 0.27108311653137207	δωροκοπέω ; 0.29493167996406555	καθυμνέω ; 0.29035189747810364	ἀγέννητος ; 0.31668686866760254
0.008919196357317694	ἐπαύριον	προσάββατον	ἔχω	ὅσιος	42	3	1209	86	ἑξακοσιοστός ; 0.33333301544189453	Σετιρωθα ; 0.332660436630249	τιθήνημα ; 0.32344478368759155	λοιπός ; 0.3212072253227234
0.0790387142117717	ἀγαπητός	ζῆλος	ἀγάπη	εἰμί	86	55	135	9289	Σιλουανός ; 0.3283763527870178	ἐπιχειρέω ; 0.26469504833221436	μῦθος ; 0.26988285779953003	πολιορκητής ; 0.28985825181007385
-0.062448582734768526	νιπτήρ	κατασκηνόω	θησαυρός	ἀνακαινίζω	1	66	110	6	λέντιον ; 0.4922783076763153	ἀτάρ ; 0.2785663604736328	Δωθαϊμ ; 0.29112064838409424	ἐκπαγλέομαι ; 0.33560726046562195
-0.011188002316516732	ἀρχιποίμην	ἁλιεύω	σιτιστός	προσκολλάομαι	1	2	1	2	ἀμαράντινος ; 0.9378657341003418	μύλν ; 0.3693374991416931	ἐκπικραίνω ; 0.33438384532928467	ἐξομματόω ; 0.34519338607788086
0.058603376964022486	ἀμάω	ποτίζω	δρέπανον	γίνομαι	6	82	20	667	ἱερόθυτος ; 0.3348172903060913	παχύς ; 0.2963745594024658	ἀπόπειρα ; 0.31002718210220337	ἐναλείφω ; 0.3524021506309509
0.04970645151210054	ἄστρον	ἀστήρ	ἐπουράνιος	πατέω	45	46	24	24	πετεινόν ; 0.31152233481407166	ἄγγελος ; 0.27962011098861694	ἐρώ ; 0.30042922496795654	Μανοχω ; 0.2693924903869629
0.03462698943751058	ἑδραῖος	βέβαιος	πιστός	συμμέτοχος	3	13	141	2	ἐπικουρία ; 0.335950642824173	θιγγάνω ; 0.29281115531921387	εὐόρκωμα ; 0.3116418719291687	κολακεία ; 0.32271608710289
-0.051544735380386814	κολλάομαι	ἐπισωρεύω	αὐξάνω	δήποτε	12	1	61	0	Ἀμπρακιώτης ; 0.33358073234558105	κνήθομαι ; 0.9002496004104614	Λιγυστῖνος ; 0.26398006081581116	εἰναι ; 0.2980375289916992
0.07206120130768442	εἰς	ἕως	κάτω	μεθύσκομαι	9224	1710	34	3	ἐν ; 0.3423231840133667	Πιτύας ; 0.30162888765335083	κρεμάζω ; 0.3001478314399719	ἡττάομαι ; 0.32233887910842896
0.013315825021608885	μάλιστα	πολύς	ἰσχυρός	ῥαββί	18	1339	189	15	χωνεύω ; 0.28695619106292725	Ἀσσύρια ; 0.273024320602417	Μερόπη ; 0.2671847939491272	κατηγορέω ; 0.2894481122493744
0.02877818717638253	ἀνίστημι	γενετή	κοιλία	κατάρτισις	649	3	130	1	προεδρία ; 0.26716768741607666	ἐπανατείνω ; 0.3032835125923157	ἐντυγχάνω ; 0.2941867411136627	προσηκω ; 0.3292105793952942
-0.09347220164879616	κλείς	ὕαλος	ἔσοπτρον	διαστέλλομαι	11	3	4	8	ψωραγριάω ; 0.33378222584724426	ἐσώτατος ; 0.3759865164756775	ἐξέδρα ; 0.30108070373535156	φοβέομαι ; 0.28427261114120483
0.08703620288865233	πενθέω	θρηνέω	γέλως	βλασφημέω	75	32	21	43	δυσπαραίτητος ; 0.28479552268981934	διαπνέω ; 0.27290594577789307	καλλιπυγοτέρα ; 0.299089640378952	πιστεύω ; 0.26700031757354736
0.21932602102788157	ἐλαιών	ἀγριέλαιος	καλλιέλαιος	ἀναγκαστῶς	10	2	1	1	ἐναποθνήσκω ; 0.2676810026168823	καλλιέλαιος ; 0.3698320984840393	ἀγριέλαιος ; 0.3698320984840393	αἰσχροκερδῶς ; 0.6869233846664429
0.030377143363111758	ἐπιτιμάω	διαταγή	ἐπιτάσσω	σπόρος	40	3	49	17	Βαανά ; 0.3073906898498535	ἀκαταμάχητος ; 0.29726913571357727	ἐκλέγομαι ; 0.28462672233581543	ἀνεπιστρέπτως ; 0.31789058446884155
0.09745717610763344	καταβολή	κτίστης	κτίσις	ἀπό	12	9	35	4791	μόλις ; 0.3165273666381836	μακροθύμως ; 0.3287756145000458	Δωδωναῖος ; 0.32533758878707886	ἐκ ; 0.32376009225845337
0.05997113215507943	κατάσχεσις	λαμβάνω	περιποιέομαι	στιγμή	70	1594	3	3	ἀίω1 ; 0.2866346836090088	ἐγκαλλωπίζομαι ; 0.29776132106781006	ἀκέστρια ; 0.30833449959754944	Κτησίας ; 0.27379024028778076
0.05809860130873426	ἀκαθαρσία	καθαρός	ῥυπαρός	θραύω	73	186	4	25	φορτηγός ; 0.28027182817459106	Καριαθαρβοκσεφερ ; 0.27838581800460815	ἐντινάσσω ; 0.2907315492630005	Νῆσος ; 0.28394579887390137
-0.010010417107316871	γάλα	εἰδωλόθυτον	σεμίδαλις	χλαμύς	54	9	67	3	Ἄρατθος ; 0.30335456132888794	Μεσσααμ ; 0.2789008617401123	ὀφείλημα ; 0.2830505669116974	ἀδιάπαυστος ; 0.32874158024787903
-0.0028520318461578986	ἀποδέχομαι	ἀνέχομαι	βαστάζω	παραιτέομαι	15	14	33	12	κατακλείω ; 0.28831127285957336	δράξ ; 0.3130207061767578	Ὀχήσιος ; 0.2859901189804077	αἶθοψ ; 0.3056837320327759
0.07665873248465738	θόρυβος	μυκάομαι	φωνέω	φρεναπατάω	17	1	68	1	σύμφωνον ; 0.31026798486709595	ἀχανής ; 0.4481875002384186	Κισων ; 0.267952561378479	διανεμητικός ; 0.43287569284439087
0.0719340278624753	χείμαρρος	βυθός	θάλασσα	καταπονέω	2	8	539	4	Κεδρών ; 0.44195106625556946	θααλα ; 0.3071208596229553	ἰάομαι ; 0.2700151801109314	λάρτιος ; 0.2876462936401367
