Score	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.050631260787564525	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	436	6	108	6	ἐπιζητέω ; 0.5832996964454651	Κίος ; 0.5869309306144714	αἰτέω ; 0.6112073659896851	ασαρημωθ ; 0.5265213251113892
0.13018115523984702	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	13	17	22	13	στιβαρῶς ; 0.5112181305885315	προκατασκιρρόομαι ; 0.5160769820213318	κραυγή ; 0.5621949434280396	ἀνήκω ; 0.5676555037498474
-0.0749381078788528	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	84	16	3	82	ἀφαιρέω ; 0.5177261233329773	εὐθύς ; 0.542587399482727	ἐμπηδάω ; 0.5619258880615234	ἐρωτομανής ; 0.5301041007041931
0.007866058303235945	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	1	6	42	760	γλεῦκος ; 0.6337448358535767	Ἰσέας ; 0.5760061740875244	πνευματοφορέω ; 0.5292381644248962	πηδάλιον ; 0.5604628920555115
-0.0032451473847966983	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	6	413	346	1	δειλιαίνω ; 0.528968870639801	ἀγχίμολος ; 0.5563673973083496	εἰσέρχομαι ; 0.6033246517181396	ὑπηρέτης ; 0.5437257289886475
-0.06324743891285389	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	566	118	69	19	γινώσκω ; 0.6805633902549744	παρακαλύπτω ; 0.530119776725769	προσφιλής ; 0.5282546877861023	καλύπτρα ; 0.5533372759819031
-0.01528433471393531	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	4	1	21	21	πεποίθησις ; 0.5468738675117493	τριθημέρη ; 0.5793114900588989	ἀντίπλοια ; 0.5569713711738586	ἀποφράγνυμι ; 0.566020131111145
0.16395832069145516	πολιτεία	δῆμος	ζηλωτής	πλούσιος	10	224	13	84	χαλιφρονέω ; 0.5695568323135376	Ομουσι ; 0.609537661075592	συναυδάω ; 0.5719670057296753	διεργάζομαι ; 0.5859358906745911
0.116637779985786	ὕαλος	ὑάλινος	τρῆμα	ἐπί	3	3	1	8198	ἴασπις ; 0.6149399280548096	πρώτιστος ; 0.5472647547721863	ῥαφίς ; 0.6531440615653992	εἰς ; 0.6685304641723633
0.12036773751578184	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	2	5	4	4	κοινόω ; 0.6296145915985107	ποτάμιον ; 0.5080186128616333	ἐνδακρύω ; 0.5506261587142944	καταπλήσσω ; 0.6017178893089294
0.01018010621916915	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	5	10	81	4	λεπτόδομος ; 0.5432049036026001	ἀποπτύω ; 0.5903503894805908	ἐπιβολεύς ; 0.5311825275421143	θεοδίδακτος ; 0.5897689461708069
0.18307749890328137	ἑορτή	πάσχα	νεομηνία	λαός	149	29	7	2200	ἐπισκευάζομαι ; 0.5265705585479736	Ιεροσολύμος ; 0.6200688481330872	εὐρυσθενής ; 0.5862047076225281	Ἀρηίθοος ; 0.5356472730636597
-0.09012608495785607	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	4791	85	1376	4	ἐκ ; 0.7314780950546265	ἀφαίρεμα ; 0.596808135509491	δώδεκα ; 0.585046648979187	Γαριζει ; 0.5566450953483582
0.0670953512147881	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	37	217	1	1710	σοί ; 0.5578330755233765	Ιεδιηλ ; 0.5381696820259094	μεθυστικός ; 0.6407877206802368	ἄχρι ; 0.6585042476654053
0.0765161843802824	πολεμέω	ἀγών	μάχη	στηρίζω	234	22	37	68	παρατάσσω ; 0.6321805715560913	χαλάω ; 0.5676714181900024	τρικυμία ; 0.5703431367874146	φύζω ; 0.5639697313308716
-0.045139081015829585	ὀψώνιον	ἀντί	εἰκῇ	ἀθετέω	7	412	7	80	πανυπέρτατος ; 0.5561261773109436	ζημία ; 0.5348678827285767	Μεσσηνιακός ; 0.542823076248169	ἀνάστατος ; 0.5114484429359436
0.01833051511902195	μαστιγόω	δίκη	βασανίζω	ἀναξίως	42	42	41	2	ἀπρόφατος ; 0.5455076694488525	φορά ; 0.5853738784790039	ἀλέκτωρ ; 0.5498734712600708	λιθοβολέω ; 0.5942859649658203
0.1650696961803914	αὐλητής	σάλπιγξ	αὐλός	δέ	2	109	13	7672	μαίνομαι ; 0.5595329999923706	σαλπίζω ; 0.5722169876098633	Ιουβαλ ; 0.5155311226844788	γάρ ; 0.7037175297737122
-0.1299876028056814	υἱός	νυμφών	συμπόσιον	σάρξ	5575	7	12	362	τελεσφόρος ; 0.5078199505805969	Περίβοια ; 0.5883138179779053	τρυφή ; 0.5648419857025146	̓́Εφιππος ; 0.5069701671600342
0.0746567932706137	καυχάομαι	καύχησις	καύχημα	ὕαλος	77	21	35	3	χραισμέω ; 0.5513203740119934	οἰκονομία ; 0.5337508320808411	δυσάλωτος ; 0.5243793725967407	ἴασπις ; 0.6149399280548096
0.11700893119184824	ἀντιλαμβάνομαι	ὑπολαμβάνω	ἐπιλαμβάνομαι	ψίξ	3	56	19	2	σπουδή ; 0.5331814289093018	παραδειγματίζω ; 0.5163165330886841	καλύπτρα ; 0.5533372759819031	Μακάρευς ; 0.5454621911048889
0.2903091493593736	ἀτιμάζω	ὑβρίζω	ὕβρις	προχειροτονέω	40	11	65	1	ψηλαφάω ; 0.5138527750968933	Ναννώ ; 0.5595899224281311	στυγητός ; 0.5180540084838867	φέβομαι ; 0.6086140275001526
-0.08758902193087764	καθίστημι	ἐκβάλλω	ἀναλαμβάνω	ὑπεραίρομαι	236	181	110	3	ἄγω ; 0.5686513781547546	σκανδαλίζω ; 0.5330567359924316	κοινόπλους ; 0.6080425381660461	βλασφημέω ; 0.5397787094116211
0.05723733647789825	ἐπουράνιος	στρατιά	πονηρία	ἀδήλως	24	36	78	1	νικηφόρος ; 0.5575376749038696	ἑλώριον ; 0.5449838638305664	ἀποπηδάω ; 0.5806147456169128	σαθρός ; 0.6079374551773071
0.026318851661129017	ἀφοράω	εὑρίσκω	διερωτάω	προσφωνέω	6	786	1	11	ἔνδειξις ; 0.5846945643424988	παροξύνομαι ; 0.5760414004325867	συμφυλέτης ; 0.5450705885887146	Ζαριος ; 0.5490550994873047
0.025546011813234237	ἦχος	σαλπίζω	αὐλός	πνεῦμα	23	81	13	760	παλαίω ; 0.5773528218269348	σάλπιγξ ; 0.5722169876098633	Ιουβαλ ; 0.5155311226844788	πηδάλιον ; 0.5604628920555115
