Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.09284374562490313	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	ἅρπαξ	1	436	6	108	6	ὁράω ; 0.392031729221344	παγκοίτης ; 0.37628084421157837	ὑπερφιλέω ; 0.4011296033859253	ἀντίθυρος ; 0.3906809389591217
0.0715925866766664	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	ἐπιταγή	1	13	17	22	13	σκύμνος ; 0.3980567455291748	ἀκάτιον ; 0.4213096499443054	ἀγεληδόν ; 0.4368678331375122	ἐπεκτείνομαι ; 0.3824889659881592
-0.0366378918209313	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	ἐκπλέω	0	84	16	3	82	ἀσεπτέω ; 0.44473034143447876	ἐπιέννυμι ; 0.4079415798187256	ὁμονοέω ; 0.3807187080383301	Κανδαύλης ; 0.4049830436706543
-0.008912711366265424	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	πνεῦμα	1	1	6	42	760	γλεῦκος ; 0.7528865337371826	μαινίς ; 0.40201330184936523	φιλόστοργος ; 0.41500964760780334	ιρ ; 0.44393622875213623
-0.023616157592672327	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	ἀπέρχομαι	0	6	413	346	1	ζυμή ; 0.3937464952468872	εἄν ; 0.40307509899139404	Χαβερ ; 0.39945489168167114	Δάος ; 0.4421767592430115
-0.03791279776264178	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	ἐπιβλέπω	0	566	118	69	19	γιγνώσκω ; 0.5074785947799683	ἐπάγω ; 0.42747288942337036	παιδεύω ; 0.4198829233646393	διαδέω ; 0.41860079765319824
-0.052884252534819265	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	ἀποκάλυψις	0	4	1	21	21	κατακύπτω ; 0.42947864532470703	προστήκομαι ; 0.46215760707855225	Σίκιμα ; 0.4006868004798889	κατά-ξυράω ; 0.4447459876537323
-0.011800601633106644	πολιτεία	δῆμος	ζηλωτής	πλούσιος	πλούσιος	1	10	224	13	84	ὁμόπολις ; 0.39780306816101074	Γαβαωθιαριμ ; 0.40664780139923096	γναθμός ; 0.37661364674568176	Ἀντίδοτος ; 0.39177632331848145
0.065059778100794	ὕαλος	ὑάλινος	τρῆμα	ἐπί	τρῆμα	0	3	3	1	8198	Θεκωίτης ; 0.36893361806869507	χολάς ; 0.39797767996788025	ῥαφίς ; 0.5556625723838806	εἰς ; 0.4720952808856964
0.19209300031516052	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	ἀγωνία	1	2	5	4	4	προστάς ; 0.4204694628715515	Δωρ ; 0.4866436719894409	πάνδημον ; 0.4240880012512207	ὑπαίσσω ; 0.40807676315307617
-0.029122174200384376	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	μάταιος	0	5	10	81	4	βᾶρις ; 0.44992196559906006	ἄσωτος ; 0.4090421795845032	πειρά ; 0.4095425009727478	πρωτοκλίσιον ; 0.4173120856285095
0.10589814082446752	ἑορτή	πάσχα	νεομηνία	λαός	λαός	1	149	29	7	2200	στήμων ; 0.3953031003475189	καταδημαγωγέω ; 0.3817366361618042	Ιεσβακασα ; 0.40048956871032715	ὄρος ; 0.41954684257507324
-0.02121226358789874	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	ἀπό	0	4791	85	1376	4	ἐκ ; 0.5399132966995239	ἀφαίρεμα ; 0.4798886179924011	προσμάσσω ; 0.36326539516448975	ἐλεφαντάρχης ; 0.4608677327632904
-0.0016333545308717667	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	ἕως	1	37	217	1	1710	ἐπαλής ; 0.4698265492916107	συμμετίσχω ; 0.3838323950767517	νῖσος ; 0.40629351139068604	ἡνίκα ; 0.3960901200771332
