Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.01664534243716842	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	ἀποτάσσομαι	0	436	6	108	6	καθίγω ; 0.2971305847167969	βαστάζω ; 0.3159230351448059	Μιλύαι ; 0.316815584897995	Ναννιον ; 0.30073559284210205
-0.0348299861401723	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	ὠρύομαι	0	13	17	22	13	καθίπταμαι ; 0.2965978980064392	ἀνδρολέτειρα ; 0.28536510467529297	πεδεινός ; 0.34449315071105957	ὁρισμός ; 0.26862770318984985
0.042123281835114795	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	ὑπακούω	1	84	16	3	82	ταράσσω ; 0.28815314173698425	Ἀρίστεας ; 0.3374360203742981	τριετίζω ; 0.30933713912963867	Ζηλωτής ; 0.3200499415397644
0.0032464899870275343	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	πνεῦμα	1	1	6	42	760	γλεῦκος ; 0.6835609078407288	ἀξίνη ; 0.3221239745616913	Ναβαδ ; 0.29252827167510986	ξενοδοχέω ; 0.32786139845848083
0.07605848992473907	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	ἀπέρχομαι	0	6	413	346	1	Σεσθηλ ; 0.31373131275177	Ἐπίλυκος ; 0.29018810391426086	ἀκαταστατέω ; 0.3010433316230774	ἀναιτίως ; 0.3604828119277954
-0.018491602061213613	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	ἐπιβλέπω	0	566	118	69	19	γινώσκω ; 0.3071422576904297	Αραμα ; 0.25542542338371277	Κάδμος ; 0.31046614050865173	ὑποτύπωσις ; 0.3159446716308594
-0.006851370756373765	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	θώραξ	1	4	1	21	21	τανύπους ; 0.31606000661849976	ὀλίγως ; 0.3975667655467987	κοινωνία ; 0.2967240810394287	φῦκος ; 0.2918306887149811
0.02043775610971907	πολιτεία	δῆμος	ζηλωτής	πλούσιος	πλούσιος	1	10	224	13	84	Γεβαλ ; 0.31227242946624756	πειράω ; 0.3290247917175293	ἀσωτία ; 0.2971562147140503	κατοικοφθορέω ; 0.29264986515045166
-0.01391867829591198	ὕαλος	ὑάλινος	τρῆμα	ἐπί	ἐπί	1	3	3	1	8198	ἴασπις ; 0.5001581907272339	ῥηγμίν ; 0.33878594636917114	τρύπημα ; 0.4774433374404907	ἐν ; 0.3559492826461792
0.09231992143048928	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	ἀγωνία	1	2	5	4	4	προστάς ; 0.38677510619163513	λεωπετρία ; 0.3402831554412842	ἀποθέται ; 0.35055363178253174	ἄνοικτος ; 0.35336971282958984
