Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.016508903069822223	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	ἀποτάσσομαι	0	436	6	108	6	μισέω ; 0.5650981664657593	πάνθυτος ; 0.40331220626831055	Σικιμα ; 0.3980942368507385	ἀμφιδρυφής ; 0.41316482424736023
-0.07366266971378599	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	ὠρύομαι	0	13	17	22	13	ἀντίδικος ; 0.35886168479919434	πιστόομαι ; 0.46295905113220215	Αβωρ ; 0.4302903711795807	νουθέτημα ; 0.4262555241584778
-0.09789089749539298	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	ἐκπλέω	0	84	16	3	82	ἀσεπτέω ; 0.4709704518318176	περιαιρέω ; 0.42089980840682983	Ἐπικράτης ; 0.477080762386322	καθάπαξ ; 0.40668219327926636
0.047166067602256556	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	πνεῦμα	1	1	6	42	760	γλεῦκος ; 0.795570969581604	πυγμή ; 0.37077686190605164	νιφάς ; 0.4179190993309021	φθορά ; 0.38914209604263306
-0.0734997205353548	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	ἀπέρχομαι	0	6	413	346	1	κομψός ; 0.4306449890136719	δοιή ; 0.3706226944923401	εἰσάγω ; 0.44527101516723633	Δάος ; 0.41726821660995483
-0.06942648338284871	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	ἐπιβλέπω	0	566	118	69	19	εὐθύνω ; 0.3990512192249298	μέση ; 0.4011218547821045	ὑπερασπίζω ; 0.3926053047180176	πρεσβύτατος ; 0.40204426646232605
-0.008482536964592169	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	τεκμήριον	0	4	1	21	21	εὐαρεστέω ; 0.37999528646469116	ἔκπληξις ; 0.4096575081348419	κύπειρον ; 0.4452171325683594	ἔνδυμα ; 0.4117104411125183
0.08775368206699352	πολιτεία	δῆμος	ζηλωτής	πλούσιος	πλούσιος	1	10	224	13	84	δῆλος ; 0.4196575880050659	βααλταμ ; 0.4356643557548523	Ἀλκυόνη ; 0.4093688428401947	ἐμποιέω ; 0.4162130355834961
0.04416232865321362	ὕαλος	ὑάλινος	τρῆμα	ἐπί	τρῆμα	0	3	3	1	8198	περικοσμέω ; 0.4029737114906311	τύρβη ; 0.3880869448184967	πῶμα1 ; 0.47571510076522827	ὀλιγηπελέων ; 0.40815067291259766
0.08339017100976245	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	ἀγωνία	1	2	5	4	4	πανεπίσκοπος ; 0.3980337381362915	φυλακτήριον ; 0.4280969500541687	πάνδημον ; 0.4540252685546875	χαλκοβαρής ; 0.39243313670158386
0.004079487476388144	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	εὔχρηστος	0	5	10	81	4	Ὀκτάουιος ; 0.40472957491874695	λέγω3 ; 0.4117310643196106	κενός ; 0.5175367593765259	πρόγονος ; 0.41289642453193665
0.01574313378230041	ἑορτή	πάσχα	νεομηνία	λαός	λαός	1	149	29	7	2200	Πλαταιαί ; 0.4386637210845947	ἀνάγαιον ; 0.400066077709198	ἀνοήμων ; 0.4344254732131958	παραφυάς ; 0.38228458166122437
-0.003157771521518138	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	ἀπό	0	4791	85	1376	4	παρά ; 0.43281930685043335	ἀφαίρεμα ; 0.5339652299880981	ἐκτόπιος ; 0.4238697290420532	ἐνταφιασμός ; 0.44009581208229065
-0.011507893045403395	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	ἀνένδεκτος	0	37	217	1	1710	ἀνακηκίω ; 0.3995341360569	προπομπή ; 0.40240776538848877	λυσιτελεῖ ; 0.4008672833442688	ταύτῃ ; 0.4001730680465698
0.119046454858901	πολεμέω	ἀγών	μάχη	στηρίζω	στηρίζω	1	234	22	37	68	συγκαταμίγνυμι ; 0.395966112613678	καλοκἀγαθία ; 0.4362538456916809	αὐξάνω ; 0.42646005749702454	ἐπικλείω ; 0.41169852018356323
-0.08996538371035923	ὀψώνιον	ἀντί	εἰκῇ	ἀθετέω	ἀντί	0	7	412	7	80	δοκἐω ; 0.44054025411605835	πᾶν ; 0.4092925190925598	προλαμβάνω ; 0.4166303277015686	Ἀριστοκλῆς ; 0.40434956550598145
0.19852778316290895	μαστιγόω	δίκη	βασανίζω	ἀναξίως	ἀναξίως	1	42	42	41	2	ταπεινόω ; 0.3412521779537201	προσχρῄζω ; 0.42352646589279175	φύλαγμα ; 0.4294731020927429	κατευθικτέω ; 0.5335066318511963
0.013989821147620318	αὐλητής	σάλπιγξ	αὐλός	δέ	σάλπιγξ	0	2	109	13	7672	λαμπρός ; 0.4037628471851349	μάχιμος ; 0.42786580324172974	αὐλός ; 0.6342496871948242	ἀντιτιμωρέομαι ; 0.3879929780960083
-0.057010320230241884	υἱός	νυμφών	συμπόσιον	σάρξ	νυμφών	0	5575	7	12	362	ἀφεδρών ; 0.37748080492019653	ἀντίδουλος ; 0.40723717212677	παίζω ; 0.3967922627925873	δέρμα ; 0.4837210178375244
0.11148326000082903	καυχάομαι	καύχησις	καύχημα	ὕαλος	ὕαλος	1	77	21	35	3	πειθός ; 0.3823067843914032	ἀρείφατος ; 0.3897079527378082	δεκατεύω ; 0.3599306643009186	περικοσμέω ; 0.4029737114906311
-0.014501229105218394	ἀντιλαμβάνομαι	ὑπολαμβάνω	ἐπιλαμβάνομαι	ψίξ	ὑπολαμβάνω	0	3	56	19	2	λυρικός ; 0.4116748869419098	ἀνταγωνιστής ; 0.36796969175338745	πρεσβύτατος ; 0.40204426646232605	ἀγέννητος ; 0.42214474081993103
-0.0077525513850039696	ἀτιμάζω	ὑβρίζω	ὕβρις	προχειροτονέω	ὑβρίζω	0	40	11	65	1	ὠκύμορος ; 0.3999914526939392	φιλοτιμέομαι ; 0.40823620557785034	πενία ; 0.3984397351741791	κατατήκω ; 0.35831260681152344
0.07605165101922412	καθίστημι	ἐκβάλλω	ἀναλαμβάνω	ὑπεραίρομαι	ὑπεραίρομαι	1	236	181	110	3	ἐπιδιαιρέω ; 0.3975624144077301	προσέχω ; 0.3967263996601105	τρισμύριοι ; 0.39653170108795166	ἑκηβόλος ; 0.396084189414978
-0.043618107934243144	ἐπουράνιος	στρατιά	πονηρία	ἀδήλως	ἐπουράνιος	0	24	36	78	1	χιονόομαι ; 0.43400293588638306	δείπνηστος ; 0.3880126476287842	κακία ; 0.37200039625167847	ἐπιπόθητος ; 0.4393709897994995
0.007599429820650927	ἀφοράω	εὑρίσκω	διερωτάω	προσφωνέω	προσφωνέω	1	6	786	1	11	ὑψίπους ; 0.4309062659740448	ἀποκρεμάω ; 0.38135087490081787	προοἶδα ; 0.4040892720222473	ἐλελίχθων ; 0.37053051590919495
0.06581412492073296	ἦχος	σαλπίζω	αὐλός	πνεῦμα	πνεῦμα	1	23	81	13	760	πάμφυλος ; 0.4230762720108032	Θωκαιεύς ; 0.378124862909317	αὐλός ; 0.6342496871948242	φθορά ; 0.38914209604263306
