Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.013956835119492639	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	ἀποτάσσομαι	0	436	6	108	6	μισέω ; 0.33074045181274414	προσορέω ; 0.288675457239151	ἐπαυξάνω ; 0.285183310508728	προσοχυρόω ; 0.27281057834625244
-0.02400747764367378	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	θόρυβος	0	13	17	22	13	πρόβατον ; 0.31883004307746887	ἐπαγανακτέω ; 0.29533886909484863	κει~νος ; 0.31186071038246155	πυργώδης ; 0.30435311794281006
-0.01347790172924987	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	εὐθύνω	0	84	16	3	82	Μυρίνη ; 0.27932918071746826	ἐδαφίζω ; 0.3005240261554718	καταμύσσω ; 0.2727816700935364	πορνογράφος ; 0.302395224571228
0.056716222632429536	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	πνεῦμα	1	1	6	42	760	γλεῦκος ; 0.93059903383255	ἀδοξέω ; 0.2774237394332886	δημόπρακτος ; 0.2739657163619995	Νίκανδρος ; 0.3275829255580902
0.01821076667532423	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	ἀπέρχομαι	0	6	413	346	1	κραιπάλη ; 0.31656140089035034	καταδεσμεύω ; 0.28234437108039856	πανήμερος ; 0.3116306662559509	Σκλυλην- ; 0.3068601191043854
-0.011321487547656772	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	ἐπιβλέπω	0	566	118	69	19	σωφρονέω ; 0.31912919878959656	ἐπιλωβεύω ; 0.29933226108551025	κοσμήτωρ ; 0.2917419970035553	Εχοζοβ ; 0.2900206446647644
0.0598169482305945	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	τεκμήριον	0	4	1	21	21	ἐλλόγιμος ; 0.2749985456466675	παρορμητικός ; 0.34643661975860596	διπλός ; 0.28590431809425354	ἀλαοσκοπιά ; 0.3128654658794403
0.022003357599286566	πολιτεία	δῆμος	ζηλωτής	πλούσιος	πλούσιος	1	10	224	13	84	βαρυβρεμέτης ; 0.2729310989379883	Χενερεθ ; 0.347272664308548	παράπηχυ ; 0.28757017850875854	ῥίον ; 0.2872426509857178
-0.04859747277293208	ὕαλος	ὑάλινος	τρῆμα	ἐπί	ἐπί	1	3	3	1	8198	ἐνδώμησις ; 0.4089064598083496	ψάμμος ; 0.3038555979728699	περί-σάττω ; 0.5809537172317505	Σεδεκια ; 0.3112025558948517
0.06274659222351914	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	λιθόστρωτος	0	2	5	4	4	ἀκμήν ; 0.3635534942150116	θυμαλγής ; 0.3276050090789795	σχολή ; 0.30778324604034424	ἁρμοστός ; 0.30494821071624756
-0.008277295324185419	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	μάταιος	0	5	10	81	4	ἀνδάνω ; 0.2979133725166321	ἁρμόζω ; 0.326756089925766	κρείσσων ; 0.30279409885406494	εὐθυπορέω ; 0.3238750100135803
0.059969067031314854	ἑορτή	πάσχα	νεομηνία	λαός	νεομηνία	0	149	29	7	2200	βραδυτής ; 0.2865649461746216	ἀπομνημόνευμα ; 0.2669622600078583	εὐφεγγής ; 0.31246742606163025	Γομερ ; 0.3321339786052704
-0.03129238941705975	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	εἷς	0	4791	85	1376	4	Αμαθαρ ; 0.3185358941555023	ἀφαίρεμα ; 0.3744046688079834	ἁδροσύνη ; 0.2805778980255127	ἀρχιοινοχόος ; 0.32147642970085144
-0.07398487642088009	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	ἀνένδεκτος	0	37	217	1	1710	Ῥόδη ; 0.29703187942504883	ἰσόπρεσβυς ; 0.2999729514122009	λυσιτελεῖ ; 0.7343399524688721	διαναυμαχέω ; 0.30661460757255554
0.03656802430532577	πολεμέω	ἀγών	μάχη	στηρίζω	στηρίζω	1	234	22	37	68	πέταυρον ; 0.28650492429733276	συκάμινον ; 0.3051949143409729	μάχη ; 0.4394078850746155	ὑπονόημα ; 0.28610044717788696
-0.03886730441508099	ὀψώνιον	ἀντί	εἰκῇ	ἀθετέω	ἀντί	0	7	412	7	80	εὐθυμάχος ; 0.2787363827228546	δαίφρων ; 0.2950400114059448	Μεδιόλανον ; 0.2981109917163849	Τόρος ; 0.27503538131713867
