Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.059557678668648556	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	ἀποτάσσομαι	0	436	6	108	6	δαί ; 0.26820313930511475	χειμασία ; 0.28779420256614685	ὑπέρ ; 0.34766602516174316	ἔγχελυς ; 0.29290392994880676
-0.03619879154331082	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	ὠρύομαι	0	13	17	22	13	σκύμνος ; 0.31180548667907715	περισπάω ; 0.3026057183742523	κλάζω ; 0.30990487337112427	σημέα ; 0.26127150654792786
0.014269602982009272	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	κατάγω	0	84	16	3	82	συναναστρέφω ; 0.3130171298980713	τριφάσιος ; 0.2984497547149658	παραχειμάζω ; 0.2823064923286438	Μακεδνός ; 0.29555994272232056
0.04972329238535561	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	πνεῦμα	1	1	6	42	760	γλεῦκος ; 0.6704220771789551	μασενα ; 0.334007203578949	ἀντιπολεμέω ; 0.2717798948287964	ἔναντι ; 0.2884693741798401
0.025491215626782526	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	μοιχεία	0	6	413	346	1	ἀχαράκωτος ; 0.3168826997280121	Ἔφεσος ; 0.2770453691482544	πρόδοσις ; 0.3017595112323761	συνεξαμαρτάνω ; 0.3182985782623291
-0.010836432583296057	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	ἐπιβλέπω	0	566	118	69	19	γνωστέος ; 0.3271746337413788	προσέοικα ; 0.2897835671901703	Κύκνος ; 0.27708131074905396	νουθέτησις ; 0.2907598614692688
0.007583411340514878	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	τεκμήριον	0	4	1	21	21	δεῖ ; 0.2671028673648834	ὀλίγως ; 0.3293021023273468	οὖς ; 0.29355061054229736	ἔνδυμα ; 0.3628358244895935
-0.027193366487820947	πολιτεία	δῆμος	ζηλωτής	πλούσιος	πλούσιος	1	10	224	13	84	πολίτευμα ; 0.3294307589530945	πειρατεύω ; 0.32319921255111694	χειρόομαι ; 0.2587011158466339	ἔνθα ; 0.27344003319740295
0.000724492412753297	ὕαλος	ὑάλινος	τρῆμα	ἐπί	ἐπί	1	3	3	1	8198	ἴασπις ; 0.44103822112083435	ἱππάζω ; 0.38242483139038086	πῶμα1 ; 0.5040005445480347	Μιτυλήνη ; 0.3213194012641907
0.05967948264151704	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	ἀγωνία	1	2	5	4	4	κοίτη ; 0.37072500586509705	ἀντί-αὐγάζω ; 0.34204351902008057	ὅσον ; 0.32408958673477173	ἄνοικτος ; 0.328914999961853
0.08176432531991853	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	εὔχρηστος	0	5	10	81	4	σαδηρωθ ; 0.2861398458480835	ἀπειρόκαλος ; 0.29055070877075195	κενός ; 0.3541986346244812	Μαασηα ; 0.3572198748588562
-0.025912449097514167	ἑορτή	πάσχα	νεομηνία	λαός	λαός	1	149	29	7	2200	Αμμανίτης ; 0.2974238991737366	Ἱεροσόλυμα ; 0.359714537858963	ἀποσταλάσσω ; 0.3458458185195923	κατακύπτω ; 0.28832027316093445
0.027758318960925066	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	ἀπαρχή	0	4791	85	1376	4	Ιωναθαμ ; 0.35497671365737915	ἀφαίρεμα ; 0.4241282343864441	κεφφουρε ; 0.30736640095710754	ἐνταφιασμός ; 0.3806758522987366
-0.01702474789293934	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	ἀνένδεκτος	0	37	217	1	1710	ἀγχοῦ ; 0.29585546255111694	Εσεβωνείτης ; 0.30093804001808167	ἐπάρατος ; 0.36800411343574524	κατακληροδοτέω ; 0.31070539355278015
0.08356268806082598	πολεμέω	ἀγών	μάχη	στηρίζω	στηρίζω	1	234	22	37	68	κατακληρονομέω ; 0.29875892400741577	βάρος ; 0.28176718950271606	συνάντησις ; 0.34404587745666504	Ζοροβαβελ ; 0.26476913690567017
-0.004127314755800526	ὀψώνιον	ἀντί	εἰκῇ	ἀθετέω	ἀθετέω	1	7	412	7	80	ἐναγώνιος ; 0.3616762161254883	κοιτασία ; 0.2993369698524475	διαμάχομαι ; 0.2744987905025482	Μαιμαλίδης ; 0.2618335783481598
0.0531790331058562	μαστιγόω	δίκη	βασανίζω	ἀναξίως	δίκη	0	42	42	41	2	διαβιβάζω ; 0.2618446946144104	λάτρον ; 0.32858705520629883	σκοπή ; 0.2598074674606323	ἀπέκδυσις ; 0.37637650966644287
0.03698183561475632	αὐλητής	σάλπιγξ	αὐλός	δέ	δέ	1	2	109	13	7672	πρόλογος ; 0.2902778685092926	Τυδει ; 0.3297179639339447	αὐλός ; 0.4605477452278137	οὖν ; 0.28198307752609253
