Score	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.08677216187864861	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	436	6	107	6	ἕνεκα ; 0.39761078357696533	ψάλτρια ; 0.428598016500473	ἀπόλλυμι ; 0.42310959100723267	ἐξαφαιρέω ; 0.39019539952278137
-0.007355511005478821	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	12	17	22	13	ὀνυχιστήρ ; 0.4288862347602844	ποσός ; 0.4226708710193634	Ἰλιονεύς ; 0.3988487124443054	καθεῖς ; 0.3973335921764374
-0.03870231352361747	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	82	16	3	82	δίδωμι ; 0.44006916880607605	ἀλλοίωσις ; 0.44165146350860596	Ἀδείμαντος ; 0.3819069266319275	ἀκούω ; 0.4457855820655823
0.04527414586436185	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	1	6	42	754	γλεῦκος ; 0.9366992712020874	λεπτύνω ; 0.40523460507392883	ἀπαρνέομαι ; 0.3910931944847107	προσαναλαμβάνω ; 0.4323572516441345
0.01850710874037026	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	6	413	344	1	διαστροφή ; 0.39922720193862915	ἀκράαντος ; 0.3935841917991638	εἰσάγω ; 0.4883840084075928	ἐκβοηθέω ; 0.39762580394744873
-0.15491517335800079	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	560	117	69	19	γινώσκω ; 0.5131778717041016	βάθρον ; 0.46505188941955566	προσείδομαι ; 0.400282621383667	Τιτανίς ; 0.3890666663646698
0.003954221891975973	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	4	1	21	21	προανατέλλομαι ; 0.4473288059234619	στέλλω ; 0.3861941397190094	Ταρσεῖς ; 0.38865190744400024	ἀπόβλημα ; 0.4836311936378479
0.12818833392102497	πολιτεία	δῆμος	ζηλωτής	πλούσιος	10	224	13	83	μετακομίζω ; 0.3669414520263672	ἐπίσκεψις ; 0.45598697662353516	κεραίω ; 0.45405519008636475	Θρᾴκη ; 0.4214201271533966
0.31960290701376803	ὕαλος	ὑάλινος	τρῆμα	ἐπί	3	3	1	8144	ἐνδώμησις ; 0.4394378066062927	Εὐρυβία ; 0.4239433705806732	περί-σάττω ; 0.5349282026290894	ἐν ; 0.8078032732009888
-0.0026579963510012794	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	2	5	4	4	κοινόω ; 0.47466185688972473	προφητεία ; 0.40883874893188477	κλῶσμα ; 0.4184439182281494	ἀθυμέω ; 0.4054269790649414
-0.013729109156275732	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	5	10	81	4	δωροδόκος ; 0.3864005208015442	Ἀπολλωνία ; 0.4245529770851135	συνθάλπω ; 0.40374284982681274	ἀπονοέω ; 0.44167229533195496
0.1007253388136985	ἑορτή	πάσχα	νεομηνία	λαός	149	29	7	2187	Ἕρμαρχος ; 0.41671404242515564	Ἕρμαρχος ; 0.4162259101867676	ἀπό ; 0.4026675224304199	κύριος ; 0.4227930009365082
-0.11766711287311854	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	4765	85	1366	4	ἐκ ; 0.7685918807983398	καθοράω ; 0.39497488737106323	κομψεύω ; 0.4100191593170166	Ἐρεμησις ; 0.41841763257980347
0.043637915823004525	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	35	214	1	1705	ξιφοκτόνος ; 0.5159642696380615	Σατραβάτης ; 0.36515021324157715	λυσιτελεῖ ; 0.6785547733306885	εἰς ; 0.5469621419906616
0.12541348544115377	πολεμέω	ἀγών	μάχη	στηρίζω	234	22	37	68	παρατάσσω ; 0.4894043505191803	πολυτελής ; 0.43428343534469604	Ὑπερησίη ; 0.37687110900878906	προσποιητός ; 0.4081312417984009
-0.039731735350825415	ὀψώνιον	ἀντί	εἰκῇ	ἀθετέω	7	412	7	80	καταπειράζω ; 0.38730543851852417	ἐξομοιόω ; 0.42990756034851074	γάιος ; 0.43136975169181824	Παναθηναικός ; 0.39428627490997314
0.06417323372994477	μαστιγόω	δίκη	βασανίζω	ἀναξίως	42	42	41	2	Στοά ; 0.44890862703323364	ῥίον ; 0.4046972095966339	ἐμπάσσω ; 0.45711877942085266	κερματιστής ; 0.4402077794075012
0.22484361602755515	αὐλητής	σάλπιγξ	αὐλός	δέ	2	109	13	7570	Πολυσημάντωρ ; 0.37465083599090576	φορολόγητος ; 0.387501060962677	Ἀτρείων ; 0.45291247963905334	γάρ ; 0.7914938926696777
-0.014174059209133172	υἱός	νυμφών	συμπόσιον	σάρξ	5566	7	12	360	καί ; 0.42045557498931885	ἥβη ; 0.3926807641983032	Πρωτεύς ; 0.39164888858795166	οἰταῖος ; 0.38404685258865356
0.10344547461423803	καυχάομαι	καύχησις	καύχημα	ὕαλος	76	21	35	3	ὅμως ; 0.3949674367904663	προκόπτω ; 0.40546658635139465	εὐτονία ; 0.38859426975250244	ἐνδώμησις ; 0.4394378066062927
-0.04599146231708601	ἀντιλαμβάνομαι	ὑπολαμβάνω	ἐπιλαμβάνομαι	ψίξ	3	56	19	2	ὀλιγόπιστος ; 0.4173603653907776	ἀναπεπταμένος ; 0.3979523181915283	Τιτανίς ; 0.3890666663646698	στέρνον ; 0.40071192383766174
-0.021208602737076865	ἀτιμάζω	ὑβρίζω	ὕβρις	προχειροτονέω	39	11	65	1	σιδηροβρώς ; 0.3855787217617035	κρείσσων ; 0.36008018255233765	δολίχαυλος ; 0.4490615129470825	φιλαργυρέω ; 0.42646199464797974
0.1586700479846607	καθίστημι	ἐκβάλλω	ἀναλαμβάνω	ὑπεραίρομαι	233	180	110	3	συνάγω ; 0.4346698522567749	ὑπερχλίω ; 0.4282161593437195	ἁγιωσύνη ; 0.39042675495147705	προενάρχομαι ; 0.3997865915298462
0.007046366962331241	ἐπουράνιος	στρατιά	πονηρία	ἀδήλως	24	36	78	1	Μάλεος ; 0.4121042490005493	Ἰνδός ; 0.40951934456825256	Ἀκρόνεως ; 0.4263220429420471	δουλαγωγέω ; 0.6743965148925781
0.024996483403067038	ἀφοράω	εὑρίσκω	διερωτάω	προσφωνέω	6	780	1	11	ἀπείργω ; 0.4029432237148285	καταλείπω ; 0.5067580342292786	Τάμβραξ ; 0.4106062650680542	σύμβουλος ; 0.422187864780426
-0.010065940731826595	ἦχος	σαλπίζω	αὐλός	πνεῦμα	23	81	13	754	Ἅλιος ; 0.4215638339519501	θυτήρ ; 0.45590877532958984	Ἀτρείων ; 0.45291247963905334	προσαναλαμβάνω ; 0.4323572516441345
0.15077338572082347	περισσεύω	προηγέομαι	ἥσσων	κάμπτω	48	14	15	23	ἐναύω ; 0.3848755955696106	θαραφιν ; 0.3787992298603058	ἀσπιδιώτης ; 0.3954797387123108	ὀκλάζω ; 0.4492756426334381
0.08326903971267852	ἐκβάλλω	βλασφημία	ὑβρίζω	ἐπιστολή	180	25	11	85	ὑπερχλίω ; 0.4282161593437195	Ἀβρότονον ; 0.373518168926239	κρείσσων ; 0.36008018255233765	Φαληρεὺς ; 0.3769250512123108
-0.015307018770505165	μετακαλέομαι	κλῆσις	συγκαλέω	βραδύς	4	14	21	3	ἄκτωρ ; 0.4311826229095459	συγκακοπαθέω ; 0.377990186214447	ἐπιδείκνυμι ; 0.3839755058288574	Χολδαι ; 0.38301777839660645
-0.03392072765469972	ἀγρυπνέω	βλέπω	σκοπέω	πονηρός	15	263	7	460	κατατυγχάνω ; 0.4106055200099945	ἔχω ; 0.40495967864990234	τυγχάνω ; 0.39703038334846497	θυμόομαι ; 0.4096721410751343
0.1006432993453295	ἐπουράνιος	ὕψιστος	οὐρανός	πανήγυρις	24	150	948	5	Μάλεος ; 0.4121042490005493	Ὥρα ; 0.39128872752189636	Αννιουθ ; 0.39549124240875244	φόβη ; 0.4106028974056244
0.019896244885047376	οὗ	ὅς	ἐν	συναθροίζω	136	6308	16960	35	ὅπου ; 0.4285964369773865	ὅτι ; 0.6821718811988831	εἰς ; 0.8100582957267761	συνίστημι ; 0.405592143535614
