Score	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.06837118846794926	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	436	6	107	6	ἐκζητέω ; 0.44176235795021057	ἐπίτονος ; 0.39989179372787476	δίδωμι ; 0.44332754611968994	εἰδωλολάτρης ; 0.4074634313583374
0.04629106291975449	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	12	17	22	13	ὑπεξαναδύομαι ; 0.4033341407775879	ὑπερκρατέω ; 0.37283337116241455	ἐκπολιτεύω ; 0.43569183349609375	τιμωρητής ; 0.41633814573287964
-0.03361224701330168	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	82	16	3	82	ἐπικλύζω ; 0.4245244860649109	καθαριότης ; 0.40798208117485046	κατάπλοος ; 0.4867747128009796	εἰσακούω ; 0.3901025652885437
0.0793801035406394	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	1	6	42	754	γλεῦκος ; 0.6752884387969971	Δωρικός ; 0.40022704005241394	ὑπερεχθαίρω ; 0.36589759588241577	ὀλιγοψύχος ; 0.3959885835647583
-0.013581238001825702	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	6	413	344	1	ἰάλεμος ; 0.43150854110717773	παιδάριον ; 0.3952455520629883	πορεύομαι ; 0.4820820093154907	σύρδην ; 0.4015582799911499
-0.13673852096605632	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	560	117	69	19	ἐπίσταμαι ; 0.5676287412643433	ἐπιστρέφω ; 0.45314979553222656	δοξάζω ; 0.4509682059288025	παραβολεύομαι ; 0.4016656279563904
0.15354139247625606	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	4	1	21	21	κέρδος ; 0.4509648084640503	πέτομαι ; 0.4267556667327881	ἐπίγνωσις ; 0.3783470392227173	θειώδης ; 0.4400526285171509
0.10569071366739852	πολιτεία	δῆμος	ζηλωτής	πλούσιος	10	224	13	83	ἀπελέγχω ; 0.43856990337371826	φυλή ; 0.5031548738479614	ἐλευθερία ; 0.38776662945747375	πτωχός ; 0.4098220467567444
0.3475257560453985	ὕαλος	ὑάλινος	τρῆμα	ἐπί	3	3	1	8144	φιλόκοσμος ; 0.47298282384872437	ὄχος ; 0.41350582242012024	τρύπημα ; 0.5094440579414368	ἐν ; 0.7622889876365662
0.11162049595214635	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	2	5	4	4	κοίτη ; 0.4694167375564575	Σμικρίνης ; 0.3978707790374756	βοῦνις ; 0.39062783122062683	ἀσθενέω ; 0.4356650710105896
-0.021127829137107146	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	5	10	81	4	εὑρετής ; 0.44543778896331787	αἰχμάζω ; 0.40627795457839966	οὐ ; 0.3968658745288849	ὄροφος ; 0.41311025619506836
0.19457370448868214	ἑορτή	πάσχα	νεομηνία	λαός	149	29	7	2187	ἑορτάζω ; 0.42060577869415283	Ἱεροσόλυμα ; 0.4739435613155365	ξύρησις ; 0.42072901129722595	Ἰσραήλ ; 0.499390184879303
-0.148559560079292	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	4765	85	1366	4	ἐκ ; 0.7351888418197632	ἀφαίρεμα ; 0.5525749325752258	δύο ; 0.5501002669334412	ἐνταφιασμός ; 0.44248104095458984
0.14282293434182713	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	35	214	1	1705	πρόχειρος ; 0.43347519636154175	δύναμις ; 0.4135764241218567	ἐπιχωριάζω ; 0.4050717353820801	εἰς ; 0.48557814955711365
0.06716980002633982	πολεμέω	ἀγών	μάχη	στηρίζω	234	22	37	68	παρατάσσω ; 0.5499807596206665	ἐκτενεία ; 0.4323923587799072	κατευθικτέω ; 0.37986698746681213	κατακτάομαι ; 0.38659942150115967
-0.06987349205497201	ὀψώνιον	ἀντί	εἰκῇ	ἀθετέω	7	412	7	80	αἱματόεις ; 0.42746639251708984	Αγγια ; 0.38747161626815796	περίστασις ; 0.38541388511657715	μνησικακέω ; 0.3911767601966858
-0.054677199202870896	μαστιγόω	δίκη	βασανίζω	ἀναξίως	42	42	41	2	ἐπαναίρεσις ; 0.3796631991863251	Καταναῖος ; 0.4300728440284729	παρανομέω ; 0.44850701093673706	Βαριωνᾶ ; 0.41582250595092773
0.33863039470693385	αὐλητής	σάλπιγξ	αὐλός	δέ	2	109	13	7570	Σωβακ ; 0.3627493977546692	σαλπίζω ; 0.5192347764968872	αὐλός ; 0.4727792739868164	γάρ ; 0.8376722931861877
