Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.11035407985834828	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	ἅρπαξ	1	436	6	107	6	φοβέω ; 0.538621723651886	κατέρχομαι ; 0.530804455280304	εἰμί ; 0.6218622326850891	Ἡγήσιππος ; 0.5526283383369446
0.13000154954837834	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	ἐπιταγή	1	12	17	22	13	ὀλολύζω ; 0.5211659669876099	Ιωβηλ ; 0.6109563708305359	ἀμφίστροφος ; 0.5083062648773193	ἀναστροφή ; 0.6166182160377502
-0.10093000132320046	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	ἐκπλέω	0	82	16	3	82	ἐπιρρίπτω ; 0.6012955904006958	διαστρέφω ; 0.6396097540855408	ἀνίημι ; 0.5572704076766968	ἑτεροδιδασκαλέω ; 0.5507454872131348
0.07054273716761089	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	ἐμπαίζω	0	1	6	42	754	γλεῦκος ; 0.7643512487411499	ἴχνιον ; 0.5362750291824341	Κροῖσμος ; 0.5395404696464539	μένος ; 0.5967870950698853
-0.04576941179580951	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	ἀπέρχομαι	0	6	413	344	1	πρόλεσχος ; 0.5561245083808899	πολύκωπος ; 0.4908045828342438	ἐξέρχομαι ; 0.657404899597168	ὑποδείκνυμι ; 0.5017983317375183
-0.11682402953566656	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	ἐπιβλέπω	0	560	117	69	19	γινώσκω ; 0.7623746991157532	πτωχεία ; 0.5629525780677795	προσφιλής ; 0.6398255228996277	κατακρημνίζω ; 0.5442212224006653
-0.04905200246054153	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	τεκμήριον	0	4	1	21	21	καταμέτρησις ; 0.5293121933937073	προθέω ; 0.5416290760040283	μερισμός ; 0.5701426267623901	κρίκος ; 0.5582919716835022
0.14302606369115517	πολιτεία	δῆμος	ζηλωτής	πλούσιος	πλούσιος	1	10	224	13	83	παρεισέρχομαι ; 0.5161824226379395	Εδερ ; 0.621746301651001	κυβερνητήρ ; 0.5179656147956848	βυθίζω ; 0.614190399646759
0.29067916130315347	ὕαλος	ὑάλινος	τρῆμα	ἐπί	ἐπί	1	3	3	1	8144	αἰγίλιψ ; 0.5701175332069397	ζῷον ; 0.5789753794670105	ἐξώτερος ; 0.5573298335075378	ἐν ; 0.7834216356277466
0.039321009536292806	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	λιθόστρωτος	0	2	5	4	4	κοινόω ; 0.5683682560920715	Δεσεθ ; 0.563689112663269	ἔναντα ; 0.5276533365249634	ἀδύνατος ; 0.52296382188797
0.04487579762387289	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	ἄκαρπος	0	5	10	81	4	ἐποίκτιστος ; 0.5197039246559143	πωρόω ; 0.5520468354225159	διότι ; 0.6567752361297607	εὐμορφία ; 0.560014545917511
0.1658146913977907	ἑορτή	πάσχα	νεομηνία	λαός	λαός	1	149	29	7	2187	Ξενοφῶν ; 0.5534879565238953	Γαλιλαία ; 0.5848531126976013	ἐπενγελάω ; 0.5555242300033569	ἔθνος ; 0.5761755704879761
-0.17948787837009855	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	ἀπό	0	4765	85	1366	4	ἐκ ; 0.7134090662002563	ἀφαίρεμα ; 0.7227042317390442	δέκα ; 0.6457276344299316	ἐνταφιασμός ; 0.5183758735656738
-0.027702951821870325	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	ἀδύνατος	0	35	214	1	1705	πέπων ; 0.557732105255127	Θωα ; 0.6067894101142883	βᾶρις ; 0.5334059596061707	καθότι ; 0.5901416540145874
0.03708475153434165	πολεμέω	ἀγών	μάχη	στηρίζω	στηρίζω	1	234	22	37	68	παρατάσσω ; 0.6768820881843567	πολῖτις ; 0.5577008128166199	λικμός ; 0.5592579245567322	νεότροφος ; 0.5078299641609192
-0.10809175710406277	ὀψώνιον	ἀντί	εἰκῇ	ἀθετέω	ὀψώνιον	0	7	412	7	80	εὔκαιρος ; 0.6527114510536194	ἕνεκεν ; 0.5384092926979065	ἀναίδεια ; 0.6719533205032349	καταφονεύω ; 0.5154646635055542
0.019256268022575296	μαστιγόω	δίκη	βασανίζω	ἀναξίως	μαστιγόω	0	42	42	41	2	ἐξετασμός ; 0.5217398405075073	κῦμα ; 0.5436791777610779	ἀνάπειρα ; 0.6284596920013428	ὅτι3 ; 0.5860568881034851
0.2269169635289494	αὐλητής	σάλπιγξ	αὐλός	δέ	δέ	1	2	109	13	7570	ξύλον ; 0.6068252921104431	χοροιτυπία ; 0.5501741170883179	ἐπίληθος ; 0.5289778113365173	γάρ ; 0.8262428641319275
-0.1352429121280621	υἱός	νυμφών	συμπόσιον	σάρξ	υἱός	0	5566	7	12	360	Αβαιαν ; 0.49338918924331665	χειροκρατικός ; 0.574573814868927	Ἑδνά ; 0.5764651894569397	ἀμφινεικής ; 0.5276921391487122
0.29857497251330206	καυχάομαι	καύχησις	καύχημα	ὕαλος	ὕαλος	1	76	21	35	3	ἐκτομή ; 0.5541349053382874	διάληψις ; 0.5657026171684265	ἄσπαρτος ; 0.5830681324005127	αἰγίλιψ ; 0.5701175332069397
-0.049422467477612586	ἀντιλαμβάνομαι	ὑπολαμβάνω	ἐπιλαμβάνομαι	ψίξ	ἀντιλαμβάνομαι	0	3	56	19	2	ἐπιθυμητή ; 0.539635181427002	αὐθαιρέτως ; 0.5678290724754333	κατακρημνίζω ; 0.5442212224006653	ναός ; 0.554307222366333
0.17285583903420498	ἀτιμάζω	ὑβρίζω	ὕβρις	προχειροτονέω	προχειροτονέω	1	39	11	65	1	ἥδομαι ; 0.5369101166725159	οἶκτος ; 0.5543137192726135	πανουργία ; 0.5737288594245911	ὕψωσις ; 0.5501951575279236
0.10870886305736782	καθίστημι	ἐκβάλλω	ἀναλαμβάνω	ὑπεραίρομαι	ὑπεραίρομαι	1	233	180	110	3	ασαραμελ ; 0.6149483919143677	λαμβάνω ; 0.5825701951980591	ὁρμάω ; 0.545032262802124	παραβλήδην ; 0.5447462201118469
-0.009603759337485585	ἐπουράνιος	στρατιά	πονηρία	ἀδήλως	ἐπουράνιος	0	24	36	78	1	πρόσθεμα ; 0.5763393044471741	σιτοφόρος ; 0.5248746275901794	συσσιτίον ; 0.5462095737457275	κατάκλιτον ; 0.5320628881454468
-0.019733293750290426	ἀφοράω	εὑρίσκω	διερωτάω	προσφωνέω	εὑρίσκω	0	6	780	1	11	βουκόλος ; 0.5872135162353516	μέρμις ; 0.6544554233551025	ἀποκέντησις ; 0.5235291719436646	ζώς ; 0.5788725018501282
0.03977698033556765	ἦχος	σαλπίζω	αὐλός	πνεῦμα	σαλπίζω	0	23	81	13	754	ἀλαλαγμός ; 0.5616869926452637	σημαίνω ; 0.542603611946106	ἐπίληθος ; 0.5289778113365173	μένος ; 0.5967870950698853
0.17207633412296247	περισσεύω	προηγέομαι	ἥσσων	κάμπτω	κάμπτω	1	48	14	15	23	ἀγάπη ; 0.6189568042755127	συμμαχικός ; 0.562686026096344	ἐμπίμπρημι ; 0.5050651431083679	ὁμοιότης ; 0.5436245203018188
0.14922843811515168	ἐκβάλλω	βλασφημία	ὑβρίζω	ἐπιστολή	ἐπιστολή	1	180	25	11	85	λαμβάνω ; 0.5825701951980591	ἀηδών ; 0.538692057132721	οἶκτος ; 0.5543137192726135	πλάγιον ; 0.5687354803085327
-0.0032325621249121306	μετακαλέομαι	κλῆσις	συγκαλέω	βραδύς	κλῆσις	0	4	14	21	3	ἁπλοῦς ; 0.5537118911743164	καθαίρεσις ; 0.542685866355896	Αρκεσαιος ; 0.5399850010871887	ἀνταποκρίνω ; 0.5303402543067932
0.16218735511677346	ἀγρυπνέω	βλέπω	σκοπέω	πονηρός	πονηρός	1	15	263	7	460	στίγμα ; 0.5519815683364868	πωρόω ; 0.5525181889533997	διαπαιδεύομαι ; 0.5700680613517761	σκληρός ; 0.5779628753662109
0.17162225532224734	ἐπουράνιος	ὕψιστος	οὐρανός	πανήγυρις	πανήγυρις	1	24	150	948	5	πρόσθεμα ; 0.5763393044471741	ἀχρείοω ; 0.5423468351364136	ἐγκαταπαίζω ; 0.575806200504303	συμμετέχω ; 0.5552189350128174
