Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.002509556657531664	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	ἀποτάσσομαι	0	436	6	107	6	ἕνεκα ; 0.25815349817276	βαστάζω ; 0.3221094310283661	δίδωμι ; 0.31118160486221313	Βεελτέεμος ; 0.29551172256469727
-0.008692625714806279	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	ὠρύομαι	0	12	17	22	13	Ζογορ ; 0.33686599135398865	περισπάω ; 0.3012557029724121	ἐκπολιτεύω ; 0.33184903860092163	χάρισμα ; 0.29427650570869446
0.024660852526591948	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	ὑπακούω	1	82	16	3	82	καταβαίνω ; 0.3582570552825928	τριφάσιος ; 0.35778704285621643	παραχειμάζω ; 0.3256249725818634	Ἀργώ ; 0.2883203625679016
0.07137969176926864	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	πνεῦμα	1	1	6	42	754	γλεῦκος ; 0.6789095997810364	μασενα ; 0.3288266360759735	καθοδηγέω ; 0.2754082679748535	ξενοδοχέω ; 0.3046828806400299
0.07076046551919724	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	φάσις	1	6	413	344	1	κάλυμμα ; 0.29889118671417236	πρός ; 0.304007351398468	ἀπάγω ; 0.37845999002456665	παραθεωρέω ; 0.3251422643661499
-0.07624251813483904	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	ἐπιβλέπω	0	560	117	69	19	γιγνώσκω ; 0.42414379119873047	ἐπιστρέφω ; 0.29925334453582764	δοξάζω ; 0.3349114656448364	ἐντρέφομαι ; 0.2858821153640747
0.0346381864457716	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	θώραξ	1	4	1	21	21	κέρδος ; 0.2773955464363098	ὀλίγως ; 0.3503970801830292	κόνδυλος ; 0.2799859046936035	θειώδης ; 0.3162142038345337
0.0005409208443231117	πολιτεία	δῆμος	ζηλωτής	πλούσιος	ζηλωτής	0	10	224	13	83	Αμεσσα ; 0.3563663959503174	σημέα ; 0.402946412563324	ὀφειλή ; 0.2776845693588257	ἰατρός ; 0.3022451400756836
0.38198726532013827	ὕαλος	ὑάλινος	τρῆμα	ἐπί	ἐπί	1	3	3	1	8144	ἴασπις ; 0.47189226746559143	ἱππάζω ; 0.37741225957870483	τρύπημα ; 0.4772948920726776	ἐν ; 0.7825233340263367
0.06894192149039577	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	ἀγωνία	1	2	5	4	4	Αδδαρα ; 0.37202996015548706	ἀντί-αὐγάζω ; 0.36246803402900696	ἀποθέται ; 0.3398005962371826	ἄνοικτος ; 0.3365762233734131
