Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.0805645847939554	μακρός	χρόνος	πάντοτε	ψωμίζω	πάντοτε	0	37	192	43	25	οὐδαμοῦ ; 0.40863433480262756	ἐπιστέλλω ; 0.4091823697090149	τάχα ; 0.39743930101394653	ὁμολόγως ; 0.4434400796890259
0.11359748599466285	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	καταγγέλλω ; 0.41146883368492126	σελήνη ; 0.4375094771385193	τροχός ; 0.5191360712051392	Σιδών ; 0.4057028591632843
-0.13547919759644828	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	31	1	118	5	ταχύ ; 0.4336725175380707	καλοδιδάσκαλος ; 0.9287082552909851	ὑποχωρέω ; 0.41266798973083496	σωφρονισμός ; 0.4251616597175598
-0.007827595084364869	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκβαίνω	0	11	204	100	1	Εσδρα ; 0.4111297130584717	ἐξέρχομαι ; 0.6063213348388672	ἀποκωλύω ; 0.44733455777168274	μαδαρόω ; 0.44913607835769653
-0.015746119352655852	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5312	3	37	λεμά ; 0.7830425500869751	ὄνομα ; 0.537609338760376	Μεμφιβοσθε ; 0.4374680519104004	ἀθλοθετέω ; 0.407814085483551
-0.10124796939600361	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	παντοκράτωρ	0	1	191	5312	9	τυρός ; 0.4353034794330597	καταδυναστεία ; 0.43555670976638794	ὄνομα ; 0.537609338760376	ἀναπλάσσω ; 0.4474174976348877
-0.04199087849272942	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	τάφρος ; 0.41414186358451843	διάλεκτος ; 0.42510557174682617	Ῥαάβ ; 0.5046885013580322	συννυμφός ; 0.46129173040390015
0.2262931248147501	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	118	8	101	2	ὑποχωρέω ; 0.41266798973083496	ἐπονομάζομαι ; 0.42870092391967773	παραζηλόω ; 0.4350082278251648	Μαθουσαλα ; 0.43184328079223633
0.2479147488308055	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	πολυπληθία ; 0.389557421207428	ὁμοίωσις ; 0.46785062551498413	ζῷον ; 0.4659724235534668	φρόνησις ; 0.4694628417491913
0.13632400221690472	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	8	2	1	Μαασαι ; 0.442502498626709	σηκός ; 0.4402735233306885	σατραπεία ; 0.4560306668281555	πάρεσις ; 0.9467522501945496
0.21333478785878618	βάτος	χόρτος	σίναπι	χαλκηδών	βάτος	0	13	64	5	1	θερμαίνω ; 0.4181671440601349	ὄρνεον ; 0.4264640510082245	τριπλόος ; 0.4021722376346588	σάπφιρος ; 0.9562273025512695
