Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.03049459292112533	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	37	192	43	25	ἐπικέλλω ; 0.6931068897247314	εὐμένεια ; 0.683692216873169	χάρις ; 0.6931745409965515	πατητός ; 0.5739256143569946
0.3744094426272315	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	ἐκλάμπω ; 0.7297147512435913	ἐπιβρίθω ; 0.6981344819068909	ἀστραπή ; 0.6772326827049255	ἐνδοξάζομαι ; 0.6774133443832397
0.12678795010139765	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	διαφημίζω ; 0.8075318336486816	καλοδιδάσκαλος ; 0.873508632183075	παραφρονέω ; 0.6818737983703613	ἔχθρα ; 0.6440338492393494
0.17026624579843924	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	κραταιῶς ; 0.6238429546356201	ἐξέρχομαι ; 0.7787051200866699	ἐπιτρέπω ; 0.6671016216278076	ἀγάπη ; 0.6509921550750732
0.2378385739352864	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5312	3	37	ἠλί ; 0.8577382564544678	κύριος ; 0.6662752032279968	Τρύφαινα ; 0.6745107173919678	συγγενής ; 0.7111941576004028
0.015570221551332364	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5312	9	ἀντερείδω ; 0.7399286031723022	κύριος ; 0.7720924615859985	κύριος ; 0.6662752032279968	μάλιστα ; 0.7346459627151489
0.08426955841557915	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	Σόδομα ; 0.6852078437805176	Δερβαῖος ; 0.6775527000427246	Ἰουδαϊκός ; 0.631162703037262	ὑδρία ; 0.731616735458374
0.04390924526509443	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεύω	0	118	8	101	2	παραφρονέω ; 0.6818737983703613	πληροφορέω ; 0.6669325828552246	ἐλέγχω ; 0.6944308876991272	ἐνθρονίζω ; 0.7390235662460327
0.18146487671426006	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	μικρός ; 0.6068228483200073	τροχός ; 0.6688321828842163	τετράποδος ; 0.7501422166824341	ταλαιπωρία ; 0.6852036118507385
0.2139659003900592	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	προγίνομαι	1	1	8	2	1	ὑποπνέω ; 0.6929781436920166	Ηλιαθα ; 0.6661080718040466	μαραίνομαι ; 0.6614858508110046	πάρεσις ; 0.9495680332183838
0.13601391433930932	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	βιβλαρίδιον ; 0.661750853061676	χλωρός ; 0.7438819408416748	εἰδωλολάτρης ; 0.6743003726005554	σάπφιρος ; 0.9010704755783081
0.07864233315741098	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	346	λιθουργικός ; 0.6717014312744141	μάνδρα ; 0.6335126161575317	συσκιάζον ; 0.7081510424613953	πορεύομαι ; 0.7918473482131958
-0.0687025231932506	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	φθορά	0	28	1	20	8	Σόδομα ; 0.6852078437805176	Ἰουδαϊκός ; 0.631162703037262	ἀμέτρητος ; 0.5973531603813171	ἀκαρπία ; 0.63143390417099
0.22630596162015515	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	οὖν ; 0.6212718486785889	παράπληκτος ; 0.7477477192878723	ἀορασία ; 0.6625415086746216	ἐξάγω ; 0.802870512008667
0.34197918967670005	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	ἐξοκή ; 0.6795052886009216	πέρδιξ ; 0.6279982328414917	θερίζω ; 0.7501202821731567	ἀπομαρτυρέω ; 0.6279151439666748
0.07402903645609848	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	τετράπους	0	211	16	1	2	τετράποδος ; 0.7501422166824341	φλυκτίς ; 0.6584038734436035	Σοφονιας ; 0.6909905672073364	Κυρήνιος ; 0.7291611433029175
0.02043914320508844	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	διάγω	0	1	7	23	4	συναντιλαμβάνομαι ; 0.7548771500587463	Αμαν ; 0.7445468306541443	ἀϊδιότης ; 0.6925451755523682	ἀδόκιμος ; 0.7352452278137207
0.1885087743906672	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	4	9	54	11	γενέτις ; 0.7050182819366455	ἀνήλατος ; 0.7047213912010193	εἰμί ; 0.6778327226638794	κραταιῶς ; 0.6238429546356201
0.13129246019047286	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	εὐγενής	1	4	1	1	11	ἀδόκιμος ; 0.7352452278137207	ἐπίλυσις ; 0.7141909599304199	οὖν ; 0.6212718486785889	ἐξετάζω ; 0.616509199142456
0.09728234668728375	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	αὐθεντέω	1	4	6	44	1	ῥύμη ; 0.6893157958984375	ῥαντισμός ; 0.7131882905960083	πικρίς ; 0.6990890502929688	εἰδωλολατρία ; 0.6121811270713806
-0.012363081168670798	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	κατοικία	0	1	22	37	1	ἐκεῖνος ; 0.69472736120224	Σελεύκεια ; 0.6205905675888062	Ομμαῖος ; 0.6633763313293457	φράζω ; 0.6356360912322998
0.2511218797607481	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	θερίζω ; 0.7501202821731567	σκέπη ; 0.6354418396949768	πέρδιξ ; 0.6279982328414917	παράπληκτος ; 0.7477477192878723
-0.07686102280791596	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	μεγιστάν	0	7	52	11	3	ἀσθενόψυχος ; 0.654710590839386	Βύβλιοι ; 0.7000633478164673	ἐξετάζω ; 0.616509199142456	ἔπος ; 0.6419679522514343
0.10723626257837715	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	μηδαμῶς ; 0.6661414504051208	ὁλοσχερής ; 0.6568632125854492	ἀρετή ; 0.8400410413742065	εὐαγγελία ; 0.7066753506660461
-0.21389329986655625	φθινοπωρινός	θέρος	διετία	τρίχινος	θέρος	0	1	11	2	2	ἔνειμι ; 0.63935786485672	ῥίζα ; 0.6883772611618042	παμπόνηρος ; 0.7213623523712158	δολιότης ; 0.6391879320144653
0.108723215788805	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	θηλάζω	1	6	28	1	34	ταρταρόω ; 0.6234539747238159	ἄνους ; 0.6601458191871643	μόδιος ; 0.7498906254768372	ἐκκομίζω ; 0.6533581018447876
-0.05080595828737633	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	δαμάζω	0	2	7	1	2	μαραίνομαι ; 0.6614858508110046	διαβάλλω ; 0.6528157591819763	ὄγκος ; 0.739963173866272	πολύτιμος ; 0.7477000951766968
0.19465643412312816	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	Χριστιανός	1	28	28	6	3	ἄνους ; 0.6601458191871643	πολυανδρῖον ; 0.6464489698410034	ταρταρόω ; 0.6234539747238159	ὑπογράφω ; 0.6814751625061035
0.3671005295772153	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	οἷος	1	27	28	8	33	στενότητα ; 0.676494300365448	ἀστραπή ; 0.6772326827049255	φωτίζω ; 0.7297147512435913	σημεῖον ; 0.686041533946991
-0.15746755313837946	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	πρῶτον	0	96	9	20	1	Γαας ; 0.6712945699691772	παρακομίζω ; 0.6394279599189758	ἐκφεύγω ; 0.6496114730834961	ἀναστέλλω ; 0.6564565896987915
0.5260829933856459	ἐννέα	δύο	τέσσαρες	φίλανδρος	φίλανδρος	1	48	830	289	1	ὀκτώ ; 0.6729873418807983	ἑκατόν ; 0.785232663154602	δύο ; 0.7490136027336121	σωφρονίζω ; 0.8137450218200684
-0.15034451417195988	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	ἐγκομβόομαι	0	4	1	147	21	διΐημι ; 0.6473536491394043	ἕλεος ; 0.6841303110122681	περιβάλλω ; 0.7185095548629761	ἀπόκειμαι ; 0.6579819917678833
0.04634123219518671	βίος	χράομαι	ἀναστρέφω	φιλόθεος	ἀναστρέφω	0	79	34	123	1	ἀποτυγχάνω ; 0.6361657381057739	ἐμφανίζω ; 0.675438404083252	προσοίγνυμι ; 0.6866158246994019	φιλήδονος ; 0.7401383519172668
0.005038078772487964	συνεγείρω	ζάω	ζῳογονέω	θέρος	ζῳογονέω	0	6	699	3	11	βούλημα ; 0.6728955507278442	ἀπόδεκτος ; 0.611028790473938	Μαναήν ; 0.6818676590919495	ῥίζα ; 0.6883772611618042
-0.03607886514010694	ἀνάστασις	ζάω	ζῳοποιέω	παθητός	ζάω	0	48	699	11	1	νεκρός ; 0.6812301874160767	ἀπόδεκτος ; 0.611028790473938	Ραια ; 0.6148803234100342	οὕτω(ς) ; 0.7229651212692261
0.370782134363424	χλωρός	βοτάνη	βάτος	πάσχω	πάσχω	1	19	17	13	60	χόρτος ; 0.7438817620277405	χόρτος ; 0.7199850082397461	βιβλαρίδιον ; 0.661750853061676	ἀποσφάζω ; 0.640674889087677
0.3731429118379367	ἀποπλέω	εὐθυδρομέω	πλοῦς	ἀπογράφω	ἀπογράφω	1	4	2	3	10	ὑποπλέω ; 0.771813154220581	Σαμοθρᾴκη ; 0.8257412314414978	διασῴζω ; 0.7109416127204895	μίσυβρις ; 0.5841418504714966
0.09610571639433202	προσαγωγή	λαλέω	προσλαλέω	παραχειμάζω	παραχειμάζω	1	3	1487	4	4	χαριτόω ; 0.6599848866462708	ἀποκρίνω ; 0.6846364736557007	μέλει ; 0.678706169128418	Ζηνᾶς ; 0.6688382625579834
-0.008636529312301633	προφθάνω	πάλαι	καινός	διατροφή	καινός	0	20	15	101	2	ἐκφεύγω ; 0.6496114730834961	ἀκριβῶς ; 0.7182927131652832	λίθινος ; 0.6988336443901062	μετοικέω ; 0.6448005437850952
0.07404779186205346	κατασφάζω	θανατόω	σφαγή	ἔννοια	ἔννοια	1	12	171	27	12	ἀναίρεσις ; 0.723873496055603	ἀποκτείνω ; 0.6423296332359314	πρόβατον ; 0.7260462045669556	ἀξιόπιστος ; 0.6679909229278564
0.09418252002269256	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	γαζοφυλάκιον	γαζοφυλάκιον	1	1	8	3	30	μετεωρίζομαι ; 0.7141909599304199	Γεδδων ; 0.6837572455406189	ἔπος ; 0.6419679522514343	νύκτωρ ; 0.6449961066246033
0.196677062346217	περιοικέω	κατοίκησις	κατοικία	τοιοῦτος	τοιοῦτος	1	1	11	37	138	μεσουράνημα ; 0.6658247113227844	μακροχρόνιος ; 0.6105738878250122	Ομμαῖος ; 0.6633763313293457	ἦ ; 0.7333484888076782
0.2292586430848929	ἐκδιηγέομαι	ἀναγγέλλω	ἀγγελία	λέπρα	λέπρα	1	16	273	15	43	καταφορά ; 0.6215704679489136	εἶπον ; 0.7397558689117432	ταλαιπωρία ; 0.6852036118507385	ἁφή ; 0.7596161961555481
-0.0012617320390327924	μάμμη	ἀπάτωρ	προπάτωρ	ἰσχύω	ἰσχύω	1	2	1	2	134	Λωΐς ; 0.8034540414810181	ἀμήτωρ ; 0.9230901002883911	προσαγορεύω ; 0.737618088722229	ἀνίημι ; 0.6434286832809448
0.291539222976484	θρίξ	μέλος	κόμη	χόρτασμα	χόρτασμα	1	66	61	13	9	πώγων ; 0.7024667263031006	κρουνηδόν ; 0.6810224056243896	στῆρ ; 0.6314008831977844	βουλόλιον ; 0.6745958924293518
-0.16348517907731208	ἄδικος	ψευδάδελφος	Χριστιανός	ἀναστροφή	ἄδικος	0	137	2	3	15	ἄνομος ; 0.8185442090034485	Μαδβαρῖτις ; 0.6990766525268555	ὑπογράφω ; 0.6814751625061035	περιρρέω ; 0.6635645627975464
-0.10612540678536403	ποίμνιον	ψευδάδελφος	νεόφυτος	ἄψινθος	ποίμνιον	0	79	2	6	1	πρόβατον ; 0.7585578560829163	Μαδβαρῖτις ; 0.6990766525268555	λυμεών ; 0.6521388292312622	γενεαλογία ; 0.6531336307525635
0.20214637704079136	χλωρός	χόρτος	ἀκάνθινος	ἕως	ἕως	1	19	64	3	1710	χόρτος ; 0.7438817620277405	χλωρός ; 0.7438819408416748	συντρέχω ; 0.7124042510986328	ἀπό ; 0.7399535179138184
-0.09373097550347209	γέννημα	τεκνογονέω	ἔγκυος	μεταίρω	ἔγκυος	0	7	1	2	6	Σατανᾶς ; 0.6366822719573975	οἰκοδεσποτέω ; 0.9045199751853943	τρίμηνος ; 0.6826874613761902	καταδέσμους ; 0.6625624299049377
0.02375922228561267	παροικέω	ἐνοικέω	περιοικέω	ἔθνος	παροικέω	0	73	46	1	1173	κατορύσσω ; 0.6563574075698853	οἰκέω ; 0.7814301252365112	μεσουράνημα ; 0.6658247113227844	λαός ; 0.7285155057907104
0.24557231660483742	ψευδαπόστολος	ἀπόστολος	συμπρεσβύτερος	παροικέω	παροικέω	1	1	79	1	73	ἀπληστεύομαι ; 0.7182146906852722	φυλακίζω ; 0.6864308714866638	παραπλησίως ; 0.6308232545852661	κατορύσσω ; 0.6563574075698853
0.26514315022150153	ὀργή	θυμομαχέω	θυμός	ἀεί	θυμομαχέω	0	339	1	351	21	θυμός ; 0.8706415891647339	Κανθαν ; 0.7131556868553162	ὀργή ; 0.8706415891647339	καταξιόω ; 0.7168844938278198
0.33244094809405716	χαλκηδών	σμαράγδινος	ἴασπις	ἀναβολή	ἀναβολή	1	1	1	8	4	σάπφιρος ; 0.9010704755783081	θραελ ; 0.669401228427887	σμάραγδος ; 0.7781729698181152	Κάρπος ; 0.6382774114608765
0.18809232389338315	παιδεύω	διδασκαλία	θεοδίδακτος	κατάλυμα	κατάλυμα	1	101	25	1	17	ἐλέγχω ; 0.6944308876991272	Σιλουανός ; 0.7151238322257996	κακοήθης ; 0.7065870761871338	ἔρημος ; 0.6316866874694824
0.1927132399773655	προπάτωρ	πατρικός	πατήρ	θήκη	θήκη	1	2	14	1861	4	προσαγορεύω ; 0.737618088722229	εφραθ ; 0.65528804063797	Ραχηλ ; 0.6989314556121826	ἀμφιβολεύς ; 0.7248484492301941
0.2909750337301251	βρῶσις	τρώγω	ἐσθίω	ἀκάνθινος	ἀκάνθινος	1	53	6	841	3	καρπός ; 0.6394867897033691	ῥαντισμός ; 0.7131882905960083	πίνω ; 0.7449785470962524	συντρέχω ; 0.7124042510986328
0.13282270454214423	παιδεύω	διδάσκω	διδασκαλία	ἐγκεντρίζω	παιδεύω	0	101	203	25	7	ἐλέγχω ; 0.6944308876991272	καταγγέλλω ; 0.6827582120895386	Σιλουανός ; 0.7151238322257996	ἀπομέμπτω ; 0.71531081199646
0.1773737701214555	ἰσχύω	κατισχύω	ἐξισχύω	ὀργίζομαι	ὀργίζομαι	1	134	108	1	9	ἀνίημι ; 0.6434286832809448	ἐνισχύω ; 0.7928465008735657	Κόρινθος ; 0.6099525690078735	ῥακά ; 0.6018481254577637
