Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.03602331945521131	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	37	192	43	25	Ἐρύμας ; 0.45694437623023987	ἀσύφηλος ; 0.45556584000587463	κροκωτός ; 0.40714460611343384	Κίλλα ; 0.4859631657600403
0.1735878605689665	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	χειραγωγέω ; 0.4379922151565552	σελήνη ; 0.5163153409957886	κοιλογάστωρ ; 0.44416478276252747	Αναηλ ; 0.4593215882778168
0.05548987332449801	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	31	1	118	5	καρποφόρος ; 0.4168422222137451	Οὐολοῦσκοι ; 0.4538514018058777	ὁμόφρων ; 0.4384227395057678	Ρεμμωθ ; 0.47676941752433777
0.04046483383950389	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	ξενολογέω ; 0.46878212690353394	ἐξέρχομαι ; 0.5839790105819702	στείχω ; 0.4606398940086365	Μένιππος ; 0.44291722774505615
0.05864207113079006	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5312	3	37	λεμά ; 0.5438528060913086	κύριος ; 0.542159378528595	αἰωρέω ; 0.4448995590209961	παρακλάομαι ; 0.4604871869087219
-0.06910356379671395	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5312	9	Παρθενοπαῖος ; 0.45145589113235474	μητραλοίης ; 0.4282052516937256	κύριος ; 0.542159378528595	Γελλα ; 0.49300462007522583
-0.02429549337306569	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	Ἀρτεμᾶς ; 0.4576131999492645	ἀντιπροσώπος ; 0.4825570583343506	δέκτωρ ; 0.4485354423522949	φάρσος ; 0.41153284907341003
0.13950809804015948	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	118	8	101	2	ὁμόφρων ; 0.4384227395057678	Γυμνοσοφισταί ; 0.45013487339019775	ἐλέγχω ; 0.4676167368888855	ἀθανασία ; 0.46622952818870544
0.07999945692812788	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	17	61	211	15	βαλανηφόρος ; 0.47374290227890015	ἐκτυφλόω ; 0.4199054539203644	χλωρός ; 0.43689441680908203	ἄμομφος ; 0.4607630968093872
0.08215280749227488	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	δύσλοφος ; 0.46709591150283813	ἐκκεντέω ; 0.451545774936676	φιλοτεκνία ; 0.4681892395019531	πάρεσις ; 0.9357643127441406
0.27269519545042215	βάτος	χόρτος	σίναπι	χαλκηδών	βάτος	0	13	64	5	1	διάληψις ; 0.43564820289611816	ἐγκωμιαστικός ; 0.42340123653411865	ἀμήν ; 0.4415626525878906	σάπφιρος ; 0.9411603808403015
0.10494903821188023	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	346	ὁμότεχνος ; 0.7051991820335388	πόλις ; 0.4894481897354126	κιβωτός ; 0.4373006820678711	πορεύομαι ; 0.5014786720275879
-0.07526339831067808	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	φθορά	0	28	1	20	8	Ἀρτεμᾶς ; 0.4576131999492645	δέκτωρ ; 0.4485354423522949	ἐμφυσάω ; 0.5154270529747009	ἐνασκέω ; 0.474761962890625
0.03069866591042497	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	μέριμνα	0	1	17	4	136	ἑρσήεις ; 0.4057212769985199	ἀνόνητος ; 0.4548293948173523	Σεδδαδα ; 0.40878599882125854	ἐξάγω ; 0.5977839827537537
0.10800494530884674	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	κερδαίνω ; 0.42840954661369324	πολεμοτροφέω ; 0.4531804323196411	γλάγος ; 0.4038028120994568	Στησίμβροτος ; 0.4411941468715668
