Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.027272216027292795	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	37	192	43	25	διπλοῦς ; 0.4469429850578308	Λιλυβαίτης ; 0.47931236028671265	εἴτε ; 0.4791164696216583	ἀτέλευτος ; 0.45014262199401855
0.12512588951844633	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	φῶς ; 0.4059198498725891	φίλιος ; 0.5052098035812378	χιών ; 0.4944887161254883	στρατιά ; 0.4490520656108856
-0.015101774496763809	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	διδαχή	0	31	1	118	5	γινώσκω ; 0.44473105669021606	φάρυγξ ; 0.47053009271621704	ὁμοφροσύνη ; 0.46909695863723755	συγγιγνώσκω ; 0.4282528758049011
0.03575778380517358	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκπορεύομαι	0	11	204	100	1	πλαγιάζω ; 0.4498744308948517	ἐξέρχομαι ; 0.6059421300888062	μήτι ; 0.48204338550567627	ἀπαράβατος ; 0.5462219715118408
0.012420832024688633	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5312	3	37	εὐήχης ; 0.5720069408416748	κύριος ; 0.5244633555412292	Θεστόρειος ; 0.4592060148715973	δυσάμμορος ; 0.44457772374153137
-0.03511645318152057	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5312	9	δεκατόω ; 0.4829941689968109	ὅδε ; 0.4862212538719177	κύριος ; 0.5244633555412292	δημός ; 0.4775888919830322
0.011343569614760407	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	πορθέω	0	28	5	1	7	ζημία ; 0.47683799266815186	κηπουρός ; 0.49065589904785156	ἐνσχολάζω ; 0.4662809669971466	ποιμενικός ; 0.4606413245201111
0.18818431199548358	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	118	8	101	2	ὁμοφροσύνη ; 0.46909695863723755	ἐραυνάω ; 0.45474696159362793	δοκιμασία ; 0.43840622901916504	σωφρονέω ; 0.48920494318008423
0.029775756003694143	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	17	61	211	15	ἕτοιμος ; 0.4174686670303345	κόρη ; 0.44177475571632385	δένδρον ; 0.5102087259292603	ἀκοή ; 0.4355151653289795
0.08386912386320905	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	8	2	1	τανύθριξ ; 0.48558831214904785	παγιδεύω ; 0.41988605260849	ἀγενής ; 0.5077476501464844	πάρεσις ; 0.8669894933700562
0.38871247858228486	βάτος	χόρτος	σίναπι	χαλκηδών	βάτος	0	13	64	5	1	λίνον ; 0.45045006275177	χνοῦς ; 0.42358827590942383	ἀείναος ; 0.422457218170166	σαρδόνυξ ; 0.8508687019348145
0.20034501299707452	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	83	455	346	μονοχίτων ; 0.48510491847991943	σκηνή ; 0.4149986207485199	παρεμβολή ; 0.43445152044296265	ἀναστρέφω ; 0.45407605171203613
-0.054916875284092115	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	28	1	20	8	ζημία ; 0.47683799266815186	ἐνσχολάζω ; 0.4662809669971466	αὐτοῦ ; 0.4534798562526703	νήθω ; 0.4527175724506378
0.12065895004283472	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	περίψημα ; 0.48700472712516785	ἀπόλλων ; 0.43778204917907715	ἔμβολον ; 0.4981684386730194	ἀναβιβάζω ; 0.5889003276824951
0.11179421293384523	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	κημόω ; 0.45955801010131836	μεθορμίζω ; 0.44289344549179077	σπόριμος ; 0.43144726753234863	σκύβαλον ; 0.46705877780914307
0.054301853327588134	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	211	16	1	2	δένδρον ; 0.5102087259292603	ψυχικῶς ; 0.47029924392700195	Ιερεμιν ; 0.4613019526004791	Θράκιος ; 0.47022029757499695
-0.01169173256225936	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	διάγω	0	1	7	23	4	ἔγχελυς ; 0.4786613881587982	μεσοπόρφυρος ; 0.4929017722606659	διαφέρω ; 0.41787534952163696	διαφορέω ; 0.49126121401786804
0.14920808533374902	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	4	9	54	11	δέρκομαι ; 0.4856131076812744	Ἡρακλείδης ; 0.4687010943889618	ὁρμαίνω ; 0.3966292142868042	πλαγιάζω ; 0.4498744308948517
-0.03274941762989775	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	ἀμέριμνος	0	4	1	1	11	διαφορέω ; 0.49126121401786804	ἡττάομαι ; 0.5397298336029053	περίψημα ; 0.48700472712516785	ὁδοιπορέω ; 0.4475902318954468
0.07918258254170168	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	αὐθεντέω	1	4	6	44	1	ἑρμηνεία ; 0.4301481246948242	περιποτάομαι ; 0.46186554431915283	ἐσθίω ; 0.5002619624137878	ἀρτιζυγία ; 0.4537498652935028
0.07918224788765849	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	διενθυμέομαι	1	1	22	37	1	Ἀντιπᾶς ; 0.5166016817092896	Βουπράσιον ; 0.43474748730659485	Φάων ; 0.4698922038078308	κατασκιάζω ; 0.45098134875297546
0.11576649388167631	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	σπόριμος ; 0.43144726753234863	Μαχω ; 0.43282198905944824	μεθορμίζω ; 0.44289344549179077	ἀπόλλων ; 0.43778204917907715
-0.021831454431598007	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	μεγιστάν	0	7	52	11	3	δοκέω ; 0.4517868161201477	παραβασιλεύω ; 0.421254962682724	ὁδοιπορέω ; 0.4475902318954468	συμβιβαστικός ; 0.47063732147216797
0.06243580265210075	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	μιαροφαγέω ; 0.4806484282016754	ὰν ; 0.5098878741264343	ἰδιότης ; 0.480966180562973	Αβεσσα ; 0.4724094867706299
-0.1337071387111788	φθινοπωρινός	θέρος	διετία	τρίχινος	θέρος	0	1	11	2	2	ἀκροστόλιον ; 0.43976786732673645	κυμαίνω ; 0.4737037420272827	Πάρθος ; 0.4893609881401062	Ἄνναρος ; 0.4363858699798584
0.026751337848025802	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	θηλάζω	1	6	28	1	34	ὑποσκέλισμα ; 0.3969586491584778	γλυκερός ; 0.4847199022769928	σεμνολογέω ; 0.49550941586494446	ποτίζω ; 0.484417200088501
0.0400912464485223	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	δαμάζω	0	2	7	1	2	ἀγενής ; 0.5077476501464844	ἀντιπαραγωγή ; 0.47257086634635925	θησαύρισμα ; 0.48321226239204407	ἐπαρτύω ; 0.5164371728897095
0.052593916541875285	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	βαθύς	0	28	28	6	3	γλυκερός ; 0.4847199022769928	ἐνδελεχῶς ; 0.42762792110443115	ὑποσκέλισμα ; 0.3969586491584778	ἀτοπία ; 0.47798869013786316
-0.04920103901318518	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	ἐπιφαίνω	0	27	28	8	33	ἐπιφημί ; 0.5691505670547485	χιών ; 0.4944887161254883	διασκευή ; 0.49871304631233215	καθήκω ; 0.4516923427581787
