Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.003880252417240382	μακρός	χρόνος	πάντοτε	ψωμίζω	πάντοτε	0	37	193	43	25	σχίζα ; 0.4416927099227905	ἀπληστία ; 0.45569711923599243	εὐάρεστος ; 0.5025194883346558	καλλονή ; 0.39970386028289795
0.13139351846572236	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	σκιά ; 0.48967304825782776	κεῖμαι ; 0.4809185862541199	ἥλιος ; 0.5050936937332153	Συχεμ ; 0.42703238129615784
-0.08706875511587198	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	31	1	121	5	νυνί ; 0.3940994143486023	καλοδιδάσκαλος ; 0.9220665097236633	ῥῆσις ; 0.4384409189224243	Αμαν ; 0.4495246410369873
0.046118991288893574	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	διασπασμός ; 0.4427167773246765	ἐξέρχομαι ; 0.47405049204826355	ἔκλαμψις ; 0.40848708152770996	τυφωνικός ; 0.42094218730926514
-0.04829416975008699	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5315	3	37	λεμά ; 0.783700704574585	ἐπερώτημα ; 0.5058409571647644	Κρήτη ; 0.5134422779083252	ἐξασκέω ; 0.4307745099067688
0.000898884108318454	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5315	9	ἐπιθυμητής ; 0.45471081137657166	ἐπιφανής ; 0.434929221868515	ἐπερώτημα ; 0.5058409571647644	Χελκανα ; 0.43097954988479614
-0.05160097857660856	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	θνητός ; 0.4002598822116852	μέγιστος ; 0.47456711530685425	Ῥαάβ ; 0.49999743700027466	τρυγάω ; 0.4010236859321594
0.13675875449191052	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	121	8	101	2	ῥῆσις ; 0.4384409189224243	πλαστός ; 0.4281003773212433	καταθαρσύνω ; 0.4238176643848419	ἐπίχειρον ; 0.4525078535079956
0.22822736286380452	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	γυνή ; 0.39091619849205017	λιθουργικός ; 0.4039900004863739	Αταδ ; 0.4344019591808319	βαδδιν ; 0.4375990629196167
0.11702484662914342	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	θρήνημα ; 0.4271807074546814	μέν ; 0.43709781765937805	ἀντέχομαι ; 0.44198694825172424	πάρεσις ; 0.9308841824531555
0.18938635603536486	βάτος	χόρτος	σίναπι	χαλκηδών	βάτος	0	13	64	5	1	κυλίομαι ; 0.44223058223724365	γένημα ; 0.43512094020843506	ἀντιμισθία ; 0.41234856843948364	σάπφιρος ; 0.9413058757781982
0.11270474529330193	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	83	455	346	ὁμότεχνος ; 0.7605512738227844	νύμφη ; 0.3896283209323883	γεῖσος ; 0.4257832169532776	εἰσάγω ; 0.4971920847892761
-0.014195320928924948	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	συναπόλλυμαι	0	28	1	20	8	θνητός ; 0.4002598822116852	Ῥαάβ ; 0.49999743700027466	Αναθ ; 0.3743862509727478	γερουσία ; 0.45595449209213257
0.11155827442804972	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	μέριμνα	0	1	17	4	136	ἔξαρσις ; 0.4329286217689514	Ιεχονιαασιρ ; 0.3898407518863678	ἀπογεύω ; 0.38171252608299255	ἐξάγω ; 0.6093266010284424
0.15623223237544825	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	Ἀραβώθ ; 0.40962913632392883	Μιχας ; 0.40271782875061035	σπόριμος ; 0.41500645875930786	διαλαμβάνω ; 0.43177029490470886
0.10022340396885704	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	θηρίον	0	211	16	1	2	Αταδ ; 0.4344019591808319	βορά ; 0.4173232316970825	Γαιβαα ; 0.4839223623275757	Κυρήνιος ; 0.7280174493789673
-0.034774731570037576	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	κατάστημα	0	1	7	23	4	καλοδιδάσκαλος ; 0.6816547513008118	πυκνότερον ; 0.44765713810920715	κατακαίω ; 0.4551598131656647	εὐμενῶς ; 0.6076973080635071
0.03530355120923584	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ὁμοιόω	0	4	9	54	11	τοξότης ; 0.4350320100784302	κάρυον ; 0.44520363211631775	μανία ; 0.4185029864311218	διασπασμός ; 0.4427167773246765
0.03729884617080065	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	εὐγενής	1	4	1	1	11	εὐμενῶς ; 0.6076973080635071	ῥίτωω ; 0.43058454990386963	ἔξαρσις ; 0.4329286217689514	Χεττιιν ; 0.40345823764801025
0.05085886605291989	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	βρώσιμος	0	4	6	44	1	συμφύομαι ; 0.45787808299064636	βόρβορος ; 0.5000579953193665	Χουνθα ; 0.4896816909313202	Βηθασμωθ ; 0.4718232750892639
-0.04127698912047484	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	ἐγκατοικέω	0	1	22	37	1	βλέμμα ; 0.7671262621879578	νόημα ; 0.4331757426261902	πόρνος ; 0.5167297720909119	ἀκριβῶς ; 0.4713786542415619
0.06446992754167097	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	ἐπισπείρω	0	113	1	6	17	σπόριμος ; 0.41500645875930786	ὑπνόω ; 0.5103024840354919	Μιχας ; 0.40271782875061035	Ιεχονιαασιρ ; 0.3898407518863678
0.12777442032619452	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	ἑρμηνεία	1	7	53	11	5	ἐπερώτησις ; 0.5061823129653931	Ιωαδα ; 0.4390694499015808	Χεττιιν ; 0.40345823764801025	ἐνέργημα ; 0.4960610270500183
-0.000904797718537631	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	διακαίω ; 0.47381722927093506	ἐπιστοποιέω ; 0.4938849210739136	ἀρετή ; 0.5110592842102051	Σεκελακ ; 0.44452571868896484
0.0349122702867688	φθινοπωρινός	θέρος	διετία	τρίχινος	τρίχινος	1	1	11	2	2	ἐπαφρίζω ; 0.6069226264953613	μονοφάγος ; 0.4602121114730835	Μωδεϊν ; 0.4230974614620209	ἐκχύσις ; 0.45036613941192627
0.04937285125339291	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	θηλάζω	1	6	28	1	34	Ιαδινος ; 0.39390742778778076	Σιων ; 0.4445500671863556	μασομελ ; 0.4617374539375305	ἀποσπάω ; 0.5153610706329346
-0.05715338510774476	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	δαμάζω	0	2	7	1	2	ἀντέχομαι ; 0.44198694825172424	συγκαίω ; 0.4342809319496155	ὄγκος ; 0.9225749969482422	ἀναγεννάω ; 0.42600053548812866
0.06929960339363767	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	βαθύς	0	28	28	6	3	Σιων ; 0.4445500671863556	ᾅδης ; 0.48974889516830444	Ιαδινος ; 0.39390742778778076	ἀλλοτριεπίσκοπος ; 0.508863091468811
0.017894370843307694	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	οἷος	1	27	28	8	33	ὑφαντός ; 0.467660129070282	ἥλιος ; 0.5050936937332153	εἰσέρχομαι ; 0.4435248374938965	γνωριστής ; 0.4676608145236969
0.023969214350991863	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	πρῶτον	0	96	9	20	1	κατασύρω ; 0.46100202202796936	κατατιτρώσκω ; 0.39840832352638245	σκότος ; 0.4880039393901825	Ὡσηέ ; 0.466868132352829
0.5150063986409122	ἐννέα	δύο	τέσσαρες	φίλανδρος	φίλανδρος	1	48	830	289	1	πέντε ; 0.4177606701850891	Βοος ; 0.44108712673187256	τρεῖς ; 0.41035735607147217	σωφρονίζω ; 0.9157810211181641
-0.13437758853092835	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	σπαργανόω	0	4	1	147	21	Ρεμμωνα ; 0.4779694080352783	Αλιμαζονις ; 0.4853164851665497	ξυράω ; 0.447915256023407	ἔπαινος ; 0.4233417510986328
0.21483646525336325	βίος	χράομαι	ἀναστρέφω	φιλόθεος	χράομαι	0	79	34	123	1	φυγή ; 0.43966031074523926	μετοικία ; 0.4109884202480316	παραγίγνομαι ; 0.44655993580818176	φιλήδονος ; 0.9021555185317993
0.08205877571240866	συνεγείρω	ζάω	ζῳογονέω	θέρος	θέρος	1	6	699	3	11	ψογίζω ; 0.3765002489089966	πληρόω ; 0.3841150104999542	ἀπερείδομαι ; 0.4058188199996948	μονοφάγος ; 0.4602121114730835
0.09467655204494846	ἀνάστασις	ζάω	ζῳοποιέω	παθητός	παθητός	1	48	699	11	1	ἐγείρω ; 0.41112688183784485	πληρόω ; 0.3841150104999542	Μελχισεκεκ ; 0.39945557713508606	περίπτωμα ; 0.43231940269470215
0.022281338158092634	χλωρός	βοτάνη	βάτος	πάσχω	βάτος	0	19	17	13	60	φύλλον ; 0.4492838978767395	φλυκτίς ; 0.3918929100036621	κυλίομαι ; 0.44223058223724365	ἐνίστημι ; 0.43227607011795044
-0.13636579613158448	ἀποπλέω	εὐθυδρομέω	πλοῦς	ἀπογράφω	ἀποπλέω	0	4	2	3	10	Ἀττάλεια ; 0.7031574249267578	Κώς ; 0.7224152088165283	διανύω ; 0.6818792223930359	ἰσαστέρος ; 0.46356257796287537
0.0646439458354281	προσαγωγή	λαλέω	προσλαλέω	παραχειμάζω	προσαγωγή	0	3	1487	4	4	ἀποσφενδονάω ; 0.4634685218334198	ἐπερωτάω ; 0.4337647557258606	ταλαίπωρος ; 0.42871159315109253	Ζηνᾶς ; 0.5304973125457764
0.0077231819722447526	προφθάνω	πάλαι	καινός	διατροφή	πάλαι	0	20	15	101	2	σκότος ; 0.4880039393901825	Ασβασαρεθ ; 0.4573909044265747	ὀρύσσω ; 0.44365906715393066	Βαρχια ; 0.5034399032592773
0.014851375296610958	κατασφάζω	θανατόω	σφαγή	ἔννοια	θανατόω	0	12	171	27	12	ἀσέλγεια ; 0.46917688846588135	τελευτάω ; 0.5101912021636963	Ἀσήρ ; 0.4519282579421997	συγγράφω ; 0.4030241072177887
0.03268119676323833	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	γαζοφυλάκιον	μεθερμηνεύω	0	1	9	5	30	φωσφόρος ; 0.4611433446407318	πόρνη ; 0.398883193731308	ἐνέργημα ; 0.4960610270500183	σοομ ; 0.4144516587257385
