Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.04010521351038571	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	37	193	43	25	κυριακός ; 0.6881045699119568	ἀπόκειμαι ; 0.6856980323791504	ἀγάπη ; 0.7000934481620789	κείρω ; 0.6452311277389526
0.4691685436747901	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	φωτισμός ; 0.6936722993850708	σκεπάζω ; 0.6848164200782776	νεφέλη ; 0.6904565095901489	δυναστεία ; 0.7151229977607727
0.05361979217545937	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	121	5	ὑστέρησις ; 0.6993939876556396	καλοδιδάσκαλος ; 0.8256774544715881	ῥῆσις ; 0.6774089932441711	σημειόω ; 0.6453567743301392
0.016510124766736856	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	ἱστορέω ; 0.6353868246078491	ἐξέρχομαι ; 0.7624378204345703	Ελιφας ; 0.6396905779838562	πνευματικός ; 0.6579315662384033
0.1472058422180425	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5315	3	37	λεμά ; 0.6709069013595581	δοξολογέω ; 0.6647270321846008	Γαμαλι ; 0.6628658771514893	πολλαχῶς ; 0.7134070992469788
0.0022864369575535393	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5315	9	Σινᾶ ; 0.6399750113487244	κύριος ; 0.7688594460487366	δοξολογέω ; 0.6647270321846008	ἐναντιος ; 0.7175960540771484
0.05378044990180142	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	ἄνυδρος ; 0.6045476198196411	κηδεμονία ; 0.604875922203064	Μαχαμας ; 0.6171873211860657	ἐκτρώγω ; 0.6594826579093933
-0.09137557569046034	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	121	8	101	2	ῥῆσις ; 0.6774089932441711	ἀνατάσσομαι ; 0.7012860774993896	ὑπερβαλλόντως ; 0.6626898050308228	ἠπιότης ; 0.6314717531204224
0.1516405489211793	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	ἐρυσίβη ; 0.6924982666969299	τροχός ; 0.7111548781394958	πετεινόν ; 0.8136593103408813	γαστήρ ; 0.6867504119873047
-0.03387232013514918	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	καύχησις ; 0.6958032846450806	Μασελμωθ ; 0.6620916724205017	συναλλάσσω ; 0.6451433300971985	πάρεσις ; 0.9107839465141296
0.14328050458319702	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	βιβλαρίδιον ; 0.6648660898208618	χλωρός ; 0.7643028497695923	Γολγοθᾶ ; 0.6766069531440735	σαρδόνυξ ; 0.921222448348999
