Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.02941902927576856	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	37	193	43	25	κατακολουθέω ; 0.7000768184661865	ἐπιχωρέω ; 0.7003844976425171	πρέπω ; 0.6896533966064453	μεθύω ; 0.6299455761909485
0.26087036182438256	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	ὑπέρτερος ; 0.6994799375534058	ἐκλάμπω ; 0.7064967751502991	Ἐχέμμων ; 0.6852464079856873	ἵππος ; 0.6647963523864746
0.17970402970981342	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	121	5	εἰσθέω ; 0.6948066353797913	λήμη ; 0.6701000332832336	Ποντιανός ; 0.7204998731613159	τρυγητής ; 0.6155920028686523
0.05649230769368585	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	Χουσαρσαθαιμ ; 0.6212184429168701	ῥίπτω ; 0.7978333234786987	εὐτράπεζος ; 0.7191203832626343	δακτυλόδεικτος ; 0.6533507704734802
0.17016062101299567	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5315	3	37	̓ἰάν ; 0.6979557871818542	Παρράσιος ; 0.6334127187728882	Κυμώ ; 0.7068970799446106	φιλότεκνος ; 0.6599231958389282
-0.0545208496327938	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5315	9	Κεαφ ; 0.7245016098022461	Σιων ; 0.7376134991645813	Παρράσιος ; 0.6334127187728882	ἐλευθερία ; 0.7264708280563354
-0.06732995579354362	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	ἐγχρονίζω ; 0.6405766010284424	Αχιμι ; 0.6861947774887085	ἐξαπορέω ; 0.684249997138977	Μελιταῖος ; 0.6502827405929565
0.29286949862531314	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	121	8	101	2	Ποντιανός ; 0.7204998731613159	ιωθ ; 0.6755426526069641	ἐκκινέω ; 0.7122706174850464	ὀνομασία ; 0.7702633142471313
0.2660617876253542	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	Ουεσβι ; 0.6827521920204163	διάχρυσος ; 0.7138502597808838	οὐρανός ; 0.7257025241851807	πάρδαλις ; 0.7151154279708862
0.0847222531914108	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	κατάκρισις ; 0.6705300807952881	Λήιτος ; 0.715380072593689	Σαρεδ ; 0.693907618522644	πάρεσις ; 0.9387121796607971
0.09467919090653742	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	ὑποπυρρίζω ; 0.7128443121910095	θηρίον ; 0.6872996687889099	Πηνειός ; 0.6833328604698181	σάπφιρος ; 0.9455556273460388
0.13889932659777793	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	346	ἀριθμητός ; 0.6944327354431152	ποιήτρια ; 0.6793545484542847	σχισμάς ; 0.6831000447273254	πορεύομαι ; 0.7500468492507935
0.012758507861226565	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	28	1	20	8	ἐγχρονίζω ; 0.6405766010284424	ἐξαπορέω ; 0.684249997138977	ὑπερβασία ; 0.674707293510437	Ὀροανδεῖς ; 0.7189105749130249
0.13562368006172554	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	μέριμνα	0	1	17	4	136	περίψημα ; 0.7396795749664307	χαλκήιος ; 0.7259060740470886	τεθνήκω ; 0.6706768870353699	ἐξάγω ; 0.8091062903404236
0.1428554748719787	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	μελανόφυλλος ; 0.6416224837303162	Φύλαρχος ; 0.6708158254623413	εὐκαιρέω ; 0.7237170934677124	̓Ολυμπιιάς ; 0.6997143030166626
-0.046025307023855655	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	θρέμμα	0	211	16	1	2	οὐρανός ; 0.7257025241851807	κατευνάζω ; 0.6623229384422302	Ἀδδί ; 0.7041302919387817	καταλέγω ; 0.6402445435523987
-0.06403507926208218	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	διάγω	0	1	7	23	4	μεριμνάω ; 0.6949036121368408	Μάνιος ; 0.7463207840919495	συναναιρέω ; 0.6969125270843506	κακοπράγμων ; 0.6840657591819763
0.07115185782441014	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	4	9	54	11	μετριάζω ; 0.6906113624572754	Αχλια ; 0.6460343599319458	νεόω ; 0.6876699924468994	Χουσαρσαθαιμ ; 0.6212184429168701
-0.13197341460426565	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	ἀμέριμνος	0	4	1	1	11	κακοπράγμων ; 0.6840657591819763	μετριότης ; 0.6515801548957825	περίψημα ; 0.7396795749664307	Ιεθετ ; 0.714705765247345
0.14465228854099654	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	αὐθεντέω	1	4	6	44	1	ἀπερικάθαρτος ; 0.6535978317260742	μορφόω ; 0.6786813139915466	τραγικός ; 0.6844942569732666	μαίνομαι ; 0.7237109541893005
0.03353587282775039	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	κατοικητήριον	0	1	22	37	1	μίσημα ; 0.730446457862854	διά-ἐκβάλλω ; 0.6240400075912476	ἔως ; 0.6896091103553772	αἰολόστομος ; 0.6618139743804932
0.3163795238848466	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	εὐκαιρέω ; 0.7237170934677124	δυώδεκα ; 0.6598988771438599	Φύλαρχος ; 0.6708158254623413	χαλκήιος ; 0.7259060740470886
-0.16553500647713237	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	μεγιστάν	0	7	53	11	5	Ἡλιόδωρος ; 0.6766700148582458	κροσσωτός ; 0.6964185833930969	Ιεθετ ; 0.714705765247345	ἐπίχειρον ; 0.6982582211494446
0.1784968668080924	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	ἀντίκεντρον ; 0.6735321283340454	Καστιάνειρα ; 0.6572772860527039	ἐπικράτεια ; 0.7598331570625305	ἀνδρίζομαι ; 0.6561363935470581
0.06559983030067218	φθινοπωρινός	θέρος	διετία	τρίχινος	φθινοπωρινός	0	1	11	2	2	δορκάδιον ; 0.6419697999954224	Σιδώνιος ; 0.6630942821502686	γυναικόθυμος ; 0.7380499839782715	Βοίβη ; 0.6511891484260559
0.09199241515890966	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	θηλάζω	1	6	28	1	34	δενδρῶτις ; 0.6364161372184753	ἀπόφασις1 ; 0.6237801909446716	οὐδαμῇ ; 0.6977638006210327	Ἐπίστωρ ; 0.6143044233322144
-0.1071484770031993	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	δαμάζω	0	2	7	1	2	Σαρεδ ; 0.693907618522644	ἐξαστράπτω ; 0.7288678884506226	ὄγκος ; 0.6925042867660522	Ἐνεμέσσαρος ; 0.6620285511016846
0.16952029768794458	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	Χριστιανός	1	28	28	6	3	ἀπόφασις1 ; 0.6237801909446716	κυρέω ; 0.6581830978393555	δενδρῶτις ; 0.6364161372184753	Κνίδιος ; 0.718183696269989
0.23210772343571956	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	οἷος	1	27	28	8	33	ἔκλαμψις ; 0.6973543167114258	Ἐχέμμων ; 0.6852464079856873	τήκω ; 0.7629190683364868	Νεεσθαν ; 0.6698067784309387
0.050155783366026996	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	προφθάνω	0	96	9	20	1	ῥαβδοῦχος ; 0.6418614387512207	ἰοβαφής ; 0.6652369499206543	δυσάγκριτος ; 0.6373385190963745	σύνταγμα ; 0.6842753887176514
0.4198849677273218	ἐννέα	δύο	τέσσαρες	φίλανδρος	φίλανδρος	1	48	830	289	1	Καλλίας ; 0.6882466077804565	εἷς ; 0.6743735074996948	ἕξ ; 0.7644017934799194	πολυάνδριον ; 0.6540062427520752
-0.07784892876530358	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	σπαργανόω	0	4	1	147	21	Μεσημα ; 0.646106481552124	ἀπεχθῶς ; 0.7021042108535767	ὁράω ; 0.6698367595672607	πενθήμων ; 0.6841407418251038
0.02870992543239126	βίος	χράομαι	ἀναστρέφω	φιλόθεος	βίος	0	79	34	123	1	ἥβη ; 0.6421825289726257	ἐκτίθημι ; 0.7042886018753052	προπέμπω ; 0.730263352394104	φιλήδονος ; 0.8910813927650452
0.1637516770838256	συνεγείρω	ζάω	ζῳογονέω	θέρος	θέρος	1	6	699	3	11	εὐπάλαμος ; 0.687313437461853	ἀεικής ; 0.6802361011505127	βαίνω ; 0.6634362936019897	Σιδώνιος ; 0.6630942821502686
0.07899784637617141	ἀνάστασις	ζάω	ζῳοποιέω	παθητός	παθητός	1	48	699	11	1	προεκτίθεμαι ; 0.6890086531639099	ἀεικής ; 0.6802361011505127	ῥῆγος ; 0.6606274843215942	Εὐφρήτης ; 0.681242823600769
0.292003826106999	χλωρός	βοτάνη	βάτος	πάσχω	πάσχω	1	19	17	13	60	διαμιστύλλω ; 0.6989842653274536	κλαγγηδόν ; 0.6631045341491699	ὑποπυρρίζω ; 0.7128443121910095	Ἀφρικανός ; 0.6925009489059448
0.11277950892140398	ἀποπλέω	εὐθυδρομέω	πλοῦς	ἀπογράφω	ἀποπλέω	0	4	2	3	10	Σαυνῖτις ; 0.6700050234794617	Κώς ; 0.7229783535003662	εὔσπλαγχνος ; 0.6973129510879517	ἀνακηρύσσω ; 0.7246357202529907
-0.09609159290119096	προσαγωγή	λαλέω	προσλαλέω	παραχειμάζω	προσλαλέω	0	3	1487	4	4	κλιμακτήρ ; 0.7153146862983704	εἶδον ; 0.7262158393859863	ἀπρόσκοπος ; 0.7078929543495178	εἰδέω ; 0.6723237037658691
-0.09105961804119844	προφθάνω	πάλαι	καινός	διατροφή	πάλαι	0	20	15	101	2	δυσάγκριτος ; 0.6373385190963745	ἐγκρατής ; 0.6954656839370728	ἰονθάς ; 0.68367600440979	ἐγκοπή ; 0.6600174903869629
-0.08181044608783766	κατασφάζω	θανατόω	σφαγή	ἔννοια	σφαγή	0	12	171	27	12	διάστασις ; 0.7464344501495361	ἀντιδικέω ; 0.7136977910995483	κάνθαρος ; 0.6854746341705322	ἱππηλασία ; 0.6335856318473816
0.11668492419961202	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	γαζοφυλάκιον	γαζοφυλάκιον	1	1	9	5	30	ἀλίμενος ; 0.6810926795005798	Φοίβη ; 0.6952117085456848	ἐπίχειρον ; 0.6982582211494446	καταμεστόω ; 0.7094531059265137
0.03076050647549944	περιοικέω	κατοίκησις	κατοικία	τοιοῦτος	τοιοῦτος	1	1	11	37	138	ἑλικογλέφαρος ; 0.6492041349411011	ἐπῳδός ; 0.6918652057647705	ἔως ; 0.6896091103553772	ἐκεῖνος ; 0.6598901748657227
0.05302194282466066	ἐκδιηγέομαι	ἀναγγέλλω	ἀγγελία	λέπρα	ἀγγελία	0	16	274	15	43	διαγρυπνέω ; 0.70619136095047	ἀπαγγέλλω ; 0.726314902305603	πάρδαλις ; 0.7151154279708862	φλυκτίς ; 0.6836134195327759
-0.019276734819567043	μάμμη	ἀπάτωρ	προπάτωρ	ἰσχύω	ἰσχύω	1	2	1	2	134	γενέσια ; 0.7010105848312378	Ἴκαρος ; 0.671423077583313	περίβαρυς ; 0.6966882944107056	διάκειμαι ; 0.6478738784790039
0.11410996260643369	θρίξ	μέλος	κόμη	χόρτασμα	χόρτασμα	1	66	61	13	9	πολλός ; 0.7233775854110718	ἐκσυρίζω ; 0.847093939781189	πέταλον ; 0.6335668563842773	Ηραε ; 0.6575649976730347
-0.09122415841402864	ἄδικος	ψευδάδελφος	Χριστιανός	ἀναστροφή	ἄδικος	0	137	2	3	15	παραλογισμός ; 0.6744171380996704	ἐπισκευή ; 0.6933298110961914	Κνίδιος ; 0.718183696269989	Ἀπολλῶς ; 0.6555187702178955
-0.07182695005398632	ποίμνιον	ψευδάδελφος	νεόφυτος	ἄψινθος	νεόφυτος	0	79	2	6	1	ἀκτήμων ; 0.6502552032470703	ἐπισκευή ; 0.6933298110961914	πρόπυργος ; 0.667140007019043	ἄκρατος ; 0.645224928855896
