Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.11356764974822603	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	37	193	43	25	Ὀϊλιάδης ; 0.6406627893447876	συσσιτήσις ; 0.7314506769180298	τέγεος ; 0.6840451955795288	σαπέρδης ; 0.6383174657821655
0.3557806416968027	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	πρέσβιστος ; 0.7033029794692993	ἀμάραντος ; 0.6749300360679626	τερέμινθος ; 0.7465280890464783	προσβοηθέω ; 0.6962315440177917
-0.031643833974873026	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	31	1	121	5	ὑστέρησις ; 0.7586525678634644	Σικιμῖται ; 0.7781984210014343	καταδεύω ; 0.6823635101318359	πυγμαχία ; 0.6234484314918518
0.07219491720911814	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	ἑλέπτολις ; 0.6802061796188354	ἐξέρχομαι ; 0.7456786632537842	ἀντιτίνω ; 0.6760866045951843	Βάρκας ; 0.6714122295379639
0.15906720865071522	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5315	3	37	ἠλί ; 0.700689435005188	κύριος ; 0.7342945337295532	ἑταιρέω ; 0.6835764050483704	θεσμός ; 0.765663743019104
-0.023189827940344132	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5315	9	ἥττημα ; 0.7422642111778259	εὔπειστος ; 0.7405137419700623	κύριος ; 0.7342945337295532	ἀπομαλακίζομαι ; 0.7027565240859985
0.04057498240080426	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	ἐφήκω ; 0.714518666267395	Δωδώνη ; 0.7005859613418579	ἀβαρής ; 0.6776554584503174	Εγγαδδι ; 0.6724762916564941
-0.018607481642778145	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεύω	0	121	8	101	2	καταδεύω ; 0.6823635101318359	μεθοδικός ; 0.7103548645973206	νίκημα ; 0.6748072504997253	νοῦς ; 0.6796752214431763
0.15496276226401903	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	σιδήριον ; 0.7035470604896545	Συλλανίος ; 0.6500600576400757	ἕρμα ; 0.6606310606002808	Ιορδάνης ; 0.7457331418991089
-0.14520486520034115	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	8	2	1	ἀγροικία ; 0.6854241490364075	Αλκαθα ; 0.6625224351882935	κυκλέω ; 0.6837114691734314	πάρεσις ; 0.8628023862838745
0.30341937418338033	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	κακοπάθεια ; 0.6800512671470642	κόκκος ; 0.6634987592697144	Ἀναγυράσιος ; 0.6805517673492432	σαρδόνυξ ; 0.9012491106987
0.11727881485738856	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	346	ἀρχιτέκτων ; 0.7018463015556335	Βερεα ; 0.6475878357887268	ὑπόνομος ; 0.6463631987571716	ἀναχωρέω ; 0.7669892311096191
-0.026249900325006736	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	28	1	20	8	ἐφήκω ; 0.714518666267395	ἀβαρής ; 0.6776554584503174	ἐμπνέος ; 0.7132877707481384	Σομεϊς ; 0.7030045986175537
0.24257030518855294	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	ἀφύλακτος ; 0.6864875555038452	Ξέναρχος ; 0.7374783158302307	Κοίρανος ; 0.6595293283462524	ἐξάγω ; 0.8145496845245361
0.09664814980087433	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	Θερμώδων ; 0.6987317204475403	ἀντιποιέω ; 0.7347824573516846	τρυγάω ; 0.6828700304031372	χρυσόπαστος ; 0.655769944190979
0.2276519031179654	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	211	16	1	2	ἕρμα ; 0.6606310606002808	πέταλος ; 0.6872292160987854	ἀκμή ; 0.6621518731117249	προεδρία ; 0.7373999953269958
-0.0942490844832401	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀγωγή	0	1	7	23	4	μετέχω ; 0.7109068632125854	σπλαγχνίζω ; 0.6644446849822998	περιαγω ; 0.6742604374885559	θέα ; 0.6781355738639832
0.1541020433681794	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	4	9	54	11	διαγλύφω ; 0.7109779119491577	ἀπανάστασις ; 0.6681679487228394	ἡμετέρειος ; 0.7130789756774902	ἑλέπτολις ; 0.6802061796188354
-0.16772381027165956	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	ἀμέριμνος	0	4	1	1	11	θέα ; 0.6781355738639832	δεσπόζω ; 0.6401460766792297	ἀφύλακτος ; 0.6864875555038452	ἐπιταράσσω ; 0.6943173408508301
0.0038404190945195427	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	βρώσιμος	0	4	6	44	1	συνεχής ; 0.6236366033554077	Ἡρόδοτος ; 0.7376874685287476	προοράω ; 0.6555925607681274	παιδοποιέω ; 0.7265874743461609
0.06679007772703804	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	διενθυμέομαι	1	1	22	37	1	κάρβανος ; 0.6984091997146606	ἐγγαιος ; 0.6646761894226074	ἀσπάλαξ ; 0.6865849494934082	Ἀπασιάκαι ; 0.7334762811660767
0.13652118038517191	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	τρυγάω ; 0.6828700304031372	συνάγνυμι ; 0.6708500981330872	ἀντιποιέω ; 0.7347824573516846	Ξέναρχος ; 0.7374783158302307
-0.10427260833914803	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	μεγιστάν	0	7	53	11	5	καθάρειος ; 0.6814210414886475	ξένιος ; 0.7416319847106934	ἐπιταράσσω ; 0.6943173408508301	ἔγγιστος ; 0.6893854141235352
0.225886219577976	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	φωράομαι ; 0.7184625864028931	Ἄσιας ; 0.6733817458152771	ἡδονά ; 0.7035784125328064	συνθηράω ; 0.6559664011001587
-0.04496180786552284	φθινοπωρινός	θέρος	διετία	τρίχινος	φθινοπωρινός	0	1	11	2	2	δράκος ; 0.693618655204773	νήσος ; 0.6196818947792053	συμβούλιον ; 0.7330342531204224	Ζηνοφάνης ; 0.668952226638794
0.207675848986975	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	θηλάζω	1	6	28	1	34	ἀστιβής ; 0.695447564125061	ὑπερμενέων ; 0.6676359176635742	ὑπολάμπω ; 0.6748226881027222	ἀμφιμαίομαι ; 0.7385473251342773
0.01720236419890564	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	δαμάζω	0	2	7	1	2	κυκλέω ; 0.6837114691734314	ἀνυδρία ; 0.6692089438438416	ὄγκος ; 0.7111472487449646	δεῖ ; 0.679341197013855
0.3135827886563381	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	Χριστιανός	1	28	28	6	3	ὑπερμενέων ; 0.6676359176635742	ὀτραλέος ; 0.6197488903999329	ἀστιβής ; 0.695447564125061	καταγγελεύς ; 0.7434125542640686
0.41982518591424334	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	οἷος	1	27	28	8	33	ἀχλύω ; 0.7128986120223999	τερέμινθος ; 0.7465280890464783	πρέσβιστος ; 0.7741531133651733	Κυναγίδας ; 0.6811350584030151
-0.10305420871639825	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	προφθάνω	0	96	9	20	1	Νομάς ; 0.6604117155075073	ἀγαθουργέω ; 0.7256448268890381	κάθοδος ; 0.674284815788269	ἔγκλιμα ; 0.7222768068313599
0.29508433528749806	ἐννέα	δύο	τέσσαρες	φίλανδρος	φίλανδρος	1	48	830	289	1	Νεβσαν ; 0.6887732148170471	δέκα ; 0.7727428674697876	ἕξ ; 0.7921600341796875	γαλακτοποτέω ; 0.7130917906761169
-0.07707136765202682	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	σπαργανόω	0	4	1	147	21	κλῶσμα ; 0.7026166319847107	ὠφέλιμος ; 0.6803876161575317	περιβάλλω ; 0.7832474708557129	πρόσεδρος ; 0.6435120701789856
-0.08611861448350921	βίος	χράομαι	ἀναστρέφω	φιλόθεος	ἀναστρέφω	0	79	34	123	1	σφαλερός ; 0.697018027305603	διαγιγνώσκω ; 0.7422457933425903	πορεύομαι ; 0.8184977173805237	Ωδουια ; 0.7529653906822205
0.07135733997558552	συνεγείρω	ζάω	ζῳογονέω	θέρος	θέρος	1	6	699	3	11	ὑπέραρσις ; 0.7110252380371094	εὐνάω ; 0.7033884525299072	πλησιόχωρος ; 0.6926276683807373	νήσος ; 0.6196818947792053
