Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.11273026974668121	μακρός	χρόνος	πάντοτε	ψωμίζω	πάντοτε	0	37	193	43	25	πίπτω ; 0.6993951797485352	Ῥαχήλ ; 0.6084386110305786	κοιλία ; 0.6346149444580078	ῥᾳθυμία ; 0.6507472991943359
-0.2367198790325295	φωτίζω	λάμπω	φέγγος	δύναμις	φωτίζω	0	51	13	28	710	ὑποφέρω ; 0.9331792593002319	ὑψηλοφρονέω ; 0.6051795482635498	ἀπειλέω ; 0.7293568849563599	εὔστοχος ; 0.614372193813324
0.14072888439431536	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	121	5	σειρά ; 0.6992522478103638	Ζάρα ; 0.6274951100349426	κατεμβλέπω ; 0.6498935222625732	λύκος ; 0.8375122547149658
-0.04560589265249759	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκπορεύομαι	0	11	204	100	1	Σωφανι ; 0.6406728029251099	Αμελσαδ ; 0.7152604460716248	πρίων ; 0.7901488542556763	Ἕρμων ; 0.5983293652534485
-0.10981929703582705	ἐλωΐ	θεός	αββα	γονεύς	αββα	0	2	5315	3	37	σώφρων ; 0.6262796521186829	παραφέρω ; 0.5835365056991577	σκιρτέω ; 0.6538031101226807	παγγέωργος ; 0.6298948526382446
0.013709803694577416	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	θεός	0	1	191	5315	9	ἐκλιμπάνω ; 0.6708245277404785	ἐκφοβέω ; 0.8818261027336121	παραφέρω ; 0.5835365056991577	Ξανθικός ; 0.7180193066596985
-0.055965776916933385	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	Μαλουχ ; 0.6923086047172546	μύσος ; 0.7064346075057983	μενοῦν ; 0.687936544418335	ῥάμνος ; 0.6191691756248474
0.027083709208494122	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεύω	0	121	8	101	2	κατεμβλέπω ; 0.6498935222625732	τροχιός ; 0.6222625970840454	πλοιάριον ; 0.6183091402053833	Μανι ; 0.6627905964851379
-0.032962377922941544	ἀγέλη	ζῷον	θηρίον	ἀγγελία	θηρίον	0	17	61	211	15	αἰχμαλωσία ; 0.6589929461479187	ἀπόκρυφος ; 0.63042151927948	ἄγριος ; 0.9567943811416626	δόρκων ; 0.7456958293914795
-0.030863234493202052	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	8	2	1	αἰσθητική ; 0.6416727304458618	περιλείπω ; 0.6320624947547913	ἀμίαντος ; 0.7185583114624023	σύνειμι ; 0.6680565476417542
0.0828352334669899	βάτος	χόρτος	σίναπι	χαλκηδών	χαλκηδών	1	13	64	5	1	Ερχι ; 0.6561757326126099	ἀποκενόω ; 0.6895884275436401	Φαλλου ; 0.6488344073295593	συναναμίγνυμι ; 0.6533032059669495
0.09014183791972619	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	83	455	346	Αγαρηνός ; 0.5884955525398254	αἰρω ; 0.7820671796798706	Σωφιρ ; 0.6838787198066711	ἐξουσία ; 0.6520190834999084
-0.24092397734466775	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	28	1	20	8	Μαλουχ ; 0.6923086047172546	μενοῦν ; 0.687936544418335	διαφθείρω ; 0.9602911472320557	μάμμη ; 0.6927087306976318
-0.0003826174335584964	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	μέριμνα	0	1	17	4	136	Ασδωδ ; 0.6409623622894287	υἵος ; 0.6480298042297363	κάμαξ ; 0.6843559741973877	προφθάνω ; 0.633293628692627
0.17688507043679097	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	ὀπωροφυλάκιον ; 0.816680371761322	πιέζω ; 0.982315182685852	ἀμάω ; 0.9558676481246948	κατάπονος ; 0.6570767760276794
0.041173448467385354	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	θρέμμα	0	211	16	1	2	ἄγριος ; 0.9567943811416626	ἀναίτιος ; 0.6382234692573547	νομοδιδάσκαλος ; 0.6441049575805664	Βαιθφαλεθ ; 0.7004725933074951
-0.04427425954210529	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	διάγω	0	1	7	23	4	ἐκκύπτω ; 0.6589946150779724	μακροτονέω ; 0.625001072883606	ἴχνος ; 0.6128907203674316	Πάταρα ; 0.680279016494751
