Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.07532637225648875	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	37	193	43	25	λυτρωτής ; 0.4030121862888336	τελευτή ; 0.5007515549659729	σάρδιον ; 0.4084225594997406	βασανισμός ; 0.43827584385871887
-0.1961030695201007	φωτίζω	λάμπω	φέγγος	δύναμις	φωτίζω	0	51	13	28	710	ὑποφέρω ; 0.7227224111557007	χρυσόλιθος ; 0.42467185854911804	κατάρχω ; 0.4011373817920685	θεμέλιον ; 0.5073378086090088
0.02108008984332943	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	31	1	121	5	ἐράω ; 0.4746517539024353	προεπαγγέλλομαι ; 0.4547005891799927	Ραφα ; 0.41611403226852417	ἀωρία ; 0.4247826337814331
-0.030736755413597106	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἀπολύω	0	11	204	100	1	Κισων ; 0.47799885272979736	συνηχέω ; 0.4431314468383789	μηρίον ; 0.43467289209365845	συναπάγω ; 0.38594377040863037
-0.03488657631901265	ἐλωΐ	θεός	αββα	γονεύς	αββα	0	2	5315	3	37	ἕτερος ; 0.44439899921417236	ἐξορκιστής ; 0.417410284280777	Νωα ; 0.42345041036605835	πρόγονος ; 0.461855947971344
0.037079428734658804	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	θεός	0	1	191	5315	9	προσαπόλλυμι ; 0.4207344651222229	ἐκφοβέω ; 0.49169981479644775	ἐξορκιστής ; 0.417410284280777	ἀνδρόγυνος ; 0.4191666841506958
0.0008681548247645443	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	Ταρσεῖς ; 0.421295702457428	Ελιωηναι ; 0.39469873905181885	τίθημι ; 0.4604926109313965	στρατεία ; 0.39195001125335693
-0.04433928148901306	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεία	0	121	8	101	2	Ραφα ; 0.41611403226852417	εὐεκτέω ; 0.4147104322910309	ἀπόδοσις ; 0.4425710439682007	σκυλεία ; 0.4376866817474365
-0.06853289425210068	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	17	61	211	15	ξενίζω ; 0.43252360820770264	διαπονέομαι ; 0.4199132025241852	ἄγριος ; 0.8734777569770813	κρυστάλλος ; 0.43469303846359253
-0.06568603054621192	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	8	2	1	ἐπισκεπάζω ; 0.4057776927947998	δικτυόω ; 0.44701218605041504	ἀναπληρόω ; 0.42374324798583984	τρόπαιον ; 0.4476873576641083
0.06248900761339715	βάτος	χόρτος	σίναπι	χαλκηδών	χαλκηδών	1	13	64	5	1	λάπτω ; 0.4138879179954529	ἀποκενόω ; 0.45202937722206116	Ουλαιμαραδαχ ; 0.4510381817817688	φιλία ; 0.405769944190979
-0.04355100916948568	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκήνωμα	0	1	83	455	346	μνημονεύω ; 0.45057281851768494	αἰρω ; 0.5400255918502808	γαμίζω ; 0.44597792625427246	τετράδιον ; 0.44467005133628845
-0.11973561676246264	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	28	1	20	8	Ταρσεῖς ; 0.421295702457428	τίθημι ; 0.4604926109313965	διαφθείρω ; 0.8844955563545227	Βαδιηλ ; 0.4008561968803406
-0.06803586426112007	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	καταπονέω	0	1	17	4	136	φαρμακός ; 0.38905835151672363	πεῖρα ; 0.44856351613998413	λιγύριον ; 0.4748566746711731	παραναλίσκω ; 0.4198395013809204
0.13770407856647493	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	ὀπωροφυλάκιον ; 0.6831778287887573	πιέζω ; 0.9669860601425171	ἀμάω ; 0.8340564966201782	γέννημα ; 0.5026665329933167
0.00759153999972878	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	τετράπους	0	211	16	1	2	ἄγριος ; 0.8734777569770813	κρούω ; 0.3963029384613037	φθορεύς ; 0.4591860771179199	Φύγελος ; 0.5058121681213379
0.07312625028213199	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀγωγή	0	1	7	23	4	Βαλσαν ; 0.4791564345359802	Φαλτια ; 0.39674973487854004	ἀκρωτήριον ; 0.46348994970321655	ἑτοιμασία ; 0.4460834264755249
-0.10391813448599813	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ὁμοιόω	0	4	9	54	11	Χαββα ; 0.4391902685165405	ασελισι ; 0.43485650420188904	προφέρω ; 0.4205014109611511	Κισων ; 0.47799885272979736
-0.04472683095155994	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	μετεωρίζομαι	0	4	1	1	11	ἑτοιμασία ; 0.4460834264755249	Ὡσηέ ; 0.3904586434364319	φαρμακός ; 0.38905835151672363	ἐλωΐ ; 0.436542272567749
-0.0859821686380029	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	τρώγω	0	4	6	44	1	νυχθήμερον ; 0.4367625117301941	παλαίωμα ; 0.43774011731147766	εὐρωτία ; 0.6607545614242554	ἐξιχνεύω ; 0.4242812693119049
0.09830800993991795	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	διενθυμέομαι	1	1	22	37	1	καταπάλτης ; 0.41424161195755005	διαπαύω ; 0.4040467143058777	Μαχναδαβου ; 0.419380784034729	ψυκτήρ ; 0.41349321603775024
0.06778304733146567	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	ἀμάω ; 0.8340564966201782	ἀπαρτία ; 0.41815465688705444	πιέζω ; 0.9669860601425171	πεῖρα ; 0.44856351613998413
-0.028173746631877217	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	ὑπεροχή	0	7	53	11	5	Αδιν ; 0.39065366983413696	προσσιελίζω ; 0.4749189615249634	ἐλωΐ ; 0.436542272567749	Ιδουδ ; 0.43144690990448
-0.12389650669382479	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	θεοσέβεια	0	3	1	72	11	καταπάτησις ; 0.4308125972747803	πλημμέλεια ; 0.4218187630176544	Αβαδια ; 0.45730847120285034	λέπισμα ; 0.39255374670028687
-0.011990849264228942	φθινοπωρινός	θέρος	διετία	τρίχινος	διετία	0	1	11	2	2	συγκληρονομέω ; 0.40821337699890137	ελμωνι ; 0.4100923538208008	Ερμων ; 0.48273950815200806	Ισοβααμ ; 0.44359517097473145
0.032416605871771365	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	θηλάζω	1	6	28	1	34	κυνάριον ; 0.39513128995895386	πεντηκοστός ; 0.41120266914367676	δεκαπέντε ; 0.43047893047332764	ἐγκρούω ; 0.3815078139305115
-0.06312075864506106	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	εὐπερίστατος	0	2	7	1	2	ἀναπληρόω ; 0.42374324798583984	παραβολή ; 0.4467051029205322	ἀδημονέω ; 0.4297153353691101	ἀμέμπτως ; 0.4259686768054962
0.1600254102128803	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	Χριστιανός	1	28	28	6	3	πεντηκοστός ; 0.41120266914367676	τιτρώσκω ; 0.42882275581359863	κυνάριον ; 0.39513128995895386	Ασφάρασος ; 0.4237011969089508
0.02140440916938846	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	ἐπιφαίνω	0	27	28	8	33	μεσότης ; 0.3863692581653595	κατάρχω ; 0.4011373817920685	ἀλογιστία ; 0.3909240663051605	Μωαβ ; 0.4040171504020691
0.040996692021525505	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	δεισιδαίμων	1	96	9	20	1	χρηστός ; 0.39771753549575806	Αναν ; 0.43456804752349854	Αράδιος ; 0.4544305205345154	τάλας ; 0.45527929067611694
-0.059472693573428714	ἐννέα	δύο	τέσσαρες	φίλανδρος	δύο	0	48	830	289	1	καταπαλαίω ; 0.40194863080978394	μυλικός ; 0.48121416568756104	Γεδσων ; 0.6371899843215942	μελετέω ; 0.47820451855659485
0.07973850772138413	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	ἀποκάλυψις	1	4	1	147	21	ματαιότης ; 0.5000441074371338	ἐπακολουθέω ; 0.4011109471321106	Ναεθ ; 0.40192222595214844	νέφος ; 0.4034825265407562
0.05952991302249788	βίος	χράομαι	ἀναστρέφω	φιλόθεος	φιλόθεος	1	79	34	123	1	ὀθόνη ; 0.4178248345851898	προσμίγνυμι ; 0.4098511338233948	φοβέω ; 0.4853553771972656	προαποαγγέλλω ; 0.43460142612457275
-0.05420786439064251	συνεγείρω	ζάω	ζῳογονέω	θέρος	ζάω	0	6	699	3	11	ζυγόν ; 0.39463964104652405	Αωίτης ; 0.4503173232078552	ἐξαυτῆς ; 0.47424712777137756	ελμωνι ; 0.4100923538208008
-0.047514769807924906	ἀνάστασις	ζάω	ζῳοποιέω	παθητός	ζῳοποιέω	0	48	699	11	1	Σάις ; 0.4575525224208832	Αωίτης ; 0.4503173232078552	ἕνεκα ; 0.4201183319091797	Αναθωθια ; 0.4110817015171051
-0.00937670061897422	χλωρός	βοτάνη	βάτος	πάσχω	βάτος	0	19	17	13	60	Ασαρμωθ ; 0.4232347309589386	Οδολλαμ ; 0.43950778245925903	λάπτω ; 0.4138879179954529	νυστάζω ; 0.42675575613975525
0.04848310623563601	ἀποπλέω	εὐθυδρομέω	πλοῦς	ἀπογράφω	ἀπογράφω	1	4	2	3	10	Ὀλύμπιος ; 0.3978118896484375	ἅλα ; 0.3970077931880951	διαμέτρησις ; 0.42456841468811035	Φαρες ; 0.43582165241241455
0.02828618578988651	προσαγωγή	λαλέω	προσλαλέω	παραχειμάζω	παραχειμάζω	1	3	1487	4	4	Βηθσαϊδάν ; 0.42118576169013977	Εζερηλ ; 0.39563554525375366	σπινθήρ ; 0.4281742572784424	Ιρα ; 0.397799551486969
-0.07296681220828238	προφθάνω	πάλαι	καινός	διατροφή	προφθάνω	0	20	15	101	2	Αράδιος ; 0.4544305205345154	εὔκολος ; 0.4338330924510956	ῥήγνυμι ; 0.8994564414024353	ὀκνέω ; 0.43099772930145264
-0.0491744523880549	κατασφάζω	θανατόω	σφαγή	ἔννοια	σφαγή	0	12	171	27	12	εὐκοσμέω ; 0.4518674910068512	ἐγγαστρίμυθος ; 0.41996997594833374	τεκνίον ; 0.4290924668312073	Χανανίτης ; 0.4071727395057678
0.020338346474862712	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	γαζοφυλάκιον	ἑρμηνεία	0	1	9	5	30	Θοκκαν ; 0.4266534447669983	πιέζω ; 0.3948912024497986	Ιδουδ ; 0.43144690990448	ἀντιπαρατάσσω ; 0.4538770616054535
0.020571163664380943	περιοικέω	κατοίκησις	κατοικία	τοιοῦτος	τοιοῦτος	1	1	11	37	138	ἐκσαρκίζω ; 0.4061291217803955	ὑετός ; 0.4702281951904297	Μαχναδαβου ; 0.419380784034729	Ιεσιηλ ; 0.4318578243255615
