Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.015706810349710387	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	37	193	43	25	ἱκανός ; 0.5232547521591187	θνητός ; 0.43674618005752563	σπορητός ; 0.4475950002670288	λιστρεύω ; 0.41974377632141113
0.08213943676553839	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	χειραγωγέω ; 0.42488783597946167	ψύχω ; 0.4416217505931854	φλόξ ; 0.5020231008529663	καταπτήσσω ; 0.4416165053844452
-0.04198152606966521	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	παιδεία	0	31	1	121	5	κιβωτός ; 0.42533934116363525	Ἰσμήνη ; 0.417797714471817	ὁμόφρων ; 0.4336758852005005	Ρεμμωθ ; 0.48474058508872986
0.08541014145354192	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἀπολύω	0	11	204	100	1	πελασγικός ; 0.4543728232383728	ἔγκλισις ; 0.4647884964942932	λίψ ; 0.4223420321941376	οἰνοποτέω ; 0.4633376896381378
0.030599629948506346	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5315	3	37	λεμά ; 0.6878136396408081	κοπιάζω ; 0.43899813294410706	αἰωρέω ; 0.4639851450920105	ἀναμάρτητος ; 0.5247513055801392
-0.04804247469517431	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5315	9	ἔφηβος ; 0.4656623899936676	ἐκφοβέω ; 0.49500566720962524	κοπιάζω ; 0.43899813294410706	ὑψαυχενέω ; 0.40155744552612305
0.02509165965633431	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	συναπόλλυμαι	0	28	5	1	7	ἁπλόω ; 0.41231709718704224	διαποικίλλω ; 0.4156957268714905	δέκτωρ ; 0.47047436237335205	μίγμα ; 0.42279964685440063
0.06790774872646724	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεύω	0	121	8	101	2	ὁμόφρων ; 0.4336758852005005	ἐξεπετάζω ; 0.434845507144928	μετήορος ; 0.4063149094581604	πεδάρσιος ; 0.48854875564575195
0.05833543845002148	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	χωρίον ; 0.4943940341472626	Σαγγάριος ; 0.42077213525772095	ἄγριος ; 0.5221348404884338	πεῖσα ; 0.4566866457462311
0.1339814966996246	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	δύσλοφος ; 0.4600421190261841	Σαρπηδόνιος ; 0.48250192403793335	φιλοκίνδυνος ; 0.4135063588619232	πάρεσις ; 0.9514577984809875
0.2622690443260353	βάτος	χόρτος	σίναπι	χαλκηδών	βάτος	0	13	64	5	1	Γεθχοβερ ; 0.40997689962387085	δρόσος ; 0.48121586441993713	σπαρτίον ; 0.4398788809776306	σάπφιρος ; 0.9500484466552734
0.038774884849031854	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	346	ὁμότεχνος ; 0.7171498537063599	σταλάζω ; 0.4197129011154175	ἐύς ; 0.4144105017185211	καταβιβάζω ; 0.4956205487251282
-0.026751333954763368	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	28	1	20	8	ἁπλόω ; 0.41231709718704224	δέκτωρ ; 0.47047436237335205	νηκτός ; 0.5659064054489136	ὑπέρθυμος ; 0.4456329345703125
0.010640282095431608	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	καταπονέω	0	1	17	4	136	φθόγγος ; 0.4236920475959778	δολόμητις ; 0.4841883182525635	ἀβακέω ; 0.41764378547668457	ἱλάομαι ; 0.4295329451560974
0.2206454030296611	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	κερδαίνω ; 0.4413530230522156	ἀνδρόβουλος ; 0.48052191734313965	γένημα ; 0.42766621708869934	ἀργυρώνητος ; 0.4747369885444641
0.0015159817103451156	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	θρέμμα	0	211	16	1	2	ἄγριος ; 0.5221348404884338	ἐυκϝήμις ; 0.44474560022354126	κοίλωμα ; 0.4403750002384186	ἀνεξεραύνητος ; 0.49636340141296387
-0.004153783100238451	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	διάγω	0	1	7	23	4	μαράνα ; 0.432005375623703	ἡλικία ; 0.4557155668735504	ἐκδίδωμι ; 0.48741936683654785	προσδέρκομαι ; 0.4505196511745453
0.028400907115331497	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	4	9	54	11	Ιεβουσαῖος ; 0.5269118547439575	μῆρα ; 0.4315569996833801	Γανυμήδη ; 0.4340529441833496	πελασγικός ; 0.4543728232383728
0.05037771386106599	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	εὐγενής	1	4	1	1	11	προσδέρκομαι ; 0.4505196511745453	ἐθίζω ; 0.4512535333633423	φθόγγος ; 0.4236920475959778	βλώσκω ; 0.47253966331481934
0.036030047820130806	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	βρώσιμος	0	4	6	44	1	SUμε ; 0.4408043622970581	Νεβελ ; 0.41465699672698975	ὁλομελής ; 0.4717521071434021	παιδίον ; 0.41553062200546265
-0.038713977079441186	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	διενθυμέομαι	1	1	22	37	1	βλέμμα ; 0.6094460487365723	δηλέομαι ; 0.4833635687828064	ἄπαυστος ; 0.4485411047935486	νοσηρός ; 0.41135311126708984
0.17549354144519247	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	γένημα ; 0.42766621708869934	περίθετος ; 0.4273340106010437	ἀνδρόβουλος ; 0.48052191734313965	δολόμητις ; 0.4841883182525635
-0.11941110690477469	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	ὑπεροχή	0	7	53	11	5	τρῳάς ; 0.43623974919319153	ἀπό-ἀναγκάζω ; 0.428006112575531	βλώσκω ; 0.47253966331481934	Μαλ ; 0.4173852503299713
0.13371101275764286	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	ὑπερασπίστρια ; 0.48687005043029785	ποτινίσσομαι ; 0.43170130252838135	δικαίωσις ; 0.47818654775619507	δοιοί ; 0.49003463983535767
0.0748052020016296	φθινοπωρινός	θέρος	διετία	τρίχινος	τρίχινος	1	1	11	2	2	ἐπαφρίζω ; 0.5175542831420898	προσάββατον ; 0.4787229895591736	κατατέρπω ; 0.5053067207336426	σύν-περιζώννυμαι ; 0.4324795603752136
0.058211466905161324	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	θηλάζω	1	6	28	1	34	Μίμνερμος ; 0.45959562063217163	Σούνιον ; 0.4666255712509155	μόδιος ; 0.46624261140823364	Ἰαπυγία ; 0.40882956981658936
0.13027839665358643	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	συζωοποιέω	1	2	7	1	2	φιλοκίνδυνος ; 0.4135063588619232	ἀγαυριάω ; 0.46365228295326233	βόειος ; 0.46804454922676086	Αὐτόλυκος ; 0.4449179768562317
-0.007017284144095082	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	βαθύς	0	28	28	6	3	Σούνιον ; 0.4666255712509155	Ἰάμβη ; 0.42816048860549927	Μίμνερμος ; 0.45959562063217163	δορικανής ; 0.4201641082763672
