Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.02033389567424909	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	35	191	43	25	ἐπιτίμησις ; 0.3995589017868042	κοιμάομαι ; 0.43821030855178833	χρεία ; 0.5201101303100586	μέλι ; 0.4412633180618286
0.21455831417042706	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	50	12	28	707	ἄφθαρτος ; 0.43543556332588196	σκοτία ; 0.38708996772766113	καῦμα ; 0.4755405783653259	στρατιά ; 0.4753563404083252
-0.12473273520787209	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	παραγγελία ; 0.4600960612297058	φίλανδρος ; 0.9826223850250244	ῥῆσις ; 0.5175554156303406	περιχαλκόω ; 0.3790796995162964
0.13477150816715583	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	98	1	Αιλαμείτης ; 0.4490056037902832	ἐξέρχομαι ; 0.647066593170166	προπέμπω ; 0.4557575285434723	συγκλύζω ; 0.5664089322090149
-0.10437988773973322	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5249	3	35	λεμά ; 0.8813206553459167	κύριος ; 0.7952814102172852	κατατρυφάω ; 0.5105111598968506	συμπάθεια ; 0.4652650058269501
-0.0971703292549767	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5249	9	ἀμελέω ; 0.4941461980342865	ὅδε ; 0.5557541847229004	κύριος ; 0.7952814102172852	φίλτρον ; 0.5611281394958496
0.03984822926770132	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	27	5	1	7	στέλλω ; 0.42912447452545166	Ἀχαΐα ; 0.43672868609428406	Ῥαάβ ; 0.6389915943145752	κέγχρος ; 0.45384061336517334
0.06376824950804033	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	118	8	101	2	ῥῆσις ; 0.5175554156303406	ἐξηχέομαι ; 0.46016377210617065	ἐλέγχω ; 0.5219897627830505	ἐνυβρίζω ; 0.48987218737602234
0.09369574665196623	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	210	15	ἀπεναντίον ; 0.4229361414909363	χοῖνιξ ; 0.4172491133213043	διααἰτάω ; 0.45472708344459534	ἀπανίστημι ; 0.438114732503891
0.2211485253026464	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	προγίνομαι	1	1	8	2	1	φιλοσοφία ; 0.5987996459007263	προαίρω ; 0.5394506454467773	ἀντέχομαι ; 0.44743794202804565	πάρεσις ; 0.9901140928268433
