Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.027973673901400986	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	35	191	43	25	ἐπέκεινα ; 0.5286307334899902	ἤδη ; 0.45264917612075806	χάρισμα ; 0.4882950782775879	κολλύριον ; 0.47346898913383484
0.34393168410680797	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	50	12	28	707	δεικνύω ; 0.43156155943870544	κοσμοκράτωρ ; 0.44084444642066956	καῦμα ; 0.4937940537929535	ἵππος ; 0.5439851880073547
0.01480571719891094	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	χρεία ; 0.4318574070930481	φίλανδρος ; 0.9653605818748474	ῥῆσις ; 0.5089004039764404	συναπάγω ; 0.4054867625236511
0.17211213708966955	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	98	1	παρακομίζω ; 0.4857925474643707	ἐξέρχομαι ; 0.7202112674713135	συνέρχομαι ; 0.4471288323402405	συγκλύζω ; 0.5764660835266113
-0.13178777267633607	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5249	3	35	ἠλί ; 0.8054568767547607	κύριος ; 0.826964259147644	κωφ ; 0.5303255319595337	Καῖσαρ ; 0.4406314790248871
-0.04138185386292026	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5249	9	ἀποβιάζομαι ; 0.5619674324989319	ὅδε ; 0.5452947616577148	κύριος ; 0.826964259147644	φίλτρον ; 0.5455814599990845
-0.03752664657001992	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	27	5	1	7	σύσσημον ; 0.4679846167564392	ἐπιστομίζω ; 0.4493075907230377	Ῥαάβ ; 0.6014477014541626	ἀναβολή ; 0.4492204785346985
0.07493871386639309	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	118	8	101	2	ῥῆσις ; 0.5089004039764404	σύγκειμαι ; 0.5148912668228149	ἐλέγχω ; 0.47555774450302124	καλοδιδάσκαλος ; 0.4624277353286743
0.16360763422774877	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	210	15	τρίχωμα ; 0.4879193603992462	θηρίον ; 0.47961580753326416	ὄρνεον ; 0.4882861375808716	Ἰώβ ; 0.4558658003807068
0.1617545900213483	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	8	2	1	διεκκύπτω ; 0.5994430184364319	νωθροκάρδιος ; 0.4222479462623596	ὑποτιάζω ; 0.49948471784591675	πάρεσις ; 0.9759867191314697
