Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.031586916075286964	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	35	191	43	25	δυσμενέων ; 0.4449772238731384	πυλαωρός ; 0.4865005612373352	φρονέω ; 0.4540696144104004	Ἀμυδών ; 0.44088470935821533
0.1451084744316235	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	50	12	28	707	χειραγωγέω ; 0.41122594475746155	νικηφόρος ; 0.46733537316322327	νεφέλη ; 0.5197098851203918	δυνατός ; 0.46824830770492554
-0.054602481643085454	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	διδαχή	0	31	1	118	5	Τυχικός ; 0.4917548894882202	ἐξάρχω ; 0.4360794425010681	ῥῆσις ; 0.4968106150627136	συγκεράννυμι ; 0.43027976155281067
0.04988941887039783	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	98	1	πελασγικός ; 0.43340346217155457	ἐξέρχομαι ; 0.6295590996742249	προπέμπω ; 0.502952516078949	οἰνοποτέω ; 0.47058337926864624
-0.0021320014118461073	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5249	3	35	λεμά ; 0.6841939687728882	κύριος ; 0.7219334840774536	αἰωρέω ; 0.46257543563842773	ἀνάλυσις ; 0.4585764408111572
-0.07915842553051561	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5249	9	ὀγδοηκοστός ; 0.43883150815963745	ὅδε ; 0.5182878971099854	κύριος ; 0.7219334840774536	Θαρθαν ; 0.4423130750656128
0.02988282839514339	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	συναπόλλυμαι	0	27	5	1	7	λαγνεία ; 0.46978434920310974	ἐκδέω ; 0.450964093208313	δέκτωρ ; 0.4816793203353882	χάσμα ; 0.445644736289978
-0.014042687725170977	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεύω	0	118	8	101	2	ῥῆσις ; 0.4968106150627136	προσκαρτέρησις ; 0.47670429944992065	ἐλέγχω ; 0.4818847179412842	πεδάρσιος ; 0.4900197982788086
0.05670542795466593	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	17	61	210	15	ἐριθεία ; 0.4472200572490692	ἀπείργαθον ; 0.42445728182792664	δένδρον ; 0.456958532333374	μηχανόεις ; 0.42533114552497864
0.17494484297103835	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	δύσλοφος ; 0.4641333222389221	αἴγειος ; 0.4360310435295105	φιλοκίνδυνος ; 0.4450854957103729	πάρεσις ; 0.9503853917121887
0.24584923016092042	βάτος	χόρτος	σίναπι	χαλκηδών	βάτος	0	13	64	5	1	σπλαγχνίζομαι ; 0.4263927936553955	δρόσος ; 0.47810229659080505	ἁρπαγμός ; 0.45284223556518555	σάπφιρος ; 0.9452821612358093
0.1152901135941985	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	344	ὁμότεχνος ; 0.7225848436355591	καταπρίω ; 0.45842328667640686	καταπέτασμα ; 0.48253580927848816	ἐξέρχομαι ; 0.5340218544006348
-0.033869604135878695	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	27	1	20	8	λαγνεία ; 0.46978434920310974	δέκτωρ ; 0.4816793203353882	νηκτός ; 0.4990634024143219	πηρόω ; 0.47053688764572144
0.11722926373132225	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	ἑκών ; 0.46184080839157104	ἠῷος ; 0.4123620092868805	Βαρθολομαῖος ; 0.42758405208587646	ἐξάγω ; 0.6839063763618469
0.11892271897610968	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	κημόω ; 0.4948424994945526	στιππύον ; 0.449398934841156	ζῳηδόν ; 0.43267107009887695	Στησίμβροτος ; 0.43274861574172974
0.05719580798236834	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	210	16	1	2	δένδρον ; 0.456958532333374	Καινεύς ; 0.5641939043998718	κοίλωμα ; 0.44025787711143494	ἀνεξεραύνητος ; 0.47808176279067993
-0.01813343148048524	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	κατάστημα	0	1	7	23	4	̓Ουλπιανός ; 0.4285717010498047	σύμμαχος ; 0.42659512162208557	ἀπατιμάζω ; 0.4911916255950928	προσδέρκομαι ; 0.45082587003707886
