Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.1123876736127919	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	35	191	43	25	μακράν ; 0.7224969863891602	συσσιτήσις ; 0.7241525650024414	σπουδαίως ; 0.753244936466217	θλιμμός ; 0.6815939545631409
0.35648460210507704	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	50	12	28	707	περισείομαι ; 0.7053781747817993	ἐνδελεχής ; 0.7060429453849792	ἀποκρυφή ; 0.7757102251052856	δυναστεία ; 0.6922558546066284
-0.01164212640616824	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	31	1	118	5	ὑστέρησις ; 0.7236423492431641	δειλόψυχος ; 0.6822502613067627	γN ; 0.7199175953865051	ἀσυρής ; 0.6225894093513489
0.14322097339166734	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	98	1	ἑλέπτολις ; 0.7242344617843628	ἐξέρχομαι ; 0.8399808406829834	κατελεέω ; 0.7420709133148193	ὁμότεχνος ; 0.7033907175064087
0.014748545499244536	ἐλωΐ	θεός	αββα	γονεύς	ἐλωΐ	0	2	5249	3	35	ἠλί ; 0.7430670261383057	κύριος ; 0.8007925748825073	μελετέω ; 0.6424936652183533	πάντως ; 0.6527559757232666
0.04735286157223684	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5249	9	εἰσμαίομαι ; 0.6754820346832275	κύριος ; 0.7966536283493042	κύριος ; 0.8007925748825073	εὐεργέτης ; 0.674987256526947
0.052506794834159654	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	27	5	1	7	ἀπώλεια ; 0.762590229511261	περαιτέρω ; 0.7046812772750854	συγκατατίθημι ; 0.6392678618431091	Εγγαδδι ; 0.6657432317733765
-0.0484972912702018	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	118	8	101	2	γN ; 0.7199175953865051	ἀληθής ; 0.6752903461456299	ἐλέγχω ; 0.7732519507408142	ἀδιάστροφος ; 0.7046148777008057
0.19033266278497735	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	210	15	χηρεία ; 0.7549099922180176	θηρίον ; 0.714572012424469	ὄρνεον ; 0.7300641536712646	Ιορδάνης ; 0.6995246410369873
-0.013806789748986859	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	8	2	1	πολύπλανος ; 0.6772753000259399	ἀνόητος ; 0.6611158847808838	κυκλέω ; 0.7115463018417358	πάρεσις ; 0.91050785779953
0.17876892460820115	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	Λυδιακά ; 0.6765747666358948	βοτάνη ; 0.8303177356719971	μεθαρμόζω ; 0.6711927652359009	σαρδόνυξ ; 0.8883354067802429
0.11124410913749805	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	344	κόλλη ; 0.736878514289856	Πραινεστῖνος ; 0.7067002058029175	μαρτύριον ; 0.7552457451820374	εἰσέρχομαι ; 0.7897225618362427
0.018311933887560694	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	συναπόλλυμαι	0	27	1	20	8	ἀπώλεια ; 0.762590229511261	συγκατατίθημι ; 0.6392678618431091	ἀπαύγασμα ; 0.7027998566627502	Ιερεμιν ; 0.6654706001281738
0.24311876377938124	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	ἵνα ; 0.7173475027084351	θρύλημα ; 0.6936943531036377	ἀντίκειμαι ; 0.6641119718551636	ἐξάγω ; 0.811310887336731
0.4959740083703681	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	βῆσσα ; 0.7747693061828613	ἀρόω ; 0.6684081554412842	τρυγάω ; 0.6636152863502502	προηγέομαι ; 0.665859580039978
0.28457993548310284	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	210	16	1	2	ὄρνεον ; 0.7300641536712646	βρυάζω ; 0.6931434869766235	ἐγκρίς ; 0.6964422464370728	δυσκάθαρτος ; 0.6878868341445923
-0.09726626840513364	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	διάγω	0	1	7	23	4	τέSU ; 0.6578807830810547	ἀκυρόω ; 0.7036498785018921	Διόδοτος ; 0.6761757135391235	Ιωάννης ; 0.7422683238983154
0.23965577149751283	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	4	9	53	11	ἀκροατής ; 0.7677839398384094	πρόσοψις ; 0.6429365873336792	ἡμετέρειος ; 0.6901330947875977	ἑλέπτολις ; 0.7242344617843628
-0.06935652239195955	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	προμεριμνάω	0	4	1	1	11	Ιωάννης ; 0.7422683238983154	γλαυκός ; 0.626563310623169	ἵνα ; 0.7173475027084351	Φάριος ; 0.6716911196708679
0.12447998199383331	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	αὐθεντέω	1	4	6	40	1	πόρνος ; 0.6665165424346924	ἄλφιτον ; 0.7024751901626587	γίγαρτον ; 0.7133110761642456	ἔξεστι(ν) ; 0.7101274132728577
0.08132996704505513	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	διενθυμέομαι	1	1	22	36	1	ὅλος ; 0.740877091884613	ἐκ-πιέζω ; 0.7146011590957642	βδέλυγμα ; 0.7054929733276367	Ἀπασιάκαι ; 0.7457830905914307
0.41095471337892364	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	τρυγάω ; 0.6636152863502502	χορτάζω ; 0.6689045429229736	ἀρόω ; 0.6684081554412842	θρύλημα ; 0.6936943531036377
-0.07174252366195172	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	μεγιστάν	0	7	52	11	3	δεκαπλασίως ; 0.7945951819419861	ἄρχων ; 0.6711081862449646	Φάριος ; 0.6716911196708679	κατείδωλος ; 0.6611164212226868
0.2568034013829217	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	λειποτακτέω ; 0.7041164636611938	Ἄσιας ; 0.6799825429916382	γενναῖος ; 0.7216708660125732	ἔξαρνος ; 0.6719245910644531
-0.2089635552334096	φθινοπωρινός	θέρος	διετία	τρίχινος	διετία	0	1	11	2	2	ἀσθμαίνω ; 0.617822527885437	ὀπωρινός ; 0.6880863904953003	φήμη ; 0.7156801819801331	μέταυλος ; 0.6415979266166687
0.06033456054722086	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	θηλάζω	1	6	28	1	34	ταφεύς ; 0.6573647260665894	βάθος ; 0.6642155647277832	διηνεκής ; 0.7194973230361938	ψεκάς ; 0.712469756603241
0.02058842125665572	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	δαμάζω	0	2	7	1	2	κυκλέω ; 0.7115463018417358	ἰός2 ; 0.6593446135520935	λακάω ; 0.7269316911697388	ζωγρίας ; 0.7185551524162292
0.19161132381271595	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	Χριστιανός	1	28	28	6	3	βάθος ; 0.6642155647277832	ὕλη ; 0.7181793451309204	ταφεύς ; 0.6573647260665894	διδάσκαλος ; 0.6752592325210571
0.3243346855263001	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	οἷος	1	26	28	8	33	ἐπεκέρχομαι ; 0.6765965223312378	ἀποκρυφή ; 0.7757102251052856	πρέσβιστος ; 0.7701246738433838	τοιοῦτος ; 0.7402909994125366
-0.10355009736936871	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	προφθάνω	0	93	9	20	1	συμβαίνω ; 0.6540843844413757	τελετή ; 0.6929744482040405	καταθαρσύνω ; 0.6728830337524414	Ὀλύνθιος ; 0.6572375297546387
0.3943511315097872	ἐννέα	δύο	τέσσαρες	φίλανδρος	φίλανδρος	1	48	814	287	1	εἴκοσι ; 0.6833506226539612	πέντε ; 0.8673436641693115	ἕξ ; 0.8005529642105103	σφαλερός ; 0.7009991407394409
-0.07545863131524416	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	σπαργανόω	0	4	1	146	21	τελήεις ; 0.7373981475830078	νεοπενθής ; 0.6513071060180664	περιβάλλω ; 0.7790182828903198	ἐνεργέω ; 0.6991983652114868
0.0384707353049073	βίος	χράομαι	ἀναστρέφω	φιλόθεος	ἀναστρέφω	0	79	34	121	1	σφαλερός ; 0.6653615236282349	διαγιγνώσκω ; 0.6580127477645874	πορεύομαι ; 0.8160900473594666	ἀνατίκτω ; 0.7244603633880615
-0.037808095720810786	συνεγείρω	ζάω	ζῳογονέω	θέρος	ζάω	0	6	694	3	11	πλοιάριον ; 0.7189606428146362	μιμνῄσκω ; 0.6392661333084106	ἄπαις ; 0.699059247970581	ὀπωρινός ; 0.6880863904953003
0.15249460933104916	ἀνάστασις	ζάω	ζῳοποιέω	παθητός	παθητός	1	48	694	11	1	μέλλω ; 0.7390730381011963	μιμνῄσκω ; 0.6392661333084106	ἄφθαρτος ; 0.7034271955490112	θέορτος ; 0.7142893075942993
0.2605672190469035	χλωρός	βοτάνη	βάτος	πάσχω	πάσχω	1	19	17	13	59	χόρτος ; 0.7637192010879517	χόρτος ; 0.8303177952766418	Λυδιακά ; 0.6765747666358948	προκόπτω ; 0.7775243520736694
0.38541066727025663	ἀποπλέω	εὐθυδρομέω	πλοῦς	ἀπογράφω	ἀπογράφω	1	4	2	3	10	ἐκπλέω ; 0.7704920172691345	πεδίονδε ; 0.7311739921569824	Βρεττιανή ; 0.6541672348976135	ᾠδικός ; 0.7133910059928894
0.08291376733504308	προσαγωγή	λαλέω	προσλαλέω	παραχειμάζω	παραχειμάζω	1	3	1480	4	4	πυρσεία ; 0.7455433011054993	ἀποκρίνω ; 0.7485367059707642	παραμυθέομαι ; 0.6825827360153198	πλοιάριον ; 0.6969307065010071
