Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.037331849054424104	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἐξεγείρω	0	3	6	11	73	2	699	2	4	2	48	2	Ιουηλ ; 0.6253731846809387	ῥίζωμα ; 0.7457531690597534	συγκατατίθημι ; 0.7356523275375366	ὕψωσις ; 0.692044734954834	διαγίνομαι ; 0.6117441654205322	ἀποθνῄσκω ; 0.7090938091278076	συνδυάζω ; 0.6820857524871826	ἱερόν ; 0.634947657585144	πρόπαππος ; 0.6471643447875977	νεκρός ; 0.7291924357414246	πρόθεσις ; 0.6658833622932434
0.02989379580819601	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ξένος	0	44	34	137	20	2	4	21	11	36	8	3	εὐτρεπίζω ; 0.6815057992935181	ὀλίγος ; 0.6014131307601929	φείδομαι ; 0.6675073504447937	ἐπιδιατάσσομαι ; 0.7168717384338379	πρόθεσις ; 0.6658833622932434	Λευιτικός ; 0.6269639134407043	μάθημα ; 0.632191002368927	εὐτάκτως ; 0.6566691398620605	φυσικῶς ; 0.6490458250045776	θραῦσμα ; 0.7664350271224976	σεμνός ; 0.6417655348777771
0.14825223280295818	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ἀναδίδωμι	0	305	8	22	3	25	2542	4	2	62	396	79	ἐκτείνω ; 0.7938085794448853	λαγχάνω ; 0.7445412278175354	ἐκτός ; 0.6153115630149841	ἀνάγνωσις ; 0.6438577175140381	ἔλαιον ; 0.6724295616149902	τίθημι ; 0.7965484261512756	ἐπιλογίζομαι ; 0.7000734210014343	ἀπόδεκτος ; 0.640387237071991	ζυγός ; 0.7100468873977661	συνίστημι ; 0.7563339471817017	πρόβατον ; 0.7202187776565552
0.1644879047779545	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	ὑπερῷον	1	1	4	2	1	4	9	1	7	37	58	33	σωφρονίζω ; 0.8592592477798462	ἱερόθυτος ; 0.6874060034751892	ἀποστυγέω ; 0.7138657569885254	φιλήδονος ; 0.8900015950202942	ἤπερ ; 0.6862384080886841	θυΐσκη ; 0.621347963809967	ἀντίχριστος ; 0.6678765416145325	θερμασία ; 0.6785634160041809	καταβαρέω ; 0.6796126365661621	προσδίδωμι ; 0.6577169299125671	δεξαμενή ; 0.719558596611023
0.1425337518239878	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	136	13	3	20	ἄθεος ; 0.6728030443191528	ἀμέμπτως ; 0.7338340878486633	Κνίδος ; 0.7516601085662842	προοἶδα ; 0.7712531685829163	ἀρκετός ; 0.6829724311828613	Κώς ; 0.8108102679252625	ἆσσον ; 0.7764763832092285	ἐξάγω ; 0.7390910387039185	Μεσοποταμία ; 0.6983203291893005	τηγανίζω ; 0.6548429131507874	εὐεργετέω ; 0.6036545038223267
0.12969526640154777	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	956	24	11	346	6	5	12	100	204	2	2	εἰσέρχομαι ; 0.8427386283874512	ὀχεία ; 0.6923223733901978	κρημνός ; 0.6119483709335327	εἰσέρχομαι ; 0.7427722215652466	σκάφη ; 0.7053620219230652	ἔξαρσις ; 0.6627097129821777	προσενέχω ; 0.7297416925430298	ἐκπέμπω ; 0.6452181339263916	ἐξέρχομαι ; 0.7857006788253784	ἀπαντή ; 0.7042974233627319	βοοζύγιον ; 0.6402807235717773
0.03169085101085334	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἔγερσις	0	4	11	6	48	2	699	73	3	2	2	2	ἱερόν ; 0.634947657585144	συγκατατίθημι ; 0.7356523275375366	ῥίζωμα ; 0.7457531690597534	νεκρός ; 0.7291924357414246	πρόπαππος ; 0.6471643447875977	ἀποθνῄσκω ; 0.7090938091278076	ὕψωσις ; 0.692044734954834	Ιουηλ ; 0.6253731846809387	διαγίνομαι ; 0.6117441654205322	συνδυάζω ; 0.6820857524871826	Ναβιααρ ; 0.6897299289703369
0.16685765053128326	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	33	4	6	47	54	9	137	1	52	138	8	φονοκτονία ; 0.6374901533126831	παρακλήτωρ ; 0.7173327207565308	κατάδηλος ; 0.657373309135437	ψώρα ; 0.6211404204368591	εἰμί ; 0.6449569463729858	ὀβελίσκος ; 0.6216869354248047	λευκός ; 0.652574896812439	διηνεκής ; 0.7005065679550171	ἑαυτοῦ ; 0.6968705654144287	ἀσθενής ; 0.687393307685852	περιοχέω ; 0.6875373721122742
0.06548852845687236	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μεθερμηνεύω	0	1	7	12	8	3	6	1	4	1	2	18	ἐθελοθρησκία ; 0.6787780523300171	θρασυκάρδιος ; 0.6692001223564148	ἀπόλυσις ; 0.7748158574104309	ἐπιστάτης ; 0.6516351699829102	Σαμαρι ; 0.6938376426696777	γλυκύτης ; 0.6588208675384521	ἐναγωνίζομαι ; 0.6542004942893982	Τίγρης ; 0.6670141220092773	Αραμα ; 0.6634270548820496	εὐπορέομαι ; 0.6820138096809387	συνήθης ; 0.689684271812439
-0.04885974996603948	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	ξένος	0	11	4	21	36	8	20	2	44	137	34	203	εὐτάκτως ; 0.6566691398620605	Λευιτικός ; 0.6269639134407043	μάθημα ; 0.632191002368927	φυσικῶς ; 0.6490458250045776	θραῦσμα ; 0.7664350271224976	ἐπιδιατάσσομαι ; 0.7168717384338379	πρόθεσις ; 0.6658833622932434	εὐτρεπίζω ; 0.6815057992935181	φείδομαι ; 0.6675073504447937	ὀλίγος ; 0.6014131307601929	ὁμολογέω ; 0.6991487145423889
