Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.0491803443335824	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἀνάστασις	0	3	6	11	73	2	699	2	4	2	48	2	Ραιφαν ; 0.332561194896698	περιαπτω ; 0.3040754199028015	νόθος ; 0.3048211336135864	Χαρκαμυς ; 0.24442246556282043	ἀποτολμάω ; 0.35553067922592163	πιθανολογία ; 0.26582762598991394	ἀλφός ; 0.373639851808548	ἀποχωρίζω ; 0.29011261463165283	Θεόφιλος ; 0.29811668395996094	πιστεύω ; 0.25853872299194336	συνασπίζω ; 0.36365383863449097
0.01059058545941996	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	χρηματισμός	0	44	34	137	20	2	4	21	11	36	8	3	γνωρίζω ; 0.31357914209365845	Ξένιος ; 0.2959102690219879	στιβίζω ; 0.30172353982925415	Μιναῖος ; 0.2483559250831604	συνασπίζω ; 0.36365383863449097	Σιλᾶς ; 0.30823180079460144	προφητεία ; 0.27971145510673523	αἱρετίζω ; 0.2910381257534027	παιδαγωγός ; 0.29219913482666016	τηλαύγημα ; 0.531022310256958	ἑτεροζυγέω ; 0.32240474224090576
0.023007366442191868	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ποίμνιον	1	305	8	22	3	25	2542	4	2	62	396	79	ἐπιστοιβάζω ; 0.42186984419822693	εἰλικρινής ; 0.3419690430164337	εἰδωλόθυτος ; 0.27750152349472046	ζώσις ; 0.36772584915161133	ὑπερφόβος ; 0.3206748068332672	φέρω ; 0.31380710005760193	ἐκδικήσις ; 0.30429595708847046	αἱρετίς ; 0.34247419238090515	μαλακοψυχάζω ; 0.31671205163002014	ἐκπεταννύω ; 0.32747578620910645	ποιμήν ; 0.3984210193157196
-0.04656347644030201	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλία	0	1	4	2	1	4	9	1	7	37	58	33	σωφρονίζω ; 0.7690356373786926	ἱεροπρεπής ; 0.38386937975883484	τροφεία ; 0.48611515760421753	φιλήδονος ; 0.6918951272964478	Ἀβρααμίτις ; 0.4283202588558197	θεοδίδακτος ; 0.3091304898262024	ἀγράμματος ; 0.44568297266960144	συμπάθεια ; 0.3425850570201874	ἐπιδεικνύω ; 0.3133765459060669	ἐπιψοφέω ; 0.24956661462783813	βαρ ; 0.3039189577102661
-0.013160026114913154	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	136	13	3	20	Ζηνᾶς ; 0.4347148537635803	Ἀττάλεια ; 0.5254073739051819	Κνίδος ; 0.5815600156784058	προσεάω ; 0.5676563382148743	ἐπισφαλής ; 0.45669281482696533	Κώς ; 0.660798192024231	ἆσσον ; 0.6163942813873291	ἐξάγω ; 0.3944723606109619	φρύγανον ; 0.35009753704071045	βραδυπλοέω ; 0.3924192786216736	ἀποσοβέω ; 0.28849783539772034
0.10228541520184495	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	956	24	11	346	6	5	12	100	204	2	2	ἐξάγω ; 0.33937349915504456	Σαμοθρᾴκη ; 0.28060227632522583	πρῷρα ; 0.3032208979129791	εἰσάγω ; 0.3712257742881775	Ιερακων ; 0.37409329414367676	ἐξορμάω ; 0.35038256645202637	τρυγητής ; 0.3005281090736389	κιρνάω ; 0.2706250548362732	ἐξέρχομαι ; 0.30640220642089844	κατάρατος ; 0.32177168130874634	ἀκρόαμα ; 0.45521771907806396
0.08231674123783958	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἀνάστασις	0	4	11	6	48	2	699	73	3	2	2	2	ἀποχωρίζω ; 0.29011261463165283	νόθος ; 0.3048211336135864	περιαπτω ; 0.3040754199028015	πιστεύω ; 0.25853872299194336	Θεόφιλος ; 0.29811668395996094	πιθανολογία ; 0.26582762598991394	Χαρκαμυς ; 0.24442246556282043	Ραιφαν ; 0.332561194896698	ἀποτολμάω ; 0.35553067922592163	ἀλφός ; 0.373639851808548	ἀγενής ; 0.3635251522064209
0.018505686982979302	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	33	4	6	47	54	9	137	1	52	138	8	τροπή ; 0.27661579847335815	δώρημα ; 0.3204951286315918	ἀνδρολογεῖον ; 0.4408007860183716	Γώγ ; 0.28578823804855347	ἐπίπονος ; 0.2645537853240967	ἐπιδιπλόω ; 0.309524804353714	Σαλαμανασαρ ; 0.27259206771850586	Ορνιου ; 0.4318844676017761	Ασιμαθ ; 0.277204692363739	θηλυμανής ; 0.26524704694747925	τίτλος ; 0.28165364265441895
-0.04177792693590643	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μεθερμηνεύω	0	1	7	12	8	3	6	1	4	1	2	18	ἐκριζωτής ; 0.39114701747894287	ἀντίλημψις ; 0.3253841996192932	προστάσσω ; 0.36124151945114136	συνοδία ; 0.31647610664367676	ἐνέργημα ; 0.375846266746521	παθοκράτεια ; 0.34949952363967896	ἀντακούω ; 0.48925071954727173	Ιωσφη ; 0.2917254865169525	διαχρίω ; 0.4039238691329956	ὀφρύς ; 0.39806944131851196	ἕως ; 0.2865501046180725
-0.03785245408950785	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	χρηματισμός	0	11	4	21	36	8	20	2	44	137	34	203	αἱρετίζω ; 0.2910381257534027	Σιλᾶς ; 0.30823180079460144	προφητεία ; 0.27971145510673523	παιδαγωγός ; 0.29219913482666016	τηλαύγημα ; 0.531022310256958	Μιναῖος ; 0.2483559250831604	συνασπίζω ; 0.36365383863449097	γνωρίζω ; 0.31357914209365845	στιβίζω ; 0.30172353982925415	Ξένιος ; 0.2959102690219879	Ἰουδαϊκός ; 0.2702643573284149
