Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.02530020782345188	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἔγερσις	0	3	6	11	73	2	699	2	4	2	48	2	ἀπολύω ; 0.7202297449111938	ῥίζωμα ; 0.6326937079429626	καταπέσσω ; 0.672787606716156	ἀπευθής ; 0.6646536588668823	Κίμων ; 0.6808698177337646	ἀναπλήρωσις ; 0.7054264545440674	σύμμορφος ; 0.7388715744018555	Ἀμίλκας ; 0.6603019833564758	ἁγνισμός ; 0.7013663053512573	Ταρτήσσιοι ; 0.6889235377311707	ἁγιότης ; 0.7101964950561523
0.017088071937868377	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ξένος	0	44	34	137	20	2	4	21	11	36	8	3	μανίον ; 0.7086523175239563	θηράσιμος ; 0.774045467376709	ἀπευκτός ; 0.7381172180175781	μεθαρμόζω ; 0.6704033613204956	ἁγιότης ; 0.7101964950561523	ἔνειμι ; 0.6620774269104004	φανερόω ; 0.7301301956176758	ὕπαστρος ; 0.6661238074302673	ἄσωτος ; 0.6895262598991394	τηλαύγημα ; 0.6902529001235962	συνοικίζω ; 0.6818364858627319
0.07613230268315019	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ποίμνιον	1	305	8	22	3	25	2542	4	2	62	396	79	ἐκτείνω ; 0.7525521516799927	ἐκφέρω ; 0.7176183462142944	ταυρόομαι ; 0.6843751072883606	Ὑρτακίδης ; 0.6726441383361816	κάππα ; 0.6937144994735718	λαμβάνω ; 0.7989711761474609	φιλότεκνος ; 0.7227303981781006	ὑπότροπος ; 0.6614896059036255	φερνή ; 0.7095930576324463	θλάω ; 0.7423456907272339	ποιμήν ; 0.6843547821044922
0.09021182231007396	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	ὑπερῷον	1	1	4	2	1	4	9	1	7	37	58	33	πατρίκιος ; 0.6395319700241089	ἄσιτος ; 0.6705023050308228	ἐπισπάω ; 0.6824101209640503	φιλήδονος ; 0.8734933137893677	προδίδωμι ; 0.722730278968811	ὀφειλέτης ; 0.6820464134216309	εὐσταθής ; 0.6938387155532837	Ἀντιπατρίς ; 0.6906521320343018	ὑσγινοβαφής ; 0.7174786329269409	προσδίδωμι ; 0.7252539396286011	δεξαμενή ; 0.6944249868392944
0.17801963626804768	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	ἀνάγω	0	1	4	1	2	3	2	2	136	13	3	20	ἀφροντιστέω ; 0.721970796585083	Σελεύκεια ; 0.6784799098968506	ἐμβιβάζω ; 0.7389333844184875	ἐφύβριστος ; 0.6866062879562378	βρίθω ; 0.6832966804504395	Κώς ; 0.6786854863166809	Νουμήνιος ; 0.694146990776062	καταβαίνω ; 0.7809607982635498	Μεσοποταμία ; 0.6768302917480469	ἐκθαμβέω ; 0.654954195022583	εὖτε ; 0.699486255645752
0.1388422243256095	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	956	24	11	346	6	5	12	100	204	2	2	ἐκφέρω ; 0.803341805934906	ἱέραξ ; 0.6833297610282898	ἀφυπνόω ; 0.6770427823066711	πορεύομαι ; 0.7920970320701599	ἅλμη ; 0.7068178057670593	Δαλαιας ; 0.640055775642395	κλυτός ; 0.7642483711242676	ζῳογονέω ; 0.7202298641204834	ἐξέρχομαι ; 0.7830951809883118	ἐφοδιάζω ; 0.6881694793701172	βοοζύγιον ; 0.6717090606689453
0.08526804778624142	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἔγερσις	0	4	11	6	48	2	699	73	3	2	2	2	Ἀμίλκας ; 0.6603019833564758	καταπέσσω ; 0.672787606716156	ῥίζωμα ; 0.6326937079429626	Ταρτήσσιοι ; 0.6889235377311707	ἁγνισμός ; 0.7013663053512573	ἀναπλήρωσις ; 0.7054264545440674	ἀπευθής ; 0.6646536588668823	ἀπολύω ; 0.7202297449111938	Κίμων ; 0.6808698177337646	σύμμορφος ; 0.7388715744018555	μαραίνομαι ; 0.6860851049423218
0.1152706442818422	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	33	4	6	47	54	9	137	1	52	138	8	Αβελμαιν ; 0.6597652435302734	καπηλεύω ; 0.7225852012634277	σαμβύκη ; 0.6545016169548035	μέτωπον ; 0.6610569953918457	εἰμί ; 0.7204477787017822	ὀβελίσκος ; 0.7012885808944702	ἴσος ; 0.6355212926864624	μεγαλοπρεπῶς ; 0.6516010165214539	πρᾶγμα ; 0.7167834043502808	φαῦλος ; 0.7570991516113281	νυκτίσεμνος ; 0.7097983360290527
0.10055114792627184	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μέχρι(ς)	1	1	7	12	8	3	6	1	4	1	2	18	πιθανός ; 0.6961430907249451	Ἀμπρακιῶτις ; 0.7190077900886536	προχειρίζω ; 0.6622644662857056	Ματταρι ; 0.6917514801025391	περίφασις ; 0.6720322370529175	εἴργω ; 0.6590775847434998	πεζεύω ; 0.7614229321479797	Τίγρης ; 0.6921740174293518	παρεκτείνω ; 0.7561900615692139	Ἀντιόχεια ; 0.6427837610244751	καρποφορέω ; 0.6581128239631653
-0.03831255771245129	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	ξένος	0	11	4	21	36	8	20	2	44	137	34	203	ὕπαστρος ; 0.6661238074302673	ἔνειμι ; 0.6620774269104004	φανερόω ; 0.7301301956176758	ἄσωτος ; 0.6895262598991394	τηλαύγημα ; 0.6902529001235962	μεθαρμόζω ; 0.6704033613204956	ἁγιότης ; 0.7101964950561523	μανίον ; 0.7086523175239563	ἀπευκτός ; 0.7381172180175781	θηράσιμος ; 0.774045467376709	ἀπολείπω ; 0.7251374125480652
