Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.07096780404994135	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἐξεγείρω	0	3	6	11	73	2	699	2	4	2	48	2	κρήνηνδε ; 0.4546927809715271	Ἀμυδών ; 0.42998456954956055	ἀγών ; 0.47364556789398193	κυπάρισσος ; 0.4094228744506836	ἱππόδαμος ; 0.4594099223613739	Χάροπος ; 0.5412781834602356	μεταφορέω ; 0.45011070370674133	Σηλωμ ; 0.43394094705581665	ἐπεργασία ; 0.48224613070487976	ἐπιστρεφής ; 0.472164511680603	σωφρονέω ; 0.4816323518753052
0.022206726364672635	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	χρηματισμός	0	44	34	137	20	2	4	21	11	36	8	3	γνωρίζω ; 0.4657719135284424	ἀπολαμπρύνω ; 0.4307887852191925	ἀτελεύτητος ; 0.4653368592262268	ξενοσύνη ; 0.4738467335700989	σωφρονέω ; 0.4816323518753052	Ἀλεκτρυών ; 0.4038931429386139	Προκονησίος ; 0.4369869530200958	γελοιάζω ; 0.43084582686424255	γνωστέος ; 0.4912917912006378	τηλαύγημα ; 0.6368368864059448	ἐπιχωριάζω ; 0.41757285594940186
0.08846444230273681	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ποίμνιον	1	305	8	22	3	25	2542	4	2	62	396	79	ἐπιβάλλω ; 0.5145841240882874	ἄγω ; 0.4453301727771759	οἰστρόδονος ; 0.4019784927368164	Γέλων ; 0.4904620349407196	ἐπελπίζω ; 0.446330189704895	φέρω ; 0.5394916534423828	Ἐνάρεες ; 0.4737783670425415	συνακμάζω ; 0.5076640248298645	μίκκος ; 0.45295122265815735	δίδωμι ; 0.45106828212738037	πρόβατον ; 0.5084965825080872
0.021950068645502252	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	ὑπερῷον	1	1	4	2	1	4	9	1	7	37	58	33	θηητός ; 0.4916650950908661	δυσερμήνευτος ; 0.4601515531539917	κατακοσμέω ; 0.47174331545829773	φιλήδονος ; 0.7778525948524475	κάλυπτρα ; 0.491877019405365	συμπαρακαλέομαι ; 0.5659189224243164	νῆις ; 0.465486079454422	μοχθηρία ; 0.5007878541946411	Μνησιθείδης ; 0.4979003965854645	ἐκβάλλω ; 0.4903254210948944	ταμιεῖον ; 0.44287052750587463
0.05094094040964109	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	ἀνάγω	0	1	4	1	2	3	2	2	136	13	3	20	Σκῦρος ; 0.4493904113769531	Ἆσσος ; 0.5069690942764282	Κνίδος ; 0.4990231692790985	παραχειμάζω ; 0.5777297019958496	ὑπερνικάω ; 0.5618897676467896	Σαμοθρᾴκη ; 0.594793438911438	ἐπίκαιρος ; 0.4954665005207062	ἐξάγω ; 0.6180288791656494	Φύγελος ; 0.4622739255428314	Ζαρετ ; 0.4968712329864502	αὐτοῦ ; 0.4117472171783447
0.1333088853278599	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	956	24	11	346	6	5	12	100	204	2	2	ἐκπορεύομαι ; 0.5889146327972412	προτιόσσομαι ; 0.4460243284702301	πλαγιάζω ; 0.4473111927509308	πορεύομαι ; 0.440151572227478	προπηλακίζω ; 0.470146119594574	Εζερ ; 0.4454171657562256	μύλαξ ; 0.42643749713897705	μήτι ; 0.506283700466156	ἐξέρχομαι ; 0.5889146327972412	Ζογορα ; 0.4404907822608948	δεσμοφύλαξ ; 0.4789363145828247
0.03957909316704378	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἐξεγείρω	0	4	11	6	48	2	699	73	3	2	2	2	Σηλωμ ; 0.43394094705581665	ἀγών ; 0.47364556789398193	Ἀμυδών ; 0.42998456954956055	ἐπιστρεφής ; 0.472164511680603	ἐπεργασία ; 0.48224613070487976	Χάροπος ; 0.5412781834602356	κυπάρισσος ; 0.4094228744506836	κρήνηνδε ; 0.4546927809715271	ἱππόδαμος ; 0.4594099223613739	μεταφορέω ; 0.45011070370674133	ἀγενής ; 0.448043555021286
0.06748657771306749	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	33	4	6	47	54	9	137	1	52	138	8	τελευτή ; 0.45370495319366455	σεμνόστομος ; 0.4694675803184509	ἀνδρολογεῖον ; 0.4768260717391968	μορφή ; 0.438534677028656	αὐτοσταδίη ; 0.498564213514328	Ἡρακλείδης ; 0.49927496910095215	ἁρπαγμός ; 0.43050310015678406	Ιδαερ ; 0.4882490634918213	Ασιμαθ ; 0.43313801288604736	Κάμειρος ; 0.41117072105407715	αὐτάγρετος ; 0.46870124340057373
0.00280167143805643	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μεθερμηνεύω	0	1	7	12	8	3	6	1	4	1	2	18	τητάομαι ; 0.4472410976886749	μωρολογία ; 0.45673370361328125	προστάσσω ; 0.4408460259437561	οὐδεπώποτε ; 0.4474301040172577	ἐνέργημα ; 0.4551233649253845	Χρυσόπολις ; 0.463076651096344	ἐπειδήπερ ; 0.46928855776786804	ἐνδουπέω ; 0.48355725407600403	φιλόστονος ; 0.4946254789829254	ξύρησις ; 0.44213420152664185	ἀπορφανίζω ; 0.4337812066078186
0.0048489614215943555	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	αὐγάζω	0	11	4	21	36	8	20	2	44	137	34	203	γελοιάζω ; 0.43084582686424255	Ἀλεκτρυών ; 0.4038931429386139	Προκονησίος ; 0.4369869530200958	γνωστέος ; 0.4912917912006378	τηλαύγημα ; 0.6368368864059448	ξενοσύνη ; 0.4738467335700989	σωφρονέω ; 0.4816323518753052	γνωρίζω ; 0.4657719135284424	ἀτελεύτητος ; 0.4653368592262268	ἀπολαμπρύνω ; 0.4307887852191925	διακρίνω ; 0.4189326763153076
