Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.030828424223550033	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἐξεγείρω	0	3	6	11	73	2	699	2	4	2	48	2	κατήγωρ ; 0.4987975060939789	μετρίως ; 0.5732049345970154	συνθάπτομαι ; 0.5473302006721497	θυαμαστόω ; 0.4750112295150757	ὅταν ; 0.508804976940155	κατόρθωσις ; 0.5016857385635376	Ιεμινι ; 0.5328958034515381	φυλακή ; 0.6417131423950195	χιών ; 0.497425377368927	ἀπαράβατος ; 0.5337756872177124	ἐπίχειρον ; 0.5576645135879517
-0.08923663995361075	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ξένος	0	44	34	137	20	2	4	21	11	36	8	3	ἀναγγέλλω ; 0.5994807481765747	πρωία ; 0.5115911364555359	περιαιρέω ; 0.5761204957962036	ἀλυπότερος ; 0.5406305193901062	ἐπίχειρον ; 0.5576645135879517	διαρκέω ; 0.5171870589256287	ὑπερβολή ; 0.5261601209640503	αἴρω ; 0.5873425006866455	τεχνίτης ; 0.5698777437210083	τηλαύγημα ; 0.6808668375015259	ἀκηλίδωτος ; 0.4755656123161316
0.0394037074905037	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	δόσις	0	305	8	22	3	25	2545	4	2	62	396	79	ἐπιβάλλω ; 0.6400529146194458	θέσις ; 0.6245430111885071	ὑποβάλλω ; 0.5112941861152649	λιβανόω ; 0.5923386812210083	παντοῖος ; 0.5289649963378906	φέρω ; 0.6977109313011169	Ἰεχονίας ; 0.551404595375061	ἀπαλλοτριόομαι ; 0.5244529247283936	ἀργύριον ; 0.5905447006225586	ἐκτείνω ; 0.6511054635047913	πρόβατον ; 0.6139698028564453
0.03179274131039661	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	ὑπερῷον	1	1	4	2	1	4	9	1	7	37	58	33	σωφρονίζω ; 0.8981451988220215	ἀναγώγως ; 0.5321729779243469	ἀποστυγέω ; 0.6685531735420227	φιλήδονος ; 0.8961813449859619	διαχωρίζομαι ; 0.5661664009094238	ἄμετρος ; 0.5294933319091797	οἴδα ; 0.5734249353408813	χαρίζομαι ; 0.5339817404747009	ἀποκόπτω ; 0.5605298280715942	αἶνος ; 0.493274986743927	διόλου ; 0.6143685579299927
-0.004709695678181081	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	παραλέγομαι	0	1	4	1	2	3	2	2	136	13	3	20	χρονοτριβέω ; 0.7009581923484802	Ἀττάλεια ; 0.7070565223693848	ἀποδειροτομέω ; 0.5126129984855652	Ραουμος ; 0.5410221815109253	διανύω ; 0.7295778393745422	Κώς ; 0.7913191318511963	Εβεαρ ; 0.5899454355239868	ἐξάγω ; 0.6917216777801514	ἐπιβοάω ; 0.49665960669517517	εἴδησις ; 0.5482070446014404	νεκρός ; 0.4976139962673187
0.041510382489733655	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἐκβαίνω	0	957	24	11	346	6	5	12	100	204	2	2	ἄγω ; 0.6645333766937256	ἀδύνατος ; 0.5404809713363647	ἀρχάγγελος ; 0.5708056688308716	ἐξέρχομαι ; 0.5703105926513672	Αφαρσαχαῖοι ; 0.5308765172958374	καταφθάνω ; 0.5208033323287964	σκορπίος ; 0.5480983257293701	περιστέλλω ; 0.5499973297119141	ἐξέρχομαι ; 0.5923910140991211	ἐθισμός ; 0.5647971630096436	ἀκρόαμα ; 0.6439608335494995
0.07403231933767362	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἐξεγείρω	0	4	11	6	48	2	699	73	3	2	2	2	φυλακή ; 0.6417131423950195	συνθάπτομαι ; 0.5473302006721497	μετρίως ; 0.5732049345970154	ἀπαράβατος ; 0.5337756872177124	χιών ; 0.497425377368927	κατόρθωσις ; 0.5016857385635376	θυαμαστόω ; 0.4750112295150757	κατήγωρ ; 0.4987975060939789	ὅταν ; 0.508804976940155	Ιεμινι ; 0.5328958034515381	συνάντημα ; 0.5545878410339355
0.16536060105898903	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	33	4	6	47	54	9	137	1	52	138	8	μυστήριον ; 0.5057300925254822	ὄψις ; 0.6129195690155029	καρπός ; 0.5309534072875977	ὁμοίοω ; 0.5559186935424805	καταρτίζω ; 0.5587642788887024	αὐθημερινός ; 0.5331552624702454	ἀναποδισμός ; 0.48656564950942993	ἀσύμφωνος ; 0.5296028852462769	λεληθότως ; 0.5236271023750305	ἐνάρχομαι ; 0.5585709810256958	Ελιαβα ; 0.5891194343566895
0.04350212045398222	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	φράζω	0	1	7	12	9	5	6	1	4	1	2	18	φωσφόρος ; 0.5340903997421265	μᾶλλον ; 0.5720934867858887	προσβαίνω ; 0.5317730903625488	δεξαμενή ; 0.5149137377738953	Ιεσβοαμ ; 0.5572845935821533	ἱστορία ; 0.5500873923301697	χλευάζω ; 0.4833812713623047	Γοθολίας ; 0.5074222683906555	ἀναποιέω ; 0.545228123664856	συναριθμέω ; 0.5502761602401733	Θηζια ; 0.5449455380439758
-0.01763297386092716	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	ξένος	0	11	4	21	36	8	20	2	44	137	34	203	αἴρω ; 0.5873425006866455	διαρκέω ; 0.5171870589256287	ὑπερβολή ; 0.5261601209640503	τεχνίτης ; 0.5698777437210083	τηλαύγημα ; 0.6808668375015259	ἀλυπότερος ; 0.5406305193901062	ἐπίχειρον ; 0.5576645135879517	ἀναγγέλλω ; 0.5994807481765747	περιαιρέω ; 0.5761204957962036	πρωία ; 0.5115911364555359	συγκρίνω ; 0.5215368270874023
