Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.04316924600550742	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἐξεγείρω	0	3	6	11	73	2	699	2	4	2	48	2	ὑπερβαλλόντως ; 0.583608865737915	ἄθεσμος ; 0.5258550643920898	μεθαρμόζω ; 0.4991629421710968	ἐξέρχομαι ; 0.5150391459465027	μισθαποδότης ; 0.5254557132720947	πτερνισμός ; 0.5100095272064209	ἰσότιμος ; 0.5926744937896729	φυλακή ; 0.593431293964386	σαράβαρα ; 0.5495392680168152	οὕτω(ς) ; 0.5595896244049072	πραΰτης ; 0.5135730504989624
0.048388266617976516	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ξένος	0	44	34	137	20	2	4	21	11	36	8	3	γνωρίζω ; 0.5068479776382446	πλησμονή ; 0.5868684649467468	ἀπορρίπτω ; 0.6171407103538513	δεκαπέντε ; 0.5286886096000671	πραΰτης ; 0.5135730504989624	ἀναστρατοπεδεύω ; 0.5112653970718384	Ἰαθάν ; 0.4795188903808594	ἀναδεικνύω ; 0.5832307934761047	γνωστέος ; 0.5723814964294434	τηλαύγημα ; 0.6860129833221436	ἐπαιτέω ; 0.5406545400619507
0.09038324876604809	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ποίμνιον	1	305	8	22	3	25	2545	4	2	62	396	79	ἐπιβάλλω ; 0.6022889018058777	θέσις ; 0.5537697076797485	ἄχρηστος ; 0.5327225923538208	ἔξαρθρος ; 0.5329848527908325	καθυστερέω ; 0.4935396909713745	τίθημι ; 0.6858775019645691	νοσέω ; 0.5562098026275635	ὕμνος ; 0.5454351902008057	ἀργύριον ; 0.5380352735519409	ἐξαποστέλλω ; 0.6322757005691528	πρόβατον ; 0.6326348781585693
0.11054472912941604	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	ὑπερῷον	1	1	4	2	1	4	9	1	7	37	58	33	σωφρονίζω ; 0.8343465328216553	βαρέως ; 0.5831001996994019	ῥεμβασμός ; 0.4931553304195404	φιλήδονος ; 0.7253186702728271	κυοφορία ; 0.5713695883750916	ἀγάπη ; 0.5891938209533691	οἴδα ; 0.6146363019943237	εὐνομία ; 0.555275559425354	ψιθυρίζω ; 0.5964310169219971	ἀρχισωματοφύλαξ ; 0.49334779381752014	ταμιεῖον ; 0.6122007966041565
0.07582552016179656	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	136	13	3	20	ὑποπόδιον ; 0.5709711313247681	Νέα ; 0.7135285139083862	τάλας ; 0.5392988920211792	ἐπιβιόω ; 0.5436846017837524	διανύω ; 0.6890271902084351	Σαμοθρᾴκη ; 0.7565680146217346	κρανίον ; 0.5245634913444519	ἐξάγω ; 0.7622331380844116	περίστυλον ; 0.5516581535339355	Πούδης ; 0.5839970111846924	Φαραθωνίτης ; 0.5682041645050049
0.10136620670554936	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	957	24	11	346	6	5	12	100	204	2	2	καταβαίνω ; 0.6810334920883179	ὑπερεντυγχάνω ; 0.5127710103988647	ἐκδικήσις ; 0.5116220712661743	εἰσέρχομαι ; 0.5889782905578613	Δαθεμα ; 0.5746607780456543	Νηριου ; 0.561802327632904	συνδάκνω ; 0.5692539811134338	ἐπιτρέπω ; 0.5426045060157776	ἐξέρχομαι ; 0.6122792959213257	καταβιάζομαι ; 0.5023654699325562	ἐξεπετάζω ; 0.5310519933700562
0.016236900729710735	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἐξεγείρω	0	4	11	6	48	2	699	73	3	2	2	2	φυλακή ; 0.593431293964386	μεθαρμόζω ; 0.4991629421710968	ἄθεσμος ; 0.5258550643920898	οὕτω(ς) ; 0.5595896244049072	σαράβαρα ; 0.5495392680168152	πτερνισμός ; 0.5100095272064209	ἐξέρχομαι ; 0.5150391459465027	ὑπερβαλλόντως ; 0.583608865737915	μισθαποδότης ; 0.5254557132720947	ἰσότιμος ; 0.5926744937896729	καινίζω ; 0.5557215213775635
0.06179806656677417	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	33	4	6	47	54	9	137	1	52	138	8	Ελισαι ; 0.49967604875564575	διαιτέω ; 0.6287150382995605	πεντακόσιοι ; 0.5727826952934265	ἀόρατος ; 0.4959467649459839	ὅμοιος ; 0.5265294313430786	ῥάβδος ; 0.5110275149345398	ὁμοιόω ; 0.5265294313430786	ἐνείρω ; 0.613584041595459	Βαιθηλβεριθ ; 0.5233926773071289	μισητός ; 0.5032621026039124	συμποιέω ; 0.515095591545105
0.061816095145025785	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μεθερμηνεύω	0	1	7	12	9	5	6	1	4	1	2	18	ὑπερλίαν ; 0.5372703671455383	Σμύρνα ; 0.505912184715271	ἀπόλυσις ; 0.5560305714607239	ἄπιστος ; 0.60856032371521	πολλαχόθεν ; 0.5633805990219116	Ραούμος ; 0.5227591395378113	Ῥαμά ; 0.602332353591919	διακρίνω ; 0.4868755638599396	ῥυτίς ; 0.5577088594436646	συμπληρόω ; 0.5704904794692993	Σωφαν ; 0.5643088817596436
-0.05675865179408307	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	χρηματισμός	0	11	4	21	36	8	20	2	44	137	34	203	ἀναδεικνύω ; 0.5832307934761047	ἀναστρατοπεδεύω ; 0.5112653970718384	Ἰαθάν ; 0.4795188903808594	γνωστέος ; 0.5723814964294434	τηλαύγημα ; 0.6860129833221436	δεκαπέντε ; 0.5286886096000671	πραΰτης ; 0.5135730504989624	γνωρίζω ; 0.5068479776382446	ἀπορρίπτω ; 0.6171407103538513	πλησμονή ; 0.5868684649467468	εὐαγγελίζω ; 0.5084373950958252
-0.01090979410754006	κύριος	μαράνα	Σαβαώθ	κυριακός	παντοκράτωρ	ἐλωΐ	αββα	θεός	ἠλί	ἄθεος	πότε	κυριακός	0	9318	1	2	2	191	2	3	5315	2	1	66	θεός ; 0.6967877149581909	θά ; 0.8357348442077637	Σακχαρωνα ; 0.5253453254699707	ὑπερκρατέω ; 0.5416339635848999	ὅδε ; 0.6157358288764954	λεμά ; 0.6591514348983765	διδασκαλία ; 0.515812873840332	κύριος ; 0.6967875957489014	παράστασις ; 0.4833909869194031	πειθός ; 0.6141092777252197	τίς ; 0.5521482229232788
