Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.11611143904332616	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἐξεγείρω	0	3	6	11	73	2	699	2	4	2	48	2	διασῴζω ; 0.6645798683166504	θήκη ; 0.6935991048812866	λοχίζω ; 0.6908671855926514	ὅλος ; 0.6623387336730957	Κίμων ; 0.6987583041191101	ἐπικοιμάω ; 0.6882340908050537	σύμμορφος ; 0.7157037258148193	χερουβείμ ; 0.6546584367752075	ᾅδης ; 0.688726007938385	ἀναγωγεύς ; 0.6818798184394836	νυός ; 0.743220329284668
-0.05365657334454693	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ξένος	0	44	34	137	20	2	4	21	11	36	8	3	πιφαύσκω ; 0.6736007332801819	Νικοκλῆς ; 0.6128432750701904	ἀπιθέω ; 0.6901735663414001	ἀνέχω ; 0.7961883544921875	νυός ; 0.743220329284668	μετεξέτεροι ; 0.6614408493041992	περιβολή ; 0.7020137310028076	γοργωπός ; 0.6700282692909241	ἀργυροχόος ; 0.658781111240387	β̓ ; 0.7705788612365723	ἀποκυέω ; 0.6472651958465576
0.09581315050780037	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ποίμνιον	1	305	8	22	3	25	2545	4	2	62	396	79	σφάζω ; 0.7535083293914795	σέβω ; 0.7317197918891907	νηκουστέω ; 0.6539281010627747	πρώι|ος ; 0.679109513759613	νεφρός ; 0.6967610120773315	τίθημι ; 0.7958899140357971	ἤπερ ; 0.7383332252502441	ἀγωγός ; 0.6632249355316162	ζωοποιέω ; 0.6430468559265137	ἐκτείνω ; 0.7556793689727783	σιτευτός ; 0.669122576713562
0.055856699115801045	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλάδελφος	0	1	4	2	1	4	9	1	7	37	58	33	ψαλῶ ; 0.6274169683456421	ἔριθος ; 0.6666841506958008	ἐπισπάω ; 0.6832087635993958	φιλήδονος ; 0.8926500082015991	στεῖρα ; 0.6658192873001099	συνείδησις ; 0.7348320484161377	῎ἴτυς ; 0.633952796459198	διά-ἐξάγω ; 0.6818433403968811	ἐνδυτός ; 0.7266773581504822	δύνω ; 0.6507335901260376	αιλ ; 0.6725292801856995
0.21751791123568143	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	136	13	3	20	ἀφροντιστέω ; 0.7728862762451172	πρόσοικος ; 0.7105414271354675	προσεάω ; 0.7865056991577148	προχειρίζομαι ; 0.7523922920227051	κυλισμός ; 0.6803117394447327	Κώς ; 0.7870675325393677	ὑποταγή ; 0.6890208721160889	ἐξάγω ; 0.7674560546875	κατά-ἕζομαι ; 0.6864231824874878	Αχιαχαρος ; 0.670945405960083	διεῖπον ; 0.7397139668464661
0.10287546634582828	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	957	24	11	346	6	5	12	100	204	2	2	εἰσέρχομαι ; 0.7971108555793762	αἰσχρῶς ; 0.6448812484741211	εὐρέιος ; 0.6723841428756714	εἰσέρχομαι ; 0.7168106436729431	προσπορπατός ; 0.7351338863372803	ἀναχωρέω ; 0.6754165887832642	τροφή ; 0.7217307686805725	ἀντεμβιβάζω ; 0.7077072262763977	ἐξέρχομαι ; 0.781217634677887	ἀθυμία ; 0.751234769821167	ἦχος ; 0.6494564414024353
0.07125845449713941	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἔγερσις	0	4	11	6	48	2	699	73	3	2	2	2	χερουβείμ ; 0.6546584367752075	λοχίζω ; 0.6908671855926514	θήκη ; 0.6935991048812866	ἀναγωγεύς ; 0.6818798184394836	ᾅδης ; 0.688726007938385	ἐπικοιμάω ; 0.6882340908050537	ὅλος ; 0.6623387336730957	διασῴζω ; 0.6645798683166504	Κίμων ; 0.6987583041191101	σύμμορφος ; 0.7157037258148193	ἀντέχομαι ; 0.6841835975646973
0.10153675863391964	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	ὁμοίως	0	33	4	6	47	54	9	137	1	52	138	8	Νεεσθαν ; 0.6603225469589233	προφέρω ; 0.7133611440658569	ἐνθύμησις ; 0.6999503374099731	θαρσις ; 0.6514550447463989	κρηπιδοποιός ; 0.6393059492111206	Ζήνων ; 0.6175717115402222	πανάρκετος ; 0.6700229644775391	Βοκκι ; 0.7133313417434692	πρᾶγμα ; 0.7063266038894653	φαῦλος ; 0.6413077712059021	ἐυμελίης ; 0.6848088502883911
0.12915949868265952	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μέχρι(ς)	1	1	7	12	9	5	6	1	4	1	2	18	πιθανός ; 0.7078714370727539	προσκηδής ; 0.6466751098632812	λωβεύω ; 0.7149363160133362	Ἀκροκόρινθος ; 0.702658474445343	ἐμβάτης ; 0.7236043214797974	ζευκτήριος ; 0.6635235548019409	πεζεύω ; 0.7393170595169067	δείπνηστος ; 0.6697325110435486	Βηθασμωθ ; 0.7490551471710205	τάξις ; 0.6592741012573242	μαλακίζομαι ; 0.6716021299362183
-0.06305006847672001	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	ξένος	0	11	4	21	36	8	20	2	44	137	34	203	γοργωπός ; 0.6700282692909241	μετεξέτεροι ; 0.6614408493041992	περιβολή ; 0.7020137310028076	ἀργυροχόος ; 0.658781111240387	β̓ ; 0.7705788612365723	ἀνέχω ; 0.7961883544921875	νυός ; 0.743220329284668	πιφαύσκω ; 0.6736007332801819	ἀπιθέω ; 0.6901735663414001	Νικοκλῆς ; 0.6128432750701904	ἀπολείπω ; 0.7737853527069092
