Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.04840390108634679	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἐξεγείρω	0	3	6	11	73	2	699	2	4	2	48	2	τηρέω ; 0.4680292308330536	κεραυνός ; 0.44416093826293945	Μασσηφα ; 0.4267411530017853	Ζεφυρίη ; 0.47052261233329773	ἱππόδαμος ; 0.4619307518005371	ἀηθέσσω ; 0.4604768753051758	Λουκᾶς ; 0.44992536306381226	στραγγαλόομαι ; 0.45311176776885986	συννοέω ; 0.47931694984436035	ὅλως ; 0.5150761604309082	ἐπίδειξις ; 0.47855639457702637
-0.02498947150631564	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ξένος	0	44	34	137	20	2	4	21	11	36	8	3	ἀναρτάω ; 0.43956127762794495	σαρδών ; 0.48537391424179077	ἡμός ; 0.49689769744873047	ἐπιπληρόω ; 0.47762107849121094	ἐπίδειξις ; 0.47855639457702637	ποσάκις ; 0.4338383078575134	ὀνειδισμός ; 0.43015432357788086	̓́Ανθρωπος ; 0.45488691329956055	γνωστέος ; 0.4949018955230713	τηλαύγημα ; 0.5826715230941772	μισάνθρωπος ; 0.4322119355201721
0.07497390658579606	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ποίμνιον	1	305	8	22	3	25	2545	4	2	62	396	79	ἐπιβάλλω ; 0.5269632339477539	ἄγω ; 0.443112313747406	Κρίσπος ; 0.40188926458358765	Μεσουλαμ ; 0.42398542165756226	καλλός ; 0.4134262800216675	τίθημι ; 0.528856098651886	Ἐνάρεες ; 0.44707605242729187	συνακμάζω ; 0.47874724864959717	κατακτείνω ; 0.40594619512557983	ἐκτείνω ; 0.47820812463760376	δυναμικός ; 0.4379146993160248
0.08467576333523175	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	ὑπερῷον	1	1	4	2	1	4	9	1	7	37	58	33	θηητός ; 0.49502483010292053	ἐπιστηρίζω ; 0.42242956161499023	κόρος2 ; 0.48882195353507996	φιλήδονος ; 0.7944785356521606	φωταγωγέω ; 0.5219205021858215	θρασύνω ; 0.5031518936157227	μίανσις ; 0.49349501729011536	ἀνανεόω ; 0.4610667824745178	Μνησιθείδης ; 0.46374133229255676	ἀγαθός ; 0.46157610416412354	ταμιεῖον ; 0.485792338848114
0.08617475848959605	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	136	13	3	20	ἐπιμάσσομαι ; 0.4241372346878052	Κεραμικός ; 0.4957536458969116	πολλαπλασίων ; 0.4654300808906555	διαμιλλάομαι ; 0.4755265712738037	ὑπερνικάω ; 0.5176841020584106	Σαμοθρᾴκη ; 0.601536750793457	μίλιον ; 0.4380633234977722	ἐξάγω ; 0.5756357908248901	ὀγδοηκοντα ; 0.44203197956085205	Φούριος ; 0.46866297721862793	ὅτι2 ; 0.43578994274139404
0.11310582769550315	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	957	24	11	346	6	5	12	100	204	2	2	ἐκπορεύομαι ; 0.5846642851829529	ὀρθρινός ; 0.47551724314689636	χερσαῖος ; 0.47017714381217957	ἐξέρχομαι ; 0.46710625290870667	πανθυμαδόν ; 0.4690680205821991	Νοομα ; 0.4652232527732849	πρῶρραν ; 0.48400676250457764	φωλεός ; 0.4595991373062134	ἐξέρχομαι ; 0.5846642851829529	καταβιάζομαι ; 0.44105297327041626	γλῶσσα ; 0.4585525095462799
0.05074806877234467	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἐξεγείρω	0	4	11	6	48	2	699	73	3	2	2	2	στραγγαλόομαι ; 0.45311176776885986	Μασσηφα ; 0.4267411530017853	κεραυνός ; 0.44416093826293945	ὅλως ; 0.5150761604309082	συννοέω ; 0.47931694984436035	ἀηθέσσω ; 0.4604768753051758	Ζεφυρίη ; 0.47052261233329773	τηρέω ; 0.4680292308330536	ἱππόδαμος ; 0.4619307518005371	Λουκᾶς ; 0.44992536306381226	ἀγενής ; 0.42554450035095215
0.023291199499980653	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	τοιοῦτος	0	33	4	6	47	54	9	137	1	52	138	8	φονοκτονία ; 0.448770135641098	σεμνόστομος ; 0.5175013542175293	ἀνδρολογεῖον ; 0.5112513303756714	προαπόλλυμαι ; 0.4505210816860199	παιγνία ; 0.4443090558052063	Ἡρακλείδης ; 0.4914626181125641	ἁρπαγμός ; 0.43131107091903687	Ιδαερ ; 0.5040080547332764	ἀτέλεστος ; 0.4581092596054077	Ἦνοψ ; 0.47487297654151917	προκοπή ; 0.4397205710411072
0.0001621323225080018	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μεθερμηνεύω	0	1	7	12	9	5	6	1	4	1	2	18	ἐγρηγορτί ; 0.424575537443161	μωρολογία ; 0.4945167005062103	Ἠλίας ; 0.43618541955947876	παλαμναῖος ; 0.43328985571861267	δυσχέρεια ; 0.4622795581817627	εὐπειθής ; 0.4560708701610565	τρόφις ; 0.49625107645988464	εὐθετίζω ; 0.4390854239463806	πλέγμα ; 0.47954559326171875	ἔνθεν ; 0.4696294665336609	ἐλευθέρωσις ; 0.4382662773132324
-0.010421586763987523	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	ξένος	0	11	4	21	36	8	20	2	44	137	34	203	̓́Ανθρωπος ; 0.45488691329956055	ποσάκις ; 0.4338383078575134	ὀνειδισμός ; 0.43015432357788086	γνωστέος ; 0.4949018955230713	τηλαύγημα ; 0.5826715230941772	ἐπιπληρόω ; 0.47762107849121094	ἐπίδειξις ; 0.47855639457702637	ἀναρτάω ; 0.43956127762794495	ἡμός ; 0.49689769744873047	σαρδών ; 0.48537391424179077	πάομαι ; 0.4248315989971161
