Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.008059048635701727	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ζῳογονέω	0	3	6	11	73	2	699	2	4	2	48	2	ἔνυστρον ; 0.4021112024784088	πτερνισμός ; 0.39285847544670105	εἰλικρινής ; 0.44930046796798706	Βαιηρ ; 0.3785802721977234	Δαβωρ ; 0.4036208391189575	Ασαραι ; 0.42282336950302124	σαπρίζω ; 0.4063008725643158	Κόρινθος ; 0.500952422618866	τριημερία ; 0.4163634777069092	ἐξυπνίζω ; 0.41542327404022217	Αἰθιόπις ; 0.42756903171539307
-0.02302608486778729	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ἐπίσημος	0	44	34	137	20	2	4	21	11	36	8	3	ἐρωτάω ; 0.592044472694397	Βαδαν ; 0.44164079427719116	ἀδικέω ; 0.7426910400390625	λάξ ; 0.3826260566711426	Αἰθιόπις ; 0.42756903171539307	ἐντιναγμός ; 0.4170668423175812	διαπαρατριβή ; 0.4377610981464386	ἐκβοάω ; 0.4312189221382141	κομίζω ; 0.4444913864135742	καταδαμάω ; 0.43353602290153503	οἰκητός ; 0.4023589491844177
0.10193800184802698	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	δωρέομαι	0	305	8	22	3	25	2545	4	2	62	396	79	συμπορεύομαι ; 0.6503989696502686	γλωσσοτομέω ; 0.4162214696407318	νουθετέω ; 0.4290744662284851	Κουε ; 0.42256250977516174	κυνόμυια ; 0.41488897800445557	διατάσσω ; 0.3891737759113312	λάρυγξ ; 0.5040371417999268	μνημόσυνον ; 0.4698558449745178	Βαμωθ ; 0.41767141222953796	Μιχαήλ ; 0.4190487861633301	σκύμνος ; 0.6005837917327881
0.04831096229745879	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλανθρωπία	0	1	4	2	1	4	9	1	7	37	58	33	ζωογονέω ; 0.40473341941833496	διάλεκτος ; 0.40794435143470764	εἰδωλῖον ; 0.4176552891731262	θεσμός ; 0.4650723934173584	Γαζαρων ; 0.4300132989883423	σατραπία ; 0.42279863357543945	μέθυσος ; 0.4387146234512329	ἐπίπεμπτος ; 0.433041512966156	θερισμός ; 0.44283467531204224	τερέμινθος ; 0.4053986668586731	ζῆλος ; 0.47490307688713074
0.2619817927926974	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	πλοῦς	0	1	4	1	2	3	2	2	136	13	3	20	ἀπειλέω ; 0.4431331753730774	τάχιον ; 0.4188111424446106	μεῖραξ ; 0.4309876561164856	προαγωνίζομαι ; 0.416433721780777	ἐπονομάζω ; 0.4466722905635834	γνοφώδης ; 0.4822157025337219	κλαυθμός ; 0.4522143602371216	περικαθίζω ; 0.4353986978530884	Φεσηχι ; 0.402573823928833	δίαιτα ; 0.41040873527526855	διαφθείρω ; 0.8794084787368774
-0.011304291497940488	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἐκβαίνω	0	957	24	11	346	6	5	12	100	204	2	2	Αζαηλος ; 0.37875983119010925	Ιασολ ; 0.4541400671005249	Αλεφ ; 0.4911804795265198	καθαγιάζω ; 0.4021974802017212	διόλλυμι ; 0.4586048126220703	πατέω ; 0.42025482654571533	Ιεραμηλι ; 0.4437047243118286	τεκνογονέω ; 0.4135992228984833	Σαλμανα ; 0.4249037206172943	χωνευτήριον ; 0.42206722497940063	τίμιος ; 0.39578354358673096
-0.002894067154178226	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ζάω	0	4	11	6	48	2	699	73	3	2	2	2	Κόρινθος ; 0.500952422618866	εἰλικρινής ; 0.44930046796798706	πτερνισμός ; 0.39285847544670105	ἐξυπνίζω ; 0.41542327404022217	τριημερία ; 0.4163634777069092	Ασαραι ; 0.42282336950302124	Βαιηρ ; 0.3785802721977234	ἔνυστρον ; 0.4021112024784088	Δαβωρ ; 0.4036208391189575	σαπρίζω ; 0.4063008725643158	λεπτόν ; 0.41091281175613403
-0.0065831036302752	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	οἷος	0	33	4	6	47	54	9	137	1	52	138	8	καταχρίω ; 0.4210057854652405	περιπατέω ; 0.3786052167415619	κινύρα ; 0.4239777624607086	σωτήριον ; 0.5541074872016907	ὑπόλειμμα ; 0.411712646484375	ἐντρέπω ; 0.4035743474960327	Εσθαωλαῖοι ; 0.42698580026626587	ἐξαφίημι ; 0.39898881316185	Σελεμιου ; 0.4548571705818176	πυρά ; 0.4541015923023224	Ιθαμαρ ; 0.409442663192749
-0.04097271981251638	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	ἑρμηνεία	0	1	7	12	9	5	6	1	4	1	2	18	παραλέγομαι ; 0.4482410252094269	ἔσχατο ; 0.4124050736427307	ψελλίζω ; 0.41700130701065063	ἀνθράκινος ; 0.43793389201164246	ἔξαρθρος ; 0.42891377210617065	βολίς ; 0.39002686738967896	καλαμάομαι ; 0.4015950560569763	Αβεδδαρα ; 0.4074419140815735	μονομαχέω ; 0.41170966625213623	Ηλαμααρ ; 0.3987077474594116	Δαλματία ; 0.41089123487472534
-0.04705646630166371	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	ἐπίσημος	0	11	4	21	36	8	20	2	44	137	34	203	ἐκβοάω ; 0.4312189221382141	ἐντιναγμός ; 0.4170668423175812	διαπαρατριβή ; 0.4377610981464386	κομίζω ; 0.4444913864135742	καταδαμάω ; 0.43353602290153503	λάξ ; 0.3826260566711426	Αἰθιόπις ; 0.42756903171539307	ἐρωτάω ; 0.592044472694397	ἀδικέω ; 0.7426910400390625	Βαδαν ; 0.44164079427719116	ἀποσφενδονάω ; 0.3877461552619934
