Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.09897929854671578	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	φανέρωσις	1	3	6	11	73	2	699	2	4	2	48	2	διδασκαλικός ; 0.5490481853485107	ἄφαρ ; 0.5340574979782104	πολύδεσμος ; 0.5902342796325684	λαμπήνη ; 0.5476047396659851	ἀνωτερικός ; 0.5351996421813965	ἀλληλούϊα ; 0.616210401058197	εὐχωλή ; 0.5431557297706604	καταπληκτικός ; 0.5480172634124756	ἐνετή ; 0.5319371223449707	μετάπεμπτος ; 0.5487527847290039	ἔξεστι(ν) ; 0.539242148399353
-0.01411092334246844	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	χρηματισμός	0	44	34	137	20	2	4	21	11	36	8	3	ἐρωτάω ; 0.6513814330101013	ἐδανός ; 0.5731625556945801	ἐπιβρέχω ; 0.5829258561134338	Ναναία ; 0.5211842656135559	ἔξεστι(ν) ; 0.539242148399353	ἑπτακισμύριοι ; 0.5542789697647095	φανερόω ; 0.6902563571929932	Θεσσαλικός ; 0.5479916334152222	πολλάκις ; 0.5229795575141907	ἁφή ; 0.5808790326118469	συμμητιάομαι ; 0.564895510673523
0.07014925202537553	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	δόσις	0	305	8	22	3	25	2545	4	2	62	396	79	ἀσπασμός ; 0.5836113691329956	μέτειμι1 ; 0.5494917631149292	ἰουδαΐζω ; 0.5563136339187622	Ζαρετ ; 0.5497865080833435	ἀναίνομαι ; 0.5539568066596985	διδάσκω ; 0.5296108722686768	παρεισάγω ; 0.5595946311950684	ἀκόρεστος ; 0.5052662491798401	ἐξαιρετός ; 0.5692198276519775	ἔκλαμψις ; 0.5332505702972412	ἤπειρος ; 0.5571650266647339
0.041224800992285426	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλόθεος	0	1	4	2	1	4	9	1	7	37	58	33	σύμφυτος ; 0.5586056113243103	πολυδάκρυτος ; 0.5032621622085571	μέτειμι1 ; 0.5580897927284241	φιλήδονος ; 0.8954198360443115	ἠθολογέω ; 0.6401317119598389	ἐνενηκονταετής ; 0.5650132894515991	ὁπλίζομαι ; 0.5482078790664673	καθομολογέω ; 0.567559540271759	εἶτα ; 0.554507851600647	θεομισής ; 0.5801299214363098	Ρωγηλ ; 0.6076109409332275
0.07178982230631009	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	ἀνάγω	0	1	4	1	2	3	2	2	136	13	3	20	ἐκεῖθεν ; 0.5557810068130493	παραφυλάσσω ; 0.5388729572296143	προσεάω ; 0.7534770965576172	Γέσκων ; 0.5621281862258911	βραχυτελής ; 0.5601165890693665	Σαμοθρᾴκη ; 0.6284012198448181	τυφωνικός ; 0.6925020217895508	θύω ; 0.5206618309020996	ἀναπλέω ; 0.5792298316955566	κεφφουρῆς ; 0.5692858695983887	δεύτερος ; 0.6248950362205505
0.059627238488850376	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἄφιξις	0	957	24	11	346	6	5	12	100	204	2	2	ἐπιτεχνάζω ; 0.5637974143028259	ἐργαλεῖον ; 0.5013934373855591	στάμνος ; 0.5895442962646484	εἰσάγω ; 0.6561483144760132	ἀποξενόω ; 0.5171629786491394	ἀποθνῄσκω ; 0.5130239725112915	Χαιρέας ; 0.5463218092918396	πάϊθεν ; 0.556222140789032	νεεσσαραν ; 0.5808513760566711	καταβιάζομαι ; 0.5906310081481934	Ὁμηρικός ; 0.5421628952026367
0.03548658792012799	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἐξανάστασις	0	4	11	6	48	2	699	73	3	2	2	2	καταπληκτικός ; 0.5480172634124756	πολύδεσμος ; 0.5902342796325684	ἄφαρ ; 0.5340574979782104	μετάπεμπτος ; 0.5487527847290039	ἐνετή ; 0.5319371223449707	ἀλληλούϊα ; 0.616210401058197	λαμπήνη ; 0.5476047396659851	διδασκαλικός ; 0.5490481853485107	ἀνωτερικός ; 0.5351996421813965	εὐχωλή ; 0.5431557297706604	ἀλλαγή ; 0.5597337484359741
0.07886668894743054	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	33	4	6	47	54	9	137	1	52	138	8	εἰκός ; 0.5292913317680359	αἰχμή ; 0.5470079183578491	ἄφεδρος ; 0.5716457366943359	γενεά ; 0.6327054500579834	μωραίνω ; 0.5362882614135742	σύγκλεισμα ; 0.5551986694335938	καταγελάω ; 0.5399778485298157	περιδεής ; 0.616564154624939	ῥόδινος ; 0.5216102600097656	μεταγενής ; 0.545600414276123	ἐξοπλησία ; 0.5878908634185791
0.07980403769897193	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μέχρι(ς)	1	1	7	12	9	5	6	1	4	1	2	18	ἐνάλιος ; 0.5760249495506287	καταχθόνιος ; 0.5725115537643433	πρεσβευτής ; 0.5293959379196167	Ναζαρέθ ; 0.5713008642196655	ἐπαμείβω ; 0.5563862323760986	βάϊον ; 0.5839729309082031	ἐκλύομαι ; 0.5809959769248962	πάροιθε ; 0.5505608320236206	ἀνοσιότης ; 0.6609525084495544	εἴωθα ; 0.5181705951690674	κόμμωσις ; 0.5701425075531006
-0.0683064173872257	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	χρηματισμός	0	11	4	21	36	8	20	2	44	137	34	203	Θεσσαλικός ; 0.5479916334152222	ἑπτακισμύριοι ; 0.5542789697647095	φανερόω ; 0.6902563571929932	πολλάκις ; 0.5229795575141907	ἁφή ; 0.5808790326118469	Ναναία ; 0.5211842656135559	ἔξεστι(ν) ; 0.539242148399353	ἐρωτάω ; 0.6513814330101013	ἐπιβρέχω ; 0.5829258561134338	ἐδανός ; 0.5731625556945801	δίδωμι ; 0.5296108722686768
-0.030235629686539256	κύριος	μαράνα	Σαβαώθ	κυριακός	παντοκράτωρ	ἐλωΐ	αββα	θεός	ἠλί	ἄθεος	πότε	παντοκράτωρ	0	9318	1	2	2	191	2	3	5315	2	1	66	ἀγρίος ; 0.5776252746582031	θά ; 0.9636176824569702	πελασγικός ; 0.5633528232574463	γρηγορέω ; 0.6040794849395752	ἐκφοβέω ; 0.6837846040725708	λεμά ; 0.6921411156654358	πρωτοπήμων ; 0.5410860180854797	ἀσκητός ; 0.5249055624008179	λεμά ; 0.7707752585411072	ἐγχώριος ; 0.5671354532241821	καταγηράω ; 0.5086413025856018
0.06982067116639695	ἀρτιγέννητος	ἔγκυος	τεκνογονέω	γενετή	ὠδίν	τεκνογονία	γένεσις	γεννητός	γέννημα	τίκτω	βραδύς	βραδύς	1	1	2	1	3	39	1	63	7	7	263	3	Νημερτής ; 0.5793538093566895	τηλέπορος ; 0.5829540491104126	οἰκοδεσποτέω ; 0.9790350794792175	ἀράομαι ; 0.5187057852745056	ἀετός ; 0.5994913578033447	ἐκτρέπομαι ; 0.5622681379318237	μνημονεύω ; 0.5291354656219482	εἰωθότως ; 0.528054416179657	Μηκιστηι ; 0.5142947435379028	ἐπίλοιπος ; 0.5893102884292603	ταφεύς ; 0.5358381271362305
-0.04945546932159034	ἐκπληρόω	πληροφορέω	συναντάω	συμβαίνω	ἐνίστημι	προγίνομαι	ἐπιγίνομαι	πρᾶγμα	ἐπεισέρχομαι	συγκυρία	ἀγέλη	ἀγέλη	1	4	7	67	59	20	1	1	137	2	1	17	συναφίστημι ; 0.6670640110969543	ἀγαθότης ; 0.6561763882637024	περιπλήσσω ; 0.5512193441390991	διηγέομαι ; 0.6380319595336914	ὑποτυπόω ; 0.6292823553085327	πάρεσις ; 0.9480495452880859	δευτεραῖος ; 0.9182272553443909	Φαίδιμος ; 0.5770252346992493	κάπριος ; 0.5485494136810303	ἔγκλημα ; 0.5823453068733215	χωρίον ; 0.5181422233581543
0.007258383286384951	αββα	κυριακός	κύριος	ἄθεος	Σαβαώθ	παντοκράτωρ	θεός	ἐλωΐ	μαράνα	ἠλί	ἴασπις	παντοκράτωρ	0	3	2	9318	1	2	191	5315	2	1	2	8	πρωτοπήμων ; 0.5410860180854797	γρηγορέω ; 0.6040794849395752	ἀγρίος ; 0.5776252746582031	ἐγχώριος ; 0.5671354532241821	πελασγικός ; 0.5633528232574463	ἐκφοβέω ; 0.6837846040725708	ἀσκητός ; 0.5249055624008179	λεμά ; 0.6921411156654358	θά ; 0.9636176824569702	λεμά ; 0.7707752585411072	βήρυλλος ; 0.5643237233161926
0.039035389553089384	αὐθεντέω	δαμάζω	εὐπερίστατος	βραβεύω	δοῦλος	συλαγωγέω	ἐνέχω	ζωγρέω	στενοχωρέομαι	συνέχω	ἐρεύγομαι	συνέχω	0	1	7	1	2	511	1	8	10	3	62	7	Περικλῆς ; 0.6315454244613647	προξενέω ; 0.5734192728996277	σόφισμα ; 0.5394189953804016	ἀλλαγή ; 0.5597337484359741	ἀπανθίζω ; 0.5398470759391785	δωματοφθορέω ; 0.5431126356124878	Καλύκαδνος ; 0.5573318600654602	χρίω ; 0.5407087802886963	ὑπερεντυγχάνω ; 0.5234681367874146	ὀνοτάζω ; 0.5347334146499634	ὑδρεία ; 0.5394865274429321
-0.05885891037698088	δηλόω	φανερός	ἐπίσημος	ἀποκάλυψις	χρηματίζω	ξένος	ἀποκαλύπτω	φανέρωσις	χρηματισμός	αὐγάζω	τετράπους	χρηματισμός	0	44	36	11	21	20	34	137	2	4	8	16	ἐρωτάω ; 0.6513814330101013	πολλάκις ; 0.5229795575141907	Θεσσαλικός ; 0.5479916334152222	φανερόω ; 0.6902563571929932	Ναναία ; 0.5211842656135559	ἐδανός ; 0.5731625556945801	ἐπιβρέχω ; 0.5829258561134338	ἔξεστι(ν) ; 0.539242148399353	ἑπτακισμύριοι ; 0.5542789697647095	ἁφή ; 0.5808790326118469	μαλακία ; 0.555966317653656
