Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.05180413459631561	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἐξεγείρω	0	3	6	11	73	2	699	2	4	2	48	2	παρίστημι ; 0.4847446084022522	ἀπόλλων ; 0.412069708108902	ἀγών ; 0.42999911308288574	Φρυνίων ; 0.5316751599311829	ἱππόδαμος ; 0.4344399571418762	ποιητής ; 0.3901585340499878	ζάκορος ; 0.4743940234184265	παιδιή ; 0.4303392767906189	ἐξόπισθεν ; 0.4369954764842987	κλεπτίστατος ; 0.44775739312171936	μήκιστος ; 0.43737661838531494
-0.0605481966719022	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ἐπίσημος	0	44	34	137	20	2	4	21	11	36	8	3	ἐρωτάω ; 0.5698508024215698	ξένος1 ; 0.5866299867630005	ἀδικέω ; 0.5481598377227783	ἀπολιμπάνω ; 0.41487908363342285	μήκιστος ; 0.43737661838531494	πουλυμαθίη ; 0.4320064187049866	πτωχεία ; 0.4728940725326538	καταγγελεύς ; 0.4634927213191986	ἁλίη ; 0.41611698269844055	μητροκτονέω ; 0.4377763569355011	Γαμαριου ; 0.4163515269756317
0.02378920322863537	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	προδίδωμι	0	305	8	22	3	25	2545	4	2	62	396	79	Δευκαλίδης ; 0.4794255495071411	σύγγραμμα ; 0.4518776535987854	δημόσιος ; 0.4253551661968231	Γέλων ; 0.45131930708885193	ἐπικουρέω ; 0.4408859610557556	ἀποδίδωμι ; 0.5542517900466919	πόθος ; 0.4622396230697632	συνακμάζω ; 0.5070736408233643	ζοφερός ; 0.46090325713157654	προφθάνω ; 0.4314765930175781	θλῖψις ; 0.4483799636363983
0.04115612583754713	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλάδελφος	0	1	4	2	1	4	9	1	7	37	58	33	Ἰφικλέης ; 0.48015227913856506	ἐναγκάλισμα ; 0.45749083161354065	ἐντρίβω ; 0.48354655504226685	φιλήδονος ; 0.7805555462837219	φωταγωγέω ; 0.47589120268821716	συμπαρακαλέομαι ; 0.49521881341934204	ἐξεμπολάω ; 0.45779648423194885	οἰδάνω ; 0.4531143009662628	Προυσίας ; 0.43450048565864563	κρίζω ; 0.4412989914417267	Αλαωθ ; 0.4351452589035034
0.157929381201103	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	136	13	3	20	Σκῦρος ; 0.48039156198501587	πλέω ; 0.5272602438926697	ἀνακαθαίρω ; 0.4436228275299072	διαμιλλάομαι ; 0.4755265712738037	ὑπερνικάω ; 0.5045177936553955	Σαμοθρᾴκη ; 0.6552860140800476	μίλιον ; 0.47146549820899963	Σελμων ; 0.4314497709274292	ἀποπλέω ; 0.5272602438926697	πλέω ; 0.4896056652069092	Μαλελεηλ ; 0.4810689687728882
0.06244712335133579	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	957	24	11	346	6	5	12	100	204	2	2	ὑπεκπροφεύγω ; 0.4714842438697815	ἀρτύω ; 0.455384224653244	Ελεκεθ ; 0.5157598257064819	ἀμφιπεριστρωφάω ; 0.4507315754890442	κλίνω ; 0.4540795683860779	Λάγις ; 0.44433316588401794	ἐπιράπτω ; 0.4785284996032715	ἐντέλλομαι ; 0.48877233266830444	καλύπτω ; 0.4434462785720825	πανδοχεῖον ; 0.42555034160614014	δεσμοφύλαξ ; 0.445537805557251
0.024001283474724744	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἔγερσις	0	4	11	6	48	2	699	73	3	2	2	2	παιδιή ; 0.4303392767906189	ἀγών ; 0.42999911308288574	ἀπόλλων ; 0.412069708108902	κλεπτίστατος ; 0.44775739312171936	ἐξόπισθεν ; 0.4369954764842987	ποιητής ; 0.3901585340499878	Φρυνίων ; 0.5316751599311829	παρίστημι ; 0.4847446084022522	ἱππόδαμος ; 0.4344399571418762	ζάκορος ; 0.4743940234184265	στάσιμος ; 0.4363751709461212
0.053730871045936934	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	33	4	6	47	54	9	137	1	52	138	8	ἐμφανής ; 0.4276766777038574	Ἀδάμ ; 0.450583279132843	Αναρ ; 0.42879730463027954	ψιλόταπις ; 0.42701321840286255	αὐτοσταδίη ; 0.4341226816177368	Ἡρακλείδης ; 0.45173096656799316	φιλοβάρβιτος ; 0.43190935254096985	Ιδαερ ; 0.4960932731628418	ἀλήιος ; 0.4519250690937042	κορυνηφόρος ; 0.4642600119113922	συνυποκρίνομαι ; 0.4830532670021057
0.017472050984757015	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μέχρι(ς)	1	1	7	12	9	5	6	1	4	1	2	18	ἐκτολυπεύω ; 0.4438576400279999	πάριος ; 0.41366660594940186	Ἄρατος ; 0.44513535499572754	Ἄμυρις ; 0.46228259801864624	ἀντιπολιτεύω ; 0.4664165675640106	Πύδνα ; 0.4587233066558838	κεφαλαιόω ; 0.45377224683761597	ἐπιτύμβιος ; 0.4379001259803772	ἐπευκτή ; 0.4318271279335022	περαιτέρω ; 0.45870816707611084	ἀθέτησις ; 0.41734951734542847
-0.06437995671988961	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	αὐγάζω	0	11	4	21	36	8	20	2	44	137	34	203	καταγγελεύς ; 0.4634927213191986	πουλυμαθίη ; 0.4320064187049866	πτωχεία ; 0.4728940725326538	ἁλίη ; 0.41611698269844055	μητροκτονέω ; 0.4377763569355011	ἀπολιμπάνω ; 0.41487908363342285	μήκιστος ; 0.43737661838531494	ἐρωτάω ; 0.5698508024215698	ἀδικέω ; 0.5481598377227783	ξένος1 ; 0.5866299867630005	χράω ; 0.4118937849998474
