Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.15991242931270921	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἐξεγείρω	0	3	6	11	73	2	694	2	4	2	48	2	θεσμός ; 0.655584990978241	φυτόν ; 0.8016330003738403	συζάω ; 0.6930547952651978	ἐπιβλέπω ; 0.6659291386604309	οὐδέποτε ; 0.6852613687515259	μιμνῄσκω ; 0.6585803031921387	σύμμορφος ; 0.6462945938110352	φυλακή ; 0.690343976020813	παράπτωμα ; 0.6129597425460815	Γαλιλαῖος ; 0.707910418510437	ἐθνοπλήθης ; 0.7176060080528259
0.04344751700416105	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ξένος	0	44	34	135	20	2	4	21	11	34	8	3	ἀντεῖπον ; 0.6454700827598572	ἄλιμον ; 0.6265084743499756	κρύπτω ; 0.6881980895996094	πορθέω ; 0.6509138941764832	ἐθνοπλήθης ; 0.7176060080528259	χλευάζω ; 0.6940619349479675	ἀπεκδέχομαι ; 0.711455225944519	εὐκαταφρόνητος ; 0.6802186369895935	οἰκήτωρ ; 0.6664813160896301	λευκαθίζω ; 0.7335288524627686	πρεσβύτης ; 0.7058366537094116
0.21355732707623037	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ποίμνιον	1	304	8	22	3	25	2526	4	2	62	392	79	ἐκτείνω ; 0.7723854184150696	διαμένω ; 0.6664777398109436	ῥέδη ; 0.6052410006523132	διαπράσσω ; 0.7189247608184814	κατανοήσις ; 0.642212986946106	τίθημι ; 0.783405065536499	εἰκότως ; 0.7311668395996094	δύσχρηστος ; 0.7719177007675171	δῶρον ; 0.7109948992729187	ἐξαποστέλλω ; 0.6947870850563049	πρόβατον ; 0.8217613697052002
0.2227640173398363	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	ὑπερῷον	1	1	4	2	1	4	9	1	7	37	58	33	σωφρονίζω ; 0.9424166083335876	μεγαλόψυχος ; 0.7770352363586426	τροφεία ; 0.7777596712112427	φιλήδονος ; 0.8953943252563477	φίλανδρος ; 0.8186663389205933	ἀγάπη ; 0.732341468334198	Ηλαμααρ ; 0.6937745213508606	ἀποτόμως ; 0.7045122385025024	ἐρεθισμός ; 0.6504216194152832	θαρσέω ; 0.6776363849639893	κοιτών ; 0.7069597244262695
0.15906696731605685	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	136	13	3	20	εἰσκαλέομαι ; 0.7289339303970337	Παμφυλία ; 0.7319164872169495	διαγίνομαι ; 0.7277677655220032	Σαλμώνη ; 0.8429661393165588	ἐπισφαλής ; 0.8489581942558289	Κώς ; 0.8375886678695679	ἆσσον ; 0.7554922103881836	ἐξάγω ; 0.7920742034912109	προσορμίζομαι ; 0.7155460119247437	ἀποτάσσομαι ; 0.8250777125358582	ἀφθαρσία ; 0.6170288324356079
0.17308676209916912	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	949	24	11	344	6	5	12	98	204	2	2	ἐκπορεύομαι ; 0.8441601991653442	ἴσνος ; 0.7084616422653198	ἀπασπάζομαι ; 0.66570645570755	εἰσέρχομαι ; 0.7948068380355835	Βασανι ; 0.7284002304077148	Ραρα ; 0.6750955581665039	ἑτεροδιδασκαλέω ; 0.663547158241272	ἀφίημι ; 0.6384823322296143	ἐξέρχομαι ; 0.8441601991653442	ἐλέφας ; 0.6799496412277222	παραμυθία ; 0.7010922431945801
0.10637790899804611	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἐξεγείρω	0	4	11	6	48	2	694	73	3	2	2	2	φυλακή ; 0.690343976020813	συζάω ; 0.6930547952651978	φυτόν ; 0.8016330003738403	Γαλιλαῖος ; 0.707910418510437	παράπτωμα ; 0.6129597425460815	μιμνῄσκω ; 0.6585803031921387	ἐπιβλέπω ; 0.6659291386604309	θεσμός ; 0.655584990978241	οὐδέποτε ; 0.6852613687515259	σύμμορφος ; 0.6462945938110352	συμφώνησις ; 0.6981043815612793
0.1330539730489929	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	33	4	6	47	53	9	137	1	52	136	8	τοιοῦτος ; 0.6775647401809692	ποιητής ; 0.7632730007171631	ἀφειδία ; 0.6731364130973816	ἄπνοος ; 0.6657485365867615	ταπεινφρονέω ; 0.6469756960868835	πτέρυξ ; 0.627802848815918	πίτυς ; 0.7206078171730042	πομπεύω ; 0.7872326970100403	προλαμβάνω ; 0.6475394368171692	οὐδείς ; 0.6835213899612427	Καφαρναούμ ; 0.683994710445404
0.012390882872973186	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	ἑρμηνεία	0	1	7	12	8	3	6	1	4	1	2	18	συναπάγομαι ; 0.745651125907898	μάρτυς ; 0.659066915512085	ἐπιβοηθέω ; 0.7020218372344971	Ἐμμανουήλ ; 0.6701743602752686	Ἀπολλύων ; 0.711667537689209	προσορμίζομαι ; 0.6885809898376465	μιαροφαγέω ; 0.7272353172302246	συγκρίνω ; 0.6563324928283691	ἀναβάλλομαι ; 0.6408429145812988	λυμαίνομαι ; 0.776626467704773	διόρθωσις ; 0.6442698240280151
-0.07240326849797446	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	ξένος	0	11	4	21	34	8	20	2	44	135	34	202	εὐκαταφρόνητος ; 0.6802186369895935	χλευάζω ; 0.6940619349479675	ἀπεκδέχομαι ; 0.711455225944519	οἰκήτωρ ; 0.6664813160896301	λευκαθίζω ; 0.7335288524627686	πορθέω ; 0.6509138941764832	ἐθνοπλήθης ; 0.7176060080528259	ἀντεῖπον ; 0.6454700827598572	κρύπτω ; 0.6881980895996094	ἄλιμον ; 0.6265084743499756	καταγγέλλω ; 0.7731711268424988
