Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.06931758626289097	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	φανέρωσις	1	3	6	11	73	2	694	2	4	2	48	2	Εὐκλείδης ; 0.32904788851737976	μελίκρητον ; 0.2896624207496643	δικασπόλος ; 0.31534963846206665	Χαρκαμυς ; 0.29790228605270386	κυδιάνειρα ; 0.3502671718597412	ἀνάρχετος ; 0.3152490556240082	ἀμβλάκημα ; 0.3284568190574646	ἀκροατήριον ; 0.3408728837966919	μετασκευάζω ; 0.2854475975036621	διευτυχέω ; 0.26691100001335144	Τυφῶν ; 0.3469761610031128
0.00408086599838281	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	χρηματισμός	0	44	34	135	20	2	4	21	11	34	8	3	ὅραμα ; 0.2867702841758728	οἴμη ; 0.2813301384449005	ἀποτιννύω ; 0.3503169119358063	ἀνοιμώζω ; 0.2795199453830719	Τυφῶν ; 0.3469761610031128	πυγούσιος ; 0.3413167893886566	τυραννοκτονέω ; 0.29100140929222107	οἰκέω ; 0.32740318775177	Σολομών ; 0.2838402986526489	λάω ; 0.34299081563949585	μνημονεύω ; 0.30789875984191895
0.020259052885319456	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ποίμνιον	1	304	8	22	3	25	2526	4	2	62	392	79	ἀποκαίω ; 0.38215941190719604	ἐπιθυμόω ; 0.3089792728424072	πάομαι ; 0.2744327783584595	προαισθάνομαι ; 0.32484719157218933	σύν-καταφεύγω ; 0.30750590562820435	εἰμί ; 0.5208799242973328	διανύω ; 0.28089725971221924	Αβεδδαραμ ; 0.31553569436073303	ἀργυρολογία ; 0.28528153896331787	δίδωμι ; 0.3346084952354431	ποιμήν ; 0.30778297781944275
-0.03284149262975103	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλία	0	1	4	2	1	4	9	1	7	37	58	33	εὔτακτος ; 0.4601069986820221	Αθανιν ; 0.3660011887550354	ἀποστυγέω ; 0.34312891960144043	φιλήδονος ; 0.864151656627655	ἠθολογέω ; 0.4658905863761902	ἀκεστός ; 0.3331790268421173	χειμέριος ; 0.3230450749397278	ἐπίκυφος ; 0.3033580183982849	ὑποκρίνομαι ; 0.26381224393844604	ἁρμόστωρ ; 0.25845643877983093	ἴλη ; 0.2762409746646881
0.019470994852117007	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	136	13	3	20	διημερεύω ; 0.27694398164749146	Καρία ; 0.330345094203949	προσεάω ; 0.7154265642166138	προσεάω ; 0.3721742331981659	ἐκθεάομαι ; 0.31632354855537415	Κώς ; 0.6401670575141907	τυφωνικός ; 0.5872902274131775	ἐξάγω ; 0.4404630959033966	ἀναπλέω ; 0.3261578679084778	εἴκοσιν ; 0.29102134704589844	Μεσοποταμία ; 0.33023735880851746
0.05972639516716802	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	949	24	11	344	6	5	12	98	204	2	2	καταβαίνω ; 0.44995513558387756	δέρω ; 0.29524555802345276	Διευτυχίδας ; 0.33873558044433594	εἰσάγω ; 0.3578840494155884	μεταβαίνω ; 0.31250202655792236	ὑπηρέτης ; 0.2828788757324219	ἔξειμι2 ; 0.33474087715148926	μήτι ; 0.28725841641426086	ἐξέρχομαι ; 0.4029915928840637	παρουσία ; 0.27270328998565674	ἐξέργω ; 0.3747025728225708
0.026494501768183354	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	βραβεύω	1	4	11	6	48	2	694	73	3	2	2	2	ἀκροατήριον ; 0.3408728837966919	δικασπόλος ; 0.31534963846206665	μελίκρητον ; 0.2896624207496643	διευτυχέω ; 0.26691100001335144	μετασκευάζω ; 0.2854475975036621	ἀνάρχετος ; 0.3152490556240082	Χαρκαμυς ; 0.29790228605270386	Εὐκλείδης ; 0.32904788851737976	κυδιάνειρα ; 0.3502671718597412	ἀμβλάκημα ; 0.3284568190574646	ῥᾴδιον ; 0.2743629217147827
0.05063956307403503	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	33	4	6	47	53	9	137	1	52	136	8	Ναμεσσιας ; 0.2813708782196045	ἀρώσιμος ; 0.3213178217411041	ἀνακλάω ; 0.30805882811546326	χάλκειος ; 0.3170725703239441	ἐγγηράω ; 0.2784340977668762	Σουβαηλ ; 0.28091874718666077	ὡριαίνω ; 0.2714664041996002	Τάφιοι ; 0.3675152659416199	Εβλαζερ ; 0.31119465827941895	θεραπηίη ; 0.32217085361480713	ἀνήλιος ; 0.31962984800338745
-0.012084617038769563	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μέχρι(ς)	1	1	7	12	8	3	6	1	4	1	2	18	ἰχθυβόλος ; 0.3682931959629059	ἀπαρτισμός ; 0.28928622603416443	σπλαγχνίζομαι ; 0.2782486081123352	προσυπομιμνῄσκω ; 0.3060562014579773	κοπίς ; 0.3993752598762512	Ταναθαν ; 0.32302767038345337	δυσμηχανέω ; 0.34832563996315	ἐπιδιδάσκω ; 0.28352469205856323	δελφάκιον ; 0.4245971441268921	περαιτέρω ; 0.4411504864692688	ἐλευθερόω ; 0.29023727774620056
-0.022258420450808836	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	χρηματισμός	0	11	4	21	34	8	20	2	44	135	34	202	οἰκέω ; 0.32740318775177	πυγούσιος ; 0.3413167893886566	τυραννοκτονέω ; 0.29100140929222107	Σολομών ; 0.2838402986526489	λάω ; 0.34299081563949585	ἀνοιμώζω ; 0.2795199453830719	Τυφῶν ; 0.3469761610031128	ὅραμα ; 0.2867702841758728	ἀποτιννύω ; 0.3503169119358063	οἴμη ; 0.2813301384449005	λαλέω ; 0.2927553653717041
