Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.10000032813689907	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἐξεγείρω	0	3	6	11	73	2	694	2	4	2	48	2	Κούρητες ; 0.5475403070449829	ἰσός ; 0.5304853320121765	ὀλοθρεύω ; 0.5708876848220825	ἀποθαυμάζω ; 0.5146450400352478	ἀνεκλάλητος ; 0.5198944807052612	ἐγγύτερον ; 0.5736112594604492	ἀσιτία ; 0.5599948167800903	φαεινός ; 0.5731940269470215	δυσόμματος ; 0.5234448909759521	Χριστός ; 0.576299786567688	ἀκυρόω ; 0.5989995002746582
0.022059912248975633	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ξένος	0	44	34	135	20	2	4	21	11	34	8	3	γνωρίζω ; 0.5960322618484497	ἀικής ; 0.5117006897926331	κομψεύω ; 0.585908055305481	βλασφημέω ; 0.5518365502357483	ἀκυρόω ; 0.5989995002746582	Ῥύπες ; 0.5703672170639038	εὐλαβῶς ; 0.563775360584259	εἰρέω ; 0.6128016710281372	γνωστέος ; 0.576211154460907	τηλαύγημα ; 0.6803386211395264	παραστάτης ; 0.5260189771652222
0.15745565229214026	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	προδίδωμι	0	304	8	22	3	25	2526	4	2	62	392	79	ἐπιβάλλω ; 0.6609587669372559	ὄγκος2 ; 0.5609336495399475	ἀνατέμνω ; 0.5249687433242798	Γέλων ; 0.5548821091651917	δόμα ; 0.5688853859901428	ἀποδίδωμι ; 0.6938678622245789	ὑπέχω ; 0.5706132650375366	ἐλεήμων ; 0.5436795353889465	δῶρον ; 0.6296682953834534	ἐξαποστέλλω ; 0.6350294947624207	πρόβατον ; 0.707395076751709
0.10970749984700973	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	ὑπερῷον	1	1	4	2	1	4	9	1	7	37	58	33	συγγενής ; 0.5754446983337402	ἀποβλάπτω ; 0.5234522223472595	συμπάρειμι ; 0.5619555115699768	φιλήδονος ; 0.7946850061416626	ἀπαθής ; 0.5768148899078369	πίστις ; 0.6081306338310242	νεωκόρος ; 0.5780768394470215	πρόληψις ; 0.5378355383872986	κλῄζω1 ; 0.555450439453125	ραββουνι ; 0.5453717708587646	αιλ ; 0.5725637674331665
0.20584630152950573	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	136	13	3	20	Ῥόδος ; 0.5294786691665649	ἐκπλέω ; 0.6148556470870972	κατάνομαι ; 0.5726081132888794	κυματόω ; 0.5814565420150757	Λοβωημαθ ; 0.5724430084228516	Σαμοθρᾴκη ; 0.7231571674346924	ὀλιγόπιστος ; 0.5961530208587646	ἐξάγω ; 0.737275242805481	Κελτικός ; 0.5300279855728149	ἀποπλέω ; 0.6148556470870972	σύμμορφος ; 0.6031955480575562
0.15807340733282854	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	949	24	11	344	6	5	12	98	204	2	2	ἐκπορεύομαι ; 0.7463042736053467	ἀκεστής ; 0.5667575001716614	ἑλέπτολις ; 0.5662173628807068	ἐξέρχομαι ; 0.6406841278076172	ὀβριμοεργός ; 0.5484274625778198	ἀπαίρω ; 0.6750978231430054	Φλαμίνιος ; 0.5457035303115845	κομίζω ; 0.5995592474937439	ἐξέρχομαι ; 0.7463042736053467	περίοικος ; 0.5148712396621704	πανοῦργος ; 0.6110267639160156
0.04037909091412284	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἐξεγείρω	0	4	11	6	48	2	694	73	3	2	2	2	φαεινός ; 0.5731940269470215	ὀλοθρεύω ; 0.5708876848220825	ἰσός ; 0.5304853320121765	Χριστός ; 0.576299786567688	δυσόμματος ; 0.5234448909759521	ἐγγύτερον ; 0.5736112594604492	ἀποθαυμάζω ; 0.5146450400352478	Κούρητες ; 0.5475403070449829	ἀνεκλάλητος ; 0.5198944807052612	ἀσιτία ; 0.5599948167800903	προοἶδα ; 0.5289952754974365
0.1349163805084327	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	33	4	6	47	53	9	137	1	52	136	8	παρόμοιος ; 0.5732908248901367	ποιητής ; 0.5907118916511536	ταμία ; 0.5736932754516602	οὐριοστάτης ; 0.5508478283882141	βριήπυος ; 0.6073880195617676	ἀπρονόητος ; 0.5959286689758301	ἡμέριος ; 0.5078182220458984	ἀπολισθάνω ; 0.557013988494873	ὀψίζω ; 0.5757051706314087	ὅστις ; 0.6223004460334778	οἰκία ; 0.5933473110198975
0.007307615599908279	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	ἑρμηνεύω	0	1	7	12	8	3	6	1	4	1	2	18	διερεθίζω ; 0.5179336667060852	σύν-ψεύδω ; 0.6181201934814453	ῥᾴδιον ; 0.5606133937835693	προορίζω ; 0.547603964805603	ἐνέργημα ; 0.5940830707550049	Πύδνα ; 0.5340185165405273	κεφαλαιόω ; 0.6132324934005737	πόσις ; 0.5586212277412415	πορθέω ; 0.5642615556716919	Μύστα ; 0.5384868383407593	ἄχρι ; 0.5558075904846191
-0.0839614952244282	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	ξένος	0	11	4	21	34	8	20	2	44	135	34	202	εἰρέω ; 0.6128016710281372	Ῥύπες ; 0.5703672170639038	εὐλαβῶς ; 0.563775360584259	γνωστέος ; 0.576211154460907	τηλαύγημα ; 0.6803386211395264	βλασφημέω ; 0.5518365502357483	ἀκυρόω ; 0.5989995002746582	γνωρίζω ; 0.5960322618484497	κομψεύω ; 0.585908055305481	ἀικής ; 0.5117006897926331	κηρύσσω ; 0.5552177429199219
-0.005255185567529019	κύριος	μαράνα	Σαβαώθ	κυριακός	παντοκράτωρ	ἐλωΐ	αββα	θεός	ἠλί	ἄθεος	πότε	κυριακός	0	9279	1	2	2	191	2	3	5249	2	1	66	θεός ; 0.7886216640472412	θά ; 0.844528317451477	ταμεῖον ; 0.6263028383255005	καθεύδω ; 0.5257341861724854	ὅδε ; 0.6720917820930481	ἠλί ; 0.7233651876449585	θαρσύνω ; 0.5511014461517334	κύριος ; 0.788621723651886	ἐλωΐ ; 0.7233651876449585	εὐπατρίδης ; 0.6236660480499268	ἄρτι ; 0.567585289478302
