Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.10095062868977095	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	βασίλειος	0	1	2179	83	6	361	8	46	1	455	17	2	1	2	3	2	9317	5312	191	2	1	ὁμότεχνος ; 0.7942174077033997	πόλις ; 0.49086523056030273	ἐκεῖ ; 0.4281211793422699	προσγίγνομαι ; 0.39382222294807434	ῥαπτός ; 0.4765772819519043	σοφιστής ; 0.41969913244247437	Βασαν ; 0.47435086965560913	ἀντιδίδωμι ; 0.5105869174003601	διατήρησις ; 0.4273848235607147	μεσημβρία ; 0.4055235683917999	ἐξαρτίζω ; 0.4209335446357727	θά ; 0.9641013145446777	λεμά ; 0.7610893249511719	Σουδι ; 0.45408010482788086	λεμά ; 0.7722509503364563	ἐγώ ; 0.5586824417114258	κύριος ; 0.4836280941963196	ἀντέχω ; 0.433091938495636	μακροχρόνιος ; 0.4742804169654846	Εὐνίκη ; 0.4983212351799011
0.05329826185124781	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	προαμαρτάνω	0	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	Ρηφα ; 0.43934279680252075	ἡγέομαι ; 0.4264206290245056	φυσίωσις ; 0.497747004032135	ἀσεβής ; 0.4904519319534302	κολλυβιστής ; 0.42743927240371704	ἁμαρτία ; 0.49115073680877686	ἀδίκημα ; 0.42352646589279175	ἀνομία ; 0.5038350224494934	σπιλόω ; 0.5008077025413513	ζήτημα ; 0.5550705790519714	ὑπήκοος ; 0.3997769355773926	προτρέχω ; 0.4948906898498535	Γαι ; 0.46639612317085266	ἥρως ; 0.4284079968929291	κατανύττω ; 0.43533390760421753	ἐξέρπω ; 0.4191949963569641	ἀπαρνέομαι ; 0.42514416575431824	ἐπιτίθημι ; 0.445118248462677	Οζαν ; 0.4433329403400421	ἀποθνῄσκω ; 0.5123770236968994
0.09081194881838778	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	συνωδίνω	0	3	3	60	16	1	1	2	1	1	97	351	1376	444	316	91	48	830	289	147	465	πάντοθεν ; 0.4546237587928772	τάχα ; 0.5045878291130066	ἐνίστημι ; 0.45718806982040405	ἀλόη ; 0.4106515645980835	συστενάζω ; 0.9655816555023193	ἐργοδιωκτέω ; 0.47325119376182556	εἴωθα ; 0.42993927001953125	περικλείω ; 0.3931155204772949	ἀποθερίζω ; 0.4053845703601837	ἀνάγκη ; 0.39322903752326965	εἴκοσι ; 0.6314370632171631	Σαουλι ; 0.4191357493400574	τρίτος ; 0.5345607399940491	ἑκατόν ; 0.5105428695678711	ἐννέα ; 0.48788461089134216	ὀκτώ ; 0.48788461089134216	ἑπτά ; 0.4829905033111572	δύο ; 0.44506320357322693	τρεῖς ; 0.5075725317001343	τρεῖς ; 0.5197235345840454
0.07823230691149918	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	κύριος	0	1	191	1	2	9317	3	2	2	2	5312	136	4	2	2	1	1	2	13	3	3	Εὐνίκη ; 0.4983212351799011	ἀντέχω ; 0.433091938495636	θά ; 0.9641013145446777	λεμά ; 0.7610893249511719	ἐγώ ; 0.5586824417114258	Σουδι ; 0.45408010482788086	λεμά ; 0.7722509503364563	ἐξαρτίζω ; 0.4209335446357727	μακροχρόνιος ; 0.4742804169654846	κύριος ; 0.4836280941963196	ἐξάγω ; 0.6220047473907471	Ἀττάλεια ; 0.6016082167625427	Σαμοθρᾴκη ; 0.6330016851425171	ἆσσον ; 0.6791738271713257	προσεάω ; 0.7709798216819763	χρονοτριβέω ; 0.7112991809844971	διαπλέω ; 0.5220100283622742	βλαβερός ; 0.45898789167404175	λιπαίνω ; 0.44454294443130493	ἐπισφαλής ; 0.6173475980758667
0.012204562519106066	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ὁμοίως	0	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	διαιτέω ; 0.496212363243103	ὡραιοῦμαι ; 0.4032321274280548	κρείττων ; 0.4394449293613434	ἐναφίημι ; 0.42945200204849243	ἱερόσυλος ; 0.432125985622406	ἀγενεαλόγητος ; 0.5341609716415405	ἐγγράφω ; 0.4268229305744171	ἐναποσφραγίζω ; 0.4298764765262604	σκώληξ ; 0.4142145812511444	σχῖνος ; 0.41186991333961487	ἔπαινος ; 0.451494038105011	ἀθανασία ; 0.4503486156463623	κατέρχομαι ; 0.4204099476337433	παραλλάσσω ; 0.40872442722320557	εἰδέω ; 0.5922759771347046	σκεπάζω ; 0.4415436387062073	ἐπισπουδάζω ; 0.3991681933403015	ἔπαινος ; 0.4373602271080017	συγκρίνω ; 0.5619624853134155	διάλημψις ; 0.4198259711265564
-0.01228662907901662	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	προπάτωρ	0	1	14	2	420	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	ἀμήτωρ ; 0.9684407711029053	μῦς ; 0.4666879177093506	ἔνθεσμος ; 0.5003612637519836	Ασμοδαῖος ; 0.44861042499542236	Λωΐς ; 0.7229548692703247	ἀγενεαλόγητος ; 0.9690191149711609	προβασανίζω ; 0.42843884229660034	τάχιον ; 0.43831777572631836	ἀνυπότακτος ; 0.41469520330429077	δοῦλος ; 0.5257408618927002	σπείρω ; 0.4604477286338806	δικαιόω ; 0.43069738149642944	ἐξισόω ; 0.4337708353996277	ἑκατονταπλασίων ; 0.44164562225341797	Σεβαμα ; 0.46711671352386475	ἐξάδελφός ; 0.4658335745334625	ἀπόσπασμα ; 0.4291766285896301	διελαύνω ; 0.46694129705429077	γένημα ; 0.451687216758728	σπόριμος ; 0.4604476988315582
0.00813034369290172	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	διαχειρίζομαι	1	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	προσεάω ; 0.7709798216819763	λιπαίνω ; 0.44454294443130493	ἐπισφαλής ; 0.6173475980758667	βλαβερός ; 0.45898789167404175	Σαμοθρᾴκη ; 0.6330016851425171	ἆσσον ; 0.6791738271713257	ἐξάγω ; 0.6220047473907471	διαπλέω ; 0.5220100283622742	χρονοτριβέω ; 0.7112991809844971	Ἀττάλεια ; 0.6016082167625427	ἀποθνῄσκω ; 0.5123770236968994	ἐξέρπω ; 0.4191949963569641	κατανύττω ; 0.43533390760421753	Οζαν ; 0.4433329403400421	ἀπαρνέομαι ; 0.42514416575431824	Γαι ; 0.46639612317085266	ὑπήκοος ; 0.3997769355773926	προτρέχω ; 0.4948906898498535	ἐπιτίθημι ; 0.445118248462677	ἥρως ; 0.4284079968929291
0.024643905378377184	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	μέλος	0	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	Ευιλμαρωδαχ ; 0.5152022838592529	φοβερίζω ; 0.43121665716171265	σερσερωθ ; 0.4753197729587555	προαιτιάομαι ; 0.40758898854255676	Σασαβασαρ ; 0.4142313003540039	ἐμποιέω ; 0.45674604177474976	ῥοίσκος ; 0.43205103278160095	σεραφιν ; 0.48453667759895325	διαφορέω ; 0.42727038264274597	γεῖσος ; 0.3920425474643707	χλαῖνα ; 0.544312059879303	στέγη ; 0.4536997079849243	αἱρετίς ; 0.5414991974830627	Πόντος ; 0.4009237587451935	ἐμπλοκή ; 0.8803640604019165	ἐνδύω ; 0.4380684494972229	ἐνδιδύσκω ; 0.4722595810890198	χορτάζω ; 0.3858709931373596	λεύκωμα ; 0.4170457124710083	σκῆνος ; 0.5052013397216797
0.032900458396184495	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἔννοια	0	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	τροχιός ; 0.41692936420440674	φαίνω ; 0.38153785467147827	γίγνομαι ; 0.4574275016784668	Τωβιν ; 0.47313904762268066	θρησκός ; 0.4914071261882782	ἀναστροφή ; 0.4128745198249817	κυδοιμέω ; 0.43207716941833496	ἀτιμάζω ; 0.4219396114349365	Ταρσεύς ; 0.438581258058548	πατριά ; 0.4276774227619171	κενόδοξος ; 0.42166176438331604	συμβουλία ; 0.42033281922340393	κάτω ; 0.4484255909919739	ἐπιδεής ; 0.4641035199165344	ἀρθρέμβολον ; 0.39117616415023804	ἀπερείδομαι ; 0.4316205382347107	Μασερεμ ; 0.4055623412132263	ἀπέκτασις ; 0.41676461696624756	ποικιλτός ; 0.403617262840271	εἰλικρινής ; 0.45164352655410767
0.01093877148082767	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	ἀποκαλύπτω	1	3	1	2	2	191	1	2	2	9317	5312	2	20	44	8	137	4	21	36	11	34	Σουδι ; 0.45408010482788086	θά ; 0.9641013145446777	μακροχρόνιος ; 0.4742804169654846	λεμά ; 0.7610893249511719	ἀντέχω ; 0.433091938495636	Εὐνίκη ; 0.4983212351799011	ἐξαρτίζω ; 0.4209335446357727	λεμά ; 0.7722509503364563	ἐγώ ; 0.5586824417114258	κύριος ; 0.4836280941963196	ἀθανασία ; 0.4503486156463623	παραλλάσσω ; 0.40872442722320557	συγκρίνω ; 0.5619624853134155	εἰδέω ; 0.5922759771347046	σκεπάζω ; 0.4415436387062073	κατέρχομαι ; 0.4204099476337433	ἔπαινος ; 0.451494038105011	ἔπαινος ; 0.4373602271080017	διάλημψις ; 0.4198259711265564	ἐπισπουδάζω ; 0.3991681933403015
