Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.22077373719184207	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	ἄθεος	1	1	2179	83	6	361	8	46	1	455	17	2	1	2	3	2	9317	5312	191	2	1	προσκαταλείπω ; 0.6792705655097961	εἰσοδιάζω ; 0.6905145645141602	Βερεα ; 0.6087514162063599	περιπλήσσω ; 0.6898444890975952	πόλις ; 0.696591854095459	δορυφορία ; 0.6636228561401367	Βααλα ; 0.7184737920761108	πεδίον ; 0.6083402633666992	συσκιάζον ; 0.7098252773284912	στρουθίος ; 0.6518628597259521	κύκλῳ ; 0.6058470010757446	θά ; 0.8511934876441956	ἠλί ; 0.8515334129333496	κατοπίσω ; 0.7049652338027954	ἐλωΐ ; 0.8515334129333496	σαβαωθ ; 0.7798224687576294	κύριος ; 0.7419155836105347	ὅδε ; 0.7870224118232727	τυρόω ; 0.6266580820083618	ζωτικός ; 0.7115687131881714
0.10775149559141539	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ἄπταιστος	0	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	διαλέγω ; 0.6819745898246765	πολεμέω ; 0.6732251048088074	ἀνακάμπτω ; 0.6948909163475037	ἄνομος ; 0.7818679809570312	ψυχή ; 0.6880527138710022	πλημμελέω ; 0.7289323806762695	προσθέω ; 0.7277487516403198	ἀνομία ; 0.775890588760376	ἀνελεημόνως ; 0.6875464916229248	ψεύστης ; 0.7305246591567993	Ναβουχοδονοσόρ ; 0.6053051948547363	ταῦρος ; 0.6365166902542114	Ναΐν ; 0.7685816884040833	κομίζω ; 0.6770281195640564	κολόκυνθα ; 0.6329305171966553	ἀποκτείνω ; 0.7973847389221191	ἀναιρέω ; 0.7973848581314087	ἐξιλάσκομαι ; 0.6781189441680908	θήρα ; 0.6783294081687927	ἀποκτείνω ; 0.7443646192550659
0.2398213706370249	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	συγκακοπαθέω	0	3	3	60	16	1	1	2	1	1	97	351	1376	444	316	91	48	830	289	147	465	συκάμινος ; 0.6458475589752197	ἀνέφικτος ; 0.7097352147102356	κολάζω ; 0.691470742225647	ἀσθένεια ; 0.7046329975128174	συστενάζω ; 0.9331209659576416	ὀκταήμερος ; 0.7410739064216614	Σαλμώνη ; 0.6426304578781128	οὐκέτι ; 0.605311393737793	οὕτω(ς) ; 0.6999893188476562	ἴασις ; 0.7529855966567993	εἴκοσι ; 0.8441616296768188	δύο ; 0.7606649398803711	ἑπτά ; 0.8441989421844482	πεντήκοντα ; 0.8271443843841553	διακόσιοι ; 0.7763715982437134	πέντε ; 0.7058509588241577	τρεῖς ; 0.7884321212768555	δύο ; 0.7645998001098633	ἑκατόν ; 0.7947977185249329	τρεῖς ; 0.8441989421844482
0.1386683199724008	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	μαράνα	0	1	191	1	2	9317	3	2	2	2	5312	136	4	2	2	1	1	2	13	3	3	ζωτικός ; 0.7115687131881714	ὅδε ; 0.7870224118232727	θά ; 0.8511934876441956	ἠλί ; 0.8515334129333496	σαβαωθ ; 0.7798224687576294	κατοπίσω ; 0.7049652338027954	ἐλωΐ ; 0.8515334129333496	κύκλῳ ; 0.6058470010757446	τυρόω ; 0.6266580820083618	κύριος ; 0.7419155836105347	ἐξάγω ; 0.7871571183204651	ὑποπλέω ; 0.7712777256965637	Σαμοθρᾴκη ; 0.7849571704864502	ἆσσον ; 0.807697057723999	πρόσπεινος ; 0.6597042083740234	ἀποσφενδονάω ; 0.678278923034668	ἀποπλέω ; 0.7712777256965637	πλοῖον ; 0.7267680764198303	Σαμοθρᾴκη ; 0.6848834753036499	ἐπισφαλής ; 0.6993052363395691
0.0539670157712393	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ἀφομοιόω	0	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	φράσσω ; 0.7174749374389648	παρίημι ; 0.6073117256164551	βόμβησις ; 0.6767046451568604	αἰσχρός ; 0.706885576248169	ἑαυτοῦ ; 0.7789921164512634	ἀπαράβατος ; 0.6628274917602539	πῶς ; 0.7060390710830688	ποθεινός ; 0.5970968008041382	πίτυς ; 0.7451201677322388	ὁρμίσκος ; 0.666999876499176	ἀπεκδέχομαι ; 0.6598514914512634	χαράσσω ; 0.7137335538864136	τερατοποιός ; 0.6543769836425781	Ταρσεύς ; 0.7065528631210327	ἀποψύχω ; 0.6440844535827637	κατανύσσω ; 0.6908084750175476	κατάλυμα ; 0.6433203816413879	ἐμφανής ; 0.6964702606201172	συγγιγνώσκω ; 0.6448220610618591	Φρουραι ; 0.7890603542327881
0.07393989630517483	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	προπάτωρ	0	1	14	2	420	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	ἀμήτωρ ; 0.9036855697631836	εφραθ ; 0.6399925947189331	παραχωρέω ; 0.6235685348510742	Θημαρ ; 0.7134960889816284	Λωΐς ; 0.6986519694328308	ἀγενεαλόγητος ; 0.9603754281997681	συγγενής ; 0.708574652671814	κοσμικός ; 0.6747178435325623	θεσμός ; 0.7636843323707581	Ισαακ ; 0.692307710647583	παρασκευή ; 0.6444683074951172	ἀποδημέω ; 0.6892880201339722	ἰγνύα ; 0.6743001937866211	καταστρέφω ; 0.6941876411437988	μακροχρόνιος ; 0.717507004737854	μισθωτός ; 0.638050377368927	ἐξοκή ; 0.713140606880188	μέσος ; 0.6266742944717407	νόθος ; 0.6393786668777466	θερίζω ; 0.7527734041213989
0.19489113520600715	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	σφάζω	1	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	πρόσπεινος ; 0.6597042083740234	Σαμοθρᾴκη ; 0.6848834753036499	ἐπισφαλής ; 0.6993052363395691	πλοῖον ; 0.7267680764198303	Σαμοθρᾴκη ; 0.7849571704864502	ἆσσον ; 0.807697057723999	ἐξάγω ; 0.7871571183204651	ἀποπλέω ; 0.7712777256965637	ἀποσφενδονάω ; 0.678278923034668	ὑποπλέω ; 0.7712777256965637	ἀποκτείνω ; 0.7443646192550659	ἀποκτείνω ; 0.7973847389221191	κολόκυνθα ; 0.6329305171966553	θήρα ; 0.6783294081687927	ἀναιρέω ; 0.7973848581314087	Ναΐν ; 0.7685816884040833	Ναβουχοδονοσόρ ; 0.6053051948547363	ταῦρος ; 0.6365166902542114	ἐξιλάσκομαι ; 0.6781189441680908	κομίζω ; 0.6770281195640564
0.06616514031656429	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	ἐγκομβόομαι	1	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	πώγων ; 0.7028743028640747	σύσκιος ; 0.6891298294067383	ἐπικρούω ; 0.6722368001937866	ἐλεφαντίνος ; 0.6981863975524902	Γολγοθᾶ ; 0.6998821496963501	χωθαρεθ ; 0.6798661351203918	εἶδος ; 0.649785578250885	ἀστήρ ; 0.6314396858215332	νοῦς ; 0.6973299980163574	ὦμος ; 0.6774058938026428	περίβολος ; 0.6188987493515015	ἔχω ; 0.6633512377738953	κατοπτεύω ; 0.6586545705795288	διώχω ; 0.6925456523895264	λαβίς ; 0.7491247057914734	ἐνδύω ; 0.7744411826133728	περιβάλλω ; 0.774441123008728	ἐκρήγνυμι ; 0.6590971350669861	Γαβεε ; 0.7197079062461853	ποτήριον ; 0.6389800906181335
0.06649655458473813	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἔννοια	0	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	ἀπάτησις ; 0.6270501613616943	χράω ; 0.7929463386535645	ὑποφέρω ; 0.7105705142021179	δήλωσις ; 0.7300344705581665	πάθος ; 0.7398818135261536	σιγάω ; 0.6119519472122192	λυπέω ; 0.6393774747848511	σοφία ; 0.6695190668106079	ὅραμα ; 0.6955438852310181	ἐγκαυχάομαι ; 0.7100227475166321	πολύτιμος ; 0.7120082378387451	ἀποθνῄσκω ; 0.6677341461181641	μετάθεσις ; 0.6212248206138611	συμμιμητής ; 0.7225072383880615	καταργέω ; 0.6355838775634766	Ἀντιπᾶς ; 0.6371908187866211	Φελεθθι ; 0.6793687343597412	στενάζω ; 0.6117357611656189	κράβαττος ; 0.7056114077568054	ἀρνέομαι ; 0.6539950370788574
0.08499092427387889	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	αὐγάζω	1	3	1	2	2	191	1	2	2	9317	5312	2	20	44	8	137	4	21	36	11	34	κατοπίσω ; 0.7049652338027954	θά ; 0.8511934876441956	τυρόω ; 0.6266580820083618	ἠλί ; 0.8515334129333496	ὅδε ; 0.7870224118232727	ζωτικός ; 0.7115687131881714	κύκλῳ ; 0.6058470010757446	ἐλωΐ ; 0.8515334129333496	σαβαωθ ; 0.7798224687576294	κύριος ; 0.7419155836105347	χαράσσω ; 0.7137335538864136	Ταρσεύς ; 0.7065528631210327	συγγιγνώσκω ; 0.6448220610618591	ἀποψύχω ; 0.6440844535827637	κατανύσσω ; 0.6908084750175476	τερατοποιός ; 0.6543769836425781	ἀπεκδέχομαι ; 0.6598514914512634	ἐμφανής ; 0.6964702606201172	Φρουραι ; 0.7890603542327881	κατάλυμα ; 0.6433203816413879
