Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.17367504456038074	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	βασίλειος	0	1	2179	83	6	361	8	46	1	455	17	2	1	2	3	2	9317	5312	191	2	1	ἐξεῖδον ; 0.6857017278671265	ἁγιαστήριον ; 0.6680944561958313	νομή ; 0.6562606692314148	ταλαιπωρέω ; 0.680067241191864	εἰδωλεῖον ; 0.6509686708450317	νυκτίσεμνος ; 0.7097983360290527	ἄση ; 0.7039986252784729	ὑποζύγιον ; 0.6967794895172119	κιβωτός ; 0.6485454440116882	φάος ; 0.6864781975746155	ἑκατόμπεδος ; 0.7192286849021912	θά ; 0.9137417078018188	̓ὀλύμπιος ; 0.6804643869400024	ἀτέραμνος ; 0.6404357552528381	μαντεία ; 0.7220853567123413	ἐγώ ; 0.7583829164505005	ὑποφθάνω ; 0.6246163845062256	οὕτως ; 0.6638156175613403	Ἰθάκη ; 0.6600202322006226	ἐδεστός ; 0.7153694033622742
0.12148856425194399	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	κοπή	1	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	περιφρονέω ; 0.6798128485679626	κοπόω ; 0.6491538286209106	ἐπανοιστέον ; 0.7028928399085999	δίκαιος ; 0.7067314982414246	ἁμαρτία ; 0.7038787603378296	ἐξιλάσκομαι ; 0.6975647211074829	ἀσεβέω ; 0.6984003782272339	χρῖσμα ; 0.7208783626556396	συσκήνια ; 0.6456728577613831	μνησικακέω ; 0.6527563333511353	μελανόζυξ ; 0.6476811170578003	δύσφημος ; 0.6969533562660217	Τρύφων ; 0.6929849982261658	διαφέρω ; 0.7097301483154297	χαλκίοικος ; 0.6866106390953064	πατάσσω ; 0.7227150201797485	ὑπεκτρέχω ; 0.6787842512130737	ἐπιτίθημι ; 0.7116986513137817	βόα ; 0.639891505241394	ἀντιδικέω ; 0.7085103988647461
0.12173039872393887	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	πάσχω	0	3	3	60	16	1	1	2	1	1	97	351	1376	444	316	91	48	830	289	147	465	ἁλιεύω ; 0.6501272916793823	ἄνοια ; 0.6342264413833618	κολάζω ; 0.7130950093269348	πηρόω ; 0.6902509927749634	συστενάζω ; 0.9495535492897034	ὀᾶ ; 0.7235509157180786	δύσβατος ; 0.6533772945404053	θίασος ; 0.6246472001075745	ἕκατος ; 0.6998844146728516	διαφόρημα ; 0.6592994332313538	πεντήκοντα ; 0.7851528525352478	πέντε ; 0.7135000228881836	ἑπτά ; 0.8312131762504578	πεντήκοντα ; 0.7850326299667358	ἐννέα ; 0.7004046440124512	ὀκτώ ; 0.7004046440124512	δέκα ; 0.7330600023269653	δύο ; 0.7312207221984863	εἴκοσι ; 0.750961184501648	τρεῖς ; 0.8312132358551025
0.07039597156461719	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	κύριος	0	1	191	1	2	9317	3	2	2	2	5312	136	4	2	2	1	1	2	13	3	3	ἐδεστός ; 0.7153694033622742	οὕτως ; 0.6638156175613403	θά ; 0.9137417078018188	̓ὀλύμπιος ; 0.6804643869400024	ἐγώ ; 0.7583829164505005	ἀτέραμνος ; 0.6404357552528381	μαντεία ; 0.7220853567123413	ἑκατόμπεδος ; 0.7192286849021912	Ἰθάκη ; 0.6600202322006226	ὑποφθάνω ; 0.6246163845062256	καταβαίνω ; 0.7809607982635498	Σελεύκεια ; 0.6784799098968506	Κώς ; 0.6786854863166809	Νουμήνιος ; 0.694146990776062	ἐμβιβάζω ; 0.7389333844184875	ἀφροντιστέω ; 0.721970796585083	ἐφύβριστος ; 0.6866062879562378	Μεσοποταμία ; 0.6768302917480469	ἐκθαμβέω ; 0.654954195022583	βρίθω ; 0.6832966804504395
0.0031492606268522794	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ὁμοίως	0	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	καπηλεύω ; 0.7225852012634277	εἰμί ; 0.7204477787017822	Αβελμαιν ; 0.6597652435302734	ὀβελίσκος ; 0.7012885808944702	πρᾶγμα ; 0.7167834043502808	μεγαλοπρεπῶς ; 0.6516010165214539	φαῦλος ; 0.7570991516113281	σαμβύκη ; 0.6545016169548035	ἴσος ; 0.6355212926864624	μέτωπον ; 0.6610569953918457	φανερόω ; 0.7301301956176758	ἁγιότης ; 0.7101964950561523	ἔνειμι ; 0.6620774269104004	μεθαρμόζω ; 0.6704033613204956	τηλαύγημα ; 0.6902529001235962	ἀπευκτός ; 0.7381172180175781	θηράσιμος ; 0.774045467376709	ἄσωτος ; 0.6895262598991394	μανίον ; 0.7086523175239563	ὕπαστρος ; 0.6661238074302673
0.06375761996709223	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	προπάτωρ	0	1	14	2	420	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	Πιτύας ; 0.7092955112457275	Ασεβων ; 0.7789172530174255	λαθίπονος ; 0.7175297737121582	θυγάτηρ ; 0.6579878330230713	αὐστηρός ; 0.6894111037254333	βαρύκοτος ; 0.6921762228012085	δειλιαίνω ; 0.6309540271759033	ἔθος ; 0.658271074295044	Ἀντρών ; 0.6748995780944824	Ραχηλ ; 0.6422618627548218	Ἀρκτοῦρος ; 0.6791236996650696	ἀρτίπος ; 0.7297613620758057	σκοπέω ; 0.7118663787841797	Τίγρας ; 0.6541448831558228	̓Ονόκαρσις ; 0.6421508193016052	οἰακοστρόφος ; 0.6781224012374878	κλαγγηδόν ; 0.6889744997024536	ἀποσκοπεύω ; 0.6549262404441833	περιφράζομαι ; 0.7173800468444824	σπόριμον ; 0.6959407925605774
0.1460956774557361	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	κοπή	1	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	ἐμβιβάζω ; 0.7389333844184875	ἐκθαμβέω ; 0.654954195022583	βρίθω ; 0.6832966804504395	Μεσοποταμία ; 0.6768302917480469	Κώς ; 0.6786854863166809	Νουμήνιος ; 0.694146990776062	καταβαίνω ; 0.7809607982635498	ἐφύβριστος ; 0.6866062879562378	ἀφροντιστέω ; 0.721970796585083	Σελεύκεια ; 0.6784799098968506	ἀντιδικέω ; 0.7085103988647461	πατάσσω ; 0.7227150201797485	χαλκίοικος ; 0.6866106390953064	βόα ; 0.639891505241394	ὑπεκτρέχω ; 0.6787842512130737	Τρύφων ; 0.6929849982261658	μελανόζυξ ; 0.6476811170578003	δύσφημος ; 0.6969533562660217	ἐπιτίθημι ; 0.7116986513137817	διαφέρω ; 0.7097301483154297
0.0629965337183398	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	ἐγκομβόομαι	1	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	πώγων ; 0.7330659031867981	ἀναύδητος ; 0.6824551820755005	Βαλααμ ; 0.6734535694122314	φόνιος ; 0.6913257837295532	ἀλήθω ; 0.6522973775863647	ἐπαναπαύω ; 0.6811527013778687	λεπτός ; 0.7134039402008057	ἀστήρ ; 0.6608622670173645	κατατιτρώσκω ; 0.6964684724807739	ἀνθαμιλλάομαι ; 0.6933120489120483	καταρρήγνυμι ; 0.6672041416168213	νήθω ; 0.7646881341934204	Σαφ ; 0.6483673453330994	ποιονόμος ; 0.7273815870285034	ἐμπλοκή ; 0.9035066366195679	διαρρήγνυμι ; 0.6998238563537598	διαπετάζω ; 0.7157707214355469	χορτάζω ; 0.7483001947402954	ἄπωθεν ; 0.731937050819397	κλινάριον ; 0.7237554788589478
0.13531130722082685	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	συνεγείρω	1	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	πλήρης ; 0.6699997186660767	διαλύω ; 0.6819271445274353	ἀπομέμπτω ; 0.7504009008407593	κοσμοκράτωρ ; 0.687214195728302	βουλή ; 0.7113965153694153	ὀξύτης ; 0.6608117818832397	πώρωσις ; 0.6774095296859741	συμβαστάζω ; 0.655009388923645	διευκρινέω ; 0.6874401569366455	ἐλάσσω ; 0.6846303939819336	σύμμορφος ; 0.7388715744018555	ἀναπλήρωσις ; 0.7054264545440674	ἁγνισμός ; 0.7013663053512573	Κίμων ; 0.6808698177337646	καταπέσσω ; 0.672787606716156	ἀπολύω ; 0.7202297449111938	ῥίζωμα ; 0.6326937079429626	ἀπευθής ; 0.6646536588668823	Ἀμίλκας ; 0.6603019833564758	Ταρτήσσιοι ; 0.6889235377311707
0.050922365892127064	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	ξένος	1	3	1	2	2	191	1	2	2	9317	5312	2	20	44	8	137	4	21	36	11	34	ἀτέραμνος ; 0.6404357552528381	θά ; 0.9137417078018188	Ἰθάκη ; 0.6600202322006226	̓ὀλύμπιος ; 0.6804643869400024	οὕτως ; 0.6638156175613403	ἐδεστός ; 0.7153694033622742	ἑκατόμπεδος ; 0.7192286849021912	μαντεία ; 0.7220853567123413	ἐγώ ; 0.7583829164505005	ὑποφθάνω ; 0.6246163845062256	ἁγιότης ; 0.7101964950561523	μεθαρμόζω ; 0.6704033613204956	μανίον ; 0.7086523175239563	τηλαύγημα ; 0.6902529001235962	ἀπευκτός ; 0.7381172180175781	ἔνειμι ; 0.6620774269104004	φανερόω ; 0.7301301956176758	ἄσωτος ; 0.6895262598991394	ὕπαστρος ; 0.6661238074302673	θηράσιμος ; 0.774045467376709
