Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.13219152965288444	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	ἄθεος	1	1	2179	83	6	361	8	46	1	455	17	2	1	2	3	2	9317	5312	191	2	1	μονοχίτων ; 0.5382558107376099	Αιλωθ ; 0.44168877601623535	ὄγμος ; 0.4830803871154785	ἐπίκοτος ; 0.44646525382995605	πόλις ; 0.4785495102405548	αὐτάγρετος ; 0.46870124340057373	καταταχέω ; 0.4594101309776306	σιτοδοσία ; 0.5102273225784302	καταπέτασμα ; 0.4500722885131836	εὐσυναλλάκτως ; 0.4207020699977875	ἀλάβαστρον ; 0.4687827527523041	θά ; 0.7806535363197327	ἠλί ; 0.5461041927337646	προέχω ; 0.4411560297012329	λεμά ; 0.6625615358352661	θεός ; 0.4994654059410095	κύριος ; 0.4994654059410095	ἀπερύκω ; 0.4412563443183899	Ἀζώτιος ; 0.4687783718109131	γενεαλογέομαι ; 0.46731865406036377
0.058734168256016406	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ἄπταιστος	0	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	ἀποκλαίω ; 0.4872656762599945	πυριγενέτης ; 0.4849432706832886	καταυδάω ; 0.4920240640640259	ἀσεβής ; 0.587653636932373	ἁμαρτία ; 0.4750671088695526	ἁμαρτία ; 0.47308334708213806	στενάζω ; 0.4327037036418915	ἀνομία ; 0.5789440870285034	Ἶσος ; 0.46582895517349243	χθονοτρεφής ; 0.5591461062431335	ἀκάνθινος ; 0.47274649143218994	πραίφεκτος ; 0.43438732624053955	Γαι ; 0.4369167685508728	καταφθάνω ; 0.5595822930335999	ἀνείκαστος ; 0.506585955619812	ἀλλογνοέω ; 0.454726904630661	ἀποθνῄσκω ; 0.5119689702987671	ἀναφέρω ; 0.5199704766273499	σφάγιον ; 0.4760327637195587	ἀποθνῄσκω ; 0.5888822078704834
0.10696128929836629	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	συνωδίνω	0	3	3	60	16	1	1	2	1	1	97	351	1376	444	316	91	48	830	289	147	465	ἀνεννόητος ; 0.4975106418132782	Μακαλωθ ; 0.47316473722457886	μετέχω ; 0.47430574893951416	ἀτύζω ; 0.4646829068660736	συστενάζω ; 0.7988429069519043	ὀκταήμερος ; 0.48968181014060974	ἐγκακέω ; 0.4837954342365265	αὐστηρός ; 0.460796058177948	ἑλέπτολις ; 0.4946179986000061	νόσος ; 0.4401584565639496	εἴκοσι ; 0.6883323192596436	δώδεκα ; 0.45798376202583313	δύο ; 0.5963902473449707	δέκα ; 0.518283486366272	πέντε ; 0.5071417093276978	πέντε ; 0.4922481179237366	τρεῖς ; 0.5963902473449707	δύο ; 0.534081220626831	ἑκατόν ; 0.5279390811920166	δύο ; 0.5513337254524231
0.06300983903116958	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	κύριος	0	1	191	1	2	9317	3	2	2	2	5312	136	4	2	2	1	1	2	13	3	3	γενεαλογέομαι ; 0.46731865406036377	ἀπερύκω ; 0.4412563443183899	θά ; 0.7806535363197327	ἠλί ; 0.5461041927337646	θεός ; 0.4994654059410095	προέχω ; 0.4411560297012329	λεμά ; 0.6625615358352661	ἀλάβαστρον ; 0.4687827527523041	Ἀζώτιος ; 0.4687783718109131	κύριος ; 0.4994654059410095	ἐξάγω ; 0.6180288791656494	Ἆσσος ; 0.5069690942764282	Σαμοθρᾴκη ; 0.594793438911438	ἐπίκαιρος ; 0.4954665005207062	Κνίδος ; 0.4990231692790985	Σκῦρος ; 0.4493904113769531	παραχειμάζω ; 0.5777297019958496	Φύγελος ; 0.4622739255428314	Ζαρετ ; 0.4968712329864502	ὑπερνικάω ; 0.5618897676467896
0.018099826074796044	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	οἷος	0	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	σεμνόστομος ; 0.4694675803184509	αὐτοσταδίη ; 0.498564213514328	τελευτή ; 0.45370495319366455	Ἡρακλείδης ; 0.49927496910095215	Ασιμαθ ; 0.43313801288604736	Ιδαερ ; 0.4882490634918213	Κάμειρος ; 0.41117072105407715	ἀνδρολογεῖον ; 0.4768260717391968	ἁρπαγμός ; 0.43050310015678406	μορφή ; 0.438534677028656	Προκονησίος ; 0.4369869530200958	σωφρονέω ; 0.4816323518753052	Ἀλεκτρυών ; 0.4038931429386139	ξενοσύνη ; 0.4738467335700989	τηλαύγημα ; 0.6368368864059448	ἀτελεύτητος ; 0.4653368592262268	ἀπολαμπρύνω ; 0.4307887852191925	γνωστέος ; 0.4912917912006378	γνωρίζω ; 0.4657719135284424	γελοιάζω ; 0.43084582686424255
0.0552517247165491	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	ἐπισπείρω	1	1	14	2	420	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	Θίσβη ; 0.457035630941391	ἀπεργάζομαι ; 0.43594664335250854	θηριομαχέω ; 0.42785996198654175	Θαμαρ ; 0.43502283096313477	Λωΐς ; 0.5294973850250244	ἀγενεαλόγητος ; 0.4622022211551666	θεοπρέπεια ; 0.4508434534072876	Ἀναξιμένης ; 0.4473852515220642	Βορεάς ; 0.4616803824901581	Πρίσκα ; 0.43518227338790894	σπείρω ; 0.46335750818252563	παῦρος ; 0.4751495122909546	ἀπολαμβάνω ; 0.4620668888092041	ἀπορρίπτω ; 0.4531521797180176	θελεμός ; 0.4374876022338867	ἀείζωος ; 0.48228633403778076	πρᾶγος ; 0.42693424224853516	κειμήλιος ; 0.4332847595214844	Αρωεδ ; 0.46581509709358215	σπόριμος ; 0.46335750818252563
0.09883438416556878	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	σφάζω	1	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	Κνίδος ; 0.4990231692790985	Ζαρετ ; 0.4968712329864502	ὑπερνικάω ; 0.5618897676467896	Φύγελος ; 0.4622739255428314	Σαμοθρᾴκη ; 0.594793438911438	ἐπίκαιρος ; 0.4954665005207062	ἐξάγω ; 0.6180288791656494	παραχειμάζω ; 0.5777297019958496	Σκῦρος ; 0.4493904113769531	Ἆσσος ; 0.5069690942764282	ἀποθνῄσκω ; 0.5888822078704834	ἀλλογνοέω ; 0.454726904630661	ἀνείκαστος ; 0.506585955619812	σφάγιον ; 0.4760327637195587	ἀποθνῄσκω ; 0.5119689702987671	Γαι ; 0.4369167685508728	ἀκάνθινος ; 0.47274649143218994	πραίφεκτος ; 0.43438732624053955	ἀναφέρω ; 0.5199704766273499	καταφθάνω ; 0.5595822930335999
0.03638238589340459	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	ἐγκομβόομαι	1	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	βόστρυχος ; 0.5114399790763855	σωματικῶς ; 0.47297897934913635	δεύω ; 0.4893606901168823	ὄνυξ ; 0.4803503155708313	ἁλίδονος ; 0.5189576148986816	Ἀσφαλίων ; 0.4004420042037964	αἰδοῖος ; 0.42524105310440063	κύτος ; 0.43051981925964355	βάρος ; 0.4759507179260254	ἐμπρόσθιον ; 0.44681107997894287	ἄχερδος ; 0.469947874546051	Γοδολιος ; 0.46846097707748413	Κάϊν ; 0.43117856979370117	ἀριφραδής ; 0.4441208243370056	ἐμπλοκή ; 0.6633380651473999	ἐνδύω ; 0.4910455048084259	διαρρήγνυμι ; 0.5624862909317017	σπάργανον ; 0.41312018036842346	συναπάγομαι ; 0.476662278175354	θᾶττον ; 0.45237019658088684
0.05456192606979887	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἐξεγείρω	1	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	ἐκκαλύπτω ; 0.482455313205719	ἄδηλος ; 0.44765564799308777	διαδείκνυμι ; 0.4870144724845886	πανούργευμα ; 0.4406941533088684	πάθος ; 0.44186344742774963	ἄριστος ; 0.39341333508491516	πώρωσις ; 0.40552762150764465	ἀγάομαι ; 0.4572451114654541	ἀμφιλαφής ; 0.4492807984352112	ὄψον ; 0.4614576995372772	μεταφορέω ; 0.45011070370674133	Χάροπος ; 0.5412781834602356	ἐπεργασία ; 0.48224613070487976	ἱππόδαμος ; 0.4594099223613739	ἀγών ; 0.47364556789398193	κρήνηνδε ; 0.4546927809715271	Ἀμυδών ; 0.42998456954956055	κυπάρισσος ; 0.4094228744506836	Σηλωμ ; 0.43394094705581665	ἐπιστρεφής ; 0.472164511680603
0.019932425389143138	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	χρηματισμός	1	3	1	2	2	191	1	2	2	9317	5312	2	20	44	8	137	4	21	36	11	34	προέχω ; 0.4411560297012329	θά ; 0.7806535363197327	Ἀζώτιος ; 0.4687783718109131	ἠλί ; 0.5461041927337646	ἀπερύκω ; 0.4412563443183899	γενεαλογέομαι ; 0.46731865406036377	ἀλάβαστρον ; 0.4687827527523041	λεμά ; 0.6625615358352661	θεός ; 0.4994654059410095	κύριος ; 0.4994654059410095	σωφρονέω ; 0.4816323518753052	ξενοσύνη ; 0.4738467335700989	γνωρίζω ; 0.4657719135284424	τηλαύγημα ; 0.6368368864059448	ἀτελεύτητος ; 0.4653368592262268	Ἀλεκτρυών ; 0.4038931429386139	Προκονησίος ; 0.4369869530200958	γνωστέος ; 0.4912917912006378	γελοιάζω ; 0.43084582686424255	ἀπολαμπρύνω ; 0.4307887852191925
