Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.051865783957077694	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	κύριος	1	1	2180	83	6	361	8	46	1	455	17	2	1	2	3	2	9318	5315	191	2	1	ὁμότεχνος ; 0.7401981353759766	πόλις ; 0.45818454027175903	πρώιμος ; 0.4353049695491791	ἀποστάζω ; 0.4478422999382019	ῥαπτός ; 0.45144787430763245	Αρημα ; 0.49209195375442505	Θαλχα ; 0.4965221881866455	εἰδώλιον ; 0.5149980783462524	συσκιάζον ; 0.46447837352752686	φιλανθρώπως ; 0.4247267246246338	ταπεινάω ; 0.43978166580200195	θά ; 0.9646708965301514	λεμά ; 0.7893367409706116	καταποντίζομαι ; 0.46529942750930786	τριπλόος ; 0.3927401006221771	ἐγώ ; 0.4526312053203583	ἐπερώτημα ; 0.4421064853668213	ὅδε ; 0.5035637617111206	ῥαπτός ; 0.4099697470664978	ἐπιθυμητής ; 0.47671517729759216
0.07764874971203839	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ἄπταιστος	0	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	Γαλεμ ; 0.4428775906562805	συναθροίζω ; 0.3894929587841034	εὐκαιρέω ; 0.41075339913368225	ἀσεβής ; 0.41228359937667847	καταλλάσσω ; 0.5009790062904358	ἐπικαλέω ; 0.45432430505752563	σποδιά ; 0.39658159017562866	τρυφάνω ; 0.4747392535209656	σπιλόω ; 0.5338553786277771	ἀγοραῖος ; 0.5907585620880127	ὀργίλος ; 0.41939449310302734	φοῖνιξ ; 0.4786500632762909	Γαι ; 0.4535200595855713	κραταιός ; 0.4254910349845886	μιαροφαγέω ; 0.3898649215698242	διαλλάσσω ; 0.42950674891471863	θανατόω ; 0.48256176710128784	ἐπιτίθημι ; 0.5004400014877319	συνοράω ; 0.41947251558303833	τελευτάω ; 0.5200163125991821
0.046139312843670566	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	πόνος	0	3	3	60	16	1	1	2	1	1	97	351	1376	445	316	91	48	830	289	147	465	μησανεύομαι ; 0.4435719847679138	τάχα ; 0.5507591962814331	παρακαλύπτομαι ; 0.4348748028278351	μέγιστος ; 0.4394407570362091	συστενάζω ; 0.9579811096191406	ἀπόλαυσις ; 0.4170529246330261	γενεαλογία ; 0.48053714632987976	μιμητής ; 0.48654797673225403	Γαλατία ; 0.4074595272541046	κόνις ; 0.4070407450199127	εἴκοσι ; 0.5285150408744812	ἐλάτη ; 0.4016456604003906	τρίτος ; 0.4620530605316162	μεγαλοψύχως ; 0.4483460783958435	Μηδεία ; 0.4434926509857178	φλεγμαίνω ; 0.4289609491825104	ἄλλος ; 0.41429775953292847	ὀδούς ; 0.42875421047210693	δεύτερος ; 0.4628658890724182	δώδεκα ; 0.4779320955276489
0.05845070218359383	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	παραλέγομαι	1	1	191	1	2	9318	3	2	2	2	5315	136	4	2	2	1	1	2	13	3	3	ἐπιθυμητής ; 0.47671517729759216	ὅδε ; 0.5035637617111206	θά ; 0.9646708965301514	λεμά ; 0.7893367409706116	ἐγώ ; 0.4526312053203583	καταποντίζομαι ; 0.46529942750930786	τριπλόος ; 0.3927401006221771	ταπεινάω ; 0.43978166580200195	ῥαπτός ; 0.4099697470664978	ἐπερώτημα ; 0.4421064853668213	ἐξάγω ; 0.6338685750961304	Ἀττάλεια ; 0.6907122731208801	Κώς ; 0.7366881966590881	γεωμετρικόν ; 0.4129399359226227	λυσιτέλεια ; 0.39089295268058777	χρονοτριβέω ; 0.7350870370864868	σητόβρωτον ; 0.4430071711540222	εὐθυδρομέω ; 0.45712921023368835	Θαρσιλα ; 0.4524011015892029	διανύω ; 0.64198237657547
0.034302438046803996	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ὁμοίως	0	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	τοξότης ; 0.4109545946121216	ἐξαντλέω ; 0.4800356924533844	γνωριστής ; 0.4743642210960388	κάρυον ; 0.4811539649963379	Βακχίδης ; 0.473326712846756	ἀγενεαλόγητος ; 0.5001122355461121	κτίσμα ; 0.41598349809646606	κύαθος ; 0.3933894634246826	χθιζός ; 0.4757246971130371	εὔθραστος ; 0.455355167388916	ἔπαινος ; 0.42498666048049927	ἐπίχειρον ; 0.4842243194580078	ἀλαλαγμός ; 0.43499577045440674	ὁλοσχερῶς ; 0.404917448759079	τηλαύγημα ; 0.5951370000839233	ἀφικνέομαι ; 0.4828369617462158	καρπίζομαι ; 0.46224525570869446	Ελισαι ; 0.44836366176605225	ἑτέρωθεν ; 0.4799194633960724	αἴρω ; 0.4809446930885315
0.009960600386161755	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	προπάτωρ	0	1	14	2	421	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	ἀμήτωρ ; 0.9722392559051514	πατριά ; 0.42166680097579956	φόβος ; 0.5244559049606323	Μαρων ; 0.463329553604126	Λωΐς ; 0.5984647274017334	ἀπάτωρ ; 0.972239077091217	ἐξασκέω ; 0.4413031339645386	διαπαρθενεύω ; 0.4178023934364319	ἀκολούθως ; 0.4380648136138916	δοῦλος ; 0.42357486486434937	σύριγμα ; 0.4943183958530426	Βαλαδαν ; 0.4460034966468811	ἐπιπόθητος ; 0.4371725618839264	ἐπισπουδάζω ; 0.4536486566066742	ἀκοινώνητος ; 0.40107962489128113	μηχανή ; 0.38703879714012146	Ἀραβώθ ; 0.4499688148498535	φύλλον ; 0.41438359022140503	Ναανα ; 0.43504637479782104	σπόρος ; 0.43741506338119507
-0.014137275516098502	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	παραλέγομαι	0	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	λυσιτέλεια ; 0.39089295268058777	Θαρσιλα ; 0.4524011015892029	διανύω ; 0.64198237657547	εὐθυδρομέω ; 0.45712921023368835	Κώς ; 0.7366881966590881	γεωμετρικόν ; 0.4129399359226227	ἐξάγω ; 0.6338685750961304	σητόβρωτον ; 0.4430071711540222	χρονοτριβέω ; 0.7350870370864868	Ἀττάλεια ; 0.6907122731208801	τελευτάω ; 0.5200163125991821	διαλλάσσω ; 0.42950674891471863	μιαροφαγέω ; 0.3898649215698242	συνοράω ; 0.41947251558303833	θανατόω ; 0.48256176710128784	Γαι ; 0.4535200595855713	ὀργίλος ; 0.41939449310302734	φοῖνιξ ; 0.4786500632762909	ἐπιτίθημι ; 0.5004400014877319	κραταιός ; 0.4254910349845886
0.05699192350500237	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	ἔριον	0	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	σαράβαρα ; 0.5031038522720337	χηρεύσις ; 0.4126277565956116	οἰκητός ; 0.4034685790538788	ὀξύς ; 0.427605539560318	Ραψακης ; 0.3997454047203064	ἐπασθμαίνω ; 0.47965455055236816	οἶνος ; 0.4218173623085022	ὑπερφέρω ; 0.41269463300704956	ἀντιπρόσωπος ; 0.4471416771411896	ὦμος ; 0.42178434133529663	χλαῖνα ; 0.6047388315200806	ἀναπηδύω ; 0.4516414403915405	Αβιρα ; 0.4844144582748413	Αμαθαρ ; 0.4355440139770508	ἐμπλοκή ; 0.8926328420639038	διαρρήγνυμι ; 0.5278080701828003	προαναμέλπω ; 0.45932653546333313	ἀπαδικέω ; 0.4298558235168457	ταλαντιαῖος ; 0.48589029908180237	ἐνθουσιάζω ; 0.4280163049697876
0.014494781756159925	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἔννοια	0	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	πληροφορέω ; 0.43669915199279785	Εὐφράτης ; 0.39520061016082764	φιλανθρωπία ; 0.5122045278549194	μετακιρνάομαι ; 0.4490529000759125	στρωμνή ; 0.4785838723182678	στενοχωρέω ; 0.39489245414733887	κυδοιμέω ; 0.4400442838668823	προσέχω ; 0.40640130639076233	κενολογέω ; 0.4734901487827301	διατείνω ; 0.4033856689929962	Λουκᾶς ; 0.4098574221134186	χρονοτριβέω ; 0.3963457942008972	ἐγκρατεύομαι ; 0.4341045618057251	ἐπιδεής ; 0.45341914892196655	Ραφιδιν ; 0.40562552213668823	ἀποκλείω ; 0.40022993087768555	χορτασία ; 0.44288307428359985	ἑωθινός ; 0.42953193187713623	σύντριψις ; 0.38881078362464905	ἐλαττόω ; 0.4290584325790405
0.015414905962332304	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	χρηματισμός	1	3	1	2	2	191	1	2	2	9318	5315	2	20	44	8	137	4	21	36	11	34	καταποντίζομαι ; 0.46529942750930786	θά ; 0.9646708965301514	ῥαπτός ; 0.4099697470664978	λεμά ; 0.7893367409706116	ὅδε ; 0.5035637617111206	ἐπιθυμητής ; 0.47671517729759216	ταπεινάω ; 0.43978166580200195	τριπλόος ; 0.3927401006221771	ἐγώ ; 0.4526312053203583	ἐπερώτημα ; 0.4421064853668213	ἐπίχειρον ; 0.4842243194580078	ὁλοσχερῶς ; 0.404917448759079	ἑτέρωθεν ; 0.4799194633960724	τηλαύγημα ; 0.5951370000839233	ἀφικνέομαι ; 0.4828369617462158	ἀλαλαγμός ; 0.43499577045440674	ἔπαινος ; 0.42498666048049927	Ελισαι ; 0.44836366176605225	αἴρω ; 0.4809446930885315	καρπίζομαι ; 0.46224525570869446
