Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.13520889040627193	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	βασίλειος	0	1	2180	83	6	361	8	46	1	455	17	2	1	2	3	2	9318	5315	191	2	1	ἐπιδιορθόω ; 0.5261576771736145	Αιλωθ ; 0.574942946434021	κύκλος ; 0.592275857925415	πολυπληθία ; 0.5389283895492554	πόλις ; 0.6287890076637268	συμποιέω ; 0.515095591545105	Βαιθαμμαρχαβωθ ; 0.5621987581253052	δέσμη ; 0.5196560621261597	σευτλίον ; 0.5104947090148926	δόξαστος ; 0.5364658832550049	ὑπερκρατέω ; 0.5416339635848999	θά ; 0.8357348442077637	λεμά ; 0.6591514348983765	διδασκαλία ; 0.515812873840332	παράστασις ; 0.4833909869194031	θεός ; 0.6967877149581909	κύριος ; 0.6967875957489014	ὅδε ; 0.6157358288764954	Σακχαρωνα ; 0.5253453254699707	πειθός ; 0.6141092777252197
0.14578986660787652	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ἄπταιστος	0	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	Θαιμανων ; 0.5594663619995117	ἐκκρέμαμαι ; 0.5314516425132751	Ταβεηλ ; 0.5167875289916992	ἀσεβής ; 0.6255244016647339	ἁμαρτία ; 0.5873128175735474	πλημμελέω ; 0.575597882270813	κατώδυνος ; 0.5564138293266296	παράπτωμα ; 0.5873128771781921	Κωλιτας ; 0.5404423475265503	κακοτεχνάομαι ; 0.5983473062515259	τετράστιχος ; 0.5858587026596069	τεκνογονέω ; 0.5548752546310425	ταλαίπορος ; 0.5561398267745972	σφαγή ; 0.5080909132957458	καταξιόω ; 0.5230892896652222	ἀποκτείνω ; 0.632519006729126	ἀποθνῄσκω ; 0.6874226331710815	προσάγω ; 0.6000772714614868	συναυξάνομαι ; 0.5521687865257263	ἀποθνῄσκω ; 0.6950017213821411
0.1629338137899583	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	πόνος	0	3	3	60	16	1	1	2	1	1	97	351	1376	445	316	91	48	830	289	147	465	προκαθίζω ; 0.5330877304077148	Αμαληκίτος ; 0.5839850306510925	γίνομαι ; 0.5834528207778931	ἐραυνάω ; 0.5661329627037048	συστενάζω ; 0.8806380033493042	Ἰέηλος ; 0.6265617609024048	ὁσίως ; 0.5660849809646606	κολαφίζω ; 0.5464016795158386	ἀφίημι ; 0.5363286733627319	παρθένος ; 0.5469821095466614	εἴκοσι ; 0.7239875793457031	καταλέγω ; 0.5230845808982849	ἕξ ; 0.5968136787414551	ἑκατόν ; 0.6982592344284058	πέντε ; 0.6564121842384338	Βέροια ; 0.5312248468399048	ἑπτά ; 0.6584320068359375	ἕξ ; 0.7000980377197266	τέσσαρες ; 0.700097918510437	δύο ; 0.6584320068359375
0.08632460815540594	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	ἠλί	0	1	191	1	2	9318	3	2	2	2	5315	136	4	2	2	1	1	2	13	3	3	πειθός ; 0.6141092777252197	ὅδε ; 0.6157358288764954	θά ; 0.8357348442077637	λεμά ; 0.6591514348983765	θεός ; 0.6967877149581909	διδασκαλία ; 0.515812873840332	παράστασις ; 0.4833909869194031	ὑπερκρατέω ; 0.5416339635848999	Σακχαρωνα ; 0.5253453254699707	κύριος ; 0.6967875957489014	ἐξάγω ; 0.7622331380844116	Νέα ; 0.7135285139083862	Σαμοθρᾴκη ; 0.7565680146217346	κρανίον ; 0.5245634913444519	τάλας ; 0.5392988920211792	ὑποπόδιον ; 0.5709711313247681	ἐπιβιόω ; 0.5436846017837524	περίστυλον ; 0.5516581535339355	Πούδης ; 0.5839970111846924	διανύω ; 0.6890271902084351
0.051479889282766866	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ξένος	1	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	διαιτέω ; 0.6287150382995605	ὅμοιος ; 0.5265294313430786	Ελισαι ; 0.49967604875564575	ῥάβδος ; 0.5110275149345398	Βαιθηλβεριθ ; 0.5233926773071289	ἐνείρω ; 0.613584041595459	μισητός ; 0.5032621026039124	πεντακόσιοι ; 0.5727826952934265	ὁμοιόω ; 0.5265294313430786	ἀόρατος ; 0.4959467649459839	Ἰαθάν ; 0.4795188903808594	πραΰτης ; 0.5135730504989624	ἀναστρατοπεδεύω ; 0.5112653970718384	δεκαπέντε ; 0.5286886096000671	τηλαύγημα ; 0.6860129833221436	ἀπορρίπτω ; 0.6171407103538513	πλησμονή ; 0.5868684649467468	γνωστέος ; 0.5723814964294434	γνωρίζω ; 0.5068479776382446	ἀναδεικνύω ; 0.5832307934761047
0.07838784050602093	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	ἐπισπείρω	1	1	14	2	421	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	ἀμήτωρ ; 0.8881629705429077	πατριά ; 0.6014832258224487	θηριομαχέω ; 0.47798794507980347	Εδνα ; 0.5335545539855957	Λωΐς ; 0.6919913291931152	ἀγενεαλόγητος ; 0.95121830701828	προδότης ; 0.5153060555458069	οἰωνόβρωτος ; 0.5411486625671387	φίλος ; 0.47947901487350464	ἐνώπιόν ; 0.5291240215301514	ἅλμη ; 0.48638272285461426	Αβελ ; 0.5305600166320801	ὑπεξαιρέω ; 0.5887475609779358	παρακεῖμαι ; 0.5335789918899536	ἐνδεής ; 0.5381521582603455	στάχυς ; 0.5776686072349548	ψεκάς ; 0.5206528902053833	Φασῆλις ; 0.5050921440124512	Κυπριάρχης ; 0.5590428709983826	σπόριμον ; 0.540009081363678
0.025648012417805732	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	διαχειρίζομαι	1	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	τάλας ; 0.5392988920211792	Πούδης ; 0.5839970111846924	διανύω ; 0.6890271902084351	περίστυλον ; 0.5516581535339355	Σαμοθρᾴκη ; 0.7565680146217346	κρανίον ; 0.5245634913444519	ἐξάγω ; 0.7622331380844116	ἐπιβιόω ; 0.5436846017837524	ὑποπόδιον ; 0.5709711313247681	Νέα ; 0.7135285139083862	ἀποθνῄσκω ; 0.6950017213821411	ἀποκτείνω ; 0.632519006729126	καταξιόω ; 0.5230892896652222	συναυξάνομαι ; 0.5521687865257263	ἀποθνῄσκω ; 0.6874226331710815	ταλαίπορος ; 0.5561398267745972	τετράστιχος ; 0.5858587026596069	τεκνογονέω ; 0.5548752546310425	προσάγω ; 0.6000772714614868	σφαγή ; 0.5080909132957458
0.02719936361850578	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	ἐγκομβόομαι	1	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	οὐλή ; 0.5674552917480469	ὄρθρος ; 0.5437573194503784	θρίξ ; 0.547046422958374	ἐξαρθρόω ; 0.5409073233604431	παραλέγομαι ; 0.5245634317398071	ζυμή ; 0.5193573236465454	σάρξ ; 0.5145434737205505	μεχωνωθ ; 0.605155348777771	σῶμα ; 0.5505229234695435	μηλωτή ; 0.5755016207695007	εὐφορέω ; 0.5857192873954773	Ἑμμώρ ; 0.48938149213790894	ὀφρύς ; 0.6592066287994385	Ρεμμαθ ; 0.564850926399231	ἐμπλοκή ; 0.7360252141952515	κατασπείρω ; 0.6481044888496399	περιβάλλω ; 0.5943204164505005	κραταίωμα ; 0.5327017307281494	σελήνη ; 0.47687825560569763	γλεύκος ; 0.4884992837905884
0.061711772593894154	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἐξεγείρω	1	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	θορυβέω ; 0.5078136324882507	χρῆσις ; 0.6621923446655273	ἐπεισαγωγή ; 0.608307957649231	τιμωρία ; 0.547661304473877	πάθος ; 0.727668046951294	καταχθόνιος ; 0.4848637580871582	συλλαλέω ; 0.5861376523971558	ἀξιόπιστος ; 0.49523916840553284	Φαλωχ ; 0.5460869669914246	ἔχω ; 0.5490354299545288	ἰσότιμος ; 0.5926744937896729	πτερνισμός ; 0.5100095272064209	σαράβαρα ; 0.5495392680168152	μισθαποδότης ; 0.5254557132720947	μεθαρμόζω ; 0.4991629421710968	ὑπερβαλλόντως ; 0.583608865737915	ἄθεσμος ; 0.5258550643920898	ἐξέρχομαι ; 0.5150391459465027	φυλακή ; 0.593431293964386	οὕτω(ς) ; 0.5595896244049072
0.04352232050746052	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	ξένος	1	3	1	2	2	191	1	2	2	9318	5315	2	20	44	8	137	4	21	36	11	34	διδασκαλία ; 0.515812873840332	θά ; 0.8357348442077637	Σακχαρωνα ; 0.5253453254699707	λεμά ; 0.6591514348983765	ὅδε ; 0.6157358288764954	πειθός ; 0.6141092777252197	ὑπερκρατέω ; 0.5416339635848999	παράστασις ; 0.4833909869194031	θεός ; 0.6967877149581909	κύριος ; 0.6967875957489014	πραΰτης ; 0.5135730504989624	δεκαπέντε ; 0.5286886096000671	γνωρίζω ; 0.5068479776382446	τηλαύγημα ; 0.6860129833221436	ἀπορρίπτω ; 0.6171407103538513	ἀναστρατοπεδεύω ; 0.5112653970718384	Ἰαθάν ; 0.4795188903808594	γνωστέος ; 0.5723814964294434	ἀναδεικνύω ; 0.5832307934761047	πλησμονή ; 0.5868684649467468
