Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.06970173558634651	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	παντοκράτωρ	1	1	2180	83	6	361	8	46	1	455	17	2	1	2	3	2	9318	5315	191	2	1	ὁμότεχνος ; 0.7555922865867615	πόλις ; 0.42450588941574097	ἀμπελών ; 0.4602726995944977	κατά-πειράζω ; 0.5116444826126099	ἐρειψίτοιχος ; 0.45188087224960327	Στοά ; 0.44479820132255554	Εθερ ; 0.4627634584903717	ὑποζύγιον ; 0.4851822853088379	Ἄβαντες ; 0.41656073927879333	ἑταιρεῖος ; 0.4754864275455475	Μυτιλήνη ; 0.4362821877002716	θά ; 0.9440593719482422	λεμά ; 0.5924391746520996	ἱκεταδόκος ; 0.5169639587402344	λεμά ; 0.5870141386985779	ἄροσις ; 0.42962539196014404	ἅγιος ; 0.5164279937744141	Φελλανι ; 0.4524683952331543	καταράομαι ; 0.4438323378562927	εὐνήτωρ ; 0.5052065253257751
0.067925035543907	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ῥᾳδιούργημα	0	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	Ἠιόνες ; 0.4521474838256836	παρεκβαίνω ; 0.3999858498573303	λάχανον ; 0.44379180669784546	ὅσιος ; 0.45152345299720764	ἁμαρτία ; 0.44151586294174194	ἁμαρτία ; 0.5033866167068481	θηριάλωτος ; 0.443805992603302	ἁμαρτάνω ; 0.5033866167068481	ὑποδαμνάω ; 0.42540988326072693	κάλυξ ; 0.45590364933013916	μεταίρω ; 0.401167631149292	̔Ιερώνυμος ; 0.4592593312263489	Γαι ; 0.5144088268280029	πρόσοψις ; 0.4187401831150055	Χανανι ; 0.4268948435783386	διαλλάσσω ; 0.4731081426143646	συμβαίνω ; 0.45291751623153687	θραυσμός ; 0.4170929193496704	μετοχή ; 0.3984055817127228	ἐκκρεμάννυμι ; 0.4655180871486664
0.06076201965447886	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	συνωδίνω	0	3	3	60	16	1	1	2	1	1	97	351	1376	445	316	91	48	830	289	147	465	πολλαχῆ ; 0.5007123947143555	Δεφρωνα ; 0.48727181553840637	Λεώγορος ; 0.4530201852321625	δαίφρων ; 0.46486741304397583	συστενάζω ; 0.9363061189651489	ψευδοδιδάσκαλος ; 0.4417119324207306	βουλευτέος ; 0.458127498626709	Λίγγονες ; 0.48369890451431274	ἐξοπλισία ; 0.461367130279541	νόσος ; 0.4193723201751709	εἴκοσι ; 0.6129588484764099	Ἰάνασσα ; 0.41147381067276	προλέγω2 ; 0.520025372505188	ταγός ; 0.4773896336555481	πέντε ; 0.44575878977775574	ἄρκτος ; 0.4715452194213867	ἕξ ; 0.5096566677093506	ἡμεροσκόπος ; 0.49077746272087097	δύο ; 0.5096566677093506	τρεῖς ; 0.47848623991012573
0.03724662584122085	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	κύριος	0	1	191	1	2	9318	3	2	2	2	5315	136	4	2	2	1	1	2	13	3	3	εὐνήτωρ ; 0.5052065253257751	Φελλανι ; 0.4524683952331543	θά ; 0.9440593719482422	λεμά ; 0.5924391746520996	ἄροσις ; 0.42962539196014404	ἱκεταδόκος ; 0.5169639587402344	λεμά ; 0.5870141386985779	Μυτιλήνη ; 0.4362821877002716	καταράομαι ; 0.4438323378562927	ἅγιος ; 0.5164279937744141	ἐξάγω ; 0.6230374574661255	ἑκουσιάζομαι ; 0.4675883650779724	Κώς ; 0.6382114887237549	ὑποπνέω ; 0.6225873231887817	προσεάω ; 0.7509918212890625	χρονοτριβέω ; 0.49384552240371704	ιακανα ; 0.45008233189582825	ἐλαιών ; 0.4338403046131134	ὄψομαι ; 0.47424620389938354	βόρβορος ; 0.4388521909713745
-0.016511344773169345	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ὁμοίως	0	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	κατάβρωσις ; 0.44526994228363037	ἀντιφερίζω ; 0.41888338327407837	φονοκτονία ; 0.5013929605484009	ἀκρόδρυα ; 0.4360341727733612	ξένος1 ; 0.48380064964294434	πλουτοδότης ; 0.5010752081871033	πλάσμα ; 0.44959723949432373	ἀνδρολογεῖον ; 0.49738404154777527	ἀνδρίς ; 0.41219794750213623	στολισμός ; 0.4751974642276764	ὑπερβολή ; 0.48585212230682373	ἑρμηνεία ; 0.41091036796569824	Ναζωραῖος ; 0.425060510635376	ὤρυμα ; 0.4600979685783386	εἰδέω ; 0.47190484404563904	Ἄσιος ; 0.4210714101791382	Σεμίραμις ; 0.42777758836746216	μεταστροφή ; 0.41722697019577026	ἀναγγέλλω ; 0.5258692502975464	αἴρω ; 0.4953247904777527
0.023812256933815446	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	προπάτωρ	0	1	14	2	421	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	ἀγενεαλόγητος ; 0.5607333183288574	θήκη ; 0.4854963421821594	ἐπίπνοια ; 0.4427933990955353	συνεκτρόφος ; 0.4626811742782593	Λωΐς ; 0.5162124633789062	τερπνός ; 0.4462720453739166	βελόνη ; 0.47925445437431335	πολιτεύω ; 0.4884706139564514	λιπαρόθρονος ; 0.5092000365257263	βοΐδιον ; 0.4456532597541809	Ὀδάτις ; 0.4595857262611389	Μασφα ; 0.45758193731307983	ῥάδαμνος ; 0.46363508701324463	μαψίδιος ; 0.467179536819458	ἐπικαλύπτω ; 0.4762055277824402	ἀπολήγω ; 0.4251328706741333	καλλιγύναικος ; 0.41846299171447754	λῃστεύω ; 0.39213594794273376	Αραμ ; 0.4475042521953583	Ἀλεκτρυών ; 0.46445029973983765
0.046447336417646756	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	διαχειρίζομαι	1	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	προσεάω ; 0.7509918212890625	ὄψομαι ; 0.47424620389938354	βόρβορος ; 0.4388521909713745	ἐλαιών ; 0.4338403046131134	Κώς ; 0.6382114887237549	ὑποπνέω ; 0.6225873231887817	ἐξάγω ; 0.6230374574661255	ιακανα ; 0.45008233189582825	χρονοτριβέω ; 0.49384552240371704	ἑκουσιάζομαι ; 0.4675883650779724	ἐκκρεμάννυμι ; 0.4655180871486664	διαλλάσσω ; 0.4731081426143646	Χανανι ; 0.4268948435783386	μετοχή ; 0.3984055817127228	συμβαίνω ; 0.45291751623153687	Γαι ; 0.5144088268280029	μεταίρω ; 0.401167631149292	̔Ιερώνυμος ; 0.4592593312263489	θραυσμός ; 0.4170929193496704	πρόσοψις ; 0.4187401831150055
0.04431260695856415	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	σπαργανόω	1	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	τριακονταετός ; 0.4839114844799042	φιτυποίμην ; 0.4594901502132416	Εσεβωνείτης ; 0.40341252088546753	ὑπερφυής ; 0.48668038845062256	νεώρης ; 0.44097480177879333	ἐπιτίθημι ; 0.5420017242431641	προσπελάζω ; 0.4564804136753082	σεραφιν ; 0.44482898712158203	Μηλιεύς ; 0.44402259588241577	θαυμαστής ; 0.3964049518108368	πατριά ; 0.4387953281402588	ὄφελος ; 0.4775662422180176	ἐπιτιμία ; 0.461642324924469	Παλλάς ; 0.46425652503967285	ἐμπλοκή ; 0.8530683517456055	μελάνυδρος ; 0.5069903135299683	περιβάλλω ; 0.47790592908859253	διαγίνομαι ; 0.46292930841445923	Ἀχαιμένης ; 0.4510916769504547	θᾶττον ; 0.5369831323623657
0.013705766937914143	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἔννοια	0	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	εὔθοινος ; 0.48494094610214233	δεύω ; 0.48153290152549744	ἐξαπατάω ; 0.479431688785553	Τωβιν ; 0.527527928352356	ἐπανόρθωσις ; 0.49683547019958496	κατασφραγίζω ; 0.4598575830459595	παραὀξύνω ; 0.4554075598716736	ἐπιβιβάζω ; 0.5000206232070923	συνεῖπον ; 0.4633300304412842	θύω2 ; 0.4945620000362396	Ἀργύννις ; 0.4522235691547394	ἀηθέσσω ; 0.47916921973228455	Ασεδωθ ; 0.4078845679759979	Ἐλπήνωρ ; 0.47191518545150757	Πρωρεύς ; 0.5078655481338501	Πριήνη ; 0.4525476098060608	περιστρατοπεδεύομαι ; 0.5414353609085083	ἑωθινός ; 0.43173009157180786	ἔγγιστος ; 0.4756414294242859	παιδότρωτος ; 0.4540477395057678
0.024479831880114267	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	κύριος	0	3	1	2	2	191	1	2	2	9318	5315	2	20	44	8	137	4	21	36	11	34	ἱκεταδόκος ; 0.5169639587402344	θά ; 0.9440593719482422	καταράομαι ; 0.4438323378562927	λεμά ; 0.5924391746520996	Φελλανι ; 0.4524683952331543	εὐνήτωρ ; 0.5052065253257751	Μυτιλήνη ; 0.4362821877002716	λεμά ; 0.5870141386985779	ἄροσις ; 0.42962539196014404	ἅγιος ; 0.5164279937744141	ἑρμηνεία ; 0.41091036796569824	ὤρυμα ; 0.4600979685783386	ἀναγγέλλω ; 0.5258692502975464	εἰδέω ; 0.47190484404563904	Ἄσιος ; 0.4210714101791382	Ναζωραῖος ; 0.425060510635376	ὑπερβολή ; 0.48585212230682373	μεταστροφή ; 0.41722697019577026	αἴρω ; 0.4953247904777527	Σεμίραμις ; 0.42777758836746216
