Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.1258155746669442	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	ἄθεος	1	1	2180	83	6	361	8	46	1	455	17	2	1	2	3	2	9318	5315	191	2	1	λιθουργικός ; 0.5827182531356812	ναός ; 0.5889983773231506	Θρᾳκία ; 0.5495572686195374	προκρίνω ; 0.5406896471977234	ἐρίτιμος ; 0.5491806268692017	δυσημερέω ; 0.5460871458053589	Αγαλλιμ ; 0.5627515316009521	πολιορκία ; 0.6281717419624329	ἱλαστήριον ; 0.5615993738174438	βησσήεις ; 0.5622223615646362	τάρβος ; 0.5672041177749634	θά ; 0.7380146980285645	ἠλί ; 0.6619610786437988	ἐπανέρχομαι ; 0.5560657978057861	ἐλωΐ ; 0.6619610786437988	θεός ; 0.6341279149055481	κύριος ; 0.6341279149055481	ὅδε ; 0.530053973197937	ταμεῖον ; 0.5212035775184631	ἀρτάνη ; 0.5968055725097656
0.11397215355531443	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ἄπταιστος	0	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	φαληριάω ; 0.5853087902069092	προεῖδον ; 0.5875063538551331	πλειστήρης ; 0.531707763671875	ἀσεβής ; 0.6890177130699158	ἁμαρτία ; 0.6007405519485474	ἁμαρτία ; 0.5365080237388611	προσθέω ; 0.5395348072052002	παράπτωμα ; 0.6007405519485474	διαδέω ; 0.5225759148597717	ἀγοραῖος ; 0.5916123986244202	αἰτίωμα ; 0.5461100339889526	μύχιος ; 0.6073715686798096	Φυλιστιιμ ; 0.5844722986221313	ἐπίκλησις ; 0.5472222566604614	κοῖος ; 0.6121622323989868	συνερίζω ; 0.5964096188545227	θανατόω ; 0.628677248954773	προσάγω ; 0.6469298601150513	πένθος ; 0.5343164801597595	ἀποκτείνω ; 0.628677248954773
0.1204535062445729	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	πόνος	0	3	3	60	16	1	1	2	1	1	97	351	1376	445	316	91	48	830	289	147	465	ἀμφιβάλλω ; 0.5324544310569763	εὐανδρία ; 0.5634757876396179	προκόπτω ; 0.5455996990203857	Νῶε ; 0.5795789361000061	συστενάζω ; 0.8579237461090088	ὀκταήμερος ; 0.6492511034011841	προσφαίνω ; 0.5366551876068115	Ελιφαλαθ ; 0.5551349520683289	σάπφιρος ; 0.5489703416824341	προσκαρτερέω ; 0.5098867416381836	εἴκοσι ; 0.7093542814254761	πείθω ; 0.5357493162155151	δέκα ; 0.6159178018569946	ἑκατόν ; 0.6458965539932251	διακόσιοι ; 0.6091230511665344	πρόφασις ; 0.5202622413635254	ἑπτά ; 0.596190869808197	ἕξ ; 0.6281061172485352	ἑπτά ; 0.6304939985275269	ἕξ ; 0.6304939985275269
0.06925763751703373	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	μαράνα	0	1	191	1	2	9318	3	2	2	2	5315	136	4	2	2	1	1	2	13	3	3	ἀρτάνη ; 0.5968055725097656	ὅδε ; 0.530053973197937	θά ; 0.7380146980285645	ἠλί ; 0.6619610786437988	θεός ; 0.6341279149055481	ἐπανέρχομαι ; 0.5560657978057861	ἐλωΐ ; 0.6619610786437988	τάρβος ; 0.5672041177749634	ταμεῖον ; 0.5212035775184631	κύριος ; 0.6341279149055481	ἐξάγω ; 0.7152882814407349	Κῶς ; 0.5990111231803894	Σαμοθρᾴκη ; 0.687840461730957	μισθαποδοσία ; 0.5379953980445862	κατάνομαι ; 0.5772178769111633	ἐγκελεύω ; 0.5159921646118164	μίμησις ; 0.56291663646698	χρονισμός ; 0.5779415369033813	Σηστός ; 0.6167677640914917	ἐγκεντρίζω ; 0.5635491609573364
0.027518427349127517	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ὁμοίως	0	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	ἄσοφος ; 0.5745822787284851	δισμυριάς ; 0.632490873336792	Αἰγιλιεύς ; 0.5435526371002197	ἀπρονόητος ; 0.546891450881958	̓Αδύς ; 0.5401328802108765	δημοσιεύω ; 0.6325774192810059	ἀθεώρητος ; 0.5130718946456909	ἀτελής ; 0.5745325088500977	ἐκδικητής ; 0.5179839134216309	προχωρέω ; 0.5039854049682617	γένεσις ; 0.5403282046318054	σωφρονέω ; 0.5612219572067261	Νεεμιας ; 0.6882232427597046	Λυτάτιος ; 0.5280768871307373	τηλαύγημα ; 0.6731746792793274	κισσάω ; 0.5404660701751709	Μεδιώνιος ; 0.5713821649551392	γνωστέος ; 0.5937818288803101	ἀποκρίνω ; 0.5355772972106934	εἰρέω ; 0.5661898851394653
0.05592961032431132	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	πατρῷος	0	1	14	2	421	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	Πάρθοι ; 0.604801595211029	Σαουρ ; 0.5199364423751831	δαίς ; 0.5414067506790161	παιδίον ; 0.5814730525016785	Λωΐς ; 0.5678771734237671	Θαργηλιών ; 0.5902276039123535	ἀκίνδυνος ; 0.6012089252471924	οἰωνόβρωτος ; 0.6416621208190918	σκήνωσις ; 0.5685490369796753	̓Οδάτις ; 0.6344320774078369	σκηνοποιός ; 0.48895642161369324	κιννάμωμον ; 0.5387634038925171	προτιόσσομαι ; 0.6032873392105103	καναχέω ; 0.5113992094993591	ἁλμυρός ; 0.5542020797729492	εὑρίσκω ; 0.5528892278671265	σκύμνος ; 0.5339752435684204	λεπτότης ; 0.49939778447151184	ἡμερεύω ; 0.5642111897468567	γάγγραινα ; 0.5602433681488037
0.16838834253835844	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	διαχειρίζομαι	1	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	κατάνομαι ; 0.5772178769111633	Σηστός ; 0.6167677640914917	ἐγκεντρίζω ; 0.5635491609573364	χρονισμός ; 0.5779415369033813	Σαμοθρᾴκη ; 0.687840461730957	μισθαποδοσία ; 0.5379953980445862	ἐξάγω ; 0.7152882814407349	μίμησις ; 0.56291663646698	ἐγκελεύω ; 0.5159921646118164	Κῶς ; 0.5990111231803894	ἀποκτείνω ; 0.628677248954773	συνερίζω ; 0.5964096188545227	κοῖος ; 0.6121622323989868	πένθος ; 0.5343164801597595	θανατόω ; 0.628677248954773	Φυλιστιιμ ; 0.5844722986221313	αἰτίωμα ; 0.5461100339889526	μύχιος ; 0.6073715686798096	προσάγω ; 0.6469298601150513	ἐπίκλησις ; 0.5472222566604614
0.019706639261173553	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	ἐγκομβόομαι	1	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	χιτών ; 0.554602324962616	κοίρανος ; 0.5836048126220703	σκίπων ; 0.5301851034164429	ἐναγκαλίζομαι ; 0.57612144947052	Γολγοθᾶ ; 0.5497007369995117	ἀνειλέω ; 0.5369994640350342	πάρδαλις ; 0.5506949424743652	μεχωνωθ ; 0.5102571249008179	φυλακεύς ; 0.5283280611038208	δόρκων ; 0.515220046043396	εὐφορέω ; 0.6318227052688599	εἴρερος ; 0.5631038546562195	πρόνοια ; 0.5244529247283936	ἐνειλέω ; 0.5392268896102905	ἐμπλοκή ; 0.7167215943336487	ἐνδύω ; 0.6041673421859741	περιβάλλω ; 0.6041673421859741	νικάω ; 0.5423170924186707	ἄπωθεν ; 0.5384417176246643	ἀνθαμιλλάομαι ; 0.6170932650566101
0.02686057364610034	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἐξεγείρω	1	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	χαλκηδόνιον ; 0.5659265518188477	αἰδώ ; 0.5737216472625732	πείθω ; 0.5833194255828857	κοσμικός ; 0.5258675813674927	πάθος ; 0.5880058407783508	ῥήσσω ; 0.5147761702537537	ἀκηδιάω ; 0.5835921764373779	στέργημα ; 0.5622900724411011	ἀμφιλαφής ; 0.6109641790390015	διαλλάσσω ; 0.5389272570610046	πρόσχυσις ; 0.5551396012306213	ὀλολυγή ; 0.5822415947914124	Γεδαν ; 0.5516424179077148	Αἰγεύς ; 0.5765975713729858	ἱππίας ; 0.6005287170410156	Μέγαράδε ; 0.5584440231323242	βία ; 0.5274615287780762	Ἄδραστος ; 0.5421863794326782	Σηλωμ ; 0.5373457670211792	δριμύς ; 0.571731448173523
0.0490970003838076	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	ξένος	1	3	1	2	2	191	1	2	2	9318	5315	2	20	44	8	137	4	21	36	11	34	ἐπανέρχομαι ; 0.5560657978057861	θά ; 0.7380146980285645	ταμεῖον ; 0.5212035775184631	ἠλί ; 0.6619610786437988	ὅδε ; 0.530053973197937	ἀρτάνη ; 0.5968055725097656	τάρβος ; 0.5672041177749634	ἐλωΐ ; 0.6619610786437988	θεός ; 0.6341279149055481	κύριος ; 0.6341279149055481	σωφρονέω ; 0.5612219572067261	Λυτάτιος ; 0.5280768871307373	ἀποκρίνω ; 0.5355772972106934	τηλαύγημα ; 0.6731746792793274	κισσάω ; 0.5404660701751709	Νεεμιας ; 0.6882232427597046	γένεσις ; 0.5403282046318054	γνωστέος ; 0.5937818288803101	εἰρέω ; 0.5661898851394653	Μεδιώνιος ; 0.5713821649551392
