Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.007050517795424482	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	αββα	1	1	2180	83	6	361	8	46	1	455	17	2	1	2	3	2	9318	5315	191	2	1	κατατίλλω ; 0.5114389657974243	σειρά ; 0.583324670791626	αἰρω ; 0.8252427577972412	θωδαθα ; 0.5316178798675537	Σωφηρα ; 0.5631667375564575	Ιτουραῖος ; 0.4996393322944641	ἐκείνος ; 0.5018854737281799	πτωχίζω ; 0.49171537160873413	Ιουβαλ ; 0.5743879675865173	Αἰγυπτία ; 0.4746423661708832	πειρασμός ; 0.5121561884880066	καρύα ; 0.5155385732650757	λογομαχέω ; 0.5791865587234497	Ιεουηλ ; 0.543530285358429	ἀνθαιρέω ; 0.48785051703453064	εὐταξία ; 0.5129597187042236	Ιαρασια ; 0.5165707468986511	ἐκφοβέω ; 0.8654003739356995	εἴργω ; 0.5194395780563354	τοπάζιον ; 0.533109724521637
-0.00963025238534787	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ἁμαρτωλός	0	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	πλοῖον ; 0.5349157452583313	Ιωαχας ; 0.5014356970787048	κατακυριεύω ; 0.5275411605834961	χίδρον ; 0.5367761254310608	παρακομίζω ; 0.5687422752380371	Βαννους ; 0.5490713119506836	Φογωρ ; 0.8168967962265015	ἀσέβεια ; 0.5491622686386108	ἀδιεξέταστος ; 0.5360077023506165	Δανιτῶν ; 0.46964019536972046	κατατίθημι ; 0.5298396944999695	καθαίρεσις ; 0.4786252975463867	κόπτω ; 0.6644513010978699	οἰκοδεσποτέω ; 0.5367071628570557	Ιασων ; 0.5438666343688965	Σαραθαῖοι ; 0.5524212121963501	εὐάλωτος ; 0.5282674431800842	κραυγάζω ; 0.5116333961486816	Γοδολια ; 0.5382206439971924	Ιεσσια ; 0.5429391264915466
-0.014824977974944087	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	πάσχω	0	3	3	60	16	1	1	2	1	1	97	351	1376	445	316	91	48	830	289	147	465	Ενναθωθ ; 0.5246281027793884	ἀμβλύνω ; 0.538668692111969	οἰκίδιον ; 0.5375295281410217	παρέρχομαι ; 0.5009617805480957	μάχιμος ; 0.5810118913650513	οὐδέποτε ; 0.5533298254013062	ἀτάρ ; 0.626612663269043	γραμματεύς ; 0.4928934574127197	Ισμαηλ ; 0.5650945901870728	παραίτιος ; 0.5020671486854553	μακρότερον ; 0.5157086849212646	δικαιοκρισία ; 0.5545642375946045	κατατοξεύω ; 0.5073308944702148	ὀγδοήκοντα ; 0.5206717252731323	Εγλωμ ; 0.5551621913909912	φαύλισμα ; 0.5561208128929138	χορδή ; 0.508704662322998	προμαχών ; 0.496051162481308	πάλιν ; 0.6520429849624634	λήθη ; 0.558080792427063
-0.015174590455689363	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	αββα	0	1	191	1	2	9318	3	2	2	2	5315	136	4	2	2	1	1	2	13	3	3	τοπάζιον ; 0.533109724521637	ἐκφοβέω ; 0.8654003739356995	καρύα ; 0.5155385732650757	λογομαχέω ; 0.5791865587234497	εὐταξία ; 0.5129597187042236	Ιεουηλ ; 0.543530285358429	ἀνθαιρέω ; 0.48785051703453064	πειρασμός ; 0.5121561884880066	εἴργω ; 0.5194395780563354	Ιαρασια ; 0.5165707468986511	πρόπτωσις ; 0.5013962984085083	ἀνταποδίδωμι ; 0.5144354104995728	δεκαμηνιαῖος ; 0.5177346467971802	διωγμός ; 0.5242064595222473	καταβραβεύω ; 0.5915433764457703	δεκάδαρχος ; 0.5027119517326355	ὀλέκω ; 0.5444627404212952	ἀκαριαῖος ; 0.5288339853286743	ναῦλον ; 0.5332247614860535	ῥιπτω ; 0.5359991192817688
-0.021263224647326495	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	δηλόω	1	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	πελεκάω ; 0.5470883846282959	Φαισουρ ; 0.5082470774650574	Αιζηλ ; 0.5818880200386047	ἀπομερίζω ; 0.5428060293197632	Μαρησα ; 0.5472443103790283	νυκτερινός ; 0.5264865159988403	Μιχαιας ; 0.5183768272399902	ἑδράζω ; 0.48341062664985657	εἴτοι ; 0.54442298412323	γενεά ; 0.7553660869598389	Σιραχ ; 0.5044577121734619	προηγορέω ; 0.536586582660675	κατασύρω ; 0.5094021558761597	Βηθαχαρμ ; 0.5241063237190247	Ἀσταρτεῖον ; 0.5372142195701599	ἀδικέω ; 0.8171015977859497	Χαφαρσαλαμα ; 0.4849066436290741	Ραμεν ; 0.4998065233230591	ἐρωτάω ; 0.6181132197380066	ἐκβοάω ; 0.5030608177185059
0.06322573745741067	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	πατρικός	0	1	14	2	421	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	στενότητα ; 0.5023202896118164	οἷος ; 0.49824368953704834	πανταχῇ ; 0.5712186694145203	συγγένεια ; 0.6096555590629578	προμαχών ; 0.5478451251983643	διδάσκαλος ; 0.5610066652297974	καταλήγω ; 0.5439296960830688	ἀοίδιμος ; 0.5298805832862854	αδων ; 0.5796411633491516	Αμβρι ; 0.5101559162139893	μέλαθρον ; 0.5792725086212158	μακαρίως ; 0.5623767971992493	κοιτών ; 0.49590688943862915	Εγλι ; 0.4793694019317627	ἐλαιών ; 0.9396185278892517	πιέζω ; 0.9813963174819946	ὀπωροφυλάκιον ; 0.7245451211929321	ὁλοτελής ; 0.4611887037754059	περιοικέω ; 0.5383952856063843	ἀμάω ; 0.9717330932617188
0.0037645990519936112	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	πλοῦς	0	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	καταβραβεύω ; 0.5915433764457703	ναῦλον ; 0.5332247614860535	ῥιπτω ; 0.5359991192817688	ἀκαριαῖος ; 0.5288339853286743	δεκαμηνιαῖος ; 0.5177346467971802	διωγμός ; 0.5242064595222473	πρόπτωσις ; 0.5013962984085083	ὀλέκω ; 0.5444627404212952	δεκάδαρχος ; 0.5027119517326355	ἀνταποδίδωμι ; 0.5144354104995728	Ιεσσια ; 0.5429391264915466	Σαραθαῖοι ; 0.5524212121963501	Ιασων ; 0.5438666343688965	Γοδολια ; 0.5382206439971924	εὐάλωτος ; 0.5282674431800842	κόπτω ; 0.6644513010978699	κατατίθημι ; 0.5298396944999695	καθαίρεσις ; 0.4786252975463867	κραυγάζω ; 0.5116333961486816	οἰκοδεσποτέω ; 0.5367071628570557
-0.07190076939555406	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	ὄψις	0	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	συμμιγής ; 0.48424604535102844	φιλοπολίτης ; 0.5423083305358887	Βαιθακαδ ; 0.48322635889053345	ῥαβδίζω ; 0.4692707657814026	ἀσιτέω ; 0.509099543094635	Σαβαθος ; 0.5217430591583252	μελον ; 0.5123718976974487	σιδηροῦς ; 0.9278320670127869	θρῆνος ; 0.9733326435089111	χοῦς ; 0.9146999716758728	καταφθείρω ; 0.549675703048706	ἀγριομυρίκη ; 0.6009358763694763	Χελκιος ; 0.577339768409729	Μασαια ; 0.5180500745773315	ἀπόθεσις ; 0.5268998742103577	αἰσχύνη ; 0.960617184638977	Οββια ; 0.5369966626167297	βδέλυγμα ; 0.5288114547729492	παιδιά ; 0.6045454144477844	προσχέω ; 0.5162293910980225
-0.017507098986934977	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἐξανάστασις	1	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	ἀπωσμός ; 0.550808846950531	μήποτε ; 0.7631788849830627	κακός ; 0.591920018196106	Ηνγαδδι ; 0.5445606708526611	ἐφοράω ; 0.6277554035186768	λύω ; 0.5221006870269775	θηριάλωτος ; 0.5533941984176636	ἔξειμι ; 0.5131522417068481	ἐκλεκτός ; 0.5364481806755066	αμασενιθ ; 0.529537558555603	Ουσα ; 0.5447248816490173	οἴκος ; 0.5872635841369629	Φεριδα ; 0.501636803150177	Δαβωρ ; 0.5377566814422607	Δαλματία ; 0.5557599067687988	ἔνυστρον ; 0.5941565036773682	γοητεία ; 0.5334781408309937	Ιωασαρ ; 0.5362827777862549	ἀφηρέομαι ; 0.5118420124053955	μέτοχος ; 0.5466960668563843
-0.0036777716535837945	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	χρηματισμός	1	3	1	2	2	191	1	2	2	9318	5315	2	20	44	8	137	4	21	36	11	34	Ιεουηλ ; 0.543530285358429	καρύα ; 0.5155385732650757	εἴργω ; 0.5194395780563354	λογομαχέω ; 0.5791865587234497	ἐκφοβέω ; 0.8654003739356995	τοπάζιον ; 0.533109724521637	πειρασμός ; 0.5121561884880066	ἀνθαιρέω ; 0.48785051703453064	εὐταξία ; 0.5129597187042236	Ιαρασια ; 0.5165707468986511	προηγορέω ; 0.536586582660675	Βηθαχαρμ ; 0.5241063237190247	ἐρωτάω ; 0.6181132197380066	Ἀσταρτεῖον ; 0.5372142195701599	ἀδικέω ; 0.8171015977859497	κατασύρω ; 0.5094021558761597	Σιραχ ; 0.5044577121734619	Ραμεν ; 0.4998065233230591	ἐκβοάω ; 0.5030608177185059	Χαφαρσαλαμα ; 0.4849066436290741
