Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
-0.03364997515241014	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	ἔπαυλις	0	1	2180	83	6	361	8	46	1	455	17	2	1	2	3	2	9318	5315	191	2	1	λυτρών ; 0.290594220161438	σύν ; 0.30425888299942017	αἰρω ; 0.5487697124481201	ἐμαυτός ; 0.3037927448749542	βοηθέω ; 0.3201335072517395	συνθρύπτω ; 0.3044966459274292	δέκα+ἕξ ; 0.4992101788520813	αλαιμωθ ; 0.270710825920105	τάφρος ; 0.3120284974575043	ἰατρεῖον ; 0.2781606614589691	διαρρέω ; 0.2818036675453186	ζήλος ; 0.25483736395835876	λυπέω ; 0.2794368267059326	ψυχικῶς ; 0.2918315529823303	ἀκατασκεύαστος ; 0.2753489017486572	ὁ ; 0.40295886993408203	κατά ; 0.33255964517593384	ἐκφοβέω ; 0.5011600255966187	Αζαριον ; 0.25460949540138245	προσαναφέρω ; 0.2663692235946655
-0.013309505217078188	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ἁμαρτάνω	0	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	εὔνοια ; 0.2784912586212158	Βερχια ; 0.2832961678504944	Εμηρ ; 0.2691376209259033	Ιεττουρ ; 0.3602914810180664	ἀπόδεσμος ; 0.24802716076374054	διαγογγύζω ; 0.37356483936309814	Φογωρ ; 0.7418016791343689	κατάλοιπος ; 0.540204644203186	καυλός ; 0.3161265552043915	μειόω ; 0.2593872547149658	Σαβιν ; 0.2765887677669525	προσαπειλέομαι ; 0.2769930362701416	κόπτω ; 0.589532732963562	Οφνι ; 0.26209715008735657	ἀνταποστέλλω ; 0.3019979000091553	φονεύω ; 0.41287899017333984	περιτέμνω ; 0.3694812059402466	μνημεῖον ; 0.30265897512435913	ἀφυλάκτως ; 0.2657414376735687	Κόρινθος ; 0.25848931074142456
0.10245121169713362	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	συμπαθέω	0	3	3	60	16	1	1	2	1	1	97	351	1376	445	316	91	48	830	289	147	465	Αβδιηλ ; 0.3241942822933197	Ἁριμαθαία ; 0.28155258297920227	βεβαίωσις ; 0.2852230668067932	πανοπλία ; 0.25227588415145874	παράδειγμα ; 0.26919108629226685	Κενδεβαῖος ; 0.27496933937072754	ἀγορά ; 0.2713775634765625	Βαιθμαν ; 0.26111647486686707	Ταβερεμμαν ; 0.30707263946533203	ἀνθράκινος ; 0.2473563700914383	Θεμμων ; 0.4713522791862488	ἐκλείπω ; 0.32012125849723816	ἐναντίος ; 0.3603629469871521	δέκατος ; 0.45185595750808716	Μιχαιας ; 0.4396810233592987	Ισσαχαρ ; 0.3836909532546997	Φοινίκη ; 0.3125852942466736	Γεδσων ; 0.5928876399993896	πάλιν ; 0.5729942321777344	καλῶς ; 0.3161078095436096
-0.013211998442412692	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	παντοκράτωρ	0	1	191	1	2	9318	3	2	2	2	5315	136	4	2	2	1	1	2	13	3	3	προσαναφέρω ; 0.2663692235946655	ἐκφοβέω ; 0.5011600255966187	ζήλος ; 0.25483736395835876	λυπέω ; 0.2794368267059326	ὁ ; 0.40295886993408203	ψυχικῶς ; 0.2918315529823303	ἀκατασκεύαστος ; 0.2753489017486572	διαρρέω ; 0.2818036675453186	Αζαριον ; 0.25460949540138245	κατά ; 0.33255964517593384	οὐκέτι ; 0.41281163692474365	εὐνοῦχος ; 0.2712109088897705	συγκύπτω ; 0.26280754804611206	φαιός ; 0.2799478769302368	συγκρύφω ; 0.25028878450393677	ἀπειλέω ; 0.30048513412475586	στρατεία ; 0.2712588906288147	Σεδιουρ ; 0.25822681188583374	Ραγμα ; 0.2657402753829956	ἁπαλός ; 0.27168604731559753
0.014188579440673699	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ὁμοίωμα	0	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	ἀνήνυτος ; 0.2732311487197876	ἐξιχνεύω ; 0.2546907067298889	πάχος ; 0.2631808817386627	ἀνθομολογέομαι ; 0.2793690264225006	σαλπίζω ; 0.2587350010871887	γνοφόω ; 0.280032217502594	πυρά ; 0.466675728559494	Ἀττάλεια ; 0.27571675181388855	Αρβηλος ; 0.27119147777557373	σωτήριον ; 0.5248439311981201	Ζαραι ; 0.2861745059490204	Γαβερ ; 0.29326602816581726	χάος ; 0.2750893831253052	οἰκονομία ; 0.2952808439731598	ἐπιπροστίθημι ; 0.27413249015808105	ἀδικέω ; 0.7335834503173828	Βαδαν ; 0.28444725275039673	κομίζω ; 0.27829283475875854	ἐρωτάω ; 0.6639644503593445	χρυσοχόος ; 0.2813148498535156
0.12260150454877311	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	προπάτωρ	0	1	14	2	421	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	ασαρημωθ ; 0.27732694149017334	ζωγρέω ; 0.5690127015113831	ὄγκος ; 0.27383604645729065	συγγένεια ; 0.3719096779823303	Σαμμα ; 0.30730047821998596	δεκαοκτώ ; 0.2782077491283417	δύσκολος ; 0.27161160111427307	ἐξολεθρεύω ; 0.2800609767436981	ἀποδεκατίζω ; 0.2818313241004944	δευτερεύω ; 0.3050983250141144	διαφαίνω ; 0.2983773648738861	μάχη ; 0.28203070163726807	ἱεροπρεπής ; 0.2488621175289154	ἐγκώμιον ; 0.2763477563858032	ἐλαιών ; 0.8931673765182495	πιέζω ; 0.9492017030715942	ὀπωροφυλάκιον ; 0.685973048210144	κάθοδος ; 0.28053754568099976	Εσθαμω ; 0.2606435716152191	ἀμάω ; 0.8454573154449463
0.03402010372932218	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	πλοῦς	0	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	συγκρύφω ; 0.25028878450393677	Ραγμα ; 0.2657402753829956	ἁπαλός ; 0.27168604731559753	Σεδιουρ ; 0.25822681188583374	συγκύπτω ; 0.26280754804611206	φαιός ; 0.2799478769302368	οὐκέτι ; 0.41281163692474365	στρατεία ; 0.2712588906288147	ἀπειλέω ; 0.30048513412475586	εὐνοῦχος ; 0.2712109088897705	Κόρινθος ; 0.25848931074142456	φονεύω ; 0.41287899017333984	ἀνταποστέλλω ; 0.3019979000091553	ἀφυλάκτως ; 0.2657414376735687	περιτέμνω ; 0.3694812059402466	κόπτω ; 0.589532732963562	Σαβιν ; 0.2765887677669525	προσαπειλέομαι ; 0.2769930362701416	μνημεῖον ; 0.30265897512435913	Οφνι ; 0.26209715008735657
-0.09280075341955524	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	ἐνδιδύσκω	1	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	πεντηκοντάρχος ; 0.25459522008895874	ῥάπισμα ; 0.2612191438674927	συνήθεια ; 0.2935088276863098	Ὀρθωσία ; 0.2493238002061844	θεράπων ; 0.28408873081207275	Βαιθμαρχαβωθ ; 0.259098619222641	λυτρών ; 0.2833026945590973	σιδηροῦς ; 0.8898231387138367	θρῆνος ; 0.9110548496246338	χοῦς ; 0.8070034384727478	διασχίζω ; 0.26507967710494995	ἱερόψυχος ; 0.2972225248813629	Ναβουχοδονοσόρ ; 0.27832794189453125	βλέπω ; 0.25492405891418457	ἐκλογιστία ; 0.2769344449043274	αἰσχύνη ; 0.911750078201294	πρότερον ; 0.28243929147720337	Χοβορ ; 0.2703305780887604	Φαραθωνι ; 0.3359016180038452	ἄνθρωπος ; 0.26951757073402405
-0.05386612524596884	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	συμβάλλω	0	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	τέκτων ; 0.26563137769699097	μήποτε ; 0.6871933341026306	κακός ; 0.446310430765152	ὑπερέχω ; 0.2969105839729309	συνίημι ; 0.5859628319740295	ἀπερισπάστως ; 0.29400569200515747	ἀλεκτοροφωνία ; 0.25610196590423584	Ανα ; 0.27158594131469727	προσκυνέω ; 0.24865935742855072	ἄμητος ; 0.25330936908721924	ἐρημία ; 0.2493443489074707	Ραββα ; 0.2881930470466614	ἐξηγέομαι ; 0.26352769136428833	κακηγορέω ; 0.23285119235515594	Ελθουλαδ ; 0.27046680450439453	γραμματεία ; 0.29658639430999756	κόπρος ; 0.2805511951446533	ἀήρ ; 0.28814539313316345	φέρω ; 0.24596431851387024	ὧδε ; 0.2815139889717102
0.031278001057459814	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	μαράνα	0	3	1	2	2	191	1	2	2	9318	5315	2	20	44	8	137	4	21	36	11	34	ψυχικῶς ; 0.2918315529823303	ζήλος ; 0.25483736395835876	Αζαριον ; 0.25460949540138245	λυπέω ; 0.2794368267059326	ἐκφοβέω ; 0.5011600255966187	προσαναφέρω ; 0.2663692235946655	διαρρέω ; 0.2818036675453186	ἀκατασκεύαστος ; 0.2753489017486572	ὁ ; 0.40295886993408203	κατά ; 0.33255964517593384	Γαβερ ; 0.29326602816581726	οἰκονομία ; 0.2952808439731598	ἐρωτάω ; 0.6639644503593445	ἐπιπροστίθημι ; 0.27413249015808105	ἀδικέω ; 0.7335834503173828	χάος ; 0.2750893831253052	Ζαραι ; 0.2861745059490204	κομίζω ; 0.27829283475875854	χρυσοχόος ; 0.2813148498535156	Βαδαν ; 0.28444725275039673
