Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.06375387650696152	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	παντοκράτωρ	1	1	2180	83	6	361	8	46	1	455	17	2	1	2	3	2	9318	5315	191	2	1	ὁμότεχνος ; 0.7350448369979858	ὕλαγμα ; 0.45486980676651	ἐκεῖθεν ; 0.44606876373291016	φαυλίζω ; 0.4607858955860138	Ποδάρκης ; 0.4054810404777527	πρόσειμι ; 0.4261745512485504	ὅριον ; 0.41405630111694336	ὑποζύγιον ; 0.4820302128791809	Κρειοντιάδης ; 0.4334867000579834	νυκτοπορία ; 0.45730459690093994	γρηγορέω ; 0.4493700861930847	θά ; 0.9669157862663269	λεμά ; 0.6895508766174316	ἱκεταδόκος ; 0.4841563105583191	λεμά ; 0.7573734521865845	ὀχλίζω ; 0.41634881496429443	νεοτευχής ; 0.4333674907684326	ἐκφοβέω ; 0.5433121919631958	ἐφορμή ; 0.4466097950935364	ὀνεῖον ; 0.4335383176803589
0.013654418539601643	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ἀναιρέω	1	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	τᾶν ; 0.44218212366104126	Σύρος ; 0.4554619789123535	ἴλαρχος ; 0.46486344933509827	ἀσεβής ; 0.5820945501327515	ἐγγείνωνται ; 0.40057748556137085	κηρίον ; 0.4273333251476288	καθαρίζω ; 0.4755421578884125	ἀσέβεια ; 0.5088488459587097	σύμμορφος ; 0.45531344413757324	κάλυξ ; 0.4238536059856415	ἀκολούθως ; 0.4618787169456482	θυμοειδής ; 0.5278074741363525	ψυχομαχέω ; 0.49795615673065186	ταμίας ; 0.43021661043167114	Ῥαχήλ ; 0.40884411334991455	μογιλάλος ; 0.40360480546951294	ἠπειρώτης ; 0.4436512589454651	προσφέρω ; 0.4175472557544708	σύνδετος ; 0.44656363129615784	ἐκκρεμάννυμι ; 0.4447600245475769
0.03705888196893642	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	πέντε	1	3	3	60	16	1	1	2	1	1	97	351	1376	445	316	91	48	830	289	147	465	Μύρα ; 0.4528660774230957	Δεφρωνα ; 0.47489553689956665	χαρίζομαι ; 0.4462173581123352	Νῶε ; 0.4309644103050232	συστενάζω ; 0.9540574550628662	τελήεις ; 0.45059242844581604	ἀποδοκιμάω ; 0.41949397325515747	ἐγκρατέω ; 0.4226354956626892	ἐξοπλισία ; 0.461367130279541	μονόφρων ; 0.44108864665031433	ὀγδοήκοντα ; 0.5348432064056396	ἐκτόπιος ; 0.4470168948173523	ἐγκατοικέω ; 0.45404672622680664	σικάριος ; 0.4433501362800598	Μωρασθι ; 0.44397902488708496	ἀφιστάω ; 0.44284212589263916	Σαρπηδών ; 0.44812530279159546	ἐπιπορεύομαι ; 0.4440996050834656	πάλιν ; 0.43192344903945923	τυρός ; 0.43673062324523926
0.012602428423334977	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	παντοκράτωρ	0	1	191	1	2	9318	3	2	2	2	5315	136	4	2	2	1	1	2	13	3	3	ὀνεῖον ; 0.4335383176803589	ἐκφοβέω ; 0.5433121919631958	θά ; 0.9669157862663269	λεμά ; 0.6895508766174316	ὀχλίζω ; 0.41634881496429443	ἱκεταδόκος ; 0.4841563105583191	λεμά ; 0.7573734521865845	γρηγορέω ; 0.4493700861930847	ἐφορμή ; 0.4466097950935364	νεοτευχής ; 0.4333674907684326	διαφυλάσσω ; 0.44101956486701965	πλέω ; 0.44996583461761475	Σαμοθρᾴκη ; 0.6946602463722229	ὑποπνέω ; 0.6225873231887817	προσεάω ; 0.7509918212890625	καταταχέω ; 0.4740060567855835	Σαλμώνη ; 0.44091087579727173	Ἐρασινίδης ; 0.4503806233406067	χαλκόπυλος ; 0.453949898481369	παραπείθω ; 0.43591317534446716
0.000531529693792665	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	φανερός	1	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	Ἀγαμέμνων ; 0.43207743763923645	παρεκτός ; 0.4308673143386841	ἄμεμπτος ; 0.4458079934120178	μῆρα ; 0.48357588052749634	ἀδούω ; 0.47372788190841675	εὖθριξ ; 0.4995748698711395	διά-ἐχθρεύω ; 0.4596366882324219	Δηιόκης ; 0.44356411695480347	αἰγυπτία ; 0.5107126235961914	γενεά ; 0.5628911256790161	ἁγιότης ; 0.4943383038043976	σωφρονέω ; 0.4811481237411499	Περικλῆς ; 0.4289778470993042	Μυκήνη ; 0.4903106689453125	καθός ; 0.4400598704814911	ἀδικέω ; 0.47003963589668274	ξένος2 ; 0.4937780499458313	ὅλως ; 0.465311735868454	Ιβαναα ; 0.5173176527023315	Ἐλευσίνιος ; 0.4409896433353424
0.03509944881108035	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	πρόγονος	0	1	14	2	421	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	ἄοικος ; 0.4446914494037628	δικλίς ; 0.42741793394088745	Παμβοιώτια ; 0.4595189094543457	καρκαίρω ; 0.4464842677116394	Λωΐς ; 0.6331594586372375	διπλάζω ; 0.4456575810909271	ἀναμάρτητος ; 0.45749086141586304	λειποτακτέω ; 0.485712468624115	εὐτυχία ; 0.4377670884132385	πένταχα ; 0.46226179599761963	τροχός ; 0.49584630131721497	στάθμη ; 0.46699345111846924	μεγαλοσύνη ; 0.4855369031429291	ἐρημόω ; 0.45558249950408936	ὕπαρχος ; 0.46680939197540283	στιππύον ; 0.4674155116081238	ἀήτης ; 0.43619516491889954	ἐκδιδύσκω ; 0.45792973041534424	γένημα ; 0.44419795274734497	Ἀλεκτρυών ; 0.46673670411109924
0.039439328122381045	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	θανατόω	1	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	προσεάω ; 0.7509918212890625	χαλκόπυλος ; 0.453949898481369	παραπείθω ; 0.43591317534446716	Ἐρασινίδης ; 0.4503806233406067	Σαμοθρᾴκη ; 0.6946602463722229	ὑποπνέω ; 0.6225873231887817	διαφυλάσσω ; 0.44101956486701965	Σαλμώνη ; 0.44091087579727173	καταταχέω ; 0.4740060567855835	πλέω ; 0.44996583461761475	ἐκκρεμάννυμι ; 0.4447600245475769	μογιλάλος ; 0.40360480546951294	Ῥαχήλ ; 0.40884411334991455	σύνδετος ; 0.44656363129615784	ἠπειρώτης ; 0.4436512589454651	ψυχομαχέω ; 0.49795615673065186	ἀκολούθως ; 0.4618787169456482	θυμοειδής ; 0.5278074741363525	προσφέρω ; 0.4175472557544708	ταμίας ; 0.43021661043167114
0.014864793238091867	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	σπαργανόω	1	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	Γόργειος ; 0.5116308331489563	φιτυποίμην ; 0.463800311088562	κόμη ; 0.7061843276023865	ἔριον ; 0.4763670861721039	οἰωνοκτόνος ; 0.45301270484924316	ἀράσσω ; 0.431388795375824	ἐκτήκω ; 0.4595879912376404	ὁμοπλοέω ; 0.48992112278938293	αὐχμηρός ; 0.4662567377090454	ὄλβιος ; 0.49252092838287354	νηνέμιος ; 0.4186687469482422	Λυδή ; 0.4194096028804779	συγκαλέω ; 0.5163434743881226	λέπαδνον ; 0.4469885230064392	ἐμπλοκή ; 0.9072811007499695	ἀμμώδης ; 0.4832828938961029	φθειρίζω ; 0.4762133061885834	χορτάζω ; 0.42779892683029175	Σαμαια ; 0.47528091073036194	θᾶττον ; 0.5087056756019592
0.03480994462702841	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	λογίζομαι	0	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	οἶμα ; 0.4848621189594269	ἄσοφος ; 0.44052743911743164	σύνοιδα ; 0.44821393489837646	χάζω ; 0.4547731876373291	συνίημι ; 0.5071852207183838	πλεονεκτικός ; 0.421214759349823	ἐπαιγίζω ; 0.4325750172138214	σύστασις ; 0.44512951374053955	Ασαιας ; 0.4697563052177429	συμπίτνω ; 0.431720107793808	ἐπενδίδωμι ; 0.4872855246067047	Εὐθύφρων ; 0.4951808452606201	τερσαίνω ; 0.4234599471092224	Ἐλπήνωρ ; 0.44980257749557495	δορυφορέω ; 0.4324975609779358	τροχίζω ; 0.4412236511707306	Σαυη ; 0.4553110599517822	διαγρηγορέω ; 0.45873767137527466	πάτημα ; 0.44043710827827454	ὅλως ; 0.5240950584411621
-0.003926104402877328	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	χρηματισμός	1	3	1	2	2	191	1	2	2	9318	5315	2	20	44	8	137	4	21	36	11	34	ἱκεταδόκος ; 0.4841563105583191	θά ; 0.9669157862663269	ἐφορμή ; 0.4466097950935364	λεμά ; 0.6895508766174316	ἐκφοβέω ; 0.5433121919631958	ὀνεῖον ; 0.4335383176803589	γρηγορέω ; 0.4493700861930847	λεμά ; 0.7573734521865845	ὀχλίζω ; 0.41634881496429443	νεοτευχής ; 0.4333674907684326	σωφρονέω ; 0.4811481237411499	Μυκήνη ; 0.4903106689453125	Ιβαναα ; 0.5173176527023315	καθός ; 0.4400598704814911	ἀδικέω ; 0.47003963589668274	Περικλῆς ; 0.4289778470993042	ἁγιότης ; 0.4943383038043976	ὅλως ; 0.465311735868454	Ἐλευσίνιος ; 0.4409896433353424	ξένος2 ; 0.4937780499458313
