Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.078588811162281	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	ἔπαυλις	0	1	2180	83	6	361	8	46	1	455	17	2	1	2	3	2	9318	5315	191	2	1	μονοχίτων ; 0.6920118927955627	πυργοβάρις ; 0.6920822858810425	διαπτύσσω ; 0.6292926669120789	ἀτέλευτος ; 0.7000614404678345	φᾶρος ; 0.7129693031311035	ἐξοπλησία ; 0.6629257798194885	περισπόριον ; 0.6941825747489929	σπέρμα ; 0.6622593998908997	ἐπιφράζω ; 0.6845508813858032	περιβλέπω ; 0.6382026672363281	εἰσχέω ; 0.7265090942382812	θά ; 0.8329923152923584	ἠλί ; 0.7288201451301575	δημοκήδης ; 0.6859724521636963	ἐλωΐ ; 0.7288201451301575	αὐτός ; 0.6579211950302124	μυλοειδής ; 0.6956044435501099	καταδέχομαι ; 0.6693678498268127	Κρήσιος ; 0.6457313299179077	προσστέλλω ; 0.6652102470397949
0.028209429148230103	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ἁμάρτημα	0	1	20	2	226	41	312	41	714	2	1	2	12	5	10	5	112	317	94	27	171	ἐπίλυσις ; 0.6229307055473328	κραταιόω ; 0.778327465057373	ὃς ; 0.656997561454773	ἀσεβής ; 0.8734872937202454	πλουτίζω ; 0.6857660412788391	Πυλόθεν ; 0.699321985244751	μείρομαι ; 0.6936150789260864	ἀσέβεια ; 0.6555626392364502	ὀρθοδίκας ; 0.6441947817802429	εὐπραξία ; 0.704064130783081	ἀπρόοπτος ; 0.6717972755432129	ὑποδεξίη ; 0.6711969375610352	Κηδες ; 0.7475833296775818	ἐμπαγάομαι ; 0.6757243871688843	διώδυνος ; 0.6587698459625244	ὀνομάκλυτος ; 0.6826464533805847	Γυραί ; 0.6918938755989075	πλύνω ; 0.7148565053939819	κάρον ; 0.6937524080276489	ταυρόομαι ; 0.6559714674949646
0.0880412200654545	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	ἕξ	1	3	3	60	16	1	1	2	1	1	97	351	1376	445	316	91	48	830	289	147	465	ἄσθμα ; 0.6624701023101807	δονακεύς ; 0.6644755601882935	τριχάικες ; 0.6955466866493225	ἀνάστασις ; 0.7152962684631348	συστενάζω ; 0.926497757434845	ὀκταήμερος ; 0.6855708360671997	ἀτέραμνος ; 0.6852346658706665	κόπτω ; 0.7048546075820923	αἰάζω ; 0.6770842671394348	ἄτη ; 0.7755764722824097	Θεκω ; 0.6707041263580322	ἐπιχράομαι ; 0.7269886136054993	εὔρωστος ; 0.6862882375717163	Οἴη ; 0.6562196612358093	Ιεδεϊου ; 0.6634196043014526	δακρυτός ; 0.6852163076400757	καθεξῆς ; 0.6898999214172363	προερέω ; 0.6657875776290894	δεύτερος ; 0.7056081891059875	ἐατέος ; 0.6576663255691528
0.08146459204557133	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	μαράνα	0	1	191	1	2	9318	3	2	2	2	5315	136	4	2	2	1	1	2	13	3	3	προσστέλλω ; 0.6652102470397949	καταδέχομαι ; 0.6693678498268127	θά ; 0.8329923152923584	ἠλί ; 0.7288201451301575	αὐτός ; 0.6579211950302124	δημοκήδης ; 0.6859724521636963	ἐλωΐ ; 0.7288201451301575	εἰσχέω ; 0.7265090942382812	Κρήσιος ; 0.6457313299179077	μυλοειδής ; 0.6956044435501099	περισπάω ; 0.7107164263725281	οὗπερ ; 0.6681132316589355	Σαμοθρᾴκη ; 0.7444362640380859	Μάλεια ; 0.6433386206626892	ἐκπλέω ; 0.6340748071670532	Ἀπάμεια ; 0.6875845789909363	καταπλέω ; 0.7498602867126465	ἐκπλέω ; 0.6930351257324219	καταίρω ; 0.7261462807655334	ἐκπλέω ; 0.6959283947944641
0.0326244422990839	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ξένος	1	4	54	33	9	52	1	138	6	137	47	21	2	4	20	8	137	34	36	44	11	Σωκράτης ; 0.6597594022750854	ἀνιτλογέω ; 0.647881269454956	ἐπίδοξος ; 0.658380389213562	ζῷον ; 0.7723888158798218	ἐμαυτοῦ ; 0.6963639259338379	μηχανορραφέω ; 0.6869261264801025	ἀεί ; 0.664456307888031	ἀμορίτη ; 0.6360220313072205	ὑπερβάλλω ; 0.747629702091217	εἰκών ; 0.6748092174530029	ἀντίτυπος ; 0.6637657880783081	ἀδιάστροφος ; 0.7402043342590332	ῥύδη ; 0.6384379863739014	ἐκμαρτυρέω ; 0.6978788375854492	χνοάζω ; 0.6915996670722961	μαρυκάομαι ; 0.7069714069366455	Φωκεύς ; 0.7409090995788574	ἀτυχέω ; 0.6854493618011475	ἐρωτάω ; 0.7235698699951172	ἐξευμενίζομαι ; 0.6512969136238098
0.062618278401674	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	πατήρ	0	1	14	2	421	2	1	37	12	13	1861	5	28	7	14	61	6	18	1	4	113	ἐπισπορία ; 0.6956732273101807	ἐλευθερόω ; 0.6789505481719971	ἀριστεία ; 0.7315007448196411	καθομολογέω ; 0.6690295338630676	ἀντίχριστος ; 0.6725939512252808	ἐννέμω ; 0.6933244466781616	Ἰαπετός ; 0.6784241199493408	ἁγνός ; 0.6948646306991577	ἀρετή ; 0.754423975944519	διαλανθάνω ; 0.6761279702186584	σύνορος ; 0.7039090394973755	Σαμαρῖτις ; 0.7213636040687561	χαλκεύω ; 0.609856128692627	ἐρημόω ; 0.666183590888977	ἐλαιών ; 0.7781438827514648	ἀπόλεμος ; 0.7154712677001953	ἀναμάσσω ; 0.6500042676925659	ἀμισθί ; 0.6480656862258911	ἀντιτείνω ; 0.6468675136566162	σής ; 0.6889246702194214
0.29127935696121227	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	διαχειρίζομαι	1	1	3	3	13	2	2	136	2	1	4	171	112	5	27	317	5	2	12	94	10	ἐκπλέω ; 0.6340748071670532	καταίρω ; 0.7261462807655334	ἐκπλέω ; 0.6959283947944641	ἐκπλέω ; 0.6930351257324219	Σαμοθρᾴκη ; 0.7444362640380859	Μάλεια ; 0.6433386206626892	περισπάω ; 0.7107164263725281	καταπλέω ; 0.7498602867126465	Ἀπάμεια ; 0.6875845789909363	οὗπερ ; 0.6681132316589355	ταυρόομαι ; 0.6559714674949646	ὀνομάκλυτος ; 0.6826464533805847	διώδυνος ; 0.6587698459625244	κάρον ; 0.6937524080276489	Γυραί ; 0.6918938755989075	Κηδες ; 0.7475833296775818	ἀπρόοπτος ; 0.6717972755432129	ὑποδεξίη ; 0.6711969375610352	πλύνω ; 0.7148565053939819	ἐμπαγάομαι ; 0.6757243871688843
-0.01646411521624669	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	ἐγκομβόομαι	1	66	2	13	13	7	17	62	133	61	507	4	5	1	4	1	94	147	3	2	2	θυήεις ; 0.692428469657898	διτάλαντος ; 0.6448647379875183	συναρπάζω ; 0.6782746315002441	ἁπαλός ; 0.6860026121139526	βύρσα ; 0.6895490884780884	καταφράσσω ; 0.6874423623085022	μέθη ; 0.6807928085327148	Ἔρις ; 0.6545188426971436	θρῆνος ; 0.722058892250061	Μοίριχος ; 0.7032040357589722	σάραπις ; 0.6495912075042725	ἐνδύω ; 0.6646654605865479	χαριτόω ; 0.6801557540893555	ὤον ; 0.6901454925537109	ἐμπλοκή ; 0.7268750071525574	ἐξαστράπτω ; 0.7225027084350586	περιβάλλω ; 0.6770492196083069	πτωχός ; 0.6646081209182739	καθηγητής ; 0.6347389221191406	δίζημαι ; 0.7024769186973572
0.07597825821034421	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	συμβάλλω	0	43	23	160	4	117	39	28	12	1	15	2	699	2	2	11	3	6	73	4	48	σαφήνεια ; 0.6457792520523071	χειροπέδη ; 0.6487107872962952	εὐκέραος ; 0.7470831871032715	περασμός ; 0.6092373132705688	προσανατρέπω ; 0.7086218595504761	σιωπάω ; 0.6347209215164185	συγκρίνω ; 0.686174750328064	γνῶσις ; 0.6787370443344116	προσεύχομαι ; 0.7190231084823608	ἐγχειρέω ; 0.678296685218811	νεόπλυτος ; 0.6861885190010071	ἐπηγορία ; 0.7413880825042725	ὀλιγωρητέος ; 0.7486760020256042	σύ ; 0.672888994216919	ἀφρήτωρ ; 0.6666630506515503	ἐπιμαρτυρέω ; 0.7070463299751282	δένδρον ; 0.7419579029083252	νυστάζω ; 0.6437506675720215	δωδεκάφυλον ; 0.7047196626663208	πάθημα ; 0.7152963280677795
0.05658441901911815	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	χρηματισμός	1	3	1	2	2	191	1	2	2	9318	5315	2	20	44	8	137	4	21	36	11	34	δημοκήδης ; 0.6859724521636963	θά ; 0.8329923152923584	Κρήσιος ; 0.6457313299179077	ἠλί ; 0.7288201451301575	καταδέχομαι ; 0.6693678498268127	προσστέλλω ; 0.6652102470397949	εἰσχέω ; 0.7265090942382812	ἐλωΐ ; 0.7288201451301575	αὐτός ; 0.6579211950302124	μυλοειδής ; 0.6956044435501099	ἀδιάστροφος ; 0.7402043342590332	ἐκμαρτυρέω ; 0.6978788375854492	ἐρωτάω ; 0.7235698699951172	χνοάζω ; 0.6915996670722961	μαρυκάομαι ; 0.7069714069366455	ῥύδη ; 0.6384379863739014	ἀντίτυπος ; 0.6637657880783081	ἀτυχέω ; 0.6854493618011475	ἐξευμενίζομαι ; 0.6512969136238098	Φωκεύς ; 0.7409090995788574
