Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.16296333118064077	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	κυριακός	1	1	2166	83	6	353	8	46	1	455	17	2	1	2	3	2	9279	5249	191	2	1	ὁμότεχνος ; 0.9088594913482666	Ἰερουσαλήμ ; 0.6228562593460083	ἔρημός ; 0.5546876192092896	ἀπαύγασμα ; 0.5027053356170654	Αρημα ; 0.5684158802032471	φροντιστέον ; 0.5643594264984131	Λαβως ; 0.7025959491729736	ἕλος ; 0.6344881057739258	Καινα ; 0.5883297920227051	παστός ; 0.5480584502220154	δίπηχυς ; 0.5395948886871338	θά ; 0.9967635869979858	λεμά ; 0.8752708435058594	ἀλάλητος ; 0.575630247592926	λεμά ; 0.9118508100509644	σύ ; 0.8243018984794617	κύριος ; 0.8199970722198486	ὅδε ; 0.7082191705703735	ὥς ; 0.4893817901611328	ἀμελέω ; 0.6414608955383301
0.09873225993689771	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	κοπή	1	1	20	2	225	41	308	41	711	2	1	2	11	5	10	5	110	309	94	26	169	κατάστημα ; 0.5835569500923157	ἄγνοια ; 0.4945773482322693	ἀδημονέω ; 0.5389499664306641	ἀσεβής ; 0.7376954555511475	ψυχή ; 0.6044944524765015	ἁμαρτία ; 0.7075307965278625	ἀδικία ; 0.536731481552124	ἀνομία ; 0.7149894833564758	μεγαλοδόξως ; 0.5363956689834595	ὦ ; 0.5841175317764282	ἀκάνθινος ; 0.5701884627342224	προκαλέω ; 0.5684468746185303	Ωβωθ ; 0.5974482297897339	ἐπιβάλλω ; 0.5410636067390442	γόος ; 0.5862520933151245	ἀποκτείνω ; 0.6190292239189148	πληγίζω ; 0.6232196092605591	προσάγω ; 0.6404643058776855	ἑλεόπολις ; 0.5332077741622925	ἀποθνῄσκω ; 0.6661145091056824
0.16791965450186713	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	συνωδίνω	0	3	3	59	16	1	1	2	1	1	96	350	1366	444	316	91	48	814	287	143	462	πρεσβεύω ; 0.4879153072834015	ἀγορανομία ; 0.5709353685379028	ἀπιστέω ; 0.5530270934104919	εὐσέβεια ; 0.5585823059082031	συστενάζω ; 0.9904810190200806	πρόσκαιρος ; 0.5674549341201782	τύπος ; 0.591570258140564	διάλεκτος ; 0.554547905921936	ἐγκρούω ; 0.5556865930557251	κόπος ; 0.5436190962791443	δύο ; 0.7366893291473389	δύο ; 0.6289660930633545	δύο ; 0.6772292852401733	ἑκατόν ; 0.6843695640563965	πέντε ; 0.6262415647506714	ἐρυσίβη ; 0.5261147022247314	δέκα ; 0.7366893291473389	τρεῖς ; 0.6717748641967773	δύο ; 0.6588031649589539	ἕξ ; 0.6402198076248169
0.09420455613335738	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	κύριος	0	1	191	1	2	9279	3	2	2	2	5249	136	4	2	2	1	1	2	13	3	3	ἀμελέω ; 0.6414608955383301	ὅδε ; 0.7082191705703735	θά ; 0.9967635869979858	λεμά ; 0.8752708435058594	σύ ; 0.8243018984794617	ἀλάλητος ; 0.575630247592926	λεμά ; 0.9118508100509644	δίπηχυς ; 0.5395948886871338	ὥς ; 0.4893817901611328	κύριος ; 0.8199970722198486	ἐξάγω ; 0.7541848421096802	Σελεύκεια ; 0.6251240968704224	Κώς ; 0.8788365125656128	Καλός ; 0.7027471661567688	προσεάω ; 0.9171208739280701	χρονοτριβέω ; 0.7864586114883423	Σαλμώνη ; 0.8118129968643188	Ἀδραμυττηνός ; 0.6176644563674927	ἀποτάσσομαι ; 0.5981111526489258	ἐπισφαλής ; 0.6983585953712463
0.04204628306706942	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ὁμοιότης	0	4	53	33	9	52	1	136	6	137	47	21	2	4	20	8	135	34	34	44	11	ἄσοφος ; 0.5472209453582764	συζητητής ; 0.5089579820632935	ἔσχατος ; 0.49925631284713745	Ρως ; 0.5260031223297119	μηδείς ; 0.5798132419586182	ἀγενεαλόγητος ; 0.715557873249054	ὅστις ; 0.5413857698440552	κάρπιμος ; 0.7230041027069092	κύκνος ; 0.5307039022445679	περικοσμέω ; 0.5414524674415588	ἀμεταμέλητος ; 0.5431075692176819	οἰκουργός ; 0.6068962812423706	Ιεσσιας ; 0.5227925777435303	καταβιόω ; 0.5232843160629272	ἀμαυρός ; 0.6936436295509338	ἀναμιμνῄσκω ; 0.5687179565429688	ἀπολογία ; 0.5333478450775146	ἀντιπολεμέω ; 0.5633642673492432	γνωρίζω ; 0.6915880441665649	ἐπιμέλω ; 0.6023730039596558
0.016443206460954318	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	ἐπισπείρω	1	1	14	2	419	2	1	35	12	13	1859	5	28	7	14	61	6	18	1	4	113	ἀμήτωρ ; 0.9956458210945129	αβακ ; 0.6358168721199036	Γελγελ ; 0.6078777313232422	ἀδελφή ; 0.6264479756355286	Λωΐς ; 0.7726502418518066	ἀπάτωρ ; 0.9956458806991577	σπάδων ; 0.5729775428771973	ἔθος ; 0.5222041010856628	εὔνοια ; 0.5542025566101074	σήμερον ; 0.6194846034049988	ψώχω ; 0.5791282653808594	καταστηρίζω ; 0.563383936882019	μετασχηματίζω ; 0.5310179591178894	φάτνωμα ; 0.5762483477592468	ἄμπελος ; 0.5636411905288696	ἄμητος ; 0.52332603931427	καταπετάζω ; 0.5986908674240112	ἐξεμέω ; 0.5069868564605713	Μωφαθ ; 0.5184619426727295	μελάνθιον ; 0.5458821654319763
0.06440039913356571	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	κοπή	1	1	3	3	13	2	2	136	2	1	4	169	110	5	26	309	5	2	11	94	10	προσεάω ; 0.9171208739280701	ἀποτάσσομαι ; 0.5981111526489258	ἐπισφαλής ; 0.6983585953712463	Ἀδραμυττηνός ; 0.6176644563674927	Κώς ; 0.8788365125656128	Καλός ; 0.7027471661567688	ἐξάγω ; 0.7541848421096802	Σαλμώνη ; 0.8118129968643188	χρονοτριβέω ; 0.7864586114883423	Σελεύκεια ; 0.6251240968704224	ἀποθνῄσκω ; 0.6661145091056824	ἀποκτείνω ; 0.6190292239189148	γόος ; 0.5862520933151245	ἑλεόπολις ; 0.5332077741622925	πληγίζω ; 0.6232196092605591	Ωβωθ ; 0.5974482297897339	ἀκάνθινος ; 0.5701884627342224	προκαλέω ; 0.5684468746185303	προσάγω ; 0.6404643058776855	ἐπιβάλλω ; 0.5410636067390442
0.04604253113658702	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	κέρας	0	64	2	11	13	7	17	62	133	61	496	4	5	1	4	1	93	146	3	2	2	βύρσα ; 0.585234522819519	τρίβολος ; 0.5922190546989441	κόνις ; 0.5510907173156738	χερεθθι ; 0.5749425292015076	Γολγοθᾶ ; 0.6394907236099243	ὁμοίωμα ; 0.5384772419929504	ἀπαναισχυντέω ; 0.5961270928382874	ἀστήρ ; 0.5543404221534729	ἀποστρεβλόω ; 0.5770083069801331	ὦμος ; 0.5651441216468811	ἐποπτεύω ; 0.5739985704421997	πλόκιον ; 0.5332604646682739	ταπεινοφροσύνη ; 0.6100046038627625	σπάργανον ; 0.6360355615615845	ἐμπλοκή ; 0.9620829224586487	ἐνδύω ; 0.5808194279670715	περιβάλλω ; 0.5808194875717163	κατασπείρω ; 0.5408031344413757	πιστικός ; 0.5843009948730469	εφφαθα ; 0.5810550451278687
0.08526830034913918	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἐξεγείρω	1	43	23	160	4	117	39	28	12	1	15	2	694	2	2	11	3	6	73	4	48	συνυφή ; 0.5780161619186401	λανθάνω ; 0.5677351951599121	ἀπομέμπτω ; 0.5843356847763062	ἐξέτασις ; 0.5533850193023682	ἀγνωσία ; 0.639041543006897	ἀσθενέω ; 0.5174538493156433	παγιδεύω ; 0.64930260181427	ἔλεγχος ; 0.5272257328033447	ἐπισυντρέχω ; 0.5766481757164001	προκαταρτίζω ; 0.5360816121101379	ἀποδειροτομέω ; 0.5844326019287109	περιποίησις ; 0.5646559000015259	κάτοχος ; 0.5252012014389038	μισθαποδότης ; 0.5388585329055786	συζάω ; 0.5474269390106201	ὀλιγωρέω ; 0.5085638761520386	φυτόν ; 0.5335686206817627	θραύω ; 0.5663322806358337	πρόλοβος ; 0.537939727306366	Σμύρνα ; 0.54245924949646
-0.02174196652766569	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	κυριακός	0	3	1	2	2	191	1	2	2	9279	5249	2	20	44	8	135	4	21	34	11	34	ἀλάλητος ; 0.575630247592926	θά ; 0.9967635869979858	ὥς ; 0.4893817901611328	λεμά ; 0.8752708435058594	ὅδε ; 0.7082191705703735	ἀμελέω ; 0.6414608955383301	δίπηχυς ; 0.5395948886871338	λεμά ; 0.9118508100509644	σύ ; 0.8243018984794617	κύριος ; 0.8199970722198486	οἰκουργός ; 0.6068962812423706	καταβιόω ; 0.5232843160629272	γνωρίζω ; 0.6915880441665649	ἀμαυρός ; 0.6936436295509338	ἀναμιμνῄσκω ; 0.5687179565429688	Ιεσσιας ; 0.5227925777435303	ἀμεταμέλητος ; 0.5431075692176819	ἀντιπολεμέω ; 0.5633642673492432	ἐπιμέλω ; 0.6023730039596558	ἀπολογία ; 0.5333478450775146
