Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.19786735978658476	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	ἄθεος	1	1	2166	83	6	353	8	46	1	455	17	2	1	2	3	2	9279	5249	191	2	1	ὁμότεχνος ; 0.6113592386245728	πόλις ; 0.42605429887771606	ἔρημος ; 0.2885066270828247	μεριτεύω ; 0.39445823431015015	πόλις ; 0.33118537068367004	καίτοιγε ; 0.33359482884407043	Αιθαλιμ ; 0.4082789719104767	καυστηριάζω ; 0.5214251279830933	ιζN ; 0.33496934175491333	κατοικητήριον ; 0.2886837124824524	πεντηκοστή ; 0.4170243442058563	θά ; 0.9528825879096985	λεμά ; 0.6974093914031982	κωφ ; 0.5356656312942505	λεμά ; 0.8165566921234131	σύ ; 0.7887343168258667	κύριος ; 0.7799093723297119	ὅδε ; 0.34852057695388794	κατάπαυσις ; 0.31766968965530396	γενεαλογέομαι ; 0.46636438369750977
0.07080628851229645	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	κοπή	1	1	20	2	225	41	308	41	711	2	1	2	11	5	10	5	110	309	94	26	169	περιψύχω ; 0.41893380880355835	ὀρχέομαι ; 0.2601780295372009	στραγγαλάομαι ; 0.38969671726226807	ἀσεβής ; 0.38761335611343384	ἁμαρτία ; 0.32917851209640503	ἁμαρτία ; 0.3710043430328369	κατασφραγίζω ; 0.288775235414505	ἀνομία ; 0.3991200029850006	κώλυμα ; 0.3692317008972168	κακοτεχνάομαι ; 0.4743639826774597	Ἰερουσολημ ; 0.4061344563961029	προτρέχω ; 0.3758290410041809	Σεδδουκ ; 0.4262342154979706	Αθαριν ; 0.3529667258262634	ἄνηβος ; 0.465614914894104	πικραίνω ; 0.2865961790084839	θανατόω ; 0.38921982049942017	προσάγω ; 0.33019956946372986	ἀβατόω ; 0.3450145423412323	ἀποθνῄσκω ; 0.39855048060417175
0.03205551052789124	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	πάσχω	0	3	3	59	16	1	1	2	1	1	96	350	1366	444	316	91	48	814	287	143	462	συνδοξάζομαι ; 0.5696029663085938	περιφανῶς ; 0.35606807470321655	πρεσβεύω ; 0.3125559389591217	ἀνταναπληρόω ; 0.4047897458076477	συστενάζω ; 0.9655311703681946	σαββατισμός ; 0.5749069452285767	ὀφθαλμοδουλία ; 0.5024236440658569	ἀγανάκτησις ; 0.442080020904541	διαφλέγω ; 0.4999085068702698	κόπος ; 0.2710649073123932	εἴκοσι ; 0.4738728702068329	δύο ; 0.4455879032611847	ἕξ ; 0.3976421058177948	ἑκατόν ; 0.39143431186676025	ἕξ ; 0.3923870027065277	Εζεκίας ; 0.3491732180118561	εἷς ; 0.4455879032611847	τρεῖς ; 0.3325927257537842	τρεῖς ; 0.3976421058177948	δώδεκα ; 0.3870301842689514
0.03509998046707158	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	κύριος	0	1	191	1	2	9279	3	2	2	2	5249	136	4	2	2	1	1	2	13	3	3	γενεαλογέομαι ; 0.46636438369750977	ὅδε ; 0.34852057695388794	θά ; 0.9528825879096985	λεμά ; 0.6974093914031982	σύ ; 0.7887343168258667	κωφ ; 0.5356656312942505	λεμά ; 0.8165566921234131	πεντηκοστή ; 0.4170243442058563	κατάπαυσις ; 0.31766968965530396	κύριος ; 0.7799093723297119	ἐξάγω ; 0.4364844560623169	Πάταρα ; 0.5993056297302246	Κώς ; 0.7766736745834351	ἆσσον ; 0.5622745752334595	ἀμνησία ; 0.5898244380950928	ἀποβιάζομαι ; 0.6154866218566895	Σαλμώνη ; 0.6316279768943787	διαπλέω ; 0.41473183035850525	Πτολεμαΐς ; 0.46697890758514404	ἐπισφαλής ; 0.6637965440750122
0.01080846678638192	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ὁμοιότης	0	4	53	33	9	52	1	136	6	137	47	21	2	4	20	8	135	34	34	44	11	ἀνεμίζομαι ; 0.4284614026546478	ὅμοιος ; 0.29515257477760315	παραβολή ; 0.27097150683403015	Ραφων ; 0.3988400995731354	φονεύς ; 0.3186471164226532	ὁμόφρων ; 0.40263038873672485	ἀλλά ; 0.33527469635009766	κάρπιμος ; 0.5414125919342041	ὁμοιόω ; 0.29515257477760315	εὔθραστος ; 0.30432212352752686	ματαιόομαι ; 0.31999310851097107	προσαρτίως ; 0.3540384769439697	ἐμφανισμός ; 0.32823097705841064	καταπίπτω ; 0.28450414538383484	τηλαύγημα ; 0.6513863801956177	ἐμφραγμός ; 0.24653244018554688	ἀπαίδευτος ; 0.30113646388053894	προστάτις ; 0.3524200916290283	ὅραμα ; 0.310545414686203	βραδυπλοέω ; 0.31736689805984497
-0.031009093393085274	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	ἐπισπείρω	1	1	14	2	419	2	1	35	12	13	1859	5	28	7	14	61	6	18	1	4	113	ἀμήτωρ ; 0.9201481938362122	αβακ ; 0.47815001010894775	ὠνέομαι ; 0.3945060968399048	γυνή ; 0.33333683013916016	Λωΐς ; 0.6544297933578491	ἀγενεαλόγητος ; 0.9619802236557007	ἔθος ; 0.29587680101394653	ἐξόμνυμι ; 0.31280943751335144	θρασύνω ; 0.32904499769210815	σύ ; 0.48997077345848083	εὐνουχίζω ; 0.3524125814437866	ὑποκρίνομαι ; 0.30972203612327576	ἀγριέλαιος ; 0.4602527618408203	πυρράζω ; 0.33531248569488525	ἄμητος ; 0.3302692174911499	στάχυς ; 0.41393178701400757	καταδαμάω ; 0.34221139550209045	οἰκιακός ; 0.6247490048408508	δεβραθα ; 0.3948904871940613	πετρῶδες ; 0.31932583451271057
-0.05767852494570719	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	θανατόω	1	1	3	3	13	2	2	136	2	1	4	169	110	5	26	309	5	2	11	94	10	ἀμνησία ; 0.5898244380950928	Πτολεμαΐς ; 0.46697890758514404	ἐπισφαλής ; 0.6637965440750122	διαπλέω ; 0.41473183035850525	Κώς ; 0.7766736745834351	ἆσσον ; 0.5622745752334595	ἐξάγω ; 0.4364844560623169	Σαλμώνη ; 0.6316279768943787	ἀποβιάζομαι ; 0.6154866218566895	Πάταρα ; 0.5993056297302246	ἀποθνῄσκω ; 0.39855048060417175	πικραίνω ; 0.2865961790084839	ἄνηβος ; 0.465614914894104	ἀβατόω ; 0.3450145423412323	θανατόω ; 0.38921982049942017	Σεδδουκ ; 0.4262342154979706	Ἰερουσολημ ; 0.4061344563961029	προτρέχω ; 0.3758290410041809	προσάγω ; 0.33019956946372986	Αθαριν ; 0.3529667258262634
0.06077307475692989	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	κέρας	0	64	2	11	13	7	17	62	133	61	496	4	5	1	4	1	93	146	3	2	2	περιονυχίζω ; 0.33736419677734375	τροχιαῖος ; 0.4226195514202118	διατίλλω ; 0.4120539426803589	ἐγκρίς ; 0.41957974433898926	Καλός ; 0.4955872893333435	ἀρχιδεσμοφύλαξ ; 0.33646702766418457	ἀνάθημα ; 0.2923130393028259	ὑπερφέρω ; 0.4314851760864258	πολύδακρυς ; 0.3386807143688202	ὦμος ; 0.2907513380050659	παρεισδύω ; 0.3597036600112915	μαλακός ; 0.4489276111125946	ταπεινοφροσύνη ; 0.4702027142047882	Σαλεμ ; 0.4539201855659485	ἐμπλοκή ; 0.8517259359359741	κατάκλιτον ; 0.37802284955978394	στολή ; 0.3068103790283203	περικνημίς ; 0.398115873336792	ἠρεμάζω ; 0.5263431668281555	ἄδολος ; 0.364618182182312
0.04948458104509626	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἔννοια	0	43	23	160	4	117	39	28	12	1	15	2	694	2	2	11	3	6	73	4	48	ἀναιδῶς ; 0.34627765417099	ἀνθίστημι ; 0.2977233827114105	παμποίκιλος ; 0.27753251791000366	διαμαχίζομαι ; 0.3813513219356537	ἀκροατής ; 0.3268502354621887	ἀναστροφή ; 0.2661117613315582	συλλογίζομαι ; 0.34466516971588135	εὔοδος ; 0.324912965297699	ἀμφιλαφής ; 0.5414160490036011	διάδοχος ; 0.3449970781803131	λευκαθίζω ; 0.3776620030403137	ἐγώ ; 0.31548529863357544	ἐπίσπαστρον ; 0.4555691182613373	ἐξιχνίαζω ; 0.3434673249721527	ἰσάγγελος ; 0.2909979820251465	ἀποκαθαρίζω ; 0.37575721740722656	Γεβαλ ; 0.3279947340488434	ἥκω ; 0.25598669052124023	ἀριστέω ; 0.350206196308136	ἐπικουρία ; 0.29442521929740906
-0.13679573728406175	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	χρηματισμός	1	3	1	2	2	191	1	2	2	9279	5249	2	20	44	8	135	4	21	34	11	34	κωφ ; 0.5356656312942505	θά ; 0.9528825879096985	κατάπαυσις ; 0.31766968965530396	λεμά ; 0.6974093914031982	ὅδε ; 0.34852057695388794	γενεαλογέομαι ; 0.46636438369750977	πεντηκοστή ; 0.4170243442058563	λεμά ; 0.8165566921234131	σύ ; 0.7887343168258667	κύριος ; 0.7799093723297119	προσαρτίως ; 0.3540384769439697	καταπίπτω ; 0.28450414538383484	ὅραμα ; 0.310545414686203	τηλαύγημα ; 0.6513863801956177	ἐμφραγμός ; 0.24653244018554688	ἐμφανισμός ; 0.32823097705841064	ματαιόομαι ; 0.31999310851097107	προστάτις ; 0.3524200916290283	βραδυπλοέω ; 0.31736689805984497	ἀπαίδευτος ; 0.30113646388053894
