Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.1619691813544668	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	βασίλειος	0	1	2166	83	6	353	8	46	1	455	17	2	1	2	3	2	9279	5249	191	2	1	ὁμότεχνος ; 0.7179879546165466	Ἰερουσαλήμ ; 0.607589066028595	οἶκος ; 0.5660682320594788	αἴρω ; 0.566807746887207	ἀγρός ; 0.5933076739311218	εἴωθα ; 0.5673624277114868	ἐγκαταλείμμα ; 0.6572033166885376	ἀποδημέω ; 0.5562034249305725	ψαλτῳδός ; 0.5804691314697266	παστός ; 0.5064383745193481	γρηγορέω ; 0.5617049932479858	θά ; 0.9630632996559143	λεμά ; 0.6960111856460571	πρωτοπήμων ; 0.5493828058242798	λεμά ; 0.7679406404495239	θεός ; 0.7276462316513062	κύριος ; 0.7276462316513062	ὅδε ; 0.6122891306877136	Γανυμήδης ; 0.5700411200523376	ἀνθονομέω ; 0.5385318398475647
0.08210720907616348	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ἄπταιστος	0	1	20	2	225	41	308	41	711	2	1	2	11	5	10	5	110	309	94	26	169	τᾶν ; 0.5480013489723206	Ενακιμ ; 0.5628875494003296	τρυγητής ; 0.5717944502830505	ἀσεβής ; 0.7446766495704651	ἁμαρτία ; 0.6216250658035278	ἁμαρτία ; 0.6860455274581909	ἔτασις ; 0.5807216167449951	ἁμαρτάνω ; 0.6860455274581909	ὑπέροπλος ; 0.5111597180366516	τετρααρχέω ; 0.5516378879547119	πάναιθος ; 0.5932395458221436	ἀδελφοπρεπῶς ; 0.5453073382377625	δειλόομαι ; 0.5529788732528687	συμπολιορκέω ; 0.5191676616668701	Βαβυλών ; 0.5516766905784607	ἀποκτείνω ; 0.6487054228782654	ἀναιρέω ; 0.6487053632736206	προσάγω ; 0.6011337041854858	δορκάδιον ; 0.5818116664886475	ἀποθνῄσκω ; 0.6196550130844116
0.19398732689313464	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	πάσχω	0	3	3	59	16	1	1	2	1	1	96	350	1366	444	316	91	48	814	287	143	462	ἀντίγραφος ; 0.5892000198364258	θεοδίδακτος ; 0.5586493611335754	ἀνάκειμαι ; 0.5536966323852539	ἀφθαρσία ; 0.5650002956390381	συστενάζω ; 0.9546061158180237	συνάλλαγμα ; 0.5640751123428345	Κόμμοδος ; 0.6486595869064331	διομήδης ; 0.5174657702445984	δώρημα ; 0.5761058330535889	ἡδύποτος ; 0.5774707794189453	πέντε ; 0.7617024779319763	δέκα ; 0.6530130505561829	δύο ; 0.7024420499801636	δέκα ; 0.7617024779319763	ἑξήκοντα ; 0.6768555045127869	ὀκτώ ; 0.5456758737564087	ἑπτά ; 0.7416449785232544	ἕξ ; 0.714364767074585	δύο ; 0.7273707389831543	δύο ; 0.7416449785232544
0.019970048359552017	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	κύριος	0	1	191	1	2	9279	3	2	2	2	5249	136	4	2	2	1	1	2	13	3	3	ἀνθονομέω ; 0.5385318398475647	ὅδε ; 0.6122891306877136	θά ; 0.9630632996559143	λεμά ; 0.6960111856460571	θεός ; 0.7276462316513062	πρωτοπήμων ; 0.5493828058242798	λεμά ; 0.7679406404495239	γρηγορέω ; 0.5617049932479858	Γανυμήδης ; 0.5700411200523376	κύριος ; 0.7276462316513062	ἐξάγω ; 0.7454870939254761	καταπλέω ; 0.5854102969169617	Σαμοθρᾴκη ; 0.5993902683258057	τυφωνικός ; 0.6407612562179565	προσεάω ; 0.772769570350647	Καισάρεια ; 0.5578839778900146	Γέσκων ; 0.5611047744750977	Πυθώ ; 0.5438383221626282	κεφφουρῆς ; 0.5513700246810913	βραχυτελής ; 0.6019337177276611
0.044543575826893445	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	χρηματισμός	1	4	53	33	9	52	1	136	6	137	47	21	2	4	20	8	135	34	34	44	11	εἰλικρίνεια ; 0.6412950754165649	γένεσις ; 0.5161674618721008	Πηγαί ; 0.5524189472198486	ὅμοιος ; 0.5429133176803589	ἀναπείρω ; 0.5341008305549622	περιδεής ; 0.56443190574646	οὐδείς ; 0.5493602752685547	ἄφεδρος ; 0.6076727509498596	ὁμοίωσις ; 0.5429131984710693	κέω ; 0.5274670124053955	εὐκαιρία ; 0.5397267937660217	σωφρονέω ; 0.6057157516479492	ἑπτακισμύριοι ; 0.5529836416244507	κατερείπω ; 0.5350068807601929	μικρῶς ; 0.6005235910415649	κρύπτω ; 0.5608739852905273	παρά-σχάω ; 0.572546660900116	ἐπίφθονος ; 0.588799238204956	γνωρίζω ; 0.5669304728507996	στέφανος ; 0.5720506906509399
0.05112438826978094	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	ἐγκεντρίζω	1	1	14	2	419	2	1	35	12	13	1859	5	28	7	14	61	6	18	1	4	113	κούρητες ; 0.5740036368370056	εφραθ ; 0.5541499853134155	φρύαγμα ; 0.6020845770835876	παρακαθίστημι ; 0.5991792678833008	Λωΐς ; 0.6171903610229492	πλάτανος ; 0.5130792856216431	τεκνόω ; 0.5362648963928223	τήρησις ; 0.5429467558860779	ἀκτέριστος ; 0.5431180000305176	δοῦλος ; 0.5780954360961914	ἐπωνυμία ; 0.5265313386917114	φυράω ; 0.5556472539901733	πάθος ; 0.5679576396942139	εὖνις ; 0.5291532874107361	δοχμός ; 0.5188450217247009	ψώχω ; 0.6031157374382019	ἅλμα ; 0.5478007793426514	ἐκμυελίζω ; 0.6089125871658325	μετανοέω ; 0.5842610001564026	ἄχυρον ; 0.5394020080566406
0.12198651560426443	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	διαχειρίζομαι	1	1	3	3	13	2	2	136	2	1	4	169	110	5	26	309	5	2	11	94	10	προσεάω ; 0.772769570350647	κεφφουρῆς ; 0.5513700246810913	βραχυτελής ; 0.6019337177276611	Πυθώ ; 0.5438383221626282	Σαμοθρᾴκη ; 0.5993902683258057	τυφωνικός ; 0.6407612562179565	ἐξάγω ; 0.7454870939254761	Γέσκων ; 0.5611047744750977	Καισάρεια ; 0.5578839778900146	καταπλέω ; 0.5854102969169617	ἀποθνῄσκω ; 0.6196550130844116	ἀποκτείνω ; 0.6487054228782654	Βαβυλών ; 0.5516766905784607	δορκάδιον ; 0.5818116664886475	ἀναιρέω ; 0.6487053632736206	δειλόομαι ; 0.5529788732528687	πάναιθος ; 0.5932395458221436	ἀδελφοπρεπῶς ; 0.5453073382377625	προσάγω ; 0.6011337041854858	συμπολιορκέω ; 0.5191676616668701
0.031895022037751186	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	ἐγκομβόομαι	1	64	2	11	13	7	17	62	133	61	496	4	5	1	4	1	93	146	3	2	2	κέλευσμα ; 0.5894977450370789	λάχνη ; 0.5464642643928528	ἐπινυστάζω ; 0.5616941452026367	Μελέαγρος ; 0.563700795173645	Μαριάμ ; 0.5499266386032104	Ἀρταφρένης ; 0.5392087697982788	μεριτεύω ; 0.5275840759277344	σεραφιν ; 0.6004121899604797	Εὐάνθης ; 0.5932308435440063	ὀσφύς ; 0.60086590051651	κοσμέω ; 0.5810693502426147	ὀλιγοδρανέων ; 0.5408200025558472	πυκνότερον ; 0.5234819650650024	ῥόα ; 0.5770235061645508	ἐμπλοκή ; 0.9308621883392334	εἰσοικίζω ; 0.5488283634185791	συνίστημι ; 0.6119346618652344	μυκηθμός ; 0.546075165271759	ἄπωθεν ; 0.6100484132766724	Ἀσύερος ; 0.5668203830718994
0.05650159128935356	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἐξεγείρω	1	43	23	160	4	117	39	28	12	1	15	2	694	2	2	11	3	6	73	4	48	πταρμός ; 0.5439628958702087	ψεύδω ; 0.5460380911827087	ἐνάρετος ; 0.5673414468765259	περιγίγνομαι ; 0.6694620251655579	γέρων ; 0.5886626243591309	ἀγνωσία ; 0.5941361784934998	ὑπεκπροφεύγω ; 0.5626064538955688	πέλεια ; 0.5223932862281799	προσεύχομαι ; 0.5287582874298096	προφορά ; 0.5626124143600464	εὐχωλή ; 0.5612172484397888	̓Αραξης ; 0.5949681997299194	ἁμαρτία ; 0.579749584197998	ἀνωτερικός ; 0.5711750984191895	̓Επικράτης ; 0.6221091747283936	σέβομαι ; 0.5687258243560791	παλαμναῖος ; 0.5160503387451172	δυσαριστοτόκεια ; 0.5741217136383057	παλάθης ; 0.5564818978309631	μετάπεμπτος ; 0.5848127603530884
0.0221954687651571	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	χρηματισμός	1	3	1	2	2	191	1	2	2	9279	5249	2	20	44	8	135	4	21	34	11	34	πρωτοπήμων ; 0.5493828058242798	θά ; 0.9630632996559143	Γανυμήδης ; 0.5700411200523376	λεμά ; 0.6960111856460571	ὅδε ; 0.6122891306877136	ἀνθονομέω ; 0.5385318398475647	γρηγορέω ; 0.5617049932479858	λεμά ; 0.7679406404495239	θεός ; 0.7276462316513062	κύριος ; 0.7276462316513062	σωφρονέω ; 0.6057157516479492	κατερείπω ; 0.5350068807601929	γνωρίζω ; 0.5669304728507996	μικρῶς ; 0.6005235910415649	κρύπτω ; 0.5608739852905273	ἑπτακισμύριοι ; 0.5529836416244507	εὐκαιρία ; 0.5397267937660217	ἐπίφθονος ; 0.588799238204956	στέφανος ; 0.5720506906509399	παρά-σχάω ; 0.572546660900116
