Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
0.17223292456927058	σκηνοποιός	οἶκος	σκήνωμα	βασίλειος	οἰκία	πραιτώριον	ἔπαυλις	πανδοχεῖον	σκηνή	κατάλυμα	κυριακός	μαράνα	ἐλωΐ	αββα	ἠλί	κύριος	θεός	παντοκράτωρ	Σαβαώθ	ἄθεος	ἄθεος	1	1	2166	83	6	353	8	46	1	455	17	2	1	2	3	2	9279	5249	191	2	1	ὁμότεχνος ; 0.46095407009124756	πόλις ; 0.41262608766555786	πόλις ; 0.2816067337989807	Πάνδαρος ; 0.2968343496322632	πόλις ; 0.3536601662635803	Βαραββᾶς ; 0.33477240800857544	Βηθσαϊδά ; 0.3185962438583374	κυλισμός ; 0.4736641049385071	θυσιαστήριον ; 0.3460500240325928	Γαλατίη ; 0.27763891220092773	τροχάζω ; 0.342151939868927	θά ; 0.7864425778388977	ἠλί ; 0.5619946718215942	γυμνασιαρχέω ; 0.3397672474384308	λεμά ; 0.7321584224700928	σύ ; 0.7573480606079102	κύριος ; 0.741271436214447	ὅδε ; 0.34335553646087646	ἀτυχέω ; 0.32564112544059753	λιτανός ; 0.29436570405960083
0.04580646542210301	ῥᾳδιουργία	πταίω	προαμαρτάνω	ἁμαρτωλός	παράπτωμα	ἁμαρτάνω	ἁμάρτημα	ἁμαρτία	ἄπταιστος	ῥᾳδιούργημα	διαχειρίζομαι	κατασφάζω	κοπή	καταστρώννυμι	ἀναίρεσις	ἀναιρέω	ἀποκτείνω	σφάζω	σφαγή	θανατόω	ἄπταιστος	0	1	20	2	225	41	308	41	711	2	1	2	11	5	10	5	110	309	94	26	169	Ιερεμιν ; 0.3939897418022156	ἐπιλυπέω ; 0.2982703447341919	ἐλευθέρωσις ; 0.3578462302684784	ἀσεβής ; 0.36265993118286133	τετράφαλος ; 0.3059079051017761	ἁμαρτία ; 0.3728089928627014	δεύω ; 0.3056529760360718	ἁμαρτάνω ; 0.3728090226650238	χερνίπτομαι ; 0.3618380129337311	κακάγγελτος ; 0.4330708384513855	βομβέω ; 0.3125959634780884	ἀπολυτρόω ; 0.39868879318237305	Ελιανα ; 0.37287354469299316	Αθαριν ; 0.31614574790000916	σφῦρα ; 0.31099528074264526	ἀποκτείνω ; 0.33915603160858154	Τριοπικός ; 0.36440199613571167	προσάγω ; 0.31679803133010864	σχηματίζω ; 0.293756365776062	ἀποθνῄσκω ; 0.37658461928367615
0.03862974600699559	συμπάσχω	συμπαθέω	πάσχω	πάθημα	συνωδίνω	συγκακουχέομαι	συγκακοπαθέω	προπάσχω	παθητός	πόνος	δέκα	εἷς	τρεῖς	πέντε	ὀκτώ	ἐννέα	δύο	τέσσαρες	ἕξ	ἑπτά	πάθημα	0	3	3	59	16	1	1	2	1	1	96	350	1366	444	316	91	48	814	287	143	462	Χαλδαικός ; 0.33513402938842773	κρότος ; 0.320177286863327	Αχαμανι ; 0.28547996282577515	ἔνδειξις ; 0.3296114504337311	συστενάζω ; 0.8150840997695923	φιλόθεος ; 0.4625321924686432	αἰσχροκερδῶς ; 0.43143701553344727	ἐπίφαντος ; 0.3359026312828064	Αβισουε ; 0.4499359726905823	δύω ; 0.33369630575180054	εἴκοσι ; 0.5366600751876831	δύο ; 0.4212745428085327	δύο ; 0.4234694540500641	ὀκτώ ; 0.3684077262878418	ἕξ ; 0.37071147561073303	πέντε ; 0.33846569061279297	τρεῖς ; 0.4234694540500641	τρεῖς ; 0.3582392632961273	ὀκτώ ; 0.3707115054130554	δύο ; 0.36209017038345337
-0.036552189157289194	ἄθεος	παντοκράτωρ	μαράνα	ἐλωΐ	κύριος	αββα	ἠλί	κυριακός	Σαβαώθ	θεός	ἀνάγω	ἀποπλέω	εὐθυδρομέω	παραλέγομαι	βραδυπλοέω	παραπλέω	ὑποπλέω	πλέω	ἐκπλέω	πλοῦς	ἄθεος	0	1	191	1	2	9279	3	2	2	2	5249	136	4	2	2	1	1	2	13	3	3	λιτανός ; 0.29436570405960083	ὅδε ; 0.34335553646087646	θά ; 0.7864425778388977	ἠλί ; 0.5619946718215942	σύ ; 0.7573480606079102	γυμνασιαρχέω ; 0.3397672474384308	λεμά ; 0.7321584224700928	τροχάζω ; 0.342151939868927	ἀτυχέω ; 0.32564112544059753	κύριος ; 0.741271436214447	ἐξάγω ; 0.3425973653793335	Καρία ; 0.3336295783519745	Σαμοθρᾴκη ; 0.6330990195274353	Σαλμώνη ; 0.41961345076560974	Κνίδος ; 0.45533934235572815	ἀποβιάζομαι ; 0.3309139013290405	προσεάω ; 0.45211440324783325	ἀναπλέω ; 0.38227009773254395	Σαρδώ ; 0.32057470083236694	βραδέως ; 0.3415603041648865
0.006076484179692476	ἔοικα	ὁμοιόω	οἷος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	ὁμοιότης	ὅμοιος	ὁμοίωμα	ἀποκάλυψις	φανέρωσις	χρηματισμός	χρηματίζω	αὐγάζω	ἀποκαλύπτω	ξένος	φανερός	δηλόω	ἐπίσημος	ὁμοίως	0	4	53	33	9	52	1	136	6	137	47	21	2	4	20	8	135	34	34	44	11	ἄσοφος ; 0.36796170473098755	ὅμοιος ; 0.3563337028026581	διαιρετός ; 0.27069106698036194	σημέα ; 0.3367726802825928	ἠνορέα ; 0.2903548777103424	ια᾽ ; 0.36154669523239136	φιλότεκνος ; 0.2965518832206726	ἀνδρολογεῖον ; 0.375451922416687	ὁμοιόω ; 0.35633373260498047	διαρτάω ; 0.30541911721229553	προβιβάζω ; 0.2869589328765869	Εσδραν ; 0.3442343473434448	ἐξεραυνάω ; 0.3166600465774536	διερμηνεύω ; 0.27197837829589844	τηλαύγημα ; 0.39970722794532776	λανθάνω ; 0.27657586336135864	ψιμυθιόω ; 0.28750142455101013	δύσκολος ; 0.284261018037796	κατακοιμιστής ; 0.27853649854660034	πηρά ; 0.333355188369751
0.008313901851690342	ἀπάτωρ	πατρικός	προπάτωρ	μήτηρ	μάμμη	ἀμήτωρ	γονεύς	πατρῷος	πρόγονος	πατήρ	σπόριμος	γεωργός	ἐγκεντρίζω	ἐκριζόω	φυτεύω	ἀμάω	ἀροτριάω	ἐπισπείρω	γεωργέω	σπείρω	ἐπισπείρω	1	1	14	2	419	2	1	35	12	13	1859	5	28	7	14	61	6	18	1	4	113	ἄοικος ; 0.5002837181091309	πατριά ; 0.35468629002571106	Ἀρητιάδης ; 0.30449992418289185	θαρσέω ; 0.3479234576225281	Λωΐς ; 0.5900806188583374	Ἔρωτες ; 0.37489208579063416	ὑπερένδοξος ; 0.26583144068717957	ἐξόμνυμι ; 0.3009812831878662	σύστασις ; 0.31025993824005127	σύ ; 0.4370032250881195	εὐρυμέτωπος ; 0.30067795515060425	Ἡράκλεια ; 0.27872079610824585	δήπουθεν ; 0.3436886668205261	κυκλοτερής ; 0.34530115127563477	ἁλμυρός ; 0.3129922151565552	ἐπανατρυγάω ; 0.2983303368091583	χαρίεις ; 0.3481685519218445	Ουλαι ; 0.36642986536026	ἐκριπτέω ; 0.35242760181427	τετράφαλος ; 0.32711857557296753
0.05462660484836687	βραδυπλοέω	ἐκπλέω	πλοῦς	πλέω	εὐθυδρομέω	παραλέγομαι	ἀνάγω	ὑποπλέω	παραπλέω	ἀποπλέω	θανατόω	ἀναιρέω	ἀναίρεσις	σφαγή	ἀποκτείνω	κοπή	διαχειρίζομαι	κατασφάζω	σφάζω	καταστρώννυμι	σφάζω	1	1	3	3	13	2	2	136	2	1	4	169	110	5	26	309	5	2	11	94	10	Κνίδος ; 0.45533934235572815	Σαρδώ ; 0.32057470083236694	βραδέως ; 0.3415603041648865	ἀναπλέω ; 0.38227009773254395	Σαμοθρᾴκη ; 0.6330990195274353	Σαλμώνη ; 0.41961345076560974	ἐξάγω ; 0.3425973653793335	προσεάω ; 0.45211440324783325	ἀποβιάζομαι ; 0.3309139013290405	Καρία ; 0.3336295783519745	ἀποθνῄσκω ; 0.37658461928367615	ἀποκτείνω ; 0.33915603160858154	σφῦρα ; 0.31099528074264526	σχηματίζω ; 0.293756365776062	Τριοπικός ; 0.36440199613571167	Ελιανα ; 0.37287354469299316	βομβέω ; 0.3125959634780884	ἀπολυτρόω ; 0.39868879318237305	προσάγω ; 0.31679803133010864	Αθαριν ; 0.31614574790000916
0.044851755109764385	θρίξ	τρίχινος	κόμη	ἔριον	κρανίον	μέτωπον	ὄψις	κέρας	μέλος	κεφαλή	ἐνδιδύσκω	ἀμφιέννυμι	ἐγκομβόομαι	σπαργανόω	περίθεσις	περιβάλλω	ἐνδύω	ἀμφιάζω	ἱματίζω	ἐπενδύομαι	ἐγκομβόομαι	1	64	2	11	13	7	17	62	133	61	496	4	5	1	4	1	93	146	3	2	2	ἀμαρύσσω ; 0.3019806444644928	μέσσατος ; 0.40607792139053345	κόμη ; 0.4721198081970215	δάσος ; 0.30007243156433105	ἀκταῖος ; 0.35172510147094727	ἐπισκοπός ; 0.2651500701904297	δερκιάομαι ; 0.30149224400520325	ὑπερφέρω ; 0.3594719171524048	ἴτυς ; 0.31249547004699707	ὦμος ; 0.2928048372268677	κατασχίζω ; 0.3528895378112793	δημηγορέω ; 0.3450338840484619	προσδιαλέγομαι ; 0.38953274488449097	τροπιά ; 0.32505202293395996	ἐμπλοκή ; 0.7249095439910889	προσωτέρω ; 0.3019692003726959	ἀφοίβαντος ; 0.3057575225830078	ἀπαδικέω ; 0.35492968559265137	Ἄντιφος ; 0.3345125615596771	δορίκτητος ; 0.30194759368896484
0.03517602575881695	κατανοέω	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	λογισμός	διαλογισμός	διαλογίζομαι	ἔννοια	διενθυμέομαι	συμβάλλω	συζωοποιέω	ζάω	ἐξανάστασις	ἀναζάω	ζῳοποιέω	ζῳογονέω	συνεγείρω	ἐξεγείρω	ἔγερσις	ἀνάστασις	ἐνθυμέομαι	0	43	23	160	4	117	39	28	12	1	15	2	694	2	2	11	3	6	73	4	48	δωρίς ; 0.2939886152744293	κρεμάω ; 0.27000561356544495	κολάζω ; 0.2808259129524231	αἴτιος ; 0.31608468294143677	δειλόψυχος ; 0.27796581387519836	ἀβουλία ; 0.29297739267349243	πλεονεξία ; 0.27829259634017944	ἐξιχνεύω ; 0.27894556522369385	Τελμεσσός ; 0.467356413602829	διαλαλέω ; 0.29012271761894226	δειπνέω ; 0.3659965395927429	εἰμί ; 0.28687459230422974	χάρυβδις ; 0.3383578062057495	βιαιότης ; 0.34673333168029785	τελέθω ; 0.28856992721557617	Ραιφαν ; 0.3299669921398163	πορρώτερον ; 0.30439719557762146	Χαρκαμυς ; 0.29252898693084717	ἀριστέω ; 0.3200891315937042	εὐαγγέλιον ; 0.2820582389831543
-0.0944163986634865	αββα	μαράνα	Σαβαώθ	ἐλωΐ	παντοκράτωρ	ἄθεος	κυριακός	ἠλί	κύριος	θεός	φανέρωσις	χρηματίζω	δηλόω	αὐγάζω	ἀποκαλύπτω	χρηματισμός	ἀποκάλυψις	φανερός	ἐπίσημος	ξένος	χρηματισμός	1	3	1	2	2	191	1	2	2	9279	5249	2	20	44	8	135	4	21	34	11	34	γυμνασιαρχέω ; 0.3397672474384308	θά ; 0.7864425778388977	ἀτυχέω ; 0.32564112544059753	ἠλί ; 0.5619946718215942	ὅδε ; 0.34335553646087646	λιτανός ; 0.29436570405960083	τροχάζω ; 0.342151939868927	λεμά ; 0.7321584224700928	σύ ; 0.7573480606079102	κύριος ; 0.741271436214447	Εσδραν ; 0.3442343473434448	διερμηνεύω ; 0.27197837829589844	κατακοιμιστής ; 0.27853649854660034	τηλαύγημα ; 0.39970722794532776	λανθάνω ; 0.27657586336135864	ἐξεραυνάω ; 0.3166600465774536	προβιβάζω ; 0.2869589328765869	δύσκολος ; 0.284261018037796	πηρά ; 0.333355188369751	ψιμυθιόω ; 0.28750142455101013
