Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.03394796363986258	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ζῳογονέω	0	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	ἀρθρέμβολον ; 0.48691412806510925	ἐμαυτός ; 0.5170116424560547	παθητός ; 0.5431261658668518	καθηλόω ; 0.5655380487442017	ἀπολούω ; 0.5765794515609741	μεγαλύνω ; 0.5173287391662598	φυλακή ; 0.5149828791618347	προσφέρω ; 0.557909369468689	Ναβουθαι ; 0.5035474896430969	Δαλμανουθά ; 0.4949309825897217	ἐκπορθέω ; 0.5215097069740295	κατοικέω ; 0.6253150701522827	Γωζαν ; 0.5473127365112305	ἐξερημόω ; 0.5546301603317261	ξενολογέω ; 0.5072504281997681
0.0159684832561795	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	συναπόλλυμαι	0	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	τυπικῶς ; 0.8966460227966309	κακότεχνος ; 0.5591447353363037	διδυμεύω ; 0.5359574556350708	ἀναβλαστάνω ; 0.5590699911117554	μάθημα ; 0.5092228651046753	ζημία ; 0.5444047451019287	ἐξαίρω ; 0.6537563800811768	σώζω ; 0.5446603894233704	καταφυγή ; 0.5367627143859863	πρόσχυσις ; 0.8688030242919922	Βεελτέεμος ; 0.5665990114212036	Ἄψινθος ; 0.6747720837593079	φορέω ; 0.4972054362297058	μύλινος ; 0.4914896488189697	πεδίον ; 0.4809126555919647
0.008900241496838823	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	δόσις	0	8	305	3	4	62	25	2542	22	396	2	15	1	15	273	7	Σολομῶν ; 0.5559580326080322	ἐπιβάλλω ; 0.7158185243606567	ἐθίζω ; 0.5482223033905029	Ζαριος ; 0.5938737988471985	χρησιμεύω ; 0.5013300776481628	περισσεύω ; 0.5429539680480957	τίθημι ; 0.6920161843299866	γλύκασμα ; 0.5053275227546692	ἐκτείνω ; 0.6793087720870972	εὐλάβεια ; 0.5195591449737549	Ἰωάννης ; 0.5493924021720886	ἐνταφιαστής ; 0.4796149730682373	ἐξέτασις ; 0.5623503923416138	διηγέομαι ; 0.6131149530410767	μακροβίωσις ; 0.5078054666519165
0.3146780840973684	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	λύκος	1	351	289	316	444	830	465	147	48	91	1376	18	61	1	15	17	τεσσαράκοντα ; 0.6472508311271667	δύο ; 0.6389666795730591	ἑκατόν ; 0.6216667890548706	ἕξ ; 0.6701089143753052	τέσσαρες ; 0.6389667391777039	τρεῖς ; 0.6138209104537964	τρεῖς ; 0.6701089143753052	ὀκτώ ; 0.6422197222709656	ἐννέα ; 0.6422198414802551	καταλέγω ; 0.5530151724815369	δράκων ; 0.51658034324646	συκοφαντία ; 0.534746527671814	Ἰωσήφ ; 0.5493420958518982	ποιμήν ; 0.5270946025848389	ἐμπορία ; 0.47727394104003906
0.07987032584166409	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	κοπή	1	4	4488	140	18	2	7	6	3	9	1487	2	27	5	317	5	ἔννοια ; 0.5202013254165649	εἶπον ; 0.5734164118766785	προήγορος ; 0.5460043549537659	εφφαθα ; 0.5644364356994629	ἀνδρογύναιος ; 0.5857263207435608	ἀγωνία ; 0.531749963760376	εὔθετος ; 0.5325623750686646	ἀποσφενδονάω ; 0.5168172121047974	λυτρωτής ; 0.5650306940078735	γίγνομαι ; 0.5347965955734253	ἐπινοέω ; 0.5229927897453308	ἐκτελέω ; 0.5496026277542114	Γαι ; 0.5624508261680603	Δελφων ; 0.5224159955978394	ζώσις ; 0.513614296913147
0.008168257229664522	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	παραχειμασία	0	1	2	11	766	1	2	1	13	168	4	1	16	35	29	42	ἐπαφρίζω ; 0.5524135828018188	φιλανθρώπως ; 0.5991715788841248	μεταπείθω ; 0.555261492729187	ἡμέρα ; 0.7427966594696045	ἀνεύθετος ; 0.781048059463501	συμφρύγω ; 0.5327610969543457	πέμμα ; 0.5061109066009521	Ἰουδαισμός ; 0.5250566601753235	μήν ; 0.7194377183914185	Νικόπολις ; 0.6009128093719482	ἄτομος ; 0.973782479763031	θαυμάζω ; 0.5290329456329346	γῆ ; 0.5147013664245605	διαφαύσκω ; 0.5286468863487244	διπλασιάζω ; 0.5803555250167847
0.03704631417182219	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	θυμομαχέω	0	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	ἄτερ ; 0.5020166039466858	Βλάστος ; 0.6228767037391663	ἀσεβέω ; 0.5181087255477905	ἀνεξεραύνητος ; 0.5567918419837952	θυμός ; 0.5635089874267578	ἐγκαταλείπω ; 0.6187068223953247	ἴβις ; 0.5539437532424927	κατωτέρω ; 0.5393645763397217	ἀθῷος ; 0.5685838460922241	πύρπνοος ; 0.6383074522018433	γεύω ; 0.522270679473877	τηκτός ; 0.5829023122787476	οἰκετεία ; 0.5913290977478027	κράβαττος ; 0.5042904615402222	ψευδοθύριον ; 0.5185424089431763
0.07189419484475973	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	διαχειρίζομαι	0	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	ἀποθνῄσκω ; 0.5977881550788879	Γαι ; 0.5624508261680603	ὀλεθροφόρος ; 0.5822542905807495	ἐκτελέω ; 0.5496026277542114	προσκλίνομαι ; 0.523954451084137	προσάγω ; 0.5417014360427856	ζώσις ; 0.513614296913147	ἐπινοέω ; 0.5229927897453308	ἐρειδόμενος ; 0.5401878356933594	Δελφων ; 0.5224159955978394	χαρά ; 0.5040509700775146	ἐτασμός ; 0.5136956572532654	μεσονύκτιον ; 0.531685471534729	μελετέω ; 0.6014105081558228	ἀνείκαστος ; 0.6002821922302246
0.08148990392485617	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	ἐξοχή	1	13	28	36	1	13	28	57	5	31	6	7	10	2	1	52	ἔξοικος ; 0.636878252029419	ἀπογαλακτίζω ; 0.5658242106437683	ἄγναφος ; 0.5381547212600708	Μαγδαληνή ; 0.5277851223945618	ἐννόμως ; 0.4674035608768463	ὅπως ; 0.5335702896118164	παραδρομή ; 0.5689287185668945	πρόχειρος ; 0.48504090309143066	παραχειμασία ; 0.5406403541564941	μηκύνομαι ; 0.5191740989685059	εὔφημος ; 0.5334566831588745	φιλόκοσμος ; 0.5369722843170166	ἐθελοκωφόω ; 0.5035839080810547	ἀκροατήριον ; 0.7386037707328796	πολιός ; 0.5627372860908508
0.11395522688927551	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	καταπέτασμα	0	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	ἄγναφος ; 0.525573194026947	καμάρα ; 0.540614128112793	ἀλείφω ; 0.5748417377471924	Αχσαν ; 0.5185132026672363	σιμικίνθιον ; 0.5339248776435852	ἀνάγνωσις ; 0.511165976524353	διαζώννυμι ; 0.6779434680938721	δαβιρ ; 0.6116733551025391	λῃστεύω ; 0.522398829460144	καταχέω ; 0.5191154479980469	ἔριφος ; 0.5450807809829712	ἐξάγω ; 0.7238708734512329	Κώς ; 0.7944467067718506	ἐπίγνωσις ; 0.5163590908050537	προσεάω ; 0.554481565952301
