Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.022828117018177774	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	οἰκέω	1	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	νόθος ; 0.3048211336135864	Θεόφιλος ; 0.29811668395996094	πιστεύω ; 0.25853872299194336	ἀλφός ; 0.373639851808548	πιθανολογία ; 0.26582762598991394	Χαρκαμυς ; 0.24442246556282043	ἀποχωρίζω ; 0.29011261463165283	Ραιφαν ; 0.332561194896698	ἀποτολμάω ; 0.35553067922592163	περιαπτω ; 0.3040754199028015	πραγματεύω ; 0.29275035858154297	νοσσεύω ; 0.28031638264656067	παροίχομαι ; 0.29557591676712036	Ἀντιοχία ; 0.36524853110313416	κληρόω ; 0.287253201007843
-0.0030486452071545322	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	κάλαμος	1	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	τυπικῶς ; 0.7818743586540222	ἀποσοβέω ; 0.28849783539772034	κηπουρός ; 0.3660829961299896	Αλληλ ; 0.2652420401573181	Ῥαάβ ; 0.5356208682060242	οἰκητήριον ; 0.25489354133605957	ἐξαίρω ; 0.3112713396549225	ἐξολεθρεύω ; 0.3035948872566223	Φρουραι ; 0.2881872057914734	πρόσχυσις ; 0.7445114850997925	τρύγητος ; 0.2675599753856659	Μασεκκα ; 0.4130879044532776	πενταπλοῦς ; 0.41075021028518677	καταφρονητής ; 0.32043325901031494	βοτάνη ; 0.33255648612976074
0.00399432157301316	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγελία	1	8	305	3	4	62	25	2542	22	396	2	15	1	15	273	7	εἰλικρινής ; 0.3419690430164337	ἐπιστοιβάζω ; 0.42186984419822693	ζώσις ; 0.36772584915161133	ἐκδικήσις ; 0.30429595708847046	μαλακοψυχάζω ; 0.31671205163002014	ὑπερφόβος ; 0.3206748068332672	φέρω ; 0.31380710005760193	εἰδωλόθυτος ; 0.27750152349472046	ἐκπεταννύω ; 0.32747578620910645	αἱρετίς ; 0.34247419238090515	βαΐνη ; 0.2755914330482483	ὑποσκέλισμα ; 0.3856285810470581	κάρταλλος ; 0.26390478014945984	ἀπαγγέλλω ; 0.3765537738800049	συλλογίζω ; 0.2658628821372986
0.17147204234769958	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	ἀγέλη	1	351	289	316	444	830	465	147	48	91	1376	18	61	1	15	17	εἴκοσι ; 0.36734965443611145	τρεῖς ; 0.33898141980171204	ὀκτώ ; 0.334051251411438	ἕξ ; 0.35493922233581543	δώδεκα ; 0.3124993145465851	δεύτερος ; 0.37472420930862427	ὀκτώ ; 0.3600972294807434	πέμπτος ; 0.2964426875114441	ἕξ ; 0.3600972294807434	ἐπιδιορθόω ; 0.2543864846229553	Δαλμανουθά ; 0.3067200183868408	τροχός ; 0.2949206829071045	Φαισουρ ; 0.4303007125854492	σεν ; 0.28268730640411377	συρισμός ; 0.2606750726699829
0.03024735542838175	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	ἀναφωνέω	0	4	4488	140	18	2	7	6	3	9	1487	2	27	5	317	5	ἐπᾴδω ; 0.29274600744247437	εἶπον ; 0.4467400312423706	ἰδέα ; 0.32509005069732666	Θαρθαν ; 0.24844342470169067	ἀπάτησις ; 0.28505584597587585	διαπορέω ; 0.32425427436828613	Ωβαδιος ; 0.364678293466568	ἀποκαταλλάσσω ; 0.37140995264053345	περιέχω ; 0.274358868598938	ἐντέλλομαι ; 0.36182448267936707	Γωζα ; 0.37723100185394287	Χαβωρ ; 0.32240861654281616	Ελιανα ; 0.3771500885486603	θανατόω ; 0.32431885600090027	διθάλασσος ; 0.34461769461631775
-0.005999184381475231	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	ἐνιαυτός	0	1	2	11	766	1	2	1	13	168	4	1	16	35	29	42	ἀδελφικῶς ; 0.4100192189216614	Πόρκιος ; 0.370825856924057	σπιλάς ; 0.3261849582195282	Επιφι ; 0.4183065593242645	ἀνεύθετος ; 0.40836989879608154	τριετῆς ; 0.4316389560699463	προβλέπω ; 0.36244910955429077	εὔχαρις ; 0.3002309203147888	ἡμέρα ; 0.2773585915565491	Ζηνᾶς ; 0.40449103713035583	ἄτομος ; 0.8901050090789795	θαυμάζω ; 0.2885708808898926	ὄζος ; 0.3103794455528259	ἀποτινάσσω ; 0.26206088066101074	κακοπραγία ; 0.27902311086654663
0.03525738789946925	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	βρῶμα	1	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	ῥακά ; 0.28673458099365234	κατεφίστημι ; 0.4782137870788574	Γάϊος ; 0.3598921000957489	ἀλισγέω ; 0.2701217532157898	ἀποδιώκω ; 0.29143792390823364	λατρεύω ; 0.2780229449272156	νωθροκάρδιος ; 0.3469772934913635	ἔγω ; 0.3993566632270813	παραλίαν ; 0.28155550360679626	θυμόω ; 0.3397696018218994	ἀπολήγω ; 0.3176102340221405	γλωσσοτομέω ; 0.3447508215904236	οἰκετεία ; 0.4810659885406494	ναῦλον ; 0.3542114496231079	Εσελια ; 0.31714144349098206
0.07637745337380525	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	θορυβάζω	1	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	ἀποκτείνω ; 0.32431885600090027	Ελιανα ; 0.3771500885486603	σφίγγω ; 0.3301486670970917	Χαβωρ ; 0.32240861654281616	ἀγωνιστής ; 0.2589002847671509	δαβιρ ; 0.2558057904243469	διθάλασσος ; 0.34461769461631775	Γωζα ; 0.37723100185394287	Αθαριν ; 0.3195888102054596	θανατόω ; 0.32431885600090027	συγκρύπτω ; 0.4955044090747833	ἀμύνομαι ; 0.3120127320289612	Συήνη ; 0.3335486054420471	ὕφασμα ; 0.3179817497730255	ἐπικαταλαμβάνω ; 0.4177151620388031
0.07242836896608948	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	κυρία	1	13	28	36	1	13	28	57	5	31	6	7	10	2	1	52	ἀπῶρυξ ; 0.2633412778377533	σκῶλον ; 0.2616981267929077	ἐπισκευάζω ; 0.2595684230327606	μόδιος ; 0.3961588740348816	ἐρημίτης ; 0.29269781708717346	ἐγκοίλιος ; 0.3004692792892456	γεννάω ; 0.2916373908519745	Γαιδαδ ; 0.38534826040267944	βάλλω ; 0.28873270750045776	πλημμέλημα ; 0.30062514543533325	συλλοχάω ; 0.3086945414543152	ασελισι ; 0.2883073091506958	Λιβύη ; 0.32757318019866943	Ιεραμηλι ; 0.5000978708267212	πορφύρα ; 0.2863054871559143
0.10608973970900859	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	ἀνάγω	1	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	τρικυμία ; 0.40007662773132324	ταλαντιαῖος ; 0.3329486846923828	ψιλόω ; 0.3392670750617981	προσκαθίστημι ; 0.3577406108379364	πώγων ; 0.43179360032081604	καταμήνιος ; 0.41769611835479736	διαζώννυμι ; 0.5514801740646362	ἐξέδρα ; 0.3360610008239746	προχειρίζομαι ; 0.361695796251297	ὑακίνθινος ; 0.272702157497406	βραδυπλοέω ; 0.3924192786216736	ἐξάγω ; 0.3944723606109619	Κώς ; 0.660798192024231	Ἀττάλεια ; 0.5254073739051819	προσεάω ; 0.5676563382148743
